time	compartment_0	species_0	species_1	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9	species_10	species_11	species_12	species_13	species_14	species_15	species_16	parameter_0	parameter_1	reaction_1	reaction_3	reaction_4	reaction_5	reaction_6	reaction_7	reaction_8	reaction_9	reaction_10	reaction_11	reaction_13	reaction_14	reaction_16	reaction_17	reaction_19	reaction_20	reaction_23
0.0	1.0	0.0	1.0E-8	0.0	4.68E-4	1.0E-5	0.0	0.0	0.0044	1.49E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47572E-6	0.0	-9.282699999999999E-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	0.0	1.6153185848781993E-10	0.0	4.679901150135811E-4	9.990200671396628E-6	3.9137272179256645E-11	2.2659578236905006E-15	0.004400000128838939	1.490000468563892E-4	3.3811180633760404E-13	9.717010208522955E-9	0.0	0.0	8.198028304396592E-11	0.0	0.0	0.0	0.9756147480702211	0.012682991724912874	3.998992026599602E-8	5.087845383213333E-13	-1.499452027725324E-12	8.949712683859597E-11	3.9172801702933805E-8	0.0	0.0	1.9576640157797023E-12	1.2632113270999762E-10	8.990391385703978E-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1.0	0.0	2.6095383990774833E-12	0.0	4.6798984951892226E-4	9.990012780344519E-6	1.0170383108743752E-11	4.2300888582936965E-16	0.004400000257587134	1.4900015350208207E-4	4.1146580280564504E-13	9.882723561851161E-9	0.0	0.0	1.0408462782747538E-10	0.0	0.0	0.0	0.9892893944959904	0.012860762128447875	6.460345431194978E-10	1.3221498041198806E-13	-2.4223544751712738E-14	1.1800408545456507E-10	7.616117961607247E-10	0.0	0.0	1.6391723226423686E-13	1.2847540630304837E-10	1.180458080199699E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.0	1.0	0.0	4.2157342970655484E-14	0.0	4.6798972431875616E-4	9.990009642202253E-6	9.59964841137964E-12	3.9649611102704858E-16	0.004400000386181951	1.4900027615412335E-4	4.3072207128902507E-13	9.879899645289812E-9	0.0	0.0	1.1002743038658646E-10	0.0	0.0	0.0	0.9889499293701192	0.012856349081811548	1.0436668108501073E-11	1.2479542934635996E-13	-3.912950432744719E-16	1.2570426806071666E-10	1.2605039298348028E-11	0.0	0.0	1.2534443039508347E-13	1.284386953876928E-10	1.2571363064859404E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.0	1.0	0.0	6.813703832158004E-16	0.0	4.6798959732854414E-4	9.990009589728794E-6	9.588647814135685E-12	3.996057441136365E-16	0.004400000514733463	1.4900040310802706E-4	4.358897645541147E-13	9.878349346860638E-9	0.0	0.0	1.1162503458269264E-10	0.0	0.0	0.0	0.9887937994674774	0.012854319393077206	1.6860412605460617E-13	1.2465242158217618E-13	-6.285013393549685E-18	1.277743947671891E-10	8.307329705640171E-14	0.0	0.0	1.2465974743411018E-13	1.2841854150809795E-10	1.2777687574042292E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.0	1.0	0.0	1.1326981047961855E-17	0.0	4.6798946921894E-4	9.990009588487884E-6	9.588075930895805E-12	4.00620326995139E-16	0.004400000643273299	1.4900053121835025E-4	4.3727888728730593E-13	9.877919687550302E-9	0.0	0.0	1.1205454568235413E-10	0.0	0.0	0.0	0.9887507763481197	0.012853760092525555	2.7238321755496005E-15	1.246449871000537E-13	-6.508330913974338E-20	1.2833088881325105E-10	-1.2109607091911305E-13	0.0	0.0	1.2464460729098478E-13	1.2841295593705936E-10	1.2833155521503306E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6.0	1.0	0.0	5.024392121867516E-19	0.0	4.67989340798109E-4	9.990009588362374E-6	9.587960968571777E-12	4.00896111383934E-16	0.004400000771809995	1.4900065963954393E-4	4.3765239814247024E-13	9.87780393792531E-9	0.0	0.0	1.1217004730757127E-10	0.0	0.0	0.0	0.9887391898893882	0.012853609468562045	4.4039934609937454E-17	1.2464349258984025E-13	3.5425598015414905E-20	1.2848048625202103E-10	-1.2453537273444313E-13	0.0	0.0	1.2464332549577009E-13	1.2841145119193334E-10	1.2848066547153965E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7.0	1.0	0.0	3.2756804908291345E-19	0.0	4.6798921229344723E-4	9.990009588331957E-6	9.587930653687169E-12	4.009703904236719E-16	0.004400000900345845	1.4900078814430602E-4	4.377528923915279E-13	9.877772778985433E-9	0.0	0.0	1.1220113616867671E-10	0.0	0.0	0.0	0.9887360709639119	0.012853568922530855	7.479488381300976E-19	1.2464309849634005E-13	3.7056307029098613E-20	1.2852070088428255E-10	-1.2462763858747583E-13	0.0	0.0	1.2464302575573359E-13	1.2841104612571465E-10	1.2852074914853618E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8.0	1.0	0.0	3.24742841157811E-19	0.0	4.679890837662477E-4	9.990009588323797E-6	9.587922476194201E-12	4.0099045315197263E-16	0.004400001028881468	1.4900091667153267E-4	4.3777999368897415E-13	9.877764363232272E-9	0.0	0.0	1.1220953298079567E-10	0.0	0.0	0.0	0.9887352285708465	0.012853557971421006	4.856903213830382E-20	1.2464299218893138E-13	3.708453639796079E-20	1.2853151097152828E-10	-1.246389916463462E-13	0.0	0.0	1.2464294541442804E-13	1.2841093672092347E-10	1.285315240322224E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9.0	1.0	0.0	3.246972181672445E-19	0.0	4.6798895523299E-4	9.990009588321564E-6	9.58792023975044E-12	4.0099594054605573E-16	0.00440000115741703	1.4900104520479778E-4	4.3778736530358403E-13	9.877762061415754E-9	0.0	0.0	1.1221182965669978E-10	0.0	0.0	0.0	0.9887349981655504	0.012853554976152155	3.727098448207301E-20	1.2464296311516247E-13	3.7085506044456373E-20	1.2853441645491564E-10	-1.2464182582189644E-13	0.0	0.0	1.2464292333065808E-13	1.284109067973087E-10	1.2853442005209724E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
