time	IMS	CYT	ADPi	ATPi	Cri	PCri	PCr	ADP	ATP	Cr	Pi	P	OxPhos	MiCK	MMCK	ATPase	Pi_diffusion	Cr_diffusion	ADP_diffusion	PCr_diffusion	ATP_diffusion
0.0	0.0625	0.75	0.0	0.0	0.0	0.0	0.0	0.0	9700.0	26000.0	32000.0	0.0	0.0	0.0	3086.5352406777843	3.3465E7	36800.0	-284700.0	0.0	0.0	-59364.0
1.0	0.06250000000006832	0.75	57645.84937868403	554.146108894878	155996.8075155285	3.1924845224489546	0.14549379390347844	4849.918217483499	0.0821536950134032	12999.854506227957	73796.7252260095	6170.267036901701	283.4879039832236	1.321935664683965	-1.318612712345649	283.430247796241	-283.4510992397845	-1.3199851207900792	-282.11630783801957	1.3199850834947666	282.11173492321467
2.0	0.06250000000006832	0.75	57645.74607570741	554.2538951210447	155996.8026127117	3.1973873595947184	0.14578468892821203	4849.917827175682	0.08217039870195271	12999.854215331226	73796.65104274824	6170.263520486154	283.4878969523053	1.321275990502178	-1.3212718850225098	283.48787552173684	-283.48788345568755	-1.3212736218993086	-282.16660367225995	1.321273621869448	282.1666036719858
3.0	0.06250000000006832	0.75	57645.74604065966	554.2539301690434	155996.8026073502	3.1973927211020015	0.14578501704178395	4849.91782716961	0.08217040475215331	12999.854215003113	73796.65101482408	6170.263519111548	283.48789694991694	1.3212749693476527	-1.3212748864192099	283.48789639492895	-283.4878965989046	-1.3212749214435462	-282.1666215094556	1.3212749214012312	282.16662150943796
4.0	0.06250000000006832	0.75	57645.74603972081	554.2539311079021	155996.80260724042	3.197392830891304	0.14578502373393523	4849.917827169453	0.08217040490866745	12999.854214996421	73796.6510141102	6170.2635190768015	283.487896949853	1.3212749492381082	-1.3212749476300578	283.4878969349027	-283.48789694035077	-1.3212749483354855	-282.1666219873041	1.321274948304913	282.166621987298
5.0	0.06250000000006832	0.75	57645.74603969469	554.2539311340283	155996.80260723826	3.197392833071312	0.14578502386591194	4849.917827169448	0.08217040491287914	12999.854214996287	73796.65101409121	6170.2635190758865	283.4878969498513	1.3212749488659108	-1.3212749488370288	283.48789694943304	-283.4878969495767	-1.3212749488302507	-282.16662200059363	1.3212749488490259	282.1666220005966
6.0	0.06250000000006832	0.75	57645.74603969394	554.2539311347808	155996.8026072382	3.197392833112295	0.14578502386836145	4849.917827169448	0.08217040491299686	12999.854214996283	73796.65101409068	6170.263519075862	283.48789694985123	1.3212749488598596	-1.3212749488594246	283.4878969498392	-283.4878969498677	-1.3212749488302507	-282.1666220009756	1.3212749488596005	282.1666220009796
7.0	0.06250000000006832	0.75	57645.74603969392	554.2539311348033	155996.80260723818	3.197392833112983	0.1457850238684014	4849.917827169447	0.08217040491300025	12999.854214996283	73796.65101409066	6170.26351907586	283.4878969498513	1.321274948859794	-1.3212749488597892	283.48789694985084	-283.48789694985317	-1.3212749488593545	-282.1666220009829	1.321274948859791	282.1666220009911
8.0	0.06250000000006832	0.75	57645.74603969392	554.253931134804	155996.80260723818	3.197392833112994	0.14578502386840198	4849.917827169448	0.08217040491300036	12999.854214996283	73796.65101409066	6170.26351907586	283.4878969498513	1.321274948859794	-1.3212749488597946	283.48789694985123	-283.48789694985317	-1.3212749488593545	-282.16662200098654	1.3212749488597944	282.1666220009915
9.0	0.06250000000006832	0.75	57645.74603969391	554.2539311348041	155996.80260723818	3.1973928331129935	0.14578502386840192	4849.917827169448	0.08217040491300039	12999.854214996283	73796.65101409066	6170.26351907586	283.48789694985123	1.3212749488597946	-1.3212749488597941	283.48789694985135	-283.48789694985317	-1.3212749488593545	-282.1666220009902	1.3212749488597946	282.16662200099154
10.0	0.06250000000006832	0.75	57645.74603969391	554.2539311348038	155996.80260723818	3.197392833112992	0.14578502386840186	4849.917827169448	0.08217040491300034	12999.854214996283	73796.65101409066	6170.26351907586	283.48789694985123	1.3212749488597935	-1.3212749488597937	283.4878969498512	-283.48789694985317	-1.3212749488593545	-282.1666220009902	1.3212749488597944	282.1666220009913
11.0	0.06250000000006832	0.75	57645.746039693906	554.2539311348041	155996.80260723818	3.1973928331129935	0.14578502386840192	4849.917827169447	0.08217040491300037	12999.854214996283	73796.65101409066	6170.26351907586	283.4878969498513	1.3212749488597948	-1.3212749488597941	283.4878969498513	-283.48789694985317	-1.3212749488593545	-282.1666220009902	1.3212749488597946	282.16662200099154
12.0	0.06250000000006832	0.75	57645.7460396939	554.253931134804	155996.80260723818	3.197392833112994	0.145785023868402	4849.917827169447	0.08217040491300039	12999.854214996283	73796.65101409066	6170.26351907586	283.48789694985123	1.3212749488597946	-1.321274948859795	283.48789694985135	-283.48789694985317	-1.3212749488593545	-282.16662200099745	1.3212749488597941	282.1666220009915
13.0	0.06250000000006832	0.75	57645.7460396939	554.2539311348038	155996.80260723818	3.1973928331129904	0.1457850238684018	4849.917827169446	0.08217040491300033	12999.854214996283	73796.65101409066	6170.26351907586	283.48789694985123	1.3212749488597944	-1.3212749488597935	283.4878969498511	-283.48789694985317	-1.3212749488593545	-282.1666220009902	1.321274948859793	282.1666220009913
14.0	0.06250000000006832	0.75	57645.74603969389	554.2539311348041	155996.80260723818	3.197392833112995	0.145785023868402	4849.917827169446	0.08217040491300037	12999.854214996283	73796.65101409066	6170.26351907586	283.48789694985123	1.321274948859795	-1.321274948859795	283.4878969498513	-283.48789694985317	-1.3212749488593545	-282.1666220009938	1.321274948859795	282.16662200099154
15.0	0.06250000000006832	0.75	57645.746039693884	554.2539311348039	155996.80260723818	3.1973928331129935	0.14578502386840195	4849.917827169446	0.08217040491300034	12999.854214996283	73796.65101409066	6170.26351907586	283.48789694985123	1.3212749488597946	-1.3212749488597946	283.4878969498512	-283.48789694985317	-1.3212749488593545	-282.16662200099745	1.3212749488597944	282.16662200099137
16.0	0.06250000000006832	0.75	57645.74603969389	554.2539311348041	155996.80260723818	3.1973928331129944	0.145785023868402	4849.917827169445	0.08217040491300039	12999.854214996283	73796.65101409066	6170.26351907586	283.48789694985123	1.321274948859795	-1.321274948859795	283.48789694985135	-283.48789694985317	-1.3212749488593545	-282.1666220009902	1.3212749488597946	282.16662200099154
17.0	0.06250000000006832	0.75	57645.746039693884	554.2539311348038	155996.80260723818	3.197392833112993	0.14578502386840195	4849.917827169445	0.08217040491300034	12999.854214996283	73796.65101409066	6170.26351907586	283.48789694985123	1.3212749488597941	-1.3212749488597946	283.4878969498512	-283.48789694985317	-1.3212749488593545	-282.1666220009938	1.321274948859794	282.1666220009913
18.0	0.06250000000006832	0.75	57645.74603969388	554.2539311348041	155996.80260723818	3.1973928331129953	0.14578502386840203	4849.917827169445	0.08217040491300037	12999.854214996283	73796.65101409066	6170.26351907586	283.48789694985123	1.3212749488597952	-1.3212749488597955	283.4878969498513	-283.48789694985317	-1.3212749488593545	-282.16662200099745	1.321274948859795	282.16662200099154
