time	Cytoplasm	MAPK	MAPKMEKpp	MAPKp	MAPKPH	MAPKpMAPKPH	MAPKpMEKpp	MAPKpp	MAPKppMAPKPH	MEK	MEKp	MEKPH	MEKpMEKPH	MEKpp	MEKppMEKPH	MEKpRAFp	MEKRAFp	RAF	RAFK	RAFp	RAFPH	RAFpRAFPH	RAFRAFK	Reaction1	Reaction2	Reaction3	Reaction4	Reaction5	Reaction6	Reaction7	Reaction8	Reaction9	Reaction10	Reaction11	Reaction12	Reaction13	Reaction14	Reaction15	Reaction16	Reaction17	Reaction18	Reaction19	Reaction20	Reaction21	Reaction22	Reaction23	Reaction24	Reaction25	Reaction26	Reaction27	Reaction28	Reaction29	Reaction30
0.0	1.0	0.4	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.0	0.3	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	0.3999999999562197	4.327895206847993E-11	4.3638990593731055E-13	0.2999999999999349	6.506747121348765E-14	2.3827920728471914E-23	1.294774561009797E-25	1.021268868946724E-26	0.19960678635382167	7.636655557170149E-6	0.19999704086031692	2.959129093125551E-6	4.4301168624092735E-11	1.0590007427859687E-11	6.892754190221706E-9	3.826108706037129E-4	0.2594912749577922	0.1617074231565955	0.0017482079246370953	0.29991467748919154	8.532251080846606E-5	0.03829257684340444	0.041961665405044174	0.015317030737361776	0.003829257684340444	2.6215660795079164E-4	4.266125540423303E-5	8.532251080846607E-6	0.0011515487468598123	1.6069656565355941E-4	3.8261087060371294E-5	1.5273085135035243E-5	2.367303274500441E-6	2.9591290931255513E-7	4.4056523817136925E-8	2.7571016760886826E-9	6.892754190221707E-10	8.860102631472464E-11	8.47200594228775E-12	1.0590007427859687E-12	3.5440934895395155E-10	2.5967371241087957E-11	4.3278952068479934E-12	6.545848589058237E-13	2.602698848539506E-14	6.506747121348765E-15	3.8665165617561524E-22	1.4296752437083148E-23	2.3827920728471914E-24	1.942161841514274E-25	4.085075475786896E-27	1.021268868946724E-27
2.0	1.0	0.3999999940341288	5.817429467895228E-9	1.131106974847884E-10	0.29999999996466875	3.5331193313283645E-11	8.575091907761563E-19	9.48669771395694E-21	1.6233745075377173E-21	0.19798971608581817	6.59115026830651E-5	0.19995229937171205	4.7699236047492525E-5	2.918294915958178E-9	1.3922405639693078E-9	3.220784598384312E-7	0.0018963409690264251	0.24010573752593495	0.14697947150688304	0.00456034121065481	0.29958327027719306	4.1672972280701673E-4	0.053020528493116996	0.03529061440733229	0.0212082113972468	0.0053020528493117	6.831009667339109E-4	2.0836486140350836E-4	4.167297228070167E-5	0.002979572183121607	7.964632069910985E-4	1.8963409690264253E-4	1.3179156516523633E-4	3.815938883799402E-5	4.769923604749253E-6	9.919105084078305E-7	1.2883138393537249E-7	3.220784598384312E-8	5.835197786906148E-9	1.1137924511754463E-9	1.3922405639693079E-10	2.334635897946199E-8	3.490457680737137E-9	5.817429467895228E-10	1.696660462072009E-10	1.4132477325313458E-11	3.5331193313283645E-12	6.601807468206829E-18	5.145055144656938E-19	8.575091907761563E-20	1.4230046569259525E-20	6.49349803015087E-22	1.6233745075377175E-22
3.0	1.0	0.3999999206580848	7.622257704873511E-8	2.1115269756086237E-9	0.29999999899218893	1.0078109933763709E-9	2.174539386703877E-16	3.58661471660492E-18	9.66278410940834E-19	0.19539879495042634	2.0078403514598906E-4	0.19980032257434605	1.9965956694114977E-4	2.5928073790699856E-8	1.785871298040358E-8	2.360973552491818E-6	0.004198280464569974	0.22901161189844615	0.14144507281705487	0.007318798221222235	0.2990859787407361	9.140212592640736E-4	0.05855492718294516	0.03239256412092683	0.023421970873178065	0.005855492718294516	0.0010944749646001053	4.570106296320368E-4	9.140212592640737E-5	0.00471927836461009	0.0017632777951193891	4.1982804645699745E-4	4.0116714989947447E-4	1.5972765355291981E-4	1.9965956694114977E-5	4.849342869611748E-6	9.443894209967272E-7	2.360973552491818E-7	5.1804375071132784E-8	1.4286970384322866E-8	1.7858712980403582E-9	2.0742454918193823E-7	4.573354622924106E-8	7.622257704873511E-9	3.167290452772834E-9	4.0312439735054836E-10	1.0078109933763709E-10	1.0949565446926738E-15	1.304723632022326E-16	2.174539386703877E-17	5.37992205683423E-18	3.8651136437633364E-19	9.662784109408341E-20
4.0	1.0	0.39999956436268286	4.120553744064833E-7	1.4411345644504923E-8	0.2999999908294114	9.1705885284114E-9	8.368405619658444E-15	1.8021409251648574E-16	6.635045128159733E-17	0.1922255471033028	4.1324060476449087E-4	0.1995020047589411	4.979005795750272E-4	1.0907492985285111E-7	9.466148402498579E-8	8.581040673183728E-6	0.00685411487988781	0.2213980441897473	0.13967519551979493	0.009928381047869755	0.2985139256383832	0.0014860743616169714	0.06032480448020506	0.03092381510990315	0.024129921792082024	0.006032480448020506	0.0014818800009166625	7.430371808084857E-4	1.4860743616169715E-4	0.006298011979963527	0.00287872824955288	6.85411487988781E-4	8.244232909831315E-4	3.983204636600218E-4	4.9790057957502725E-5	1.3539273622228223E-5	3.4324162692734917E-6	8.581040673183729E-7	2.1760667174584668E-7	7.572918721998864E-8	9.46614840249858E-9	8.725984884806127E-7	2.4723322464388995E-7	4.120553744064833E-8	2.1617017805954774E-8	3.6682354113645603E-9	9.170588528411401E-10	3.1438330305191314E-14	5.021043371795066E-15	8.368405619658444E-16	2.7032113051138215E-16	2.6540180512638933E-17	6.635045128159733E-18
5.0	1.0	0.3999984817708384	1.4135273967201512E-6	5.862903579153255E-8	0.2999999539273955	4.6072603027782596E-8	1.2141895085422764E-13	3.180704044871322E-15	1.4823217896469379E-15	0.18872157239988635	6.964807496999742E-4	0.19904797931296367	9.517017819356012E-4	3.1381581825716197E-7	3.189051008532155E-7	2.1812790290240466E-5	0.00960638602975057	0.2153291818446656	0.13947836949409326	0.012437026242672256	0.2979160374132856	0.002083962586714659	0.06052163050590673	0.030033763188191065	0.024208652202362693	0.006052163050590673	0.0018525947877109812	0.0010419812933573295	2.083962586714659E-4	0.007745545990036004	0.004034682132495239	9.60638602975057E-4	0.001386330858581579	7.61361425548481E-4	9.517017819356013E-5	2.858509289306426E-5	8.725116116096187E-6	2.1812790290240467E-6	6.246440450053234E-7	2.551240806825724E-7	3.189051008532155E-8	2.510517017170763E-6	8.481164380320907E-7	1.4135273967201512E-7	8.794354018133692E-8	1.8429041211113038E-8	4.6072603027782596E-9	3.679743768109644E-13	7.285137051253658E-14	1.2141895085422764E-14	4.7710553345903855E-15	5.929287158587752E-16	1.482321789646938E-16
6.0	1.0	0.39999597035039086	3.692823328552054E-6	1.7504498172746763E-7	0.2999998382197128	1.617802704284739E-7	9.817780359944967E-13	2.9924902449880566E-14	1.677150293654737E-14	0.1850287200549683	0.0010420700663990774	0.19844612073416204	0.001553059901236357	7.197758016778912E-7	8.193646017321973E-7	4.483030569588653E-5	0.012326087706986644	0.20999921978968142	0.1399422520704279	0.01488585171711166	0.2973137374490479	0.0026862625509523307	0.0600577479295721	0.029387763750400787	0.024023099171828842	0.0060057747929572105	0.0022128841045633975	0.0013431312754761653	2.686262550952331E-4	0.009089223297479234	0.005176956836934391	0.0012326087706986644	0.0020679476221008757	0.0012424479209890858	1.5530599012363573E-4	5.118993160794931E-5	1.793212227835461E-5	4.483030569588653E-6	1.4283671564129906E-6	6.554916813857579E-7	8.193646017321973E-8	5.758148404537572E-6	2.2156939971312325E-6	3.692823328552054E-7	2.6256733099706435E-7	6.471210817138956E-8	1.617802704284739E-8	2.5198628410515966E-12	5.89066821596698E-13	9.817780359944967E-14	4.488732946852429E-14	6.708601174618948E-15	1.677150293654737E-15
7.0	1.0	0.39999106385158417	8.061492867888534E-6	4.2639032923095065E-7	0.2999995517403625	4.482595163525361E-7	5.395415440052592E-12	1.8589281481070315E-13	1.2104465032640032E-13	0.18122821270287207	0.0014416185528589205	0.197712132837941	0.002286105898071364	1.4215283486444635E-6	1.76126398778405E-6	8.014657607499725E-5	0.014952671979522904	0.20506620287865387	0.14068086942125743	0.01729714475225191	0.29671529676524633	0.0032847032347537775	0.059319130578742586	0.02884889170988499	0.023727652231497035	0.005931913057874259	0.0025661637191779245	0.0016423516173768888	3.2847032347537775E-4	0.010344611073434472	0.00628012223139962	0.0014952671979522906	0.002850254788244832	0.0018288847184570912	2.286105898071364E-4	8.22884197948978E-5	3.20586304299989E-5	8.014657607499725E-6	2.810534017000931E-6	1.40901119022724E-6	1.76126398778405E-7	1.1371972729389692E-5	4.83689572073312E-6	8.061492867888534E-7	6.395845381785539E-7	1.7930380654101444E-7	4.482595163525361E-8	1.2122518811792847E-11	3.237249264031555E-12	5.395415440052593E-13	2.788388055748258E-13	4.841786013056013E-14	1.2104465032640033E-14
8.0	1.0	0.3999825429440428	1.5505806538808476E-5	9.001923741181477E-7	0.29999894896636314	1.0510330005578015E-6	2.254625768557192E-11	8.613366205115794E-13	6.36130707506422E-13	0.17737044969140997	0.0018872135478940743	0.19686445709049136	0.0031322037820541897	2.5254264479541863E-6	3.3391274546428906E-6	1.299156358519753E-4	0.01745884695980207	0.2003827686328633	0.14152933144303223	0.01968129978060652	0.2961234995660917	0.0038765004339083938	0.05847066855696778	0.028360039277312954	0.023388267422787115	0.005847066855696779	0.0029140476835212777	0.0019382502169541969	3.876500433908394E-4	0.011519907275572169	0.007332715723116869	0.0017458846959802071	0.0037152527051998695	0.002505763025643352	3.13220378205419E-4	1.2257129143421346E-4	5.1966254340790125E-5	1.2991563585197531E-5	4.971667065984689E-6	2.671301963714313E-6	3.339127454642891E-7	2.0202529853417134E-5	9.303483923285084E-6	1.5505806538808476E-6	1.3502838305148974E-6	4.204132002231206E-7	1.0510330005578015E-7	4.546739259689279E-11	1.352775461134315E-11	2.254625768557192E-12	1.292000404298565E-12	2.5445228300256877E-13	6.361307075064219E-14
9.0	1.0	0.3999689551731245	2.7156677690549608E-5	1.7098939340203207E-6	0.29999782182496904	2.178172390657122E-6	7.700658389682247E-11	3.213645586086143E-12	2.64012526638013E-12	0.17349000765610426	0.0023715156597118783	0.19592181349030433	0.004072417419706825	4.146593175924727E-6	5.769089989011797E-6	1.9589113141340946E-4	0.019833095695201534	0.19588413227487736	0.1424166186204119	0.022042582872028	0.2955390833531084	0.004460916646891629	0.0575833813795881	0.02789715575998153	0.02303335255183524	0.00575833813795881	0.0032572223683670415	0.0022304583234458147	4.4609166468916294E-4	0.012619753975053886	0.008329900191984645	0.0019833095695201536	0.004646316487714066	0.00325793393576546	4.072417419706825E-4	1.7250529052298703E-4	7.835645256536379E-5	1.9589113141340946E-5	8.12408054833693E-6	4.615271991209438E-6	5.769089989011797E-7	3.3170170802052415E-5	1.6294006614329764E-5	2.715667769054961E-6	2.5648222787891176E-6	8.712689562628488E-7	2.178172390657122E-7	1.4180469036727494E-10	4.6203950338093485E-11	7.700658389682247E-12	4.8204333797163446E-12	1.056050106552052E-12	2.64012526638013E-13
