time	Extracellular	compartment	alpha	Ste2	Ste2a	Gabc	GaGTP	Gbc	GaGDP	complexC	complexD	Ste5	Ste11	complexA	Ste7	Fus3	complexB	Ste20	complexE	complexF	complexG	complexH	complexI	complexL	Fus3PP	complexK	Ste12	Ste12a	Bar1	Bar1a	Bar1aex	Far1	Far1PP	Far1U	complexM	complexN	Cdc28	Sst2	p	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	v44	v45	v46	v47
0.0	1.0	1.0	100.0	1666.6666667	0.0	1666.6666667	0.0	0.0	0.0	235.724935791903	0.0	158.33176608789	158.33176608789	105.943298120207	36.3997016405141	686.399701640513	77.8753625675829	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200.0	0.0	200.0	0.0	0.0	500.0	0.0	0.0	0.0	0.0	300.0	0.0	0.0	0.0	200.000000004	0.0	0.0	40.0000000008	0.0	0.0	0.0	0.0	0.0	0.0	25068.948152510315	317.829894360621	24984.74434585257	233.6260877027487	24751.118258149934	23572.4935791903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3000.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	98.72459895354484	1485.5806995250077	125.81151591832138	1469.6552824141181	196.99604154076684	21.141824846929083	0.01534274511709008	103.22342157792804	0.05707464448847933	104.19881693830959	104.19881693830955	118.44380362750476	43.141956749599586	244.51472778959254	29.50066381621447	825.9231167882274	17.586068885238895	3.5531403263354155	0.48055812070577664	3.1521462344651034	92.51299027238116	5.303452491327522	254.3666312628943	51.488526881316844	0.4359498115647682	199.564050188435	0.9916574367218516	197.71567465989273	1.2926679033856379	0.0032065564941490265	0.009745231477936633	481.14848076006604	1.7356015826931679	17.102965869270612	282.8970341307301	92.52960227004749	0.0	3.828543610256002	175.99603052847957	75.48690955099282	30.194763820397128	35.653936788600184	665.6384122484001	47.27904996978404	601.5228572938499	648.7472598731898	218.23314991012745	0.28537322244239666	10857.393451343349	355.3314108825143	10548.843810938717	88.50199144864341	10482.512495786224	10322.342157792804	235.69634132752435	17.586068885238895	175.86068885238893	87.93034442619447	166.99759533776452	17.76570163167708	165.79255164349294	2.4027906035288833	157.60731172325518	15.760731172325517	12951.818638133362	12967.722422619854	51.488526881316844	12872.131720329211	26.51726245663761	12718.331563144715	1996.0395294136256	1995.64050188435	19.789917447169444	19.771567465989275	1.9771567465989273	0.049991621229715164	0.009745231477936633	0.01814250643934783	0.020603197699931616	0.01735601582693168	0.17102965869270612	0.27568970820257055	199.95055500699	92.52960227004749
2.0	1.0	1.0	92.2031954900608	1376.8502161803829	164.36188893157362	1500.9009927059255	165.2298353185445	0.8533016270580482	0.535838675532398	108.37681816802052	0.0023581944466198185	105.97775080490666	105.97775080490665	122.45545674441045	48.852213593724485	224.3916466467553	29.580993955592337	836.8123839117791	0.6312560771925853	0.12273005294680228	0.016508943038929802	0.10507922501493949	100.08841919208241	6.256545784880337	281.1115774699334	55.96707681306495	0.3944647380876768	199.60553526191194	0.9812026937813896	195.75877016865797	3.2600271375607255	3.037444704248422E-4	0.006579855896066014	481.1509788420281	1.7223980843499294	17.119739473257102	282.8802605267438	160.4396591960873	0.0	9.017547584022447	152.33998757161476	98.61713335894417	39.446853343577665	33.044405188329186	888.0873201375117	39.65516047645068	874.810809428586	914.4640273448496	9.247811527814616	0.011790972233099092	11231.283665666893	367.36637023323135	10962.02865063484	88.74298186677701	10867.062377357113	10837.681816802053	9.866831583017245	0.6312560771925853	6.3125607719258525	3.1562803859629263	5.768312488499707	0.6136502647340114	5.6955853484307815	0.08254471519464901	5.253961250746975	0.5253961250746975	14012.378686891538	14039.166109901147	55.96707681306495	13991.769203266238	31.282728924401685	14055.578873496672	1995.9948860416373	1996.0553526191193	19.585348889266413	19.5758770168658	1.9575877016865797	0.0048532494829633364	0.006579855896066014	0.0017184662985467438	5.614601741920622E-4	0.017223980843499295	0.17119739473257103	0.18613113501075856	199.95951402609995	160.4396591960873
3.0	1.0	1.0	81.20098086497153	1304.7562154103684	164.38160420482333	1521.6299720699026	144.54088614249906	0.9265823176330393	0.49580848759919866	124.32500912366031	0.0028675788147310096	113.20785675418983	113.20785675418985	120.06292823138193	48.68457439171588	258.1016269561748	34.586210593855554	857.5986616880409	0.7892427731182957	0.15293370686290225	0.02055967011403673	0.12982226501523045	87.57435504196035	4.760398416737324	245.79436338770563	48.974026438149274	0.4510175354301985	199.5489824645695	0.9717635585488811	193.82032991763307	5.2079065238181315	3.11263625879166E-4	0.006576090288303252	481.152718366679	1.7059064216906834	17.13448785771801	282.86551214228274	185.41637187367223	0.0	12.686613539613495	127.13698137718798	98.628962522894	39.4515850091576	31.314149169848843	900.460712933968	34.68981267419977	884.4081409662749	918.8147550835951	11.519735509354994	0.014337894073655048	12816.018830877167	360.1887846941458	12565.567858170793	103.75863178156666	12457.565160976621	12432.500912366031	12.296158768991463	0.7892427731182957	7.892427731182957	3.9462138655914787	7.187884222556406	0.7646685343145112	7.093086189342672	0.10279835057018365	6.491113250761522	0.6491113250761522	12260.409705874448	12286.665763195018	48.974026438149274	12243.506609537319	23.80199208368662	12289.718169385282	1995.4362239596371	1995.4898246456949	19.39144293045783	19.38203299176331	1.9382032991763307	0.004807068821407656	0.006576090288303252	0.0017609148989114834	6.09328898030015E-4	0.017059064216906835	0.17134487857718012	0.18601491472947912	199.9470469306651	185.41637187367223
4.0	1.0	1.0	67.47203970283906	1253.7873798276496	147.08494913371086	1539.769692259901	125.3868511253421	0.2758005323132475	1.5101233147571616	137.64271859455877	9.312534862997192E-4	118.89231885727393	118.89231885727398	118.53310561386296	48.67060398872801	285.6258455440043	38.754820482408654	875.0690743191742	0.2815454582784057	0.05577025123422982	0.007521712701678498	0.048508033404891085	77.42553384181271	3.8038309638140864	217.35845764930562	43.30821541957712	0.5098682407704578	199.49013175922914	0.9624220519513044	191.90108024138746	7.1364977066611965	3.2068832678651535E-4	0.00658900462776039	481.1545045802766	1.689316973472929	17.149268753297868	282.85073124670305	194.59635344109128	0.0	14.445421698091922	101.51471024477965	88.25096948022652	35.3003877920906	30.09089711586359	815.3170087092377	30.092844270082104	805.1941919489348	832.985628137342	3.7961935057421843	0.004656267431498596	14135.3834832597	355.59931684158886	13901.582417417825	116.26446144722595	13781.187687862934	13764.271859455877	4.074555631063995	0.2815454582784057	2.8154545827840574	1.4077272913920287	2.6212018080088018	0.27885125617114914	2.594990882079082	0.03760856350839249	2.4254016702445544	0.2425401670244554	10839.57473785378	10864.724353458632	43.30821541957712	10827.053854894279	19.019154819070433	10867.922882465282	1994.835139528167	1994.9013175922914	19.19937019517534	19.19010802413875	1.9190108024138746	0.00476401880645378	0.00658900462776039	0.0018141385546769507	1.8172509837507673E-4	0.01689316973472929	0.1714926875329787	0.1863704777149937	199.9322904641669	194.59635344109128
5.0	1.0	1.0	52.927785321652216	1216.1011425449117	122.70394971803415	1556.1104088545842	104.63889371023866	0.05934133022928875	5.917364135177238	149.97007590247904	2.1404989913098766E-4	123.93530678026086	123.9353067802609	117.27029805943673	48.54277022274624	311.90756318760316	42.6628346169511	891.1758947920672	0.06464643702066292	0.01273994973473662	0.0017169668520001973	0.011024342556816571	67.7710556455791	3.0493841635903345	190.26684369652457	37.91353770259591	0.582252497794204	199.41774750220557	0.953234940312246	190.00077379985694	9.045991259830814	3.3288501753629023E-4	0.0065915538250882096	481.15635192164086	1.672597257354635	17.16412638216408	282.83587361783714	197.96201719583527	0.0	14.363528502656028	77.23864824243967	73.62236983082049	29.448947932328196	29.18642742107788	687.3872161096889	25.113334490457277	683.5793737086417	702.2885184650042	0.8899423798640509	0.0010702494956549382	15359.960266717379	351.81089417831015	15140.857170552525	127.9885038508533	15009.249994770933	14997.007590247904	0.9537805519410483	0.06464643702066292	0.6464643702066292	0.3232321851033146	0.5987776375326211	0.0636997486736831	0.5923535639400681	0.008584834260000986	0.5512171278408285	0.05512171278408286	9487.947790381073	9511.259836883288	37.91353770259591	9478.384425648977	15.246920817951672	9513.34218482623	1994.100209814975	1994.1774750220557	19.009196463746747	19.000077379985694	1.9000077379985694	0.004695017018115052	0.0065915538250882096	0.0018830364949833137	3.911515722586909E-5	0.01672597257354635	0.17164126382164083	0.186432788461782	199.91164485426353	197.96201719583527
6.0	1.0	1.0	39.218277298740226	1186.8529610924663	96.7976635394232	1569.6842523302319	83.35959024573526	0.020529441925496564	13.622824124032778	160.33962259379337	7.783324726943965E-5	128.03086193381725	128.03086193381728	116.3236083681337	48.38002819558534	334.5323305966077	45.974442106365466	904.6941707289817	0.023232139869089397	0.0045420354016960235	6.114181681138157E-4	0.003895956690753141	59.492651802415466	2.496095913903321	167.0068683540736	33.28480000456609	0.6630748411958971	199.3369251588039	0.9441764873027271	188.11924772477374	10.936575787923589	3.4767037286888275E-4	0.006589141936470335	481.1582755077213	1.655977823576905	17.17880985639443	282.8211901436068	199.18503384295525	0.0	12.86740985848427	55.85559424914634	58.07859812365392	23.231439249461566	28.484471066219193	546.9903652326942	20.00630165897646	547.9314325396449	559.337953431169	0.32916829703953177	3.8916623634719825E-4	16391.901607516178	348.9708251044011	16184.683586598758	137.9233263190964	16043.738995572878	16033.962259379336	0.3520764254678474	0.023232139869089397	0.23232139869089397	0.11616069934544698	0.21347566387971312	0.022710177008480117	0.2109392679992664	0.0030570908405690785	0.19479783453765706	0.019479783453765706	8328.971252338166	8350.247834707476	33.28480000456609	8321.200001141522	12.480479569516605	8350.34341770368	1993.284948825026	1993.3692515880389	18.820923778616606	18.811924772477376	1.8811924772477375	0.0046064823928644826	0.006589141936470335	0.0019665709726489795	1.352714067236217E-5	0.01655977823576905	0.1717880985639443	0.18635489644976905	199.88533463720557	199.18503384295525
7.0	1.0	1.0	27.46523686043637	1162.5991531269524	72.59441278864796	1580.9985793192918	63.29429337344132	0.009465169984884834	22.373794007267254	169.00139269911682	3.7322851453185165E-5	131.35638993899826	131.3563899389983	115.62310492919269	48.23422800883849	353.62881418423194	48.74526685935231	915.9809248901491	0.011134777921842191	0.002168461606853761	2.9173659037773375E-4	0.0018520148425817612	52.528552971341746	2.085044888198823	147.44119172324338	29.390030259345853	0.7507330104419834	199.24926698955787	0.9352362598184576	186.25632551240935	12.808438227772227	3.6511944738468476E-4	0.006585466635263383	481.160290077967	1.6395097780205914	17.193249557931914	282.8067504420693	199.6161224713026	0.0	10.55360369214096	38.31727333724937	43.55664767318877	17.422659069275507	27.90237967504686	413.17798854733434	15.190630409625916	416.9405267863248	423.5435269711644	0.15996269095794158	1.8661425726592583E-4	17254.501177806167	346.8693147875781	17057.012853857424	146.23580057805694	16908.237314641174	16900.13926991168	0.17093509996813097	0.011134777921842191	0.11134777921842191	0.05567388960921096	0.10191769552212676	0.010842308034268805	0.10064912368031814	0.0014586829518886688	0.09260074212908806	0.009260074212908805	7353.997415987845	7373.319513346441	29.390030259345853	7347.507564836463	10.425224440994114	7372.059586162169	1992.4014550597944	1992.4926698955787	18.63451392308834	18.625632551240937	1.8625632551240936	0.004501457932496185	0.006585466635263383	0.0020651648887613358	6.233256113255549E-6	0.016395097780205915	0.17193249557931914	0.18624144192635053	199.85290673539907	199.6161224713026
8.0	1.0	1.0	18.189088358023902	1140.8296482163034	51.870145536276155	1590.5601208408686	45.80335017962043	0.005046135197075164	30.303195679509802	176.32510598391343	2.05366458016208E-5	134.1050478142754	134.10504781427542	115.09154742171481	48.10869911136961	369.8869293204927	51.08789612462024	925.5217217565361	0.0061508442866233855	0.0011955130098335492	1.607933574950328E-4	0.0010188409654759483	46.617074409268795	1.7691642033632502	130.83653757010467	26.083513639208956	0.8456035758684517	199.1543964241314	0.9264141355465872	184.4118221701294	14.66176369432412	3.854225593056355E-4	0.006581008475921519	481.1624112171697	1.623200943822724	17.207421407974692	282.7925785920263	199.7516170322175	0.0	8.00052345961585	24.9007815274316	31.12208732176569	12.448834928706276	27.37991155719128	297.0093058279662	10.992804043108903	301.926677707779	305.8280446044609	0.08897603234334342	1.0268322900810399E-4	17984.163849269094	345.2746422651444	17794.77898790802	153.2636883738607	17639.35505850711	17632.51059839134	0.09503555890710111	0.0061508442866233855	0.06150844286623386	0.03075422143311693	0.05618911146217681	0.005977565049167746	0.05547370833578631	8.03966787475164E-4	0.05094204827379742	0.005094204827379742	6526.390417297632	6543.907146457683	26.083513639208956	6520.878409802239	8.84582101681625	6541.826878505233	1991.4451924234957	1991.543964241314	18.449944800356402	18.44118221701294	1.844118221701294	0.004379321897013294	0.006581008475921519	0.002179892787871577	3.3208658502597565E-6	0.01623200943822724	0.17207421407974693	0.18610603566418277	199.8132390142783	199.7516170322175
9.0	1.0	1.0	11.397551028549346	1119.8406710356883	35.35091950556338	1598.740485696641	31.603876502363427	0.0029052046743636446	36.32230450099361	182.5921501327886	1.2133937008047608E-5	136.41387999489703	136.4138799948971	114.67774642373008	48.00059236109332	383.87464696652097	53.091034057533385	933.6837886853388	0.003654107990080609	7.095166057022908E-4	9.541390350130291E-5	6.039897994184156E-4	41.54538375043439	1.5193051288425026	116.59365773959564	23.246459407082465	0.9484072161842126	199.05159278381564	0.9177116842541317	182.58555286462766	16.496735451118365	4.0875570555454715E-4	0.00657583411195209	481.16465557736336	1.6070523500836598	17.22130748273789	282.77869251726315	199.77327383751836	0.0	5.640671523258018	15.316129430369037	21.21055170333803	8.484220681335211	26.87617610485652	203.46100639253012	7.584930360567222	208.34912586951413	211.04745763989257	0.05304675680678858	6.066968504023804E-5	18608.746655262177	344.03323927119027	18426.21044679858	159.27310217260015	18265.080423070292	18259.21501327886	0.05664630138671567	0.003654107990080609	0.03654107990080609	0.018270539950403043	0.03334728046800767	0.003547583028511454	0.032917796707949504	4.770695175065145E-4	0.030199489970920777	0.003019948997092078	5816.353725060814	5832.227199688404	23.246459407082465	5811.614851770616	7.596525644212512	5829.682886979782	1990.408794507806	1990.5159278381564	18.267197246710303	18.258555286462766	1.8258555286462765	0.004239192327416258	0.00657583411195209	0.002311748079513725	1.910414399988312E-6	0.016070523500836598	0.17221307482737888	0.18595057723882302	199.76488016536427	199.77327383751836
