time	cytoplasm	nucleus	R	JAK	RJ	IFNRJ	IFNRJ2	IFNRJ2_star	STAT1c	IFNRJ2_star_STAT1c	STAT1c_star	IFNRJ2_star_STAT1c_star	STAT1c_star_STAT1c_star	SHP2	IFNRJ2_star_SHP2	PPX	STAT1c_star_PPX	STAT1c_STAT1c_star	STAT1n_star_STAT1n_star	STAT1n_star	PPN	STAT1n_star_PPN	STAT1n	STAT1n_STAT1n_star	mRNAn	mRNAc	SOCS1	IFNRJ2_star_SOCS1	IFNRJ2_star_SHP2_SOCS1_STAT1c	STAT1c_star_STAT1c_star_PPX	STAT1n_star_STAT1n_star_PPN	IFNRJ2_star_SOCS1_STAT1c	IFN	IFNRJ2_star_SHP2_STAT1c	IFNRJ2_star_SHP2_SOCS1	IFNR	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	v44	v45	v46
0.0	1.0	1.0	10.0	10.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	100.0	0.0	50.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
1.0	1.0	1.0	4.186389290592443	5.102282008606531	4.018269324436685	0.8645860181186797	0.00742385257092302	3.3477167569466855E-6	999.9999956888765	4.0061657681032815E-6	2.436685209453817E-7	3.2569368974659224E-16	8.333513097037325E-17	99.99999988203432	5.8246875189321335E-8	49.99999999844291	1.5571002509244407E-9	6.230499898184172E-12	2.6957812240516768E-20	3.260247127403467E-22	60.0	1.096080546493594E-24	5.789771575489111E-28	2.7199296177021417E-26	0.0	0.0	0.0	0.0	0.0	2.688719337658339E-19	9.70092103049958E-23	0.0	10.0	5.971872791773288E-8	0.0	0.9158927180140789	1.9351004096194537	0.7863621445249634	0.028415588794867958	3.7119262854615096E-5	2.3576801325631497E-5	1.6024663072413127E-6	3.9158191086730476E-15	1.1791534488971612E-15	3.231223002618886E-7	1.74740625567964E-10	1.1872005996704784E-8	4.671300752773322E-12	4.112982161635736E-18	8.066158012975017E-22	4.748760399934249E-11	4.166756548518663E-19	-2.695781224051677E-21	1.9342266655122084E-23	5.48040273246797E-27	1.5980668923700068E-21	4.85046051524979E-25	-5.4398592354042836E-27	2.8948857877445555E-29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8867283075419146E-7	1.7915618375319864E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.818960003758207	0.424084992787763
2.0	1.0	1.0	2.4235890019810777	3.579846016387895	4.33895716089434	1.9140130230996537	0.08340027472383066	5.7268480514148546E-5	999.9998501062273	1.2800567084895388E-4	1.7465984570728494E-5	8.614350245548125E-13	9.403454344150498E-13	99.99999364906691	2.1704361521739732E-6	49.99999976030219	2.396978204194891E-7	9.59477853173904E-10	6.644440006982193E-16	1.7569300336423992E-17	60.0	1.2725185231262262E-19	1.4494625088942615E-22	3.1305267813663982E-21	0.0	0.0	0.0	0.0	0.0	6.6060727405974525E-15	5.177649429613677E-18	0.0	10.0	4.180496847698839E-6	0.0	1.1562570144068065	0.6506596853656306	0.829511171716875	0.1298577791590369	4.170013736191533E-4	3.557432387605165E-4	5.1202268339581555E-5	4.570534472968513E-12	6.007177797057012E-12	5.292760457271772E-6	6.51130845652192E-9	8.253596602659686E-7	7.190934612584673E-10	4.569605694723426E-14	1.981821822179236E-17	3.3013008199024536E-9	4.701727172075249E-15	-6.644440006982193E-17	1.028707649722915E-18	6.362592615631131E-22	3.883111015597042E-17	2.5888247148068385E-20	-6.261053562732797E-22	7.247312544471307E-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.196446690240017E-5	1.2541490543096516E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4615926601080795	0.31822155553949405
3.0	1.0	1.0	1.6245125760123509	2.880812147486324	3.9760211150300857	2.6171485380065875	0.26199216298572575	2.3777870426591464E-4	999.9990688879732	7.269932855642757E-4	1.626621563236953E-4	5.2277972450195477E-11	1.3132773236649303E-10	99.99994783528926	1.4245744317546742E-5	49.99999649080377	3.5091947790289812E-6	1.4052472237711979E-8	1.4826534903706917E-13	6.274249626018883E-15	60.0	7.163937882011639E-17	1.2897772925956712E-19	1.745791826647088E-18	0.0	0.0	0.0	0.0	0.0	1.468838664804394E-12	1.8295547714214168E-15	0.0	10.0	3.791896634962998E-5	0.0	1.2562995714739635	0.26919050052056387	0.7428612522458855	0.2215802262024556	0.0013099608149286287	0.0013206332344870065	2.9079731422571026E-4	1.6724899759364188E-10	5.160467687608364E-10	2.092870915942479E-5	4.273723295264022E-8	7.431268289565543E-6	1.0527584337086944E-8	6.27261842450899E-12	4.406515994413182E-15	2.9721906525858647E-8	6.566386618324652E-13	-1.4826534903706918E-14	3.6212710179710966E-16	3.5819689410058195E-19	8.530009987939867E-15	9.147773857107084E-18	-3.4915836532941766E-19	6.4488864629783566E-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.511549736310712E-5	1.1375689904888994E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2997765237729909	0.2310588797380764
4.0	1.0	1.0	1.1874828582881314	2.494379914583444	3.4726745422876806	3.014634926891436	0.5062344826515678	5.78544208665951E-4	999.9969968564122	0.002138553990878931	6.880885028938599E-4	7.38123787647461E-10	3.3221832890416548E-9	99.99979627347045	4.786866876374731E-5	49.999979528238114	2.0471709952770686E-5	8.201252255762849E-8	5.265347789551738E-12	3.1354094402318027E-13	59.99999999999991	4.957744207722162E-15	1.2391429624924619E-17	1.1960035979273722E-16	0.0	0.0	0.0	0.0	0.0	5.195749752528943E-11	9.039325161908193E-14	0.0	10.0	1.5585786071907408E-4	0.0	1.3068970562953037	0.12256961194822127	0.6342422099197075	0.26227405316703584	0.002531172413257839	0.002917496577013819	8.554215963515725E-4	1.6213861981706052E-9	9.137097427390105E-9	4.828056924904181E-5	1.4360600629124195E-7	3.031006906775487E-5	6.141512985831205E-8	1.557175969360796E-10	1.558724925758683E-13	1.2121478278153122E-7	1.6610916445208274E-11	-5.265347789551719E-13	1.7820907799846356E-14	2.4788721038610808E-17	2.978422170492874E-13	4.519662580954096E-16	-2.3920071958547446E-17	6.19571481246231E-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8268339126389547E-4	4.6757358215722225E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21135863053172022	0.17525803042055166
5.0	1.0	1.0	0.9190014939815074	2.25218349531233	2.9771806195291024	3.222990122181146	0.7677174021875847	0.001073025565904934	999.9930770910979	0.004495091605115601	0.001929756461963536	4.87436360966949E-9	3.429139947072825E-8	99.99946264274419	1.1348805808388813E-4	49.99992647204018	7.352726299024052E-5	2.9468606559460995E-7	7.0922433275295E-11	5.53249037787162E-12	59.9999999999983	1.1278704285078433E-13	3.6468333647878705E-16	2.69181783050506E-15	0.0	0.0	0.0	0.0	0.0	6.968470359630914E-10	1.5757918692832986E-12	0.0	10.0	4.238691976569145E-4	0.0	1.333182001330815	0.05811696871479735	0.5309763214621975	0.2619631326695725	0.0038385870109379234	0.004988071815481052	0.0017980366420462406	7.916208293450887E-9	7.105006010272765E-8	8.460436837564226E-5	3.404641742516644E-7	8.178222860907308E-5	2.2058178897072158E-7	1.5751980449671516E-9	2.090541107889274E-12	3.270114073681473E-7	1.7145699735364123E-10	-7.092243327528888E-12	3.0939201410213097E-13	5.639352142539217E-16	3.9401876226609205E-12	7.878959346416493E-15	-5.383635661010121E-16	1.8234166823939355E-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.647329055100877E-4	1.2716075929707434E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1571366587696852	0.1391075438554149
6.0	1.0	1.0	0.739966802513627	2.085234486814187	2.5337761456011743	3.328976495551089	1.0154357994388303	0.0016973289981913823	999.9869188114844	0.00775623657403176	0.004227455977142158	2.0377245298860517E-8	2.0565379029374603E-7	99.99888294937143	2.1808127934235886E-4	49.9998034872137	1.9650761188345895E-4	7.879144398627239E-7	5.290740285846343E-10	5.16010098155238E-11	59.999999999984176	1.2945103569186918E-12	5.1722606113080805E-15	3.0548959330463436E-14	0.0	0.0	0.0	0.0	0.0	5.174437953850432E-9	1.451098495475415E-11	0.0	10.0	8.989693491331969E-4	0.0	1.3452676843005522	0.027611622289845067	0.44017569920921307	0.2401962204294983	0.005077178997194152	0.007373465101660864	0.0031024946296127043	2.5688295443474088E-8	3.3686230174412453E-7	1.2611474794824217E-4	6.542438380270766E-7	1.7207044573126307E-4	5.895228356503768E-7	9.24776151031787E-9	1.5523313861551296E-11	6.878972474261712E-7	1.0282689514687302E-9	-5.290740285841018E-11	2.837158517546873E-12	6.472551784593459E-15	2.8842244724118856E-11	7.255492477377075E-14	-6.1097918660926874E-15	2.5861303056540405E-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.958211234675963E-4	2.696908047399591E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12108800681671436	0.11407103215246273
7.0	1.0	1.0	0.6130365760871804	1.9616415490481722	2.152602608807012	3.38244381811872	1.235449876862016	0.002424368950799417	999.9782700848024	0.011797252199624608	0.00787639560669459	6.308855841019106E-8	8.613252454784979E-7	99.9980155490879	3.649628526214767E-4	49.999568499764294	4.314743056701401E-4	1.7307994687972797E-6	2.664341030429429E-9	3.1433036982264005E-10	59.999999999903366	9.387962994799121E-12	4.486981900767569E-14	2.1896168168651667E-13	0.0	0.0	0.0	0.0	0.0	2.5930034633737318E-8	8.72273049366168E-11	0.0	10.0	0.0016194880594278867	0.0	1.3486049729609841	0.012625671433533839	0.36287164539902794	0.21054707193677868	0.0061772493843100795	0.009956728396041982	0.004718900879849844	6.393216556032099E-8	1.1546196305153069E-6	1.694395135144707E-4	1.0948885578644301E-6	3.075215205341407E-4	1.2944229170104203E-6	3.787988368513099E-8	7.779010390121196E-11	1.2290849968977427E-6	4.30662622739249E-9	-2.664341030409668E-10	1.6982229590368206E-11	4.6939814973995606E-14	1.424150008381849E-10	4.36136524683084E-13	-4.3792336337303334E-14	2.2434909503837847E-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.558041970089954E-4	4.858464178283661E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0956352157582164	0.09542576391538934
8.0	1.0	1.0	0.5187743254920547	1.8653559995727256	1.831564455484154	3.4093108403583248	1.424024087988731	0.0032297005317141474	999.966976055468	0.016471851195681057	0.013110712924890128	1.5839983124297803E-7	2.8032177810529223E-6	99.99684144582352	5.544857545690825E-4	49.99917519323228	8.247083700614609E-4	3.3097097736582696E-6	1.0163101534938058E-8	1.41567396607365E-9	59.999999999563386	4.9143641955705144E-11	2.745255659060729E-13	1.1322963483447206E-12	0.0	0.0	0.0	0.0	0.0	9.83976560436538E-8	3.8745868106736433E-10	0.0	10.0	0.002604068421871729	0.0	1.3465816740806633	0.005191657273882128	0.29812667428966433	0.18013119864964527	0.007120120439943655	0.012659270037558618	0.0065887404782724234	1.3251846690185694E-7	3.157494089872329E-6	2.1206270107349502E-4	1.6634572637072476E-6	4.905831584274641E-4	2.474125110184383E-6	1.2047904573091818E-7	2.951929681309614E-10	1.9601140367550902E-6	1.4016088905264612E-8	-1.016310153453723E-9	7.511170957265986E-11	2.457182097785257E-13	5.322943558783733E-10	1.9372934053368215E-12	-2.2645926966894405E-13	1.3726278295303646E-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011263194079593713	7.812205265615187E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07682323161679769	0.08071987844818873
9.0	1.0	1.0	0.4462922251278717	1.7876878432576457	1.564304862429621	3.4225507798077013	1.5823516591127467	0.004093194684349625	999.9529462156203	0.021643152088774226	0.02010487026205475	3.414002265785416E-7	7.583945357991992E-6	99.9953600900335	7.849234163947433E-4	49.998576537447924	0.0014231583924101895	5.714122480888239E-6	3.158644153019723E-8	5.095540663249443E-9	59.999999998423405	2.01682719806668E-10	1.2924416276894144E-12	4.588710076060964E-12	0.0	0.0	0.0	0.0	0.0	3.041596578342633E-7	1.3748904927382159E-9	0.0	10.0	0.0038549865500246087	0.0	1.3413956181297666	0.0015678754186690125	0.24440995688977019	0.15208382179194285	0.007911758295563733	0.015429495001376806	0.008657260835509691	2.40765627141636E-7	7.3257216292818684E-6	2.523157931012031E-4	2.35477024918423E-6	7.205832160907671E-4	4.269475177230569E-6	3.183545408705328E-7	9.1247897350279E-10	2.8779603541872436E-6	3.791972678995996E-8	-3.1586441525004324E-9	2.6539589582559935E-10	1.00841359903334E-12	1.6202083932143916E-9	6.874452463691079E-12	-9.177420152121914E-13	6.462208138447073E-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013932174765954176	1.1564959650073826E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06243053266297901	0.06867212496258085
