time	extracellular	cytosol	GLCi	G6P	F6P	F16P	TRIO	BPG	P3G	P2G	PEP	PYR	ACE	P	NAD	NADH	Glyc	Trh	CO2	SUCC	GLCo	ETOH	GLY	ATP	ADP	AMP	SUM_P	F26BP	gR	KmPFKF6P	KmPFKATP	Lzero	CiPFKATP	KiPFKATP	CPFKAMP	KPFKAMP	CPFKF26BP	KPFKF26BP	CPFKF16BP	KPFKF16BP	CPFKATP	KeqAK	KeqTPI	vGLK	vPGI	vGLYCO	vTreha	vPFK	vALD	vGAPDH	vPGK	vPGM	vENO	vPYK	vPDC	vSUC	vGLT	vADH	vG3PDH	vATP
0.0	1.0	1.0	0.087	2.45	0.62	5.51	0.96	0.0	0.9	0.12	0.07	1.85	0.17	6.31	1.2	0.39	0.0	0.0	1.0	0.0	50.0	50.0	0.15	2.5091904762788237	1.2916190474423517	0.2991904762788242	4.1	0.02	5.12	0.1	0.71	0.66	100.0	0.65	0.0845	0.0995	0.0174	6.82E-4	0.397	0.111	3.0	0.45	0.045	81.0449255307434	23.950890916876318	6.0	2.4	132.78741662930068	268.3383408067659	124.68916413478011	-434.6588413807472	173.8411740890689	241.99798471411063	162.18676767871466	28.88052975463251	3.638	88.91421447019869	1507.7427589863635	41.176729048196876	84.55971905059637
1.0	1.0	1.0	0.09497112094003343	1.1083564132982149	0.12519110988633575	0.6283482944610679	0.7955834546516274	3.8047436134990286E-4	0.3844569032295526	0.04877230178785005	0.08321365951797076	9.595902670351634	0.19361336388086176	6.444762569609277	1.5503044242887518	0.03969557571125021	0.0	0.0	1.0	0.0	50.0	50.0	0.15	2.6066059814679714	1.231550606673334	0.2618434118586943	4.1	0.02	5.12	0.1	0.71	0.66	100.0	0.65	0.0845	0.0995	0.0174	6.82E-4	0.397	0.111	3.0	0.45	0.045	88.37852238603638	77.94611098072915	6.0	2.4	78.00643616934717	78.13929480842751	139.21844604780657	139.21863712222026	139.33211271968773	139.34814068788276	139.38812865880794	142.72612640266684	4.143325987050441	88.39443823752117	134.4902339190689	17.149540878479176	87.84262157547064
2.0	1.0	1.0	0.09869123948483866	1.034370905921282	0.11299983158175195	0.6022714784939412	0.7777761331386	3.304116218100742E-4	0.35699589246896685	0.04491511498582167	0.07378709209916084	8.54613325114757	0.17073383958114505	6.311210429162119	1.5457034088104145	0.044296591189585545	0.0	0.0	1.0	0.0	50.0	50.0	0.15	2.510056331402382	1.2910977663573553	0.2988459022402623	4.1	0.02	5.12	0.1	0.71	0.66	100.0	0.65	0.0845	0.0995	0.0174	6.82E-4	0.397	0.111	3.0	0.45	0.045	88.15360872284705	77.35809576107366	6.0	2.4	77.35884131268114	77.36029616739081	136.55196314543446	136.54977119663272	136.5539910458673	136.55427624606847	136.5549582347055	136.64771157657555	3.6537041670365036	88.15387694050678	129.34281167835513	18.16966381682438	84.58889836826029
3.0	1.0	1.0	0.09875746767345668	1.0332660304992771	0.11281620587939986	0.6019142661307578	0.7775281411246545	3.2958893050668864E-4	0.3564931936068113	0.044844988383684684	0.07361988966099833	8.523560312573123	0.17012544273887342	6.308923864516365	1.5455623240766865	0.0444376759233133	0.0	0.0	1.0	0.0	50.0	50.0	0.15	2.508420822931289	1.2920822186537873	0.2994969584149234	4.1	0.02	5.12	0.1	0.71	0.66	100.0	0.65	0.0845	0.0995	0.0174	6.82E-4	0.397	0.111	3.0	0.45	0.045	88.1496006858285	77.3496833628635	6.0	2.4	77.3496970354393	77.34972211088578	136.49780125398144	136.49772741034914	136.49783077864313	136.49783509578035	136.49784633661778	136.499492968512	3.640684474611891	88.14960583558197	129.21817306844338	18.201668161694453	84.53378173278445
4.0	1.0	1.0	0.09875867039540631	1.033245977902426	0.11281287507814547	0.601907760814531	0.7775236077363982	3.2957336460788723E-4	0.35648421269197184	0.04484373512646393	0.07361689735912015	8.523159735635375	0.1701146395739964	6.308882395160135	1.545559809644082	0.04444019035591582	0.0	0.0	1.0	0.0	50.0	50.0	0.15	2.50839116659101	1.2921000619781153	0.2995087714308744	4.1	0.02	5.12	0.1	0.71	0.66	100.0	0.65	0.0845	0.0995	0.0174	6.82E-4	0.397	0.111	3.0	0.45	0.045	88.14952835719035	77.34952967638402	6.0	2.4	77.34952959847932	77.34953452837215	136.49684906669975	136.49588062592073	136.49682961505172	136.49682848101276	136.4968265780058	136.49685532789172	3.6404532868835227	88.14952827487431	129.21595824996922	18.202236635192623	84.53278231411704
5.0	1.0	1.0	0.0987586910747242	1.0332456211973486	0.11281281620589602	0.6019076338221452	0.7775235374710238	3.29574239948034E-4	0.3564840445227279	0.0448437121981252	0.07361684538155532	8.52315259927924	0.17011444932265377	6.308881671170088	1.5455597669335894	0.04444023306640904	0.0	0.0	1.0	0.0	50.0	50.0	0.15	2.508390648839438	1.2921003734912118	0.2995089776693498	4.1	0.02	5.12	0.1	0.71	0.66	100.0	0.65	0.0845	0.0995	0.0174	6.82E-4	0.397	0.111	3.0	0.45	0.045	88.14952697377635	77.34952675842877	6.0	2.4	77.34952690396454	77.34952524244108	136.49679567175153	136.49721091294833	136.49680715750716	136.49680806695295	136.4968097084228	136.49680833547546	3.6404492155047903	88.14952694131495	129.21590422449293	18.2022463516245	84.53276486588906
6.0	1.0	1.0	0.0987586923683971	1.0332456132790369	0.1128128138703707	0.6019076480626163	0.77752355699094	3.29573876157348E-4	0.35648401312490485	0.044843707849055586	0.07361683809883703	8.523152464396405	0.17011447624502582	6.3088816013566555	1.5455597725876928	0.04444022741230921	0.0	0.0	1.0	0.0	50.0	50.0	0.15	2.5083905989133206	1.2921004035300143	0.2995089975566647	4.1	0.02	5.12	0.1	0.71	0.66	100.0	0.65	0.0845	0.0995	0.0174	6.82E-4	0.397	0.111	3.0	0.45	0.045	88.14952651696535	77.34952719508071	6.0	2.4	77.34952741827402	77.34952269306308	136.496812722164	136.4968239938707	136.49680343439618	136.49680233436723	136.49680268791465	136.49680744728047	3.6404497916435523	88.14952685788909	129.21591559144332	18.2022451571245	84.53276318337892
7.0	1.0	1.0	0.0987586918006906	1.0332456142005484	0.11281281456398835	0.6019076384711565	0.7775235515569493	3.2957483446827867E-4	0.35648402210268376	0.04484370937799712	0.07361684130685142	8.523152467631045	0.17011446370389913	6.308881627705532	1.5455597711807536	0.044440228819244934	0.0	0.0	1.0	0.0	50.0	50.0	0.15	2.5083906177563584	1.2921003921928154	0.2995089900508259	4.1	0.02	5.12	0.1	0.71	0.66	100.0	0.65	0.0845	0.0995	0.0174	6.82E-4	0.397	0.111	3.0	0.45	0.045	88.14952665986925	77.34952693864608	6.0	2.4	77.34952732119056	77.34952203089091	136.49677921837392	136.49794061731316	136.49680253492124	136.49680388197058	136.49680617575024	136.49680746858033	3.6404495232634413	88.1495268944991	129.21589858343452	18.202245449176928	84.53276381838928
8.0	1.0	1.0	0.09875869244865083	1.0332456127604241	0.11281281418789345	0.6019076458107279	0.7775235330251196	3.2957338361673945E-4	0.3564840396392706	0.04484371113258348	0.0736168414033107	8.523152457900265	0.1701144523543295	6.308881625535363	1.5455597665211631	0.044440233478837986	0.0	0.0	1.0	0.0	50.0	50.0	0.15	2.5083906162043905	1.2921003931265818	0.29950899066902736	4.1	0.02	5.12	0.1	0.71	0.66	100.0	0.65	0.0845	0.0995	0.0174	6.82E-4	0.397	0.111	3.0	0.45	0.045	88.14952689544666	77.34952699433485	6.0	2.4	77.3495267875614	77.34952953657672	136.496823615154	136.4962149739183	136.49680925632933	136.4968082466752	136.49680643642202	136.49680740450378	3.640449280382651	88.14952685271373	129.2159155204211	18.202246411610737	84.53276376608797
9.0	1.0	1.0	0.09875869144248556	1.033245614588574	0.11281281534247675	0.6019076296367156	0.7775235256810573	3.295739700605784E-4	0.35648405399569866	0.04484371333758008	0.07361684623866598	8.523152468029224	0.1701144345993244	6.308881670793733	1.5455597631474862	0.044440236852513075	0.0	0.0	1.0	0.0	50.0	50.0	0.15	2.508390648570293	1.2921003736531467	0.29950897777656005	4.1	0.02	5.12	0.1	0.71	0.66	100.0	0.65	0.0845	0.0995	0.0174	6.82E-4	0.397	0.111	3.0	0.45	0.045	88.14952712788879	77.3495265935559	6.0	2.4	77.3495265817401	77.34952785879698	136.4968017205285	136.49688446662486	136.49680946929635	136.4968103277782	136.49681145374797	136.49680747120232	3.640448900425542	88.14952691759889	129.21590463353454	18.202247162992638	84.53276485681887
