time	cell	EGF	NGF	freeEGFReceptor	boundEGFReceptor	freeNGFReceptor	boundNGFReceptor	SosInactive	SosActive	P90RskInactive	P90RskActive	RasInactive	RasActive	RasGapActive	Raf1Inactive	Raf1Active	BRafInactive	BRafActive	MekInactive	MekActive	ErkInactive	ErkActive	PI3KInactive	PI3KActive	AktInactive	AktActive	C3GInactive	C3GActive	Rap1Inactive	Rap1Active	RapGapActive	PP2AActive	Raf1PPtase	krbEGF	kruEGF	krbNGF	kruNGF	kEGF	KmEGF	kNGF	KmNGF	kdSos	KmdSos	kSos	KmSos	kRasGap	KmRasGap	kRasToRaf1	KmRasToRaf1	kpRaf1	KmpRaf1	kpBRaf	KmpBRaf	kdMek	KmdMek	kpMekCytoplasmic	KmpMekCytoplasmic	kdErk	KmdErk	kpP90Rsk	KmpP90Rsk	kPI3K	KmPI3K	kPI3KRas	KmPI3KRas	kAkt	KmAkt	kdRaf1ByAkt	KmRaf1ByAkt	kC3GNGF	KmC3GNGF	kC3G	KmC3G	kRapGap	KmRapGap	kRap1ToBRaf	KmRap1ToBRaf	kdRaf1	KmdRaf1	kdBRaf	KmdBRaf	EGFBindingReaction	EGFUnbindingReaction	NGFBindingReaction	NGFUnbindingReaction	SosActivationByEGFReaction	SosActivationByNGFReaction	SosDeactivationReaction	RasActivationReaction	RasDeactivationReaction	Raf1ByRasActivationReaction	MekbyRaf1ActivationReaction	MekbyBRafActivationReaction	ErkActivationReaction	MekDeactivationReaction	ErkDeactivationReaction	Raf1byPPtaseDeactivationReaction	P90RskActivationReaction	PI3KbyEGFRActivationReaction	PI3KbyRasActivationReaction	AktActivationReaction	Raf1ByAktDeactivationReaction	C3GActivationReaction	Rap1ActivationReaction	Rap1DeactivationReaction	BRafByRap1ActivationReaction	BRafbyPPtaseDeactivationReaction
0.0	1.0	1.0002E7	456000.0	80000.0	0.0	10000.0	0.0	120000.0	0.0	120000.0	0.0	120000.0	0.0	120000.0	120000.0	0.0	120000.0	0.0	600000.0	0.0	600000.0	0.0	120000.0	0.0	120000.0	0.0	120000.0	0.0	120000.0	0.0	120000.0	120000.0	120000.0	2.18503E-5	0.0121008	1.38209E-7	0.00723811	694.731	6086070.0	389.428	2112.66	1611.97	896896.0	32.344	35954.3	1509.36	1432410.0	0.884096	62464.6	185.759	4768350.0	125.089	157948.0	2.83243	518753.0	9.85367	1007340.0	8.8912	3496490.0	0.0213697	763523.0	10.6737	184912.0	0.0771067	272056.0	0.0566279	653951.0	15.1212	119355.0	146.912	12876.2	1.40145	10965.6	27.265	295990.0	2.20995	1025460.0	0.126329	1061.71	441.287	1.08795E7	1.7483736048E7	0.0	630.2330400000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	9922004.465015877	455391.7963505443	4.465015881563886	79995.53498412	9391.796350544622	608.2036494550915	45.38327641932119	119954.61672358077	119970.89997963561	29.100020364344996	97242.9422796758	22757.057720324137	120000.0	116894.53854866675	3105.4614513334905	119877.52109214259	122.4789078572981	567703.4682986985	32296.531701300435	561604.0126758934	38395.98732410695	2274.5629608408926	117725.43703915893	119250.72834808448	749.2716519155389	80010.21995067335	39989.780049326764	116071.93888706628	3928.0611129336544	120000.0	120000.0	120000.0	2.18503E-5	0.0121008	1.38209E-7	0.00723811	694.731	6086070.0	389.428	2112.66	1611.97	896896.0	32.344	35954.3	1509.36	1432410.0	0.884096	62464.6	185.759	4768350.0	125.089	157948.0	2.83243	518753.0	9.85367	1007340.0	8.8912	3496490.0	0.0213697	763523.0	10.6737	184912.0	0.0771067	272056.0	0.0566279	653951.0	15.1212	119355.0	146.912	12876.2	1.40145	10965.6	27.265	295990.0	2.20995	1025460.0	0.126329	1061.71	441.287	1.08795E7	968.0099697366284	968.0099697358393	591.1125694478601	4.402244917157392	414.4175034038864	4980.946679841759	5533.629258421149	2832523.7062385194	2832548.3971215687	13112.522554339888	61373.0041262355	11985.989554688927	113913.88298667286	19920.74977455211	11589.162549070876	11297.15475162328	111.41832531238038	10375.38048470395	14.548961537868479	1028.1796216225637	287.31335294586165	76966.10920052066	51206.110711624664	42851.13841295804	908.5837165298354	596.1421905924343
2.0	1.0	9922004.465015877	454825.548173414	4.465015881561003	79995.5349841335	8825.54817341465	1174.451826584893	338.95062112733575	119661.0493788729	119647.91783689364	352.0821631062677	97295.64489494491	22704.35510505513	120000.0	116090.6664251869	3909.33357481321	119426.54369609308	573.4563039067937	503952.44175185356	96047.55824814529	397239.0524827257	202760.9475172748	22.59300938352635	119977.40699061628	118210.82051106724	1789.1794889327325	1329.2703948824346	118670.72960511758	106167.3877702542	13832.61222974568	120000.0	120000.0	120000.0	2.18503E-5	0.0121008	1.38209E-7	0.00723811	694.731	6086070.0	389.428	2112.66	1611.97	896896.0	32.344	35954.3	1509.36	1432410.0	0.884096	62464.6	185.759	4768350.0	125.089	157948.0	2.83243	518753.0	9.85367	1007340.0	8.8912	3496490.0	0.0213697	763523.0	10.6737	184912.0	0.0771067	272056.0	0.0566279	653951.0	15.1212	119355.0	146.912	12876.2	1.40145	10965.6	27.265	295990.0	2.20995	1025460.0	0.126329	1061.71	441.287	1.08795E7	968.0099697360033	968.0099697360026	554.7826441750323	8.50081151052238	3094.979165944705	63233.51469939589	66807.00915598217	2826004.8206538907	2826090.9090317	13050.68287226657	69413.16263201149	54615.55291760786	267664.0792093621	53099.753751165015	58480.64363761604	11921.734993629829	587.0067875228383	104.3125749681487	0.1453720775103403	1040.1089552864155	858.0359133700002	16145.451403789162	150741.60357256536	146075.6539607305	3188.783712489464	2791.0709941263694
3.0	1.0	9922004.465015877	454298.27867616917	4.465015881560941	79995.53498413242	8298.278676170003	1701.7213238294487	1062.9113350057823	118937.08866499459	118768.05649403266	1231.9435059672724	97426.12515988336	22573.874840116645	120000.0	116126.42831008839	3873.571689911747	119316.99021882797	683.0097811720548	443767.5643957146	156232.43560428495	203513.88275545186	396486.11724454915	0.2217390758039599	119999.77826092397	117174.42794878827	2825.572051211715	1.063604995579226E-4	119999.9998936395	105544.6635119381	14455.336488061752	120000.0	120000.0	120000.0	2.18503E-5	0.0121008	1.38209E-7	0.00723811	694.731	6086070.0	389.428	2112.66	1611.97	896896.0	32.344	35954.3	1509.36	1432410.0	0.884096	62464.6	185.759	4768350.0	125.089	157948.0	2.83243	518753.0	9.85367	1007340.0	8.8912	3496490.0	0.0213697	763523.0	10.6737	184912.0	0.0771067	272056.0	0.0566279	653951.0	15.1212	119355.0	146.912	12876.2	1.40145	10965.6	27.265	295990.0	2.20995	1025460.0	0.126329	1061.71	441.287	1.08795E7	968.0099697359899	968.0099697359896	521.0332409483473	12.31724613122317	9704.355087998965	221814.93311771378	232510.5675425151	2809922.647409201	2810101.5537994904	12977.079619960921	61263.642579740765	63010.12689354326	258744.73313392187	78671.46416558958	108664.54638740195	11898.27374632255	1140.549618293428	1.0238995583850374	0.0014186713561670432	1032.568132808694	1343.0519974936503	0.0020650870493471966	152345.96241305026	152345.56413914493	3329.599913181239	3324.24559807254
4.0	1.0	9922004.465015877	453807.23306801775	4.465015881560938	79995.5349841324	7807.233068018616	2192.7669320682635	2347.281672157558	117652.71832784283	117472.69510120274	2527.3048987971733	97658.25824903768	22341.74175096222	120000.0	116498.50061114308	3501.499388857072	119315.90205911115	684.097940888813	410644.82120086264	189355.17879913683	108518.44691365812	491481.5530863431	0.0021758638844344147	119999.99782413577	116145.71044570782	3854.2895542921133	2.180298042803175E-14	119999.99999999988	105544.62439300287	14455.375606996919	120000.0	120000.0	120000.0	2.18503E-5	0.0121008	1.38209E-7	0.00723811	694.731	6086070.0	389.428	2112.66	1611.97	896896.0	32.344	35954.3	1509.36	1432410.0	0.884096	62464.6	185.759	4768350.0	125.089	157948.0	2.83243	518753.0	9.85367	1007340.0	8.8912	3496490.0	0.0213697	763523.0	10.6737	184912.0	0.0771067	272056.0	0.0566279	653951.0	15.1212	119355.0	146.912	12876.2	1.40145	10965.6	27.265	295990.0	2.20995	1025460.0	0.126329	1061.71	441.287	1.08795E7	968.0099697359893	968.0099697359894	489.6715620158545	15.871488258672619	21426.104717013357	449423.39510253334	472436.72849610006	2781361.181617138	2781648.334469302	12857.996211794152	51573.284730874126	61801.97895732155	181455.30318875663	90890.39869511411	131491.23237108556	11632.363416197728	1400.4538236012977	0.01004725354632816	1.3777885014831746E-5	1024.8719364327328	1661.0645659847935	5.45478823935812E-13	152345.95723373126	152345.9572187184	3329.5817229129075	3329.5413973533864
5.0	1.0	9922004.465015877	453349.86060473445	4.465015881560933	79995.53498413229	7349.8606047349485	2650.139395366427	4259.563826311283	115740.43617368906	116032.42868825112	3967.5713117488335	98004.69986700706	21995.300132992812	120000.0	116937.55500824601	3062.4449917541406	119315.89387732609	684.1061226738268	395681.00872581726	204318.9912741822	81268.0319408129	518731.9680591882	2.1350450208575556E-5	119999.99997864926	115124.6720834011	4875.327916598793	1.695735401863087E-26	119999.99999999988	105544.62439152879	14455.375608470998	120000.0	120000.0	120000.0	2.18503E-5	0.0121008	1.38209E-7	0.00723811	694.731	6086070.0	389.428	2112.66	1611.97	896896.0	32.344	35954.3	1509.36	1432410.0	0.884096	62464.6	185.759	4768350.0	125.089	157948.0	2.83243	518753.0	9.85367	1007340.0	8.8912	3496490.0	0.0213697	763523.0	10.6737	184912.0	0.0771067	272056.0	0.0566279	653951.0	15.1212	119355.0	146.912	12876.2	1.40145	10965.6	27.265	295990.0	2.20995	1025460.0	0.126329	1061.71	441.287	1.08795E7	968.0099697359882	968.009969735988	460.52044290632267	19.182000458995688	38869.303761914	689874.3540065497	730993.0723303686	2738759.200815842	2739167.097839779	12675.224835764011	43588.761129153645	61160.20975684976	150298.6077939126	96043.42263650816	137839.94143578166	11256.869272958853	1462.3711402342785	9.858768768019181E-5	1.3309775737818045E-7	1017.210969544968	1844.2299687846728	5.127390122974946E-25	152345.95723353102	152345.9572335304	3329.581518731554	3329.5812160363957
6.0	1.0	9922004.465015877	452923.7982627741	4.465015881560931	79995.53498413227	6923.798262774568	3076.2017372786577	6853.16192798806	113146.83807201221	114566.72777812004	5433.272221879956	98475.84098580835	21524.159014191504	120000.0	117334.92556275768	2665.074437242483	119315.893815911	684.1061840889341	391230.76709320693	208769.23290679228	74728.6487982245	525271.3512017766	2.0923059265072846E-7	119999.99999979047	114111.2761097461	5888.723890253857	1.7219155529623352E-41	119999.99999999988	105544.62439152873	14455.375608471053	120000.0	120000.0	120000.0	2.18503E-5	0.0121008	1.38209E-7	0.00723811	694.731	6086070.0	389.428	2112.66	1611.97	896896.0	32.344	35954.3	1509.36	1432410.0	0.884096	62464.6	185.759	4768350.0	125.089	157948.0	2.83243	518753.0	9.85367	1007340.0	8.8912	3496490.0	0.0213697	763523.0	10.6737	184912.0	0.0771067	272056.0	0.0566279	653951.0	15.1212	119355.0	146.912	12876.2	1.40145	10965.6	27.265	295990.0	2.20995	1025460.0	0.126329	1061.71	441.287	1.08795E7	968.0099697359877	968.0099697359879	433.41692922476983	22.265886556614024	62509.743619652676	915678.193679104	981117.559029712	2680829.5042895023	2681362.518232958	12418.363791867472	37538.57601117242	60962.37812589436	142068.18250597132	97535.03796021214	139350.6644468499	10840.751138207026	1464.5417353764715	9.661417029728311E-7	1.2763952675028773E-9	1009.5871858412414	1944.8472956507703	6.043607050433438E-40	152345.957233531	152345.957233531	3329.5815171963673	3329.581514928225
7.0	1.0	9922004.465015877	452526.85587400285	4.465015881560929	79995.53498413225	6526.855874003366	3473.1441260481465	10062.784753002576	109937.21524699774	113108.25371466587	6891.746285334142	99060.86672611449	20939.13327388538	120000.0	117673.14308714002	2326.8569128601644	119315.89381545076	684.1061845491439	392565.73495817796	207434.26504182126	73717.12675229865	526282.8732477026	2.0426105059312196E-9	119999.99999999767	113105.48527987889	6894.514720121111	9.711488290263429E-55	119999.99999999988	105544.62439152873	14455.375608471053	120000.0	120000.0	120000.0	2.18503E-5	0.0121008	1.38209E-7	0.00723811	694.731	6086070.0	389.428	2112.66	1611.97	896896.0	32.344	35954.3	1509.36	1432410.0	0.884096	62464.6	185.759	4768350.0	125.089	157948.0	2.83243	518753.0	9.85367	1007340.0	8.8912	3496490.0	0.0213697	763523.0	10.6737	184912.0	0.0771067	272056.0	0.0566279	653951.0	15.1212	119355.0	146.912	12876.2	1.40145	10965.6	27.265	295990.0	2.20995	1025460.0	0.126329	1061.71	441.287	1.08795E7	968.0099697359874	968.0099697359875	408.21100201354807	25.13899923019035	91737.34993618107	1117849.4786980269	1213035.2834393564	2608903.567772117	2609533.2064149543	12092.908401063492	32877.98277458765	61022.06048504416	139379.29579244775	97089.50794644999	139583.90682421744	10409.69287030899	1451.0922066033233	9.431943807601333E-9	1.2122105815213711E-11	1002.0006973869737	1993.5806510680898	3.848381816045573E-53	152345.957233531	152345.957233531	3329.5815171848626	3329.58151716795
8.0	1.0	9922004.465015877	452157.00256907125	4.46501588156093	79995.53498413226	6157.002569071805	3842.9974309773315	13651.075605093452	106348.92439490686	111666.17862293392	8333.821377066106	99717.38259597588	20282.61740402402	120000.0	117957.5003774474	2042.4996225527575	119315.89381544731	684.1061845525759	396920.1162862775	203079.88371372176	74598.31952259548	525401.6804774055	1.9687600807404814E-11	119999.99999999968	112107.26225300536	7892.737746994659	1.9414708519722732E-61	119999.99999999988	105544.62439152873	14455.375608471053	120000.0	120000.0	120000.0	2.18503E-5	0.0121008	1.38209E-7	0.00723811	694.731	6086070.0	389.428	2112.66	1611.97	896896.0	32.344	35954.3	1509.36	1432410.0	0.884096	62464.6	185.759	4768350.0	125.089	157948.0	2.83243	518753.0	9.85367	1007340.0	8.8912	3496490.0	0.0213697	763523.0	10.6737	184912.0	0.0771067	272056.0	0.0566279	653951.0	15.1212	119355.0	146.912	12876.2	1.40145	10965.6	27.265	295990.0	2.20995	1025460.0	0.126329	1061.71	441.287	1.08795E7	968.0099697359876	968.0099697359876	384.76443380066405	27.816038135131333	124376.78340726247	1295999.9900686066	1424056.6735271774	2528182.900029955	2528857.4641188555	11723.552989311383	29155.59585602615	61214.735454604415	137972.1593195078	95624.82973641602	139380.72308022575	9974.594483936093	1432.5493697685788	9.090932607206696E-11	1.1317502566831628E-13	994.4515944465223	2008.01139690707	8.51276267872505E-60	152345.957233531	152345.957233531	3329.5815171847767	3329.581517184652
9.0	1.0	9922004.465015877	451812.3543940834	4.465015881560932	79995.53498413227	5812.354394084067	4187.645605965124	17339.513488788372	102660.48651121193	110243.83679243292	9756.163207567128	100394.7331121369	19605.26688786301	120000.0	118192.90641874657	1807.0935812535783	119315.8938154473	684.1061845526012	402659.14584423363	197340.85415576553	76337.15649722557	523662.8435027756	1.8152765368878063E-13	119999.99999999971	111116.5696000349	8883.43039996512	4.792056803185987E-65	119999.99999999988	105544.62439152873	14455.375608471053	120000.0	120000.0	120000.0	2.18503E-5	0.0121008	1.38209E-7	0.00723811	694.731	6086070.0	389.428	2112.66	1611.97	896896.0	32.344	35954.3	1509.36	1432410.0	0.884096	62464.6	185.759	4768350.0	125.089	157948.0	2.83243	518753.0	9.85367	1007340.0	8.8912	3496490.0	0.0213697	763523.0	10.6737	184912.0	0.0771067	272056.0	0.0566279	653951.0	15.1212	119355.0	146.912	12876.2	1.40145	10965.6	27.265	295990.0	2.20995	1025460.0	0.126329	1061.71	441.287	1.08795E7	968.009969735988	968.0099697359879	362.9497597706038	30.31063953699222	157887.16365942018	1453670.1369702837	1615221.132917046	2444870.7983583603	2445544.9998088935	11339.857189903507	26139.22877533021	61464.106961945654	136978.08090112542	93667.1893985836	138979.52407486358	9549.137202056687	1411.9162840503986	8.382208081994299E-13	1.0086705971581867E-15	986.9399632155337	2003.4607383311757	2.289609590662785E-63	152345.957233531	152345.957233531	3329.581517184776	3329.5815171847753
