time	uVol	M	Mp	Mpp	MAPKK	MKP3	M_MAPKK	Mp_MAPKK	Mpp_MKP3	Mp_MKP3_dep	Mp_MKP3	M_MKP3	k1	k_1	k2	k3	k_3	k4	h1	h_1	h2	h3	h_3	h4	h_4	h5	h6	h_6	v1a	v1b	v2a	v2b	v3a	v3b	v3c	v4a	v4b	v4c
0.0	1.0	500.0	0.0	0.0	50.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	1.0	0.01	0.032	1.0	15.0	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-55.00000000000001
1.0	1.0	418.20010563809365	0.24774380346757505	0.010223390734857877	5.355605802490395	63.10246702980568	44.641895617222566	0.002498580287235588	0.009349612040748098	0.06673694904847234	0.05757902979832158	36.763867379306774	0.02	1.0	0.01	0.032	1.0	15.0	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.15240262992684706	0.44641895617222566	0.039959600556987926	0.03747870430853382	0.019680840914315455	8.60164307748825E-4	-0.08959550285304078	0.09875342210319155	0.02878951489916079	-25.86671162105758
2.0	1.0	398.5921404280989	0.4633056045901273	0.03762922738841284	5.600349649908926	43.49272561016854	44.39462325879011	0.005027091301131419	0.036243611163139317	0.1435810258947464	0.11008811396925898	56.2173616388043	0.02	1.0	0.01	0.032	1.0	15.0	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.2504838232689508	0.4439462325879011	0.0780024568738178	0.07540636951697129	0.03740328361457021	0.0033344122270088173	-0.057923209446170104	0.09141612137165751	0.05504405698462949	-14.234751352472813
3.0	1.0	387.4592214895483	0.6785001879463879	0.08771835195587709	5.75090525118142	32.4745347782692	44.24145300279507	0.007641746023676967	0.07608860103091959	0.19126380120086914	0.1355648634507799	67.12254795604824	0.02	1.0	0.01	0.032	1.0	15.0	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.3233724268631022	0.4424145300279507	0.11722194337755383	0.1146261903551545	0.05209896917684188	0.007000151294844602	-0.029075978304402506	0.08477491605449175	0.06778243172538995	-8.068274635545645
4.0	1.0	380.92177807974207	0.881702505873673	0.16260025672490985	5.842987540594683	26.123093301746128	44.14685909604653	0.010153363358960889	0.12569814498740217	0.21960337568710564	0.14775291132676474	73.3838522662526	0.02	1.0	0.01	0.032	1.0	15.0	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.36756496917558223	0.44146859096046537	0.15470349284363052	0.15230045038441334	0.06544483049166902	0.011564229338841	-0.010724592566107582	0.08257505692644848	0.07387645566338237	-4.634929369490824
5.0	1.0	376.97827584417763	1.0633907463435817	0.2601824679227384	5.899820137529415	22.40202892091484	44.08776430038684	0.012415562083922948	0.18358105366226432	0.23853404075365714	0.15480731028829003	77.02104867438098	0.02	1.0	0.01	0.032	1.0	15.0	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.3943161643451134	0.4408776430038684	0.18834649037496656	0.18623343125884423	0.07870662903814393	0.016889456936928317	3.129382154357929E-4	0.08341379224993131	0.07740365514414502	-2.665775875822904
6.0	1.0	374.53546774958386	1.2204083400455275	0.3759612145627847	5.9354458582027565	20.196391445989857	44.05017973653227	0.014374405265157241	0.24925899998113674	0.2541942856177749	0.1605399716048451	79.13961529680641	0.02	1.0	0.01	0.032	1.0	15.0	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.41052007955372005	0.44050179736532274	0.21742295880650123	0.21561607897735863	0.09242869362075348	0.02293182799826458	0.007715840022673198	0.08593847399025661	0.08026998580242255	-1.5146844932599057
7.0	1.0	372.9751705971571	1.3539977993774794	0.5049691833018639	5.958306851269725	18.875830728567074	44.02565372598611	0.01603942274434396	0.32245786829002626	0.26956325624862887	0.16636866816958684	80.36577947872469	0.02	1.0	0.01	0.032	1.0	15.0	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.42035656046460446	0.44025653725986114	0.24212167692397496	0.2405913411651594	0.10646920893166711	0.029666123882682416	0.013984923569612617	0.08920966450942941	0.08318433408479342	-0.8327807695950789
8.0	1.0	371.9400789814125	1.4675037733300225	0.6429648550416545	5.973466278230242	18.07708133155422	44.00908285923756	0.01745086253236442	0.4026226817320985	0.285706659081354	0.1725914176633992	81.06199790996895	0.02	1.0	0.01	0.032	1.0	15.0	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.4263475271176489	0.4400908285923756	0.26306383516883636	0.2617629379854663	0.12040907727425454	0.037041286719353056	0.020424808432858765	0.09269043298509605	0.0862957088316996	-0.424618343775534
9.0	1.0	371.2206050274362	1.564788530278783	0.7868052994275324	5.983961015471783	17.58823784167114	43.99738169372151	0.018657290806874102	0.48885420658579437	0.30275526841097533	0.17909481507031058	81.4410578682618	0.02	1.0	0.01	0.032	1.0	15.0	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.43001087875902755	0.4399738169372151	0.28097898319778586	0.2798593621031115	0.13387913677804797	0.04497458700589308	0.027536539986352748	0.096123913354312	0.08954740753515529	-0.17809694557625733
