time	extracellular	cytosol	intravesicular	EC	Z	Rho	Y	Fraction_Inactive_Channels	a	d	beta	vin	v2	v3	v4	v5	v6	v7
0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.36	0.0	40000.0	100.0	1.0	2.0	0.0	0.0	0.36	0.0	0.0	5.0
1.0	1.0	1.0	1.0	-0.48537712863435656	0.26303156622562274	0.16888255197016686	0.5823455624087309	-0.16888255197016616	40000.0	100.0	1.0	2.0	5.679143732770127	4.961763411779339	0.5823455624087309	2.630315662256227	4.041906577053513	4.155587240149165
2.0	1.0	1.0	1.0	-0.16157655208882638	0.213778798798425	0.2833942104501358	0.30779775329039655	-0.28339421045013513	40000.0	100.0	1.0	2.0	5.333062914244587	4.534964829906391	0.30779775329039655	2.1377879879842503	2.9595079295610236	3.583028947749321
3.0	1.0	1.0	1.0	-0.4872503118133216	0.2665287258261044	0.1685609793888649	0.5807215859872125	-0.1685609793888649	40000.0	100.0	1.0	2.0	5.697902816372243	5.038346869057026	0.5807215859872125	2.665287258261044	4.253075993681931	4.157195103055676
4.0	1.0	1.0	1.0	-0.16200914453476595	0.21713725155925576	0.27946854738017385	0.30487189297550665	-0.2794685473801738	40000.0	100.0	1.0	2.0	5.362614028923272	4.598116730038288	0.30487189297550665	2.1713725155925574	3.1062777613876804	3.6026572630991307
5.0	1.0	1.0	1.0	-0.48895555426065795	0.2682255444354259	0.16896129332205786	0.5807300098252283	-0.1689612933220582	40000.0	100.0	1.0	2.0	5.706784483970701	5.092615902551212	0.5807300098252283	2.6822554443542588	4.372781444394689	4.155193533389711
6.0	1.0	1.0	1.0	-0.16245589925469694	0.2185313109501753	0.2785506596018072	0.3039245883045176	-0.27855065960180736	40000.0	100.0	1.0	2.0	5.374574512962517	4.636448217204777	0.3039245883045176	2.1853131095017533	3.1763538668213798	3.607246701990964
7.0	1.0	1.0	1.0	-0.4907327198252828	0.27003397604333007	0.16970425076531478	0.5806987437819469	-0.16970425076531492	40000.0	100.0	1.0	2.0	5.716096299587523	5.159515191064752	0.5806987437819469	2.700339760433301	4.511660060939766	4.151478746173426
8.0	1.0	1.0	1.0	-0.16295367866204385	0.22013022598786786	0.27751382112044365	0.3028234526741705	-0.2775138211204436	40000.0	100.0	1.0	2.0	5.388077592161567	4.679368411023553	0.3028234526741705	2.2013022598786787	3.258166990638974	3.612430894397782
9.0	1.0	1.0	1.0	-0.49255052885507083	0.2717049202540959	0.17081629987588154	0.5808456086009695	-0.17081629987588176	40000.0	100.0	1.0	2.0	5.724561720613965	5.2344050002646	0.5808456086009695	2.7170492025409594	4.65467461174735	4.145918500620592
10.0	1.0	1.0	1.0	-0.16348972463005068	0.22166756932854387	0.27670704959578996	0.3018221553015018	-0.2767070495957904	40000.0	100.0	1.0	2.0	5.400848247895104	4.723233425847992	0.3018221553015018	2.216675693285439	3.340402995095134	3.6164647520210504
11.0	1.0	1.0	1.0	-0.49440967196740726	0.273235700796846	0.17231917484135442	0.5811739711705567	-0.1723191748413554	40000.0	100.0	1.0	2.0	5.732202587598221	5.31825536371353	0.5811739711705567	2.73235700796846	4.802345304444509	4.138404125793228
12.0	1.0	1.0	1.0	-0.16406467152658216	0.22316553404076422	0.2761028862043766	0.3008991374858127	-0.2761028862043775	40000.0	100.0	1.0	2.0	5.413095380386533	4.768580472547638	0.3008991374858127	2.2316553404076425	3.4241236613495323	3.619485568978117
13.0	1.0	1.0	1.0	-0.4963065630906199	0.2745946811174047	0.17422724761292474	0.5817118819732102	-0.17422724761292568	40000.0	100.0	1.0	2.0	5.73889583178661	5.411120076867919	0.5817118819732102	2.745946811174047	4.952843017643454	4.128863761935376
14.0	1.0	1.0	1.0	-0.16467780642266955	0.2246167898478932	0.2757069918951008	0.30006101657477047	-0.2757069918951016	40000.0	100.0	1.0	2.0	5.424779248126126	4.815463296661078	0.30006101657477047	2.246167898478932	3.5090265068934396	3.6214650405244964
15.0	1.0	1.0	1.0	-0.49823438155606165	0.27574957343871825	0.17654797944152553	0.5824848081173377	-0.1765479794415254	40000.0	100.0	1.0	2.0	5.744518346449006	5.512764582094244	0.5824848081173377	2.7574957343871827	5.103782436266068	4.117260102792372
