time	Cell	C	X	M	Y	Z	V1	K6	V1p	V3	V3p	reaction1	reaction2	reaction3	reaction4	reaction5	reaction6	reaction7	reaction8	reaction9	reaction10	reaction11	reaction12	reaction13
0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.3	0.75	0.0	0.3	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.005000000000000001	0.002	0.2	0.05
1.0	1.0	0.14707918792504585	0.005874231458664158	0.07680379445682342	1.1915104079790853	0.9487472289648416	0.24673345108222325	0.3	0.75	0.023041138337047025	0.3	0.1	0.0025855320562477076	0.002941583758500917	0.22261945908874808	0.10860031976799484	0.019182057669992578	0.005548310837994229	0.008762319160490197	0.04743736144824209	0.004743736144824209	0.0018974944579296833	0.2	0.059575520398954265
2.0	1.0	0.2731507822880663	0.02777198632611972	0.20966955454377642	1.3621901632896938	0.9094992194522845	0.3574331450760984	0.3	0.75	0.06290086636313293	0.3	0.1	0.012938631327305676	0.005463015645761325	0.3172870232737666	0.16926878301991463	0.052169018014620025	0.021735583146712378	0.01860416543638443	0.04547496097261423	0.004547496097261424	0.001818998438904569	0.2	0.06810950816448469
3.0	1.0	0.3707112031705483	0.06773522568868844	0.36614463984084356	1.513332345733037	0.8819181213119712	0.4145351994474035	0.3	0.75	0.10984339195225307	0.3	0.1	0.03213397364641414	0.007414224063410966	0.35804788301525264	0.19636857776904657	0.09044097046138505	0.04038223063198603	0.028050462734180118	0.044095906065598565	0.004409590606559857	0.0017638362426239424	0.2	0.07566661728665186
4.0	1.0	0.43258763423690605	0.12877292308958022	0.5264575498998172	1.6475520049763006	0.8642510514336551	0.4428695087320586	0.3	0.75	0.15793726496994515	0.3	0.1	0.06154120212212161	0.00865175268473812	0.36565299081700264	0.2100930661558824	0.12845009677299105	0.05628853334149026	0.03563553120574846	0.04321255257168276	0.004321255257168277	0.0017285021028673102	0.2	0.08237760024881503
5.0	1.0	0.45213796453339417	0.2115057499936531	0.6702409660072075	1.7686098654427327	0.8534512411130889	0.45085275493361937	0.3	0.75	0.20107228980216224	0.3	0.1	0.1012731303907625	0.009042759290667883	0.34594448791131854	0.21754262483649037	0.16038974869464012	0.06789786384295074	0.03998278323074787	0.04267256205565445	0.004267256205565445	0.0017069024822261778	0.2	0.08843049327213665
6.0	1.0	0.4251270703522475	0.3111160240756715	0.7767907262083343	1.8811291391243379	0.8454163152725671	0.43970955684953134	0.3	0.75	0.23303721786250028	0.3	0.1	0.14856863653592634	0.00850254140704495	0.30366471144916096	0.22148692469854006	0.18060355403811407	0.07567596635892897	0.039985945993508756	0.04227081576362836	0.0042270815763628365	0.0016908326305451343	0.2	0.0940564569562169
7.0	1.0	0.3523888800386191	0.41729119459819386	0.8327792336189875	1.990123124350267	0.8354327639621847	0.4051136800696529	0.3	0.75	0.24983377008569624	0.3	0.1	0.1974398063379136	0.007047777600772382	0.25351106117287603	0.22319837417155475	0.1859955282359848	0.08066852847211617	0.03506486294643741	0.04177163819810924	0.004177163819810924	0.0016708655279243695	0.2	0.09950615621751335
8.0	1.0	0.24195176950558958	0.5179177251707794	0.8394322465195272	2.1003263865208224	0.8188427283903483	0.3348339046752031	0.3	0.75	0.25182967395585815	0.3	0.1	0.2391873708276397	0.004839035390111792	0.2063322385239862	0.2233881819656269	0.1779882377394102	0.08381661571977692	0.025408884287899697	0.04094213641951742	0.004094213641951743	0.0016376854567806967	0.2	0.10501631932604112
9.0	1.0	0.11252301604689607	0.6021885946742307	0.7925112811044002	2.215304494616876	0.7919665306548478	0.20457588728959125	0.3	0.75	0.23775338433132004	0.3	0.1	0.25565399476649375	0.0022504603209379213	0.13804470265805038	0.22198914957235633	0.1582121168970664	0.08575881169838805	0.012463637159826789	0.039598326532742395	0.003959832653274239	0.0015839330613096956	0.2	0.11076522473084381
10.0	1.0	0.02180034185385131	0.6583052616414747	0.6579899856395596	2.33512472777591	0.7545254197624317	0.05080869801503849	0.3	0.75	0.19739699569186786	0.3	0.1	0.17166462176494032	4.3600683707702625E-4	0.039313777908181795	0.217018033913857	0.12451572817576397	0.08681269865073417	0.002545325866844816	0.03772627098812159	0.003772627098812159	0.0015090508395248635	0.2	0.11675623638879551
11.0	1.0	0.013775487576870556	0.6770960332934144	0.4756516395309196	2.451748137142286	0.7145280071396723	0.03292677755817945	0.3	0.75	0.14269549185927588	0.3	0.1	0.13807836191488634	2.7550975153741114E-4	0.027652994580125156	0.20657095666335334	0.08811740450682486	0.08713157760229588	0.0016887013002409542	0.03572640035698362	0.0035726400356983624	0.0014290560142793448	0.2	0.12258740685711429
