time	compartment	Hsp90	HCom	HSF1	MisP	MCom	TriH	DiH	NatP	AggP	HSE	HSETriH	X	ROS	ATP	ADP	source	k1	k2	k3	k4	k5	k6	k7	k8	k9	k10	k11	k12	k13	k14	k15	k16	k17	k18	k19	k20	k21	proteinSynthesis	misfolding	Hsp90MisPBinding	unsuccessulRefolding	refolding	proteinDegradation	proteinAggregation1	proteinAggregation2	Hsp90HSF1Binding	Hsp90HSF1Release	dimerisation	trimerisation	deTrimerisation	deDimerisation	HSETriHBinding	HSETriHRelease	Hsp90Transcription	Hsp90Degradation	countTime	ATPformation	ATPconsumption	radicalFormation	radicalScavenging
0.0	1.0	300000.0	5900.0	100.0	0.0	0.0	0.0	0.0	6000000.0	0.0	1.0	0.0	0.0	100.0	10000.0	1000.0	0.0	10.0	2.0E-5	50.0	1.0E-5	4.0E-6	6.0E-7	1.0E-7	500.0	1.0	0.01	100.0	0.5	0.5	0.05	0.08	1000.0	8.02E-9	12.0	0.02	0.1	0.001	10.0	12000.000000000002	0.0	0.0	0.0	0.0	-0.0	0.0	1.5E10	5900.0	49.5	0.0	0.0	0.0	0.0	0.0	0.0	24.060000000000002	1.0	12000.0	200.0	0.1	0.1
1.0	1.0	288144.78396337846	5999.999951232481	4.1645730092909616E-5	8.31295847623419E-4	11729.567628586185	1.0203794406925281E-10	-6.190405283172856E-8	5988280.431534789	-4.0751369515009374E-11	0.999999999993537	6.463613209055929E-12	0.9999999999999996	100.0	10940.350341932626	59.64965806738326	0.0	10.0	2.0E-5	50.0	1.0E-5	4.0E-6	6.0E-7	1.0E-7	500.0	1.0	0.01	100.0	0.5	0.5	0.05	0.08	1000.0	8.02E-9	12.0	0.02	0.1	0.001	10.0	11976.560863069579	11976.67812115518	0.11729567628586185	513.302316864499	5.456800686476426E-6	-4.1530239741857146E-11	-3.387644426279487E-21	5999.999950309306	5999.999951232481	-2.0821997863037322E-7	-2.5780394758873847E-10	5.1018972034626404E-11	-3.095202641586428E-8	5.101897203429667E-12	5.170890567244743E-13	6.4636132090559295E-9	25.282287183794	1.0	715.7958968085991	218.80700683865254	0.1	0.1
2.0	1.0	276913.55583762826	5999.999949830318	4.3334822840855574E-5	8.634028161400735E-4	22936.055978409357	-4.1633490524626943E-10	-2.0458026517562382E-7	5977083.943147299	-8.307843483735244E-11	1.0000000000004299	-4.29298092751955E-13	1.9999999999999991	100.0	10899.776788848978	100.22321115103097	0.0	10.0	2.0E-5	50.0	1.0E-5	4.0E-6	6.0E-7	1.0E-7	500.0	1.0	0.01	100.0	0.5	0.5	0.05	0.08	1000.0	8.02E-9	12.0	0.02	0.1	0.001	10.0	11954.1678862946	11954.397196878486	0.2293605597840936	999.9915623248285	5.646538784874248E-6	-4.313286758585774E-11	-7.173015459907967E-21	5999.999942227494	5999.999949830318	-2.1666472466992465E-7	-8.865449548120913E-10	-2.0816745262313472E-10	-1.0229013258781191E-7	-2.081674526232242E-11	-3.43438474201564E-14	-4.29298092751955E-10	24.20673350646166	1.0	1202.6785338123716	217.99553577697955	0.1	0.1
3.0	1.0	266179.37013812904	5999.99994827125	4.5082381172451695E-5	8.966211959541074E-4	33646.54965001052	-1.1226847523035619E-9	-2.977101118337465E-7	5966383.449436731	-1.2703565297964047E-10	1.0000000000373386	-3.733804130088802E-11	2.9999999999999987	100.0	10861.276233138471	138.72376686153908	0.0	10.0	2.0E-5	50.0	1.0E-5	4.0E-6	6.0E-7	1.0E-7	500.0	1.0	0.01	100.0	0.5	0.5	0.05	0.08	1000.0	8.02E-9	12.0	0.02	0.1	0.001	10.0	11932.766898873462	11933.103259578014	0.33646549650010527	1461.7778801630914	5.843070291446723E-6	-4.479086331925366E-11	-1.139028591034162E-20	5999.99991240512	5999.99994827125	-2.254017437567976E-7	-1.3421480740582182E-9	-5.613423761517809E-10	-1.4885505591687326E-7	-5.613423761727407E-11	-2.9870433040710413E-12	-3.7338041300888016E-8	23.18620228639689	1.0	1664.685202338469	217.22552466276943	0.1	0.1
4.0	1.0	255917.0949967905	5999.999946592723	4.689018484031725E-5	9.309848224537207E-4	43886.12722537055	-1.83683976695053E-9	-3.611744788108868E-7	5956153.871821058	-1.7267929404753245E-10	1.0000000001059557	-1.0595530242832258E-10	3.999999999999998	100.0	10824.723648660305	175.276351339703	0.0	10.0	2.0E-5	50.0	1.0E-5	4.0E-6	6.0E-7	1.0E-7	500.0	1.0	0.01	100.0	0.5	0.5	0.05	0.08	1000.0	8.02E-9	12.0	0.02	0.1	0.001	10.0	11912.307743642117	11912.746562422948	0.4388612722537055	1900.2207968983337	6.046592054495164E-6	-4.650590448570408E-11	-1.6076180191027583E-20	5999.999944098268	5999.999946592723	-2.3443993075441448E-7	-1.6935538071047728E-9	-9.18419883475265E-10	-1.805872394054434E-7	-9.184198835725769E-11	-8.476424194265806E-12	-1.0595530242832257E-7	22.217259279071797	1.0	2103.316216076436	216.49447297320611	0.1	0.1
5.0	1.0	246103.14658785317	5999.999944816693	4.87600012832744E-5	9.665272970490926E-4	53678.32254966332	-2.4967318605841206E-9	-4.069331024280171E-7	5946371.676455068	-2.2006726081911466E-10	1.0000000002023994	-2.023990778995576E-10	4.999999999999997	100.0	10789.998504125793	210.00149587421492	0.0	10.0	2.0E-5	50.0	1.0E-5	4.0E-6	6.0E-7	1.0E-7	500.0	1.0	0.01	100.0	0.5	0.5	0.05	0.08	1000.0	8.02E-9	12.0	0.02	0.1	0.001	10.0	11892.743352910138	11893.270453341718	0.5367832254966333	2316.756080059396	6.257296853613873E-6	-4.827965610165758E-11	-2.1270101476849656E-20	5999.9948717207935	5999.999944816693	-2.4378811872774624E-7	-1.984205859659695E-9	-1.2483659302920603E-9	-2.0346655121400856E-7	-1.248365930544729E-10	-1.619192623196461E-11	-2.023990778995576E-7	21.296729720019563	1.0	2520.017950490579	215.79997008251587	0.1	0.1
6.0	1.0	236715.3690822564	5999.999942955636	5.069375099996629E-5	0.0010032851309858465	63045.24452035122	-3.0925254520688925E-9	-4.42207519625851E-7	5937014.754441254	-2.6925911678740754E-10	1.0000000003215577	-3.2155713847221633E-10	5.999999999999997	100.0	10756.991689487266	243.00831051274218	0.0	10.0	2.0E-5	50.0	1.0E-5	4.0E-6	6.0E-7	1.0E-7	500.0	1.0	0.01	100.0	0.5	0.5	0.05	0.08	1000.0	8.02E-9	12.0	0.02	0.1	0.001	10.0	11874.02950888251	11874.65050380273	0.6304524452035122	2712.7086854684426	6.4753978897205355E-6	-5.011392749658946E-11	-2.701436682551875E-20	5999.994989060513	5999.999942955636	-2.5345590571787923E-7	-2.2417157890225596E-9	-1.5462627260344463E-9	-2.211037598129255E-7	-1.5462627265316588E-10	-2.5724571077777306E-11	-3.2155713847221634E-7	20.42168896909378	1.0	2916.0997261529064	215.13983378974532	0.1	0.1
7.0	1.0	227732.9260320293	5999.999941016501	5.2693259489189696E-5	0.0010412930298091087	72007.68546868293	-3.6349806114175947E-9	-4.713747180374623E-7	5928062.313448331	-3.2031621975297135E-10	1.0000000004588228	-4.588223418650103E-10	6.999999999999997	100.0	10725.600082259205	274.3999177408057	0.0	10.0	2.0E-5	50.0	1.0E-5	4.0E-6	6.0E-7	1.0E-7	500.0	1.0	0.01	100.0	0.5	0.5	0.05	0.08	1000.0	8.02E-9	12.0	0.02	0.1	0.001	10.0	11856.124626896664	11856.835426759271	0.7200768546868294	3089.302548744802	6.701095563705908E-6	-5.2010436931758986E-11	-3.335430469635718E-20	5999.995082819081	5999.999941016501	-2.634524145479705E-7	-2.4838270334191625E-9	-1.8174903057087973E-9	-2.3568735901873114E-7	-1.8174903065427033E-10	-3.670578734920083E-11	-4.588223418650103E-7	19.58942976726175	1.0	3292.799012889668	214.5120016451841	0.1	0.1
8.0	1.0	219136.2017302704	5999.999939002746	5.476041958357212E-5	0.0010805869792833744	80585.21958816875	-4.140941121783208E-9	-4.970908721184044E-7	5919494.779282753	-3.7330169648902524E-10	1.0000000006106433	-6.10642844732336E-10	7.999999999999997	100.0	10695.728979771946	304.27102022806514	0.0	10.0	2.0E-5	50.0	1.0E-5	4.0E-6	6.0E-7	1.0E-7	500.0	1.0	0.01	100.0	0.5	0.5	0.05	0.08	1000.0	8.02E-9	12.0	0.02	0.1	0.001	10.0	11838.989558565509	11839.786313967252	0.8058521958816875	3447.6706739618494	6.934599281691248E-6	-5.397096555317888E-11	-4.033849525704348E-20	5999.995176349956	5999.999939002746	-2.7378710440009574E-7	-2.7220904728367616E-9	-2.070470560891604E-9	-2.485454360592022E-7	-2.0704705621559233E-10	-4.885142757858688E-11	-6.106428447323359E-7	18.797447815376106	1.0	3651.2522427367817	213.9145795954389	0.1	0.1
9.0	1.0	210906.71191002536	5999.999936915733	5.68971486519261E-5	0.0011212034318299978	88796.29204377731	-4.627100575878247E-9	-5.20973502555044E-7	5911293.706779462	-4.2828046607574544E-10	1.0000000007745597	-7.745595130179918E-10	8.999999999999996	100.0	10667.290640852629	332.70935914738146	0.0	10.0	2.0E-5	50.0	1.0E-5	4.0E-6	6.0E-7	1.0E-7	500.0	1.0	0.01	100.0	0.5	0.5	0.05	0.08	1000.0	8.02E-9	12.0	0.02	0.1	0.001	10.0	11822.587413558926	11823.466459475056	0.8879629204377733	3788.86342024401	7.17612172491119E-6	-5.599731673472252E-11	-4.8018952834987675E-20	5999.995269616833	5999.999936915733	-2.8446955683200694E-7	-2.9641906818588945E-9	-2.3135502879391233E-9	-2.60486751277522E-7	-2.3135502897311064E-10	-6.196476104143935E-11	-7.745595130179918E-7	18.04342161628754	1.0	3992.5123097685773	213.34581281705258	0.1	0.1
