time	compartment	Fru	Glc	HexP	Suc6P	Suc	Sucvac	glycolysis	phos	UDP	ADP	ATP	Glcex	Fruex	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11
0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	5.1	0.2	0.2	1.0	5.0	5.0	0.2648148148148148	0.2648148148148148	0.13627294363825412	9.539106054677791E-4	0.12675063037184695	0.0022683998091589806	0.45454545454545453	-8.65573234096631E-4	0.029892857142857145	0.022330097087378643	0.009900990099009901
1.0	1.0	1.1720634097468676	1.1623691419744828	1.2339359330576225	0.5616688910753174	1.3941374857385058	0.0	0.0	5.1	0.2	0.2	1.0	5.0	5.0	0.26313791088221994	0.2632318249791761	0.13684384530283739	9.658959507411478E-4	0.12679919880269427	0.004827551810272148	0.42443350341174113	-9.684318345710895E-4	0.03953188378691481	0.026186001662129345	0.01374968533989055
2.0	1.0	1.3508306306671198	1.3309842492534742	1.4590498463779151	0.1823631333711726	1.7201744952091442	0.0	0.0	5.1	0.2	0.2	1.0	5.0	5.0	0.2614180204086037	0.26160784898170275	0.13741998938725497	9.762834663450018E-4	0.1264261198124051	0.00773269708620851	0.3229230586760989	-4.5261733791399805E-4	0.04657039564869438	0.02955150952251149	0.016910848843364513
3.0	1.0	1.5320452131277966	1.502101397311317	1.6742152832387651	0.009942269316482677	1.836276759730763	0.0	0.0	5.1	0.2	0.2	1.0	5.0	5.0	0.2596973797133947	0.25998013376166973	0.13796085984585452	9.849773970846084E-4	0.1257658971078039	0.010392111430233462	0.04521586364504903	0.001241767822125499	0.04829162456228603	0.03249341158673108	0.018031656479971427
4.0	1.0	1.709434445965704	1.670460767485015	1.8797203086826313	0.0025133017559363906	1.7923574887827716	0.0	0.0	5.1	0.2	0.2	1.0	5.0	5.0	0.2580348586306491	0.2583982991856	0.1384241392242494	9.915760815474815E-4	0.12493882669030912	0.012310621525347816	0.012258417751093697	0.0037750680808473977	0.046392330578648666	0.035082622468213524	0.017607976993560488
5.0	1.0	1.8815663665067843	1.8349166981115708	2.0760460376238083	0.0028291151475335887	1.7475039959071408	0.0	0.0	5.1	0.2	0.2	1.0	5.0	5.0	0.2564418335043422	0.2568716147975785	0.13882076004442115	9.964503093732636E-4	0.12402125943484807	0.014134664265172413	0.013756391579731717	0.006375580982059372	0.044548716771007114	0.037377229460200515	0.017174907759677675
6.0	1.0	2.0487349590486414	1.9957632936518834	2.2634423959281813	0.003205067855164869	1.7091297093613327	0.0	0.0	5.1	0.2	0.2	1.0	5.0	5.0	0.2549134572535643	0.25539578703400745	0.1391702709067707	0.0010000489543109776	0.12305598866542848	0.015898323038368592	0.015527667011772968	0.008983908112714828	0.042916906662229255	0.03942109668974121	0.0168040933419178
7.0	1.0	2.2112437834821383	2.1532937922028754	2.442196848708627	0.003570362476388499	1.6769736447552814	0.0	0.0	5.1	0.2	0.2	1.0	5.0	5.0	0.25344504676487783	0.253966731309436	0.13948557821790325	0.0010026761475170002	0.12206944035914664	0.0175951184705613	0.017236410064715442	0.011580431006054692	0.04148103994015364	0.04125013579897111	0.016493150657831204
8.0	1.0	2.3693712152145237	2.3077703864976242	2.612623822954958	0.003923213386436208	1.650702908327553	0.0	0.0	5.1	0.2	0.2	1.0	5.0	5.0	0.25203237483689617	0.25258082506598406	0.139775316025207	0.001004544163612292	0.12107836833387019	0.019221349649686383	0.018875539249579514	0.014149840682755831	0.04022470176522521	0.04289399577968294	0.01623897190180986
9.0	1.0	2.5233755579736408	2.4594287257399263	2.7750502143822704	0.004262919319922554	1.6299864659984111	0.0	0.0	5.1	0.2	0.2	1.0	5.0	5.0	0.2506715933907491	0.25123483921282064	0.1400454372422456	0.0010058070020530782	0.12009351038220928	0.02077554712895908	0.02044312276947724	0.016680166287490483	0.03913245841114419	0.044377293519043716	0.016038440254478863
