time	compartment	DFG	E1	E2	Cn	Gly	_3DG	FA	_1DG	AA	Man	Glu	MG	Mel	Fru	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16
0.0	1.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0513	0.1404	0.1395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	8.674820008637033	0.04424868141484621	0.12330180078061294	0.13590631296754724	0.1576057362037119	0.0017755170639310806	0.0011066613243127668	0.007845847563352161	0.006927409488830914	0.001643183973160183	0.0026278218384644353	0.001089875931275857	2.3772963794099188E-5	8.62857915388973E-4	0.04944647404923109	0.1353271921347377	0.134459710133874	0.003513345304338789	1.61039397698549E-4	4.864916755171161E-5	0.02620163266588025	0.0	0.0149738000746576	0.0031283817760296272	0.005004525868019106	1.3145471785281463E-6	5.7812080446217575E-6	7.282668933394002E-5	0.0021609103761840013	0.0016522441304602134
2.0	1.0	8.361389131067186	0.07665895213147335	0.21721670766912915	0.2648961081299606	0.3445344511000695	0.00620545056750442	0.004406611418640056	0.018839915151555284	0.03577058836094402	0.005975081838163309	0.009552429767326643	0.004285189245452935	2.0075803213624198E-4	0.0031734551114278647	0.047659918047082965	0.1304376704446481	0.1296015315315414	0.0060867207992389835	5.628343664726508E-4	1.700293455496211E-4	0.046158550379689946	0.0	0.03595597806674326	0.005419787915695166	0.008670127486069636	4.780065470530647E-6	2.1015345488118614E-5	3.103038397245422E-4	0.004211848119266374	0.0029107038827663307
3.0	1.0	8.05928285803074	0.10002814412807073	0.28784781766751605	0.3872722009984556	0.5521369010584196	0.012226544372405423	0.009849824881531164	0.027900662243858232	0.0859318821648724	0.012260101388553761	0.01959378038063232	0.009478536350613166	7.042791152465088E-4	0.006580440978723644	0.045937912290775214	0.12572481258527954	0.12491888429947647	0.007942234643768815	0.001108947574577172	3.350073158039086E-4	0.06116766125434716	0.0	0.05324841389240344	0.007071989789854601	0.011313183100884801	9.80808111084301E-6	4.3106316837391105E-5	7.270127279462263E-4	0.006157627995875444	0.003857160756744715
4.0	1.0	7.768092017708581	0.1165041670469159	0.34005835840299303	0.5032375811636639	0.7736305793212216	0.019075474706848075	0.01736541332819142	0.03477468262913985	0.1531496729199912	0.019936973852798554	0.031851632614397545	0.016566478051318004	0.0017148775202795686	0.010805626157509154	0.04427812450093891	0.12118223547625386	0.120405426274483	0.009250430863525122	0.0017301455559111205	5.226680069676373E-4	0.07226240116063602	0.0	0.06636748179771342	0.008236844610216953	0.013176621293006188	1.5949579082238845E-5	7.00735917516746E-5	0.001323687936936309	0.008001477540502257	0.0045567820026001064
5.0	1.0	7.487422222038949	0.12773585249652328	0.3777225702095335	0.6129320286785556	1.0037105265022852	0.026213307215785516	0.02686748049693382	0.039822939150831606	0.23347508469416106	0.028578269351073864	0.04564056161641941	0.025448259267757754	0.0034088287527000304	0.015629114566282104	0.04267830666562201	0.1168037866638076	0.11605504444160371	0.010142226688223947	0.0023775469644717463	7.182446177125232E-4	0.08026604616952586	0.0	0.07600207936936212	0.009030924771504195	0.014446924917356784	2.286261548085909E-5	1.0040923555612271E-4	0.002091701519331227	0.009745619255989034	0.005061482440807749
6.0	1.0	7.216893336725594	0.1349884591553145	0.4039257444568637	0.7164583921641599	1.2382419619596003	0.03326814081423456	0.038259663523051136	0.043416393733475514	0.32368760893017934	0.037859298274790364	0.0604400391652123	0.03602502544427762	0.005950497702617488	0.020877450798774844	0.041136292019335885	0.11258353605291926	0.1118618467192467	0.01071808365693197	0.003017420371851075	9.11547058310027E-4	0.08583422069708353	0.0	0.08286018744033802	0.009543684062280735	0.01526719473046607	3.028743861983229E-5	1.3296808616346709E-4	0.0030163060735976183	0.011391688435410142	0.005412604975721973
7.0	1.0	6.956138959581745	0.1392326487030603	0.42112425247560664	0.8139012231050853	1.4740166840127225	0.039991553136993825	0.05143865836345631	0.045862826069058754	0.4212175256764742	0.04753416022390883	0.0758559875685419	0.04819939073122815	0.009487455226855443	0.026414140600431457	0.03964999206961595	0.10851576776947522	0.10782015387351704	0.011055072307022986	0.00362723386952534	0.0010957685559536308	0.0894889036510664	0.0	0.08752920355279864	0.009843748263306362	0.01574721256831612	3.802732817912706E-5	1.6688317265079218E-4	0.004078993538783873	0.012941029447370857	0.0056430649831731294
8.0	1.0	6.704805925979065	0.1412126704867358	0.4312727898288873	0.905339656693959	1.7085609938723134	0.046225755776644485	0.06629694820101682	0.04740905419529528	0.5240240022888121	0.05741739370286531	0.09159132403523648	0.061875256414162146	0.014147619832986881	0.032132115392645946	0.03821739377808067	0.10459497244527341	0.10392449185267551	0.011212286036646823	0.004192676048941655	0.001266585708280059	0.09164546783863854	0.0	0.09048017993172104	0.009983735803412221	0.01597115303204982	4.593391496229225E-5	2.0150091287752029E-4	0.005259215280352368	0.014394900541433948	0.0057790553837070895
9.0	1.0	6.462553831489682	0.14149880487050487	0.43592596112459964	0.9908560481343478	1.9399835256362175	0.05187881390282617	0.08272491833263464	0.04825170999788905	0.6304889368485916	0.06736986635982731	0.10742331207572518	0.07695779845534796	0.02003787687898384	0.03794771843972319	0.03683655683949119	0.10081583977123904	0.10016958438809008	0.011235005106718087	0.004705408420986334	0.0014214795009374372	0.09263426673897741	0.0	0.09208838853097126	0.010003965504344695	0.0160035148308541	5.389589308786185E-5	2.3633128656659543E-4	0.006535630992835982	0.015754611165336132	0.0058414078790696355
