time	default	CYTOPLASM	EmptySet	M	P	N_A	TC	TL	mRNAD	ProteinD	DBT
0.0	1.0	1.0	0.0	1.0	1.0	6.0221367E23	0.04233490368140345	0.5	0.1	0.1	0.4930059291367275
1.0	1.0	1.0	0.0	0.9498720625748742	0.8878114918191063	6.0221367E23	0.05341514830306835	0.4749360312874371	0.09498720625748742	0.08878114918191064	0.5176081703247213
2.0	1.0	1.0	0.0	0.9200228843614395	0.736559182528276	6.0221367E23	0.07650268379370662	0.46001144218071977	0.09200228843614396	0.0736559182528276	0.5579922506693428
3.0	1.0	1.0	0.0	0.9285909710961328	0.5424810275083012	6.0221367E23	0.13471163923245824	0.4642954855480664	0.09285909710961328	0.05424810275083012	0.6282953408350634
4.0	1.0	1.0	0.0	1.0488702194769557	0.29424627248862845	6.0221367E23	0.35711361328230845	0.5244351097384778	0.10488702194769557	0.029424627248862845	0.7780407915919465
5.0	1.0	1.0	0.0	1.6355179052559539	0.017770876029126748	6.0221367E23	0.9962689574380547	0.8177589526279769	0.1635517905255954	0.0017770876029126748	0.824082974566245
6.0	1.0	1.0	0.0	2.4050159075881985	0.08389110815550901	6.0221367E23	0.8891831945262156	1.2025079537940992	0.24050159075881986	0.008389110815550901	1.0110828599585102
7.0	1.0	1.0	0.0	2.6258855913656975	0.5255277381115641	6.0221367E23	0.14255187130811092	1.3129427956828488	0.26258855913656975	0.05255277381115641	0.6358473118057144
8.0	1.0	1.0	0.0	2.439006134866455	1.1762281540259174	6.0221367E23	0.030729973583566703	1.2195030674332275	0.2439006134866455	0.11762281540259174	0.4609265879293496
9.0	1.0	1.0	0.0	2.2259931674559406	1.7741348917777136	6.0221367E23	0.01351391785793178	1.1129965837279703	0.22259931674559408	0.17741348917777136	0.3874848415181403
10.0	1.0	1.0	0.0	2.0240867441603503	2.2666547977597613	6.0221367E23	0.008251555515146768	1.0120433720801751	0.20240867441603505	0.22666547977597615	0.34894024896103437
11.0	1.0	1.0	0.0	1.8381193975374437	2.64813627478003	6.0221367E23	0.006028925417724735	0.9190596987687218	0.18381193975374438	0.264813627478003	0.32640859111923337
12.0	1.0	1.0	0.0	1.668351437508589	2.925563628270711	6.0221367E23	0.004930425748910869	0.8341757187542945	0.16683514375085892	0.2925563628270711	0.31273813152886243
13.0	1.0	1.0	0.0	1.5139751813598243	3.109706038246516	6.0221367E23	0.0043586416637059686	0.7569875906799122	0.15139751813598246	0.3109706038246516	0.30464786955380135
