time	compartment	Pc1	Po2	Po1	Pc2	Open_probability	Closed_state_1	Open_state_2	Closed_State_2
0.0	1.0	0.963	0.0	0.0	0.037	0.0	-947.73645	0.0	-0.0037
1.0	1.0	0.004776448554186685	0.46279411144106014	0.16315484466207467	0.36927459534267704	0.6259489561031348	-0.0018823183350260564	-0.18242496712639422	0.24859351862436294
2.0	1.0	0.0033302694425554123	0.3226375970040155	0.11376393886483745	0.5602681946885901	0.43640153586885294	-0.0010832325835905543	-0.10498153514980402	0.1430600735446065
3.0	1.0	0.0024980232697399754	0.24198042127990207	0.08534049394640446	0.670181061503952	0.3273209152263065	-6.233752581485952E-4	-0.060414441520904916	0.08232775825581261
4.0	1.0	0.002019084301151255	0.19556402933675412	0.06898344018318874	0.733433446178905	0.26454746951994285	-3.587377021720961E-4	-0.0347670807365148	0.047377675702689775
5.0	1.0	0.0017434651938646876	0.16885239100727886	0.059570306461077	0.7698338373377785	0.22842269746835586	-2.0644446291462337E-4	-0.02000757452118762	0.027264652573106896
6.0	1.0	0.001584852133687058	0.15348039905974295	0.05415324390607413	0.7907815049004948	0.20763364296581707	-1.1880287318333238E-4	-0.011513785862725001	0.01569002634558024
7.0	1.0	0.0014935742218206173	0.14463419607603237	0.051035857746846075	0.8028363719552999	0.19567005382287844	-6.836729559367427E-5	-0.00662581956468955	0.009029113861450638
8.0	1.0	0.0014410457762248881	0.13954339937991003	0.04924187006770751	0.8097736847761564	0.18878526944761753	-3.934272174710429E-5	-0.0038129016691001993	0.005195904140872495
9.0	1.0	0.0014108169653247909	0.13661377279544412	0.048209474882684324	0.8137659353565456	0.18482324767812844	-2.2639803084256727E-5	-0.002194137546560171	0.002989987509042988
10.0	1.0	0.0013934214753239488	0.1349278880901309	0.047615372118359874	0.8160633183161841	0.18254326020849077	-1.3027931299758322E-5	-0.001262602554980674	0.0017205693755113632
11.0	1.0	0.0013834109224909713	0.13395771490662015	0.04727348481824933	0.8173853893526384	0.18123119972486948	-7.496603908752064E-6	-7.265337090629487E-4	9.900594966724824E-4
12.0	1.0	0.0013776501182827415	0.13339940630453487	0.04707673786230412	0.8181462057148773	0.180476144166839	-4.313473601413875E-6	-4.180404904374768E-4	5.69670687544474E-4
13.0	1.0	0.0013743344698699917	0.1330780700876775	0.04696349955240613	0.8185840958900454	0.1800415696400836	-2.4814132557615665E-6	-2.4048627863493266E-4	3.2771462770617155E-4
14.0	1.0	0.001372427075810675	0.13289321490559	0.04689835691582382	0.8188360011027745	0.1797915718214138	-1.4274833497474049E-6	-1.3834461381634355E-4	1.8852449241422986E-4
15.0	1.0	0.0013713298086566776	0.13278687320941027	0.04686088229169074	0.8189809146902414	0.17964775550110101	-8.211887756459646E-7	-7.958554758857872E-5	1.0845254143465599E-4
16.0	1.0	0.0013706985834510829	0.13272569798987527	0.046839324253398235	0.8190642791732745	0.1795650222432735	-4.724055138183303E-7	-4.578320188386442E-5	6.238952611946347E-5
17.0	1.0	0.0013703354583372706	0.1326905057029399	0.04682692255422787	0.8191122362844941	0.17951742825716777	-2.7176086225821905E-7	-2.633771631366244E-5	3.5890841449351396E-5
