time	compartment_0	compartment_1	species_0	species_1	species_2	species_3	species_4	species_5	species_6	parameter_0	parameter_1	parameter_2	parameter_3	parameter_4	parameter_5	parameter_6	parameter_7	parameter_8	parameter_9	parameter_10	parameter_11	parameter_12	parameter_13	reaction_0	reaction_1	reaction_2	reaction_3	reaction_4	reaction_5	reaction_6	reaction_7	reaction_8	reaction_9	reaction_10	reaction_11	reaction_12	reaction_13
0.0	1.0	1.0	0.0	1.0	1.0	2.5	1.4	1.5	1.6	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	2.2399999999999998	1.26	2.5	1.5	0.8999999999999999	1.2800000000000002	2.0	5.2	0.40599999999999997	2.5	0.84	0.0	0.0	6.75
1.0	1.0	1.0	0.32195679798547155	0.43040924481835985	0.906656087436104	1.387265602266606	1.8086421442853002	2.2098226361695685	1.3274441678505793	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.8584218349908108	1.6277779298567703	1.0760231120458996	1.359984131154156	1.325893581701741	0.9628282684106251	2.0	2.3939729228850855	0.524506221842737	0.597091940234057	1.0851852865711802	0.9980660737549618	10.624574333520561	9.015971153567573
2.0	1.0	1.0	0.40551068343478147	0.49648665957357824	0.7853083156441909	0.9401049635203973	2.2876914241529414	3.502362989167983	2.0102108029986887	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	2.814295124198164	2.0589222817376474	1.2412166489339456	1.1779624734662864	2.1014177935007896	1.2629082078341254	2.0	2.4567518997078084	0.663430513004353	0.46674957298678266	1.3726148544917647	1.2570831186478226	13.38185255334779	12.376956509091281
3.0	1.0	1.0	0.5577970542473559	0.8116107277840082	1.0491133503050636	0.6282538121488755	3.1623284339892113	3.9499405522971256	2.6214004586288215	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	3.66996064208035	2.84609559059029	2.0290268194600207	1.5736700254575955	2.3699643313782754	2.2001169741146507	2.0	2.1409762806930783	0.9170752458568712	0.5098975337112265	1.8973970603935266	1.7291708681668034	18.407302790162746	18.647709148468216
4.0	1.0	1.0	0.6766556650255756	1.1908739482623185	1.6055374587222706	0.6443955218333001	3.561055323486819	3.223901567700713	2.193511668516723	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	3.0709163359234117	3.2049497911381373	2.977184870655796	2.408306188083406	1.9343409406204275	2.8174121199583895	2.0	1.8375358251656462	1.0327060438111775	0.7673938393281792	2.1366331940920915	2.0976325615792843	22.329636945843994	23.29242628579626
5.0	1.0	1.0	0.6218098953327925	1.2039687952774019	1.9664188304332115	0.9311732685934399	2.9960300082297504	2.388835181540548	1.3320278415315503	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.8648389781441703	2.6964270074067755	3.0099219881935046	2.9496282456498175	1.4333011089243288	2.095459704199157	2.0	1.6124533347733176	0.8688487023866276	1.1211035583829643	1.7976180049378503	1.9276106755316569	20.519726545982152	21.13852717702203
6.0	1.0	1.0	0.47350526972161144	0.810236208290952	1.6983661110309087	1.3242358701047245	2.2117203505551544	2.0513818486860305	0.969531773532452	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.3573444829454326	1.990548315499639	2.02559052072738	2.547549166546363	1.2308291092116181	1.3172959261881683	2.0	1.6690553772333003	0.6413989016609947	1.0729438502765216	1.3270322103330925	1.4678663361369955	15.625673900813178	15.677988356665304
7.0	1.0	1.0	0.3724035313954183	0.48984034206844973	1.1433931756267204	1.4593728109674682	1.8352054067301793	2.286355736331885	1.1098219008752437	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.5537506612253411	1.6516848660571615	1.2246008551711243	1.7150897634400806	1.371813441799131	1.0151702300974625	2.0	2.105537079299632	0.532209567951752	0.7148596769296997	1.1011232440381076	1.154450947325797	12.289316536048805	11.763915956895973
8.0	1.0	1.0	0.375026911074691	0.444651135457789	0.8252868335183456	1.1356446639982831	2.037967451985812	3.070824187371171	1.6700627206373213	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	2.33808780889225	1.8341707067872308	1.1116278386444725	1.2379302502775185	1.8424945124227026	1.1026246195934468	2.0	2.465577162404498	0.5910105610758855	0.5049656893234159	1.2227804711914871	1.162583424331542	12.375888065464803	11.404398464491953
9.0	1.0	1.0	0.4876108626975349	0.6558469591168844	0.9041642888545406	0.7269722837538236	2.7764704864448264	3.865656783902667	2.4129870165429335	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	3.378181823160107	2.4988234378003438	1.639617397792211	1.356246433281811	2.3193940703416	1.7453893518622248	2.0	2.280427086709904	0.8051764410689997	0.47678256166220206	1.6658822918668958	1.5115936743623581	16.09115846901865	15.728349676378885
10.0	1.0	1.0	0.6363792225113346	1.0375943610042695	1.3534510911373165	0.6115932930335657	3.471053632774712	3.579388139366771	2.4656524476653896	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	3.4519134267315454	3.123948269497241	2.5939859025106737	2.030176636705975	2.147632883620062	2.6697119965264933	2.0	1.9603694499271314	1.0066055535046665	0.6345857520796595	2.0826321796648273	1.9727755897851373	21.00051434287404	21.800370522734667
11.0	1.0	1.0	0.6580108167591718	1.2426357056926571	1.8534545359017272	0.7868839063969754	3.283828901460324	2.699107420972122	1.661845192241697	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	2.326583269138376	2.9554460113142915	3.106589264231643	2.7801818038525905	1.6194644525832733	2.464123607621481	2.0	1.6999830077076328	0.9523103814234939	0.9778100383238002	1.9702973408761943	2.0398335319534326	21.714356953052672	22.512028015290568
12.0	1.0	1.0	0.5345518690588306	0.9875894688686588	1.8579894778832724	1.156574425641447	2.513807661632824	2.144164644139294	1.0713277332539612	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.4998588265555457	2.2624268954695417	2.4689736721716473	2.7869842168249086	1.2864987864835762	1.5924125246003178	2.0	1.6107913350905396	0.7290042218735189	1.1422207227263108	1.5082845969796943	1.6571107940823748	17.64021167894141	17.927259064470626
13.0	1.0	1.0	0.40652490706751804	0.5993905301866306	1.3672048264576977	1.4358568755685117	1.9454216212150348	2.1362334365323283	1.0152548286372522	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.421356760092153	1.7508794590935313	1.4984763254665765	2.0508072396865464	1.281740061919397	1.1104490414378674	2.0	1.8950888139988087	0.56417227015236	0.8606390139191291	1.1672529727290208	1.2602272119093059	13.415321933228094	13.14300899190291
14.0	1.0	1.0	0.36377408512030235	0.4411445974318657	0.9254088277465629	1.3000856238615608	1.8978354942930198	2.6877402060424855	1.3942770950108498	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.9519879330151897	1.708051944863718	1.1028614935796641	1.3881132416198443	1.6126441236254914	1.0322210656382989	2.0	2.3564834889739847	0.5503722933449757	0.5735257491653641	1.1387012965758119	1.1276996638729373	12.004544808969978	11.192663310124868
15.0	1.0	1.0	0.4303706726314985	0.5439266059281518	0.8343196641213185	0.8752684134869628	2.421840897141484	3.577200966043593	2.103922946826754	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	2.9454921255574558	2.1796568074273357	1.3598165148203796	1.2514794961819777	2.1463205796261557	1.404275429066906	2.0	2.393946489698229	0.7023338601710304	0.47608177742408186	1.4531045382848904	1.3341490851576454	14.20223219683945	13.43038098817776
16.0	1.0	1.0	0.5760797989488329	0.8682753599477815	1.1342138922721692	0.6302641166931556	3.221959451177448	3.8026583254325765	2.546050689005622	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	3.5644709646078705	2.899763506059703	2.1706883998694537	1.7013208384082539	2.281594995259546	2.310212849519444	2.0	2.0860897051307674	0.9343682408414599	0.5472428027839202	1.9331756707064687	1.785847376741382	19.010633365311485	19.408625551215234
17.0	1.0	1.0	0.6644320612052483	1.1909327485900407	1.65944843760189	0.6881342562654317	3.4447242269887104	3.054252604151828	2.019959700723388	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	2.8279435810127427	3.1002518042898393	2.977331871475102	2.489172656402835	1.8325515624910969	2.6816151755073663	2.0	1.8070045062464621	0.9989700258267259	0.819521621213154	2.0668345361932263	2.05973938973627	21.926258019773194	22.80768620400565
18.0	1.0	1.0	0.5916515539543477	1.128878712441157	1.9128733560662086	0.9880213182027681	2.8380015822307616	2.3270335605506713	1.2636606058751527	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.7691248482252138	2.5542014240076854	2.8221967811028925	2.8693100340993127	1.3962201363304028	1.9337781632712496	2.0	1.62308070285098	0.8230204588469208	1.1153562335571554	1.7028009493384568	1.8341198172584778	19.52450128049347	20.030942234921675
19.0	1.0	1.0	0.4538372669067528	0.7469936027844623	1.5890478857925785	1.3397769967028235	2.1400481024672198	2.089534986440681	0.99823786115985	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.39753300562379	1.9260432922204977	1.8674840069611556	2.3835718286888676	1.2537209918644086	1.2689982102353323	2.0	1.7386409607057323	0.6206139497154937	1.0008048456947887	1.284028861480332	1.4068955274109338	14.976629807922842	14.94167018621935
20.0	1.0	1.0	0.37200846073250193	0.48226778088980593	1.0824369823956188	1.3973379687654661	1.8649284541989934	2.400140339076682	1.1964328159080955	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.6750059422713335	1.6784356087790941	1.2056694522245148	1.6236554735934283	1.440084203446009	1.0360505015125214	2.0	2.1733673009689745	0.540829251717708	0.6738910813495903	1.118957072519396	1.153226228270756	12.276279204172564	11.691002996802723
21.0	1.0	1.0	0.39174122217562657	0.4779584354804348	0.836266132298619	1.0514611779527432	2.1477659082108955	3.1951863659486412	1.781416685593782	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	2.4939833598312946	1.932989317389806	1.194896088701087	1.2543991984479286	1.9171118195691847	1.1917907533389898	2.0	2.4350176326568427	0.6228521133811596	0.5025547395827082	1.2886595449265372	1.2143977887444424	12.927460331795677	12.024117649013174
22.0	1.0	1.0	0.5106584427457078	0.7138113744910739	0.9722266224908653	0.7009456597828646	2.8874458583838165	3.82070835334657	2.4317259943189717	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	3.4044163920465604	2.598701272545435	1.7845284362276848	1.458339933736298	2.292425012007942	1.89135100022398	2.0	2.2158601159487707	0.8373592989313068	0.5003429848531592	1.73246751503029	1.5830411725116942	16.851728610608358	16.715674700535473
23.0	1.0	1.0	0.6400015339108913	1.072485149293802	1.4323836737167441	0.6374218324867228	3.43816412045037	3.401696382124692	2.3173034565335247	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	3.244224839146934	3.094347708405333	2.6812128732345046	2.148575510575116	2.041017829274815	2.6554141105488	2.0	1.920229760398841	0.9970675949306073	0.6836254491776517	2.062898472270222	1.9840047551237632	21.120050619059413	21.926404623135255
24.0	1.0	1.0	0.6340543977202411	1.199799528735147	1.8554813895668987	0.8417173731666611	3.1322416777172672	2.5888571612411826	1.540846913790421	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	2.1571856793065893	2.8190175099455406	2.9994988218378675	2.783222084350348	1.5533142967447096	2.2872102181677745	2.0	1.686044901745919	0.9083500865380074	1.0098921076535459	1.8793450066303603	1.9655686329327473	20.923795124767956	21.61609327318503
25.0	1.0	1.0	0.5091338673413219	0.91159285477072	1.766151151070413	1.1989968065609742	2.4009391952793506	2.138049114742795	1.0604388476289446	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.4846143866805224	2.1608452757514156	2.2789821369268	2.6492267266056198	1.282829468845677	1.4983162331037143	2.0	1.6529016294183954	0.6962723666310117	1.0929969217538953	1.4405635171676103	1.578314988758098	16.801417622263624	16.992530572716294
26.0	1.0	1.0	0.3973923567125073	0.5675073072774396	1.2801693430300658	1.4124348812865088	1.9294480615943579	2.2159480015021717	1.0751568448402957	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.5052195827764139	1.7365032554349222	1.418768268193599	1.9202540145450988	1.329568800901303	1.101106265370784	2.0	1.9741657396582948	0.5595399378623638	0.8015671161836366	1.1576688369566146	1.2319163058087725	13.11394777151274	12.7655491377232
27.0	1.0	1.0	0.3728699789704074	0.4563317048457098	0.9042106026357467	1.2184095441904403	1.9730471795435132	2.8212549077518165	1.499941307802711	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	2.0999178309237956	1.775742461589162	1.1408292621142744	1.3563159039536201	1.6927529446510898	1.0850102670772315	2.0	2.3758056466980086	0.5721836820676188	0.5559989045007078	1.1838283077261078	1.155896934808263	12.304709306023444	11.479538701472976
28.0	1.0	1.0	0.45242813309517754	0.592555447587888	0.8774923907786001	0.8214728297646855	2.546601838655782	3.6316109658123845	2.184999996722374	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	3.058999995411323	2.291941654790204	1.48138861896972	1.3162385861679002	2.1789665794874304	1.5338566967801195	2.0	2.3333935694463643	0.7385145332101768	0.4867682003225022	1.5279611031934692	1.4025272125950505	14.930128392140858	14.340199449458204
29.0	1.0	1.0	0.5918809589624201	0.9215964616243565	1.2159147835684332	0.6349724980925818	3.2692798251336956	3.6649837611085494	2.4679335585042166	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	3.455106981905903	2.9423518426203263	2.303991154060891	1.82387217535265	2.1989902566651294	2.4006375189199423	2.0	2.0371909178009187	0.9480911492887717	0.5851884074709018	1.9615678950802173	1.8348309727835024	19.532071645759864	20.05338571501556
30.0	1.0	1.0	0.6522005942249215	1.187039087887017	1.706793638976145	0.73192788449379	3.3355167946400854	2.9074188337586007	1.868470343033971	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	2.6158584802475593	3.001965115176077	2.9675977197175425	2.5601904584642172	1.7444513002551603	2.5512746368847656	2.0	1.7778612090411128	0.9672998704456247	0.8688270084085824	2.0013100767840513	2.021821842097257	21.52261960942241	22.3306378708438
31.0	1.0	1.0	0.5648721046479793	1.059483635441774	1.8599039822641272	1.0427711818799907	2.6996928995315015	2.27568539000429	1.2070444241825364	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.689862193855551	2.4297236095783514	2.648709088604435	2.789855973396191	1.365411234002574	1.795989385045448	2.0	1.6362724830224196	0.7829109408641354	1.104799002712128	1.6198157397189008	1.7511035244087358	18.640779453383317	19.046503436621727
32.0	1.0	1.0	0.4370182875856458	0.6926656014776159	1.491496720470578	1.3521623300349437	2.080369283262926	2.130947551903142	1.0278513591801781	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.4389919028522493	1.8723323549366335	1.7316640036940398	2.237245080705867	1.278568531141885	1.2264295450787694	2.0	1.8067684553862495	0.6033070921462486	0.9365963336290288	1.2482215699577557	1.354756691515502	14.421603490326312	14.302355783212542
33.0	1.0	1.0	0.3729537047597971	0.47761750521055335	1.0307495711836892	1.3377651271614934	1.899682456155976	2.515167291102485	1.2831143693788567	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.7963601171303993	1.7097142105403784	1.1940437630263834	1.5461243567755338	1.509100374661491	1.0580556688135092	2.0	2.2314573547692995	0.550907912285233	0.6389400425925511	1.1398094736935855	1.1561564847553711	12.307472257073305	11.666284230416075
34.0	1.0	1.0	0.4088709119323534	0.5121197686899034	0.8510421511038334	0.9783656800175891	2.257997271505016	3.309539633789389	1.8881301392575436	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	2.643382194960561	2.0321975443545144	1.2802994217247585	1.27656322665575	1.9857237802736334	1.2855026682221764	2.0	2.4014662459533356	0.6548192087364545	0.5010404057447477	1.3547983629030094	1.2674998269902957	13.492740093767663	12.674509780965815
35.0	1.0	1.0	0.5324584258675771	0.770477962841886	1.0409001735687724	0.6816020316127643	2.988430021730798	3.7650408792742045	2.4365214193396687	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	3.411129987075536	2.6895870195577185	1.9261949071047149	1.5613502603531586	2.2590245275645224	2.0289404546357543	2.0	2.1589593343369144	0.8666447063019315	0.5251593447858934	1.7930580130384788	1.650621120189489	17.571128053630044	17.635642671285193
36.0	1.0	1.0	0.6416038910744841	1.101648699481875	1.5060169343867136	0.6651930669044758	3.3974946686234233	3.2422388479421214	2.1765707645803616	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	3.047199070412506	3.057745201761081	2.7541217487046876	2.2590254015800704	1.9453433087652727	2.622361944279249	2.0	1.8821917168935796	0.9852734539007927	0.7328090770596757	2.038496801174054	1.9889720623309008	21.172928405457977	21.972899746472866
37.0	1.0	1.0	0.611404083637346	1.1551967757871255	1.8506908742554542	0.8962327261188484	2.993322630136655	2.494338724310531	1.4379824715814766	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	2.0131754602140672	2.6939903671229897	2.8879919394678137	2.7760363113831814	1.4966032345863185	2.129008829996114	2.0	1.6753970358015624	0.8680635627396298	1.0353251555673997	1.795993578081993	1.8953526592757726	20.176334760032418	20.77312461472571
38.0	1.0	1.0	0.4867064840718676	0.8434661593184981	1.6789832486567184	1.2375061710755078	2.303242242221785	2.1391409627923834	1.0553327071801504	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.4774657900522103	2.0729180179996063	2.108665398296245	2.5184748729850774	1.28348457767543	1.4175087496920147	2.0	1.6977749589752353	0.6679402502443176	1.0437945772499988	1.3819453453330708	1.5087901006227897	16.061313974371632	16.162118293697173
39.0	1.0	1.0	0.3903338880378141	0.5414966735366823	1.203747444225944	1.3856634698062342	1.922317822571199	2.299930095545402	1.1370118074071824	1.4	0.9	2.5	1.5	0.6	0.8	2.0	1.3	0.29	1.0	0.6	3.1	33.0	4.5	1.5918165303700553	1.7300860403140792	1.3537416838417058	1.805621166338916	1.3799580573272412	1.0949400457768936	2.0	2.0481704441412427	0.5574721685456476	0.7503321595413729	1.1533906935427194	1.2100350529172237	12.881018305247865	12.45840738484999
