time	compartment_0	species_0	species_1	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9	species_10	species_11	species_12	species_13	species_14	species_15	species_16	parameter_0	parameter_1	reaction_0	reaction_1	reaction_2	reaction_3	reaction_4	reaction_5	reaction_6	reaction_7	reaction_8	reaction_9	reaction_10	reaction_11	reaction_12	reaction_13	reaction_14	reaction_15	reaction_16	reaction_17	reaction_18	reaction_19	reaction_20	reaction_21	reaction_22	reaction_23
0.0	1.0	0.0	1.0E-8	0.0	4.68E-4	1.0E-6	0.0	0.0	0.0044	1.49E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47572E-6	6.36E-6	0.0	-9.282699999999999E-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	0.0	5.347284088994548E-17	0.0	4.679906653109413E-4	9.900894238679245E-7	8.939248597516579E-11	3.1328476457388357E-14	0.00440000011055163	1.4899933726429093E-4	2.5751787377100857E-12	9.134744945124114E-9	0.0	0.0	7.73256008213725E-10	0.0	0.0	0.0	0.9224137431099279	0.011991378660429063	0.0	1.2489005179489045E-14	-1.2424018424009955E-14	1.1621023175526809E-12	2.6364775097171524E-18	9.852505416312889E-10	-9.608278038775572E-12	0.0	0.0	1.182112817996708E-12	1.187516842790603E-10	9.824731263012827E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1.0	0.0	2.1560763905159212E-17	0.0	4.679900566172703E-4	9.900941624281343E-7	9.414227941314297E-11	2.0127160590011246E-14	0.004400000234255603	1.48999944394398E-4	1.0116467583841726E-12	9.614984849134274E-9	0.0	0.0	2.8984107597285925E-10	0.0	0.0	0.0	0.9709127128547418	0.012621865267111641	0.0	4.548815729361316E-15	-4.531666373803454E-15	1.2238496322908893E-12	1.812574030590127E-18	3.588467229502041E-10	-3.497397320555032E-12	0.0	0.0	1.2292219218899374E-12	1.249948030359144E-10	3.5810124514907687E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.0	1.0	0.0	1.2983455618704222E-17	0.0	4.679897989993302E-4	9.900954363242294E-7	9.541919526574724E-11	1.7115980146628718E-14	0.004400000361493177	1.490002015920035E-4	5.913207998756575E-13	9.744088300317892E-9	0.0	0.0	1.598840546528971E-10	0.0	0.0	0.0	0.9839507495583639	0.01279135974425873	0.0	2.4146571551042044E-15	-2.4089512586872333E-15	1.2404495383867087E-12	1.5910763281295463E-18	1.9045014999758832E-10	-1.8505347211172494E-12	0.0	0.0	1.2418923737708603E-12	1.2667314790257084E-10	1.9025093927687813E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.0	1.0	0.0	1.0677617190219791E-17	0.0	4.679896357614676E-4	9.900957787876348E-7	9.576247047260788E-11	1.6306484410923556E-14	0.004400000489680692	1.490003647168669E-4	4.783239510824875E-13	9.778795372385072E-9	0.0	0.0	1.2494751602922285E-10	0.0	0.0	0.0	0.9874557842857681	0.012836925195714981	0.0	1.8409309984751077E-15	-1.8382934063766975E-15	1.2449121160791134E-12	1.531531081385371E-18	1.4517984350878455E-10	-1.4077295338869492E-12	0.0	0.0	1.245298875500597E-12	1.2712433983978545E-10	1.4512748060721363E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.0	1.0	0.0	1.0057736687495136E-17	0.0	4.6798949789596164E-4	9.900958708523387E-7	9.585475341335094E-11	1.6088867187792825E-14	0.004400000618123582	1.490005025519951E-4	4.479468717923105E-13	9.788125705740127E-9	0.0	0.0	1.1555549504981778E-10	0.0	0.0	0.0	0.9883980459153479	0.01284917459689952	0.0	1.6866952766996084E-15	-1.6848824181182254E-15	1.2461117943096378E-12	1.5155234515327013E-18	1.3300974186400624E-10	-1.288689938483259E-12	0.0	0.0	1.2462146620320247E-12	1.2724563417349291E-10	1.3299685584957245E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6.0	1.0	0.0	9.891095194443518E-18	0.0	4.679893668513566E-4	9.900958956019085E-7	9.587956165157887E-11	1.6030365588283033E-14	0.004400000746635124	1.4900063358843372E-4	4.397806222182806E-13	9.790633960659454E-9	0.0	0.0	1.1303065681007957E-10	0.0	0.0	0.0	0.9886513522311032	0.01285246757900434	0.0	1.6452318560647376E-15	-1.6436407055105033E-15	1.2464343014068335E-12	1.5112200990399998E-18	1.2973802773256453E-10	-1.2566884834358911E-12	0.0	0.0	1.246460850814857E-12	1.2727824148746882E-10	1.297357543350132E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7.0	1.0	0.0	9.846298883600546E-18	0.0	4.679892376404295E-4	9.900959022550114E-7	9.58862305256944E-11	1.6014639366710493E-14	0.004400000875165121	1.4900076279716562E-4	4.3758535650263577E-13	9.791308221664292E-9	0.0	0.0	1.1235193796786094E-10	0.0	0.0	0.0	0.9887194452189987	0.01285335278784698	0.0	1.6340852375880619E-15	-1.6325536888054684E-15	1.2465209967703979E-12	1.5100632301058414E-18	1.2885848501822944E-10	-1.2480854759334826E-12	0.0	0.0	1.2465270294108599E-12	1.2728700688053834E-10	1.2885906463131118E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8.0	1.0	0.0	9.834258488432105E-18	0.0	4.6798910892245464E-4	9.900959040432004E-7	9.588802295342964E-11	1.601041254678188E-14	0.004400001003700079	1.490008915145504E-4	4.3699528381438017E-13	9.79148944589089E-9	0.0	0.0	1.1216951562507659E-10	0.0	0.0	0.0	0.9887377468844321	0.012853590709497615	0.0	1.6310887512479914E-15	-1.6295732253050308E-15	1.2465442983309726E-12	1.5097522371995626E-18	1.2862203494792335E-10	-1.2457727055197518E-12	0.0	0.0	1.2465448154037002E-12	1.2728936279548588E-10	1.2862338154243813E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9.0	1.0	0.0	9.831023945172827E-18	0.0	4.6798898033700186E-4	9.900959045235424E-7	9.588850443425397E-11	1.600927713888542E-14	0.004400001132236371	1.4900102009984465E-4	4.368367390155415E-13	9.791538125841158E-9	0.0	0.0	1.1212051387742492E-10	0.0	0.0	0.0	0.9887426630275412	0.012853654619358033	0.0	1.6302832840073246E-15	-1.6287720655111111E-15	1.2465505575816934E-12	1.5096686431292865E-18	1.285584689670409E-10	-1.2451509526861167E-12	0.0	0.0	1.2465495918906861E-12	1.2728999563483986E-10	1.2856002175115408E-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
