time	cellMembrane	nucleus	Ctelo	Utelo	Cdc13	Rad17Utelo	Rad17	Rad24	RPA	Mec1	ssDNA	RPAssDNA	RPAssDNA1	RPAssDNA2	Mec1RPAssDNA	ExoXI	ExoXA	Exo1I	Exo1A	Rad9I	Rad9A	Rad53I	Rad53A	Chk1I	Chk1A	Dun1I	Dun1A	ATP	ADP	Rad9Kin	recovery	G1	S	G2	M	G1cyclin	Scyclin	G2cyclin	Mcyclin	G1CdkI	G1CdkA	SCdkI	SCdkA	G2CdkI	G2CdkA	MCdkI	MCdkA	G1Soff	G1Son	SG2off	SG2on	G2Moff	G2Mon	MG1off	MG1on	sink	budscar	kalive	Capping	Uncapping	Rad17binding	ExoXactivation	ExoXactivity	Exo1activation	Exo1Rad24dependentActivation	Exo1Rad17independentActivity	Exo1Rad17dependentActivity	RPAbinding1	RPAbinding2	RPAbinding	Mec1binding	Rad9activation	ExoXinhibition	ExoXinhibition2	Rad53activation	Chk1Activation	Exo1inhibition	Dun1activation	Chk1cellArrest	Dun1cellArrest	SDNArepair1	G2DNArepair1	SDNArepair2	G2DNArepair2	Recovery	G1cyclinSynthesis	ScyclinSynthesis	G2cyclinSynthesis	McyclinSynthesis	G1toSGenesOn	StoG2GenesOn	G2toMGenesOn	MtoG1GenesOn	G1cyclinDegradation	ScyclinDegradation	G2cyclinDegradation	McyclinDegradation	G1toSProgession	StoG2Progession	G2toMProgession	MtoG1Progession
0.0	1.0	1.0	64.0	0.0	300.0	0.0	70.0	70.0	4000.0	4000.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	670.0	0.0	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	10000.0	1000.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.02464	0.0	0.0	0.0	0.0335	23.450000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	63.97712331155623	0.022876113932836558	300.02287668844383	5.74510942649319E-7	69.99999942548907	70.0	3999.9999970973763	4000.0	2.4974683456074256E-6	1.060776421742086E-15	2.902517099538153E-6	1.0713572066545285E-10	1.6643399764228678E-15	69.99999989257513	1.0742487501610021E-7	646.9232818495373	23.076718150462778	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999999425489	1000.0000005745109	0.0	0.0	1.0	0.0	0.0	0.0	0.15990403838850253	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0034316787547911073	0.024631192474949146	1.1209295734877205E-6	4.021576592373557E-7	1.85150298628455E-17	0.03234616409247686	22.642314864733805	1.5837169008178317E-5	3.9773481293625057E-10	9.989873375180493E-6	7.248944578680814E-10	2.6756807104580778E-14	1.6972422747873376E-14	0.0	0.0	1.0742487501610022E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91884846066203E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	1.0	1.0	63.957441028671816	0.042556781624934745	300.0425589713282	2.1897032669762116E-6	69.99999781029672	70.0	3999.9999711118353	3999.9999999999977	1.1500200449793748E-5	5.909596026683833E-13	2.8877721234889586E-5	1.0442067031233643E-8	1.9354130717408804E-12	69.99999932520649	6.747935457806477E-7	624.6413919646892	45.3586080353109	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999997810293	1000.0000021897034	0.0	0.0	1.0	0.0	0.0	0.0	0.3196163070158004	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.006384422830164709	0.024623614796038647	2.08528223423889E-6	1.5327922721073725E-6	4.4327928951910374E-16	0.031232069598234463	21.862448718764124	5.7909491309092094E-5	2.979656766012412E-9	4.600080146695531E-5	3.320995827344957E-8	1.2008586396936962E-11	9.455353642694126E-12	0.0	0.0	6.747935457806478E-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8353956841896046E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.0	1.0	1.0	63.94050727352832	0.05948802627193324	300.05949272647166	4.700199759606648E-6	69.99999529980025	70.0	3999.9998981696167	3999.9999999999077	2.5702838957459346E-5	1.7793532025840894E-11	1.0170081162765212E-4	1.294621989402241E-7	9.230828696547673E-11	69.99999816636097	1.8336390892901216E-6	603.1269541397597	66.87304586024028	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999995299804	1000.0000047002	0.0	0.0	1.0	0.0	0.0	0.0	0.47913703586760104	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.008924973493227652	0.0246170953003084	2.914913091144115E-6	3.2901397455399565E-6	2.585541002006035E-15	0.03015634770698799	21.10944339489159	1.1934436527054511E-4	9.429500222293974E-9	1.0281135321250745E-4	2.6139995831084516E-7	3.327546050439144E-10	2.8469651241344773E-10	0.0	0.0	1.8336390892901216E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.749644430411212E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.0	1.0	1.0	63.92593832035511	0.07405369872658608	300.0740616796449	7.980918322019881E-6	69.99999201908169	70.0	3999.9997605748886	3999.999999998748	4.359715248306814E-5	1.7360176380699215E-10	2.3870982758927097E-4	7.138580084264362E-7	1.2532424371515757E-9	69.99999642665497	3.5733450972573034E-6	582.3535351319475	87.64646486805223	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999992019082	1000.0000079809186	0.0	0.0	1.0	0.0	0.0	0.0	0.638466454653781	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.011110797079643717	0.024611486253336715	3.6286308229258266E-6	5.586642540228169E-6	8.555572607280216E-15	0.029117676756597377	20.382373729618163	1.9471634711367157E-4	2.0984978319771298E-8	1.743885994940195E-4	1.0407068752616352E-6	3.112217644462668E-9	2.7776282209110054E-9	0.0	0.0	3.5733450972573034E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.661597455845372E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.0	1.0	1.0	63.91340395084047	0.08658412491832984	300.0865960491597	1.1924241205962852E-5	69.99998807575884	70.0	3999.999546150525	3999.999999991247	6.392796682878594E-5	9.34953172991875E-10	4.512841291740005E-4	2.5556591540211252E-6	8.753482695466578E-9	69.9999941607491	5.83925098078846E-6	562.2956121209905	107.70438787900923	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999988075757	1000.0000119242412	0.0	0.0	1.0	0.0	0.0	0.0	0.7976047928087346	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.012991367659318416	0.02460666052107358	4.242621396596836E-6	8.346968147887635E-6	2.0888591147123024E-14	0.02811478060604953	19.68034642423467	2.797647052310516E-4	3.852879300029664E-8	2.557118383014696E-4	2.8849676840193047E-6	1.6337809362394562E-8	1.4959250767837268E-8	0.0	0.0	5.83925098078846E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.571257513704815E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6.0	1.0	1.0	63.90262001015242	0.09736355226812374	300.0973799898477	1.6437579465275197E-5	69.99998356242057	70.0	3999.9992472886174	3999.999999959463	8.565966519999128E-5	3.4879480597208855E-9	7.456728511464066E-4	6.994507177062302E-6	4.053760915458548E-8	69.99999143241979	8.567580267381343E-6	542.928541358242	127.07145864175806	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999983562418	1000.0000164375793	0.0	0.0	1.0	0.0	0.0	0.0	0.9565522794917029	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.014609273471084264	0.02460250870390868	4.770812938229254E-6	1.1506304217389833E-5	4.224908444106136E-14	0.0271464270679121	19.00249894753847	3.7116385815760605E-4	6.266241597576986E-8	3.426385963229601E-4	6.387408677792412E-6	5.99147143026093E-8	5.580716895496861E-8	0.0	0.0	8.567580267381343E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011478627353900433	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7.0	1.0	1.0	63.893341995641705	0.10663656308148575	300.10665800435845	2.1441276820251448E-5	69.99997855872319	70.0	3999.9988601335976	3999.999999858005	1.0794885756693655E-4	1.0138565430739485E-8	0.0011237775435222548	1.5936726545410214E-5	1.4199542103374964E-7	69.99998830269764	1.1697302407761877E-5	524.2285279387696	145.77147206123013	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999978558722	1000.0000214412767	0.0	0.0	1.0	0.0	0.0	0.0	1.1153091435870865	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.016001171283727824	0.024598936668322056	5.2251899867614626E-6	1.5008891266125035E-5	7.524152969250485E-14	0.02621142639693848	18.347998477856937	4.6633706327815213E-4	9.376579454881156E-8	4.317953072204703E-4	1.2131050198260572E-5	1.720351423933704E-7	1.6221704688607326E-7	0.0	0.0	1.1697302407761877E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013383709723045038	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8.0	1.0	1.0	63.88535952910574	0.11461360409073086	300.1146404708944	2.6866803548042138E-5	69.99997313319648	70.0	3999.998383859077	3999.999999593583	1.3012085308000131E-4	2.4599358458870228E-8	0.001583926152624401	3.1783755336797744E-5	4.0641691940657725E-7	69.99998482635586	1.5173644205551119E-5	506.1725964664969	163.8274035335029	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999973133197	1000.0000268668034	0.0	0.0	1.0	0.0	0.0	0.0	1.2738756137048095	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.017198610292381563	0.024595863418705708	5.616064439905462E-6	1.8806758406956332E-5	1.2230019539352895E-13	0.025308629823324845	17.71604087632739	5.633054750340391E-4	1.320455599956134E-7	5.204832020263697E-4	2.0610182219521143E-5	4.135729358510167E-7	3.935897353019333E-7	0.0	0.0	1.5173644205551119E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015286507364457712	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9.0	1.0	1.0	63.8784916024091	0.12147574238704703	300.12150839759107	3.2655203885999465E-5	69.99996734479615	70.0	3999.9978200230007	3999.9999990016654	1.516547824456484E-4	5.205068395033011E-8	0.0021216362735695994	5.7290340242485176E-5	9.983354373874684E-7	69.99998105135037	1.8948649707231936E-5	488.7385628595553	181.26143714044449	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999967344795	1000.0000326552039	0.0	0.0	1.0	0.0	0.0	0.0	1.4322519181806377	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.01822874151945887	0.0245932192669275	5.9523085937155835E-6	2.285863653247946E-5	1.8563160586621286E-13	0.02443692814297777	17.105849700084434	6.605660292833567E-4	1.7757387559471472E-7	6.06618799178656E-4	3.2175628749699376E-5	8.688354085711264E-7	8.328109429974259E-7	0.0	0.0	1.8948649707231936E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001718702301816765	0.0	0.0	0.0	0.0	0.0	0.0	0.0
