time	BZ	Br	BrO3	Ce	HBrO2	HOBr	f	Reaction1	Reaction2	Reaction3	Reaction4	Reaction5
0.0	1.0	1.0E-7	0.06	0.05	5.0E-11	0.0	1.0	8.04E-9	7.999999999999999E-9	2.4E-8	1.0000000000000002E-13	0.05
1.0	1.0	0.028812324502993963	0.06	0.01839388948044944	5.0250523346921254E-11	0.0	1.0	0.0023165108900407147	0.002316535016186831	2.41202512065222E-8	1.0100460386557911E-13	0.01839388948044944
2.0	1.0	0.035132039579024825	0.06	0.0067666657888545475	5.025042909556815E-11	0.0	1.0	0.0028246159821535962	0.0028246401021575695	2.4120205965872708E-8	1.0100422497154887E-13	0.0067666657888545475
3.0	1.0	0.033812876255403364	0.06	0.002489299225159721	5.0250445836185475E-11	0.0	1.0	0.0027185552509344305	0.0027185793709404616	2.4120214001369026E-8	1.010042922694164E-13	0.002489299225159721
4.0	1.0	0.030224832137167416	0.06	9.157648565315047E-4	5.025049876277009E-11	0.0	1.0	0.00243007650382826	0.002430100623861864	2.4120239406129644E-8	1.0100450503628634E-13	9.157648565315047E-4
5.0	1.0	0.026263000861537208	0.06	3.3690154179566965E-4	5.025057400314286E-11	0.0	1.0	0.0021115452692675916	0.0021115693893396484	2.4120275521508572E-8	1.010048075058135E-13	3.3690154179566965E-4
6.0	1.0	0.022556081714370686	0.06	1.2395232167146766E-4	5.025066833744938E-11	0.0	1.0	0.001813508969835403	0.001813533089953997	2.41203208019757E-8	1.0100518673441352E-13	1.2395232167146766E-4
7.0	1.0	0.01927706787730051	0.06	4.561376386172634E-5	5.025078202279767E-11	0.0	1.0	0.001549876257334961	0.0015499003775054448	2.4120375370942883E-8	1.0100564375610903E-13	4.561376386172634E-5
8.0	1.0	0.016439968444825245	0.06	1.6795011312347724E-5	5.025091698120059E-11	0.0	1.0	0.0013217734629639498	0.0013217975831911533	2.4120440150976282E-8	1.0100618629806055E-13	1.6795011312347724E-5
9.0	1.0	0.014007678018294093	0.06	6.193362648969234E-6	5.0251076208012674E-11	0.0	1.0	0.001126217312670845	0.0011262414329513606	2.412051657984608E-8	1.010068264025399E-13	6.193362648969234E-6
10.0	1.0	0.011930564563657396	0.06	2.2933585714574305E-6	5.0251263582506584E-11	0.0	1.0	9.592173909180546E-4	9.592415113223368E-4	2.412060651960316E-8	1.010075796655421E-13	2.2933585714574305E-6
11.0	1.0	0.010159732560184726	0.06	8.587322125165108E-7	5.0251483829763734E-11	0.0	1.0	8.16842497838852E-4	8.16866618340555E-4	2.4120712238286593E-8	1.0100846508372024E-13	8.587322125165108E-7
12.0	1.0	0.008651106652049396	0.06	3.3096883082475693E-7	5.025174258557546E-11	0.0	1.0	6.955489748247714E-4	6.955730952946332E-4	2.412083644107622E-8	1.0100950531547754E-13	3.3096883082475693E-7
13.0	1.0	0.007366261169985044	0.06	1.368687951592441E-7	5.0252046557407514E-11	0.0	1.0	5.922473980667976E-4	5.922715188289785E-4	2.4120982347555607E-8	1.010107273283141E-13	1.368687951592441E-7
14.0	1.0	0.006272148420721119	0.06	6.551675599437302E-8	5.0252403577696806E-11	0.0	1.0	5.04280733025978E-4	5.043048539796662E-4	2.4121153717294466E-8	1.010121626134286E-13	6.551675599437302E-8
15.0	1.0	0.005340511526993853	0.06	3.9315087907926294E-8	5.025282289847438E-11	0.0	1.0	4.293771267703058E-4	4.294012479252529E-4	2.4121354991267704E-8	1.0101384837061723E-13	3.9315087907926294E-8
16.0	1.0	0.0045472394842358595	0.06	2.969188420700831E-8	5.025331456939752E-11	0.0	1.0	3.655980545325631E-4	3.656221699579033E-4	2.4121590993310807E-8	1.0101582500843283E-13	2.969188420700831E-8
17.0	1.0	0.0038717946949046837	0.06	2.6163915017203446E-8	5.0253892906271667E-11	0.0	1.0	3.112922934703366E-4	3.113164095244972E-4	2.41218685950104E-8	1.0101815008940087E-13	2.6163915017203446E-8
18.0	1.0	0.0032966785928312575	0.06	2.4870656767770484E-8	5.025457209400764E-11	0.0	1.0	2.6505295886363313E-4	2.6507707522273614E-4	2.4122194605123668E-8	1.0102088065407245E-13	2.4870656767770484E-8
19.0	1.0	0.002806989622574033	0.06	2.439673932431528E-8	5.0255369796908424E-11	0.0	1.0	2.2568196565495225E-4	2.2570608239766787E-4	2.412257750251604E-8	1.0102408773696062E-13	2.439673932431528E-8
20.0	1.0	0.002390038891483807	0.06	2.4223254573902723E-8	5.025630669437492E-11	0.0	1.0	1.9215912687529807E-4	1.921832440670305E-4	2.412302721329996E-8	1.0102785450236294E-13	2.4223254573902723E-8
21.0	1.0	0.002035022018172504	0.06	2.415996330365909E-8	5.0257407081767274E-11	0.0	1.0	1.636157702610693E-4	1.636398879802482E-4	2.412355539924829E-8	1.0103227866329885E-13	2.415996330365909E-8
22.0	1.0	0.0017327393966545717	0.06	2.413712665374338E-8	5.02586994972763E-11	0.0	1.0	1.3931224749102756E-4	1.3933636582968634E-4	2.4124175758692623E-8	1.0103747500630084E-13	2.413712665374338E-8
23.0	1.0	0.0014753578922520312	0.06	2.412918595813705E-8	5.0260217464171895E-11	0.0	1.0	1.186187745370633E-4	1.1864289360331101E-4	2.412490438280251E-8	1.0104357838183399E-13	2.412918595813705E-8
