time	cell	C	M	X	V1	V3	VM1	VM3	Kc	reaction1	reaction2	reaction3	reaction4	reaction5	reaction6	reaction7
0.0	1.0	0.01	0.01	0.01	0.0588235294117647	0.01	3.0	1.0	0.5	0.025	1.0E-4	8.333333333333334E-4	0.058527933786579944	1.0	0.009949748743718593	0.33333333333333337
1.0	1.0	0.03475821403775171	7.403527725652146E-4	7.321177984078234E-6	0.19499399799007813	7.403527725652146E-4	3.0	1.0	0.5	0.025	3.475821403775171E-4	1.1617940607212643E-6	0.1940231634129425	0.19346008910033516	7.366693986055509E-4	7.310473728215448E-4
2.0	1.0	0.05928598758156648	0.0013334161213463586	1.3240806685388492E-5	0.3180089733944221	0.0013334161213463586	3.0	1.0	0.5	0.025	5.928598758156648E-4	2.475198722574691E-6	0.3164247372621127	0.315804953234993	0.0013267821228924055	0.001320583550238726
3.0	1.0	0.08356829479796078	0.0019883105820349047	1.9793560521552037E-5	0.42960676004627657	0.0019883105820349047	3.0	1.0	0.5	0.025	8.356829479796078E-4	3.992810019690765E-6	0.4274651760319589	0.42677923913677884	0.0019784182947575305	0.001971551248364037
4.0	1.0	0.10760738044321304	0.002715151957948129	2.7085889270685368E-5	0.5313005597367164	0.002715151957948129	3.0	1.0	0.5	0.025	0.0010760738044321304	5.71017440619439E-6	0.5286501128065119	0.5278869371751622	0.002701643375180251	0.002693995076600423
5.0	1.0	0.13140545675689397	0.003526368611571829	3.524929695395499E-5	0.6243474237544712	0.003526368611571829	3.0	1.0	0.5	0.025	0.0013140545675689398	7.648254669630558E-6	0.6212302801563472	0.6203758198043257	0.003508823873763339	0.0035002534010857072
6.0	1.0	0.15496468590210108	0.004437402376022687	4.4448144766524776E-5	0.7098001887933724	0.004437402376022687	3.0	1.0	0.5	0.025	0.0015496468590210108	9.841832877820913E-6	0.7062531833862198	0.7052897925540385	0.004415324770859797	0.004405649883886554
7.0	1.0	0.1782871676180025	0.005467670615123022	5.4890526590461955E-5	0.7885472826094075	0.005467670615123022	3.0	1.0	0.5	0.025	0.001782871676180025	1.2338514681049911E-5	0.7846027014316548	0.7835082153650804	0.005440466787950868	0.0054294476113497326
8.0	1.0	0.20137492606171156	0.006641916424992073	6.684386140587433E-5	0.8613435635307839	0.006641916424992073	3.0	1.0	0.5	0.025	0.0020137492606171156	1.5201222071255345E-5	0.857029762812877	0.8557761689562114	0.006608869866699015	0.006596203004697234
9.0	1.0	0.22422989313905206	0.00799212464958727	8.065692998310799E-5	0.9288344568345508	0.00799212464958727	3.0	1.0	0.5	0.025	0.0022422989313905205	1.8512982336624982E-5	0.924176346904837	0.922727213424768	0.007952359644043781	0.0079376477387321
