model	status	load_time	simulate_time	repeat
BIOMD0000000001	success	0.017541473	0.084127628	1
BIOMD0000000001	success	0.004492575	0.045546357	2
BIOMD0000000001	success	0.004700767	0.039401253	3
BIOMD0000000001	success	0.002658132	0.048263681	4
BIOMD0000000001	success	0.002131371	0.055056387	5
BIOMD0000000002	success	0.001368465	0.032179531	1
BIOMD0000000002	success	0.001173398	0.029138579	2
BIOMD0000000002	success	0.001127542	0.02636595	3
BIOMD0000000002	success	0.001041691	0.028603291	4
BIOMD0000000002	success	9.22466E-4	0.025825253	5
BIOMD0000000003	success	0.002907401	1.57237855	1
BIOMD0000000003	success	6.81002E-4	1.47232389	2
BIOMD0000000003	success	5.46729E-4	1.468635097	3
BIOMD0000000003	success	5.6323E-4	1.465329346	4
BIOMD0000000003	success	5.5824E-4	1.472326264	5
BIOMD0000000004	success	4.81566E-4	1.428087162	1
BIOMD0000000004	success	4.65416E-4	1.420623605	2
BIOMD0000000004	success	4.94941E-4	1.495405732	3
BIOMD0000000004	success	4.98889E-4	1.514714939	4
BIOMD0000000004	success	5.20469E-4	1.519953028	5
BIOMD0000000005	success	0.001107313	0.156914767	1
BIOMD0000000005	success	5.6329E-4	0.122844058	2
BIOMD0000000005	success	8.22768E-4	0.120755459	3
BIOMD0000000005	success	4.01495E-4	0.125717412	4
BIOMD0000000005	success	4.23176E-4	0.126652101	5
BIOMD0000000006	success	6.89837E-4	0.185222748	1
BIOMD0000000006	success	3.19761E-4	0.120721802	2
BIOMD0000000006	success	3.35622E-4	0.117385374	3
BIOMD0000000006	success	3.21806E-4	0.118641829	4
BIOMD0000000006	success	3.11586E-4	0.115526597	5
BIOMD0000000007	success	0.00241271	14.883091399	1
BIOMD0000000007	success	0.001592236	14.855004352	2
BIOMD0000000007	success	0.001439297	14.781553656	3
BIOMD0000000007	success	0.001554884	14.905996101	4
BIOMD0000000007	success	0.001544434	14.920308913	5
BIOMD0000000008	success	5.79309E-4	0.221379331	1
BIOMD0000000008	success	5.64451E-4	0.221439664	2
BIOMD0000000008	success	5.91422E-4	0.217867236	3
BIOMD0000000008	success	4.81405E-4	0.2192109	4
BIOMD0000000008	success	4.68511E-4	0.218382985	5
BIOMD0000000009	success	0.001030707	0.142878314	1
BIOMD0000000009	success	9.19589E-4	0.135063661	2
BIOMD0000000009	success	8.39679E-4	0.132978361	3
BIOMD0000000009	success	8.86397E-4	0.132695377	4
BIOMD0000000009	success	0.001037661	0.131183425	5
BIOMD0000000010	success	5.17443E-4	0.005376897	1
BIOMD0000000010	success	3.90264E-4	0.005124826	2
BIOMD0000000010	success	3.64224E-4	0.004775738	3
BIOMD0000000010	success	3.95444E-4	0.004732487	4
BIOMD0000000010	success	3.85275E-4	0.004755169	5
BIOMD0000000011	success	5.2157E-4	0.015395263	1
BIOMD0000000011	success	6.79327E-4	0.015379564	2
BIOMD0000000011	success	4.87677E-4	0.01419114	3
BIOMD0000000011	success	5.01492E-4	0.015548892	4
BIOMD0000000011	success	5.43622E-4	0.015316885	5
BIOMD0000000012	success	0.002019417	0.046099356	1
BIOMD0000000012	success	0.001266942	0.040904419	2
BIOMD0000000012	success	0.001110087	0.040812908	3
BIOMD0000000012	success	0.001046518	0.04077158	4
BIOMD0000000012	success	9.71847E-4	0.040709384	5
BIOMD0000000013	success	0.001233548	2.850906323	1
BIOMD0000000013	success	0.001019717	2.857555455	2
BIOMD0000000013	success	0.001072556	2.858442024	3
BIOMD0000000013	success	0.001236895	2.846657385	4
BIOMD0000000013	success	0.001194425	2.856629401	5
BIOMD0000000014	success	0.004264927	0.940837787	1
BIOMD0000000014	success	0.004355737	0.934767121	2
BIOMD0000000014	success	0.004164919	0.931303422	3
BIOMD0000000014	success	0.003987255	0.914010771	4
BIOMD0000000014	success	0.004007152	0.924705456	5
BIOMD0000000015	success	8.23758E-4	0.02595703	1
BIOMD0000000015	success	7.6642E-4	0.023257435	2
BIOMD0000000015	success	6.56493E-4	0.025800265	3
BIOMD0000000015	success	7.20394E-4	0.025882449	4
BIOMD0000000015	success	7.35293E-4	0.025836824	5
BIOMD0000000016	success	3.22376E-4	0.074883111	1
BIOMD0000000016	success	2.93702E-4	0.075092496	2
BIOMD0000000016	success	2.8739E-4	0.074900654	3
BIOMD0000000016	success	2.82772E-4	0.075420472	4
BIOMD0000000016	success	2.87019E-4	0.07425505	5
BIOMD0000000017	success	0.001588676	0.63811874	1
BIOMD0000000017	success	0.001355798	0.642527201	2
BIOMD0000000017	success	0.00144213	0.626896409	3
BIOMD0000000017	success	0.001563178	0.693378241	4
BIOMD0000000017	success	0.00146812	0.628629335	5
BIOMD0000000018	success	0.00416597	0.080444328	1
BIOMD0000000018	success	0.003376636	0.08425425	2
BIOMD0000000018	success	0.002416641	0.082101934	3
BIOMD0000000018	success	0.002147326	0.08329089	4
BIOMD0000000018	success	0.002071864	0.083567007	5
BIOMD0000000019	success	0.003893819	9.85079498	1
BIOMD0000000019	success	0.006610223	10.072150273	2
BIOMD0000000019	success	0.004241321	9.990040941	3
BIOMD0000000019	success	0.003897655	10.043131791	4
BIOMD0000000019	success	0.003598181	10.329556004	5
BIOMD0000000020	success	0.001618121	0.195876271	1
BIOMD0000000020	success	0.001598503	0.191258004	2
BIOMD0000000020	success	0.001321062	0.183418276	3
BIOMD0000000020	success	0.001023583	0.184013785	4
BIOMD0000000020	success	0.001109854	0.185045663	5
BIOMD0000000021	success	8.52011E-4	0.503436016	1
BIOMD0000000021	success	7.56051E-4	0.497419192	2
BIOMD0000000021	success	7.63184E-4	0.498004704	3
BIOMD0000000021	success	7.42905E-4	0.499319143	4
BIOMD0000000021	success	8.07677E-4	0.504003364	5
BIOMD0000000022	success	9.7893E-4	0.476681256	1
BIOMD0000000022	success	0.001189474	0.477539131	2
BIOMD0000000022	success	0.001297116	0.479903182	3
BIOMD0000000022	success	8.92437E-4	0.478700655	4
BIOMD0000000022	success	7.58355E-4	0.474807921	5
BIOMD0000000023	success	0.003357868	0.506864514	1
BIOMD0000000023	success	0.003157721	0.502758009	2
BIOMD0000000023	success	0.00241653	0.497590935	3
BIOMD0000000023	success	0.002210201	0.499387349	4
BIOMD0000000023	success	0.001601459	0.502745189	5
BIOMD0000000024	success	3.86797E-4	0.004747849	1
BIOMD0000000024	success	2.74896E-4	0.002280865	2
BIOMD0000000024	success	2.42856E-4	0.002332382	3
BIOMD0000000024	success	2.71691E-4	0.002311713	4
BIOMD0000000024	success	6.547E-4	0.002248986	5
BIOMD0000000025	success	9.92795E-4	0.716524639	1
BIOMD0000000025	success	4.55306E-4	0.6516146	2
BIOMD0000000025	success	4.14449E-4	0.641429728	3
BIOMD0000000025	success	4.24157E-4	0.635558474	4
BIOMD0000000025	success	4.65835E-4	0.641561724	5
BIOMD0000000026	success	3.37585E-4	0.020099225	1
BIOMD0000000026	success	2.56722E-4	0.020551605	2
BIOMD0000000026	success	2.70388E-4	0.019902125	3
BIOMD0000000026	success	3.45879E-4	0.019497524	4
BIOMD0000000026	success	2.51152E-4	0.018394444	5
