model	objective_value	load_time	simulate_time	repeat
iEKO11_1354	0.9824784386977952	0.492429856	0.867555295	1
iEKO11_1354	0.9824784386977952	0.549876054	0.843688404	2
iEKO11_1354	0.9824784386977952	0.511600508	0.835159982	3
iEKO11_1354	0.9824784386977952	0.507690611	0.845402079	4
iEKO11_1354	0.9824784386977952	0.51790931	0.847778274	5
iEC1356_Bl21DE3	0.9767013604877828	0.501433875	0.817707594	1
iEC1356_Bl21DE3	0.9767013604877828	0.498320948	0.832407594	2
iEC1356_Bl21DE3	0.9767013604877828	0.49580118	0.816411808	3
iEC1356_Bl21DE3	0.9767013604877828	0.484895024	0.811406361	4
iEC1356_Bl21DE3	0.9767013604877828	0.490416392	0.815442546	5
iECO26_1355	0.9824784386975152	0.506984026	0.769006513	1
iECO26_1355	0.9824784386975152	0.473275541	0.759713705	2
iECO26_1355	0.9824784386975152	0.474761536	0.750340209	3
iECO26_1355	0.9824784386975152	0.471584688	0.745912681	4
iECO26_1355	0.9824784386975152	0.472747604	0.750433946	5
iUTI89_1310	0.9824784386974392	0.475647676	0.787885742	1
iUTI89_1310	0.9824784386974392	0.469059372	0.811372497	2
iUTI89_1310	0.9824784386974392	0.493154801	0.820570414	3
iUTI89_1310	0.9824784386974392	0.472509515	0.787515634	4
iUTI89_1310	0.9824784386974392	0.460658271	0.799622253	5
iAT_PLT_636	0.0	0.198860148	0.089684201	1
iAT_PLT_636	0.0	0.190732702	0.091454198	2
iAT_PLT_636	0.0	0.192695416	0.091832472	3
iAT_PLT_636	0.0	0.188872138	0.091352089	4
iAT_PLT_636	0.0	0.19417317	0.093710568	5
iECIAI1_1343	20.52222562982265	0.508633731	0.837404451	1
iECIAI1_1343	20.52222562982265	0.509246847	0.839332937	2
iECIAI1_1343	20.52222562982265	0.496184606	0.835134916	3
iECIAI1_1343	20.52222562982265	0.493611228	0.841820864	4
iECIAI1_1343	20.52222562982265	0.478649727	0.855877525	5
iJB785	0.05390186774381182	0.180048775	0.119446185	1
iJB785	0.05390186774381182	0.181781603	0.120419944	2
iJB785	0.05390186774381182	0.183401811	0.118259413	3
iJB785	0.05390186774381182	0.183179851	0.118229506	4
iJB785	0.05390186774381182	0.188074809	0.119692155	5
iIS312	50.678072611542405	0.112758089	0.049502405	1
iIS312	50.678072611542405	0.112416467	0.049446859	2
iIS312	50.678072611542405	0.113142605	0.049516531	3
iIS312	50.678072611542405	0.113379273	0.048454308	4
iIS312	50.678072611542405	0.108266282	0.049458613	5
iECH74115_1262	0.9824784386977888	0.494402518	0.788878313	1
iECH74115_1262	0.9824784386977888	0.490103463	0.791580493	2
iECH74115_1262	0.9824784386977888	0.494090934	0.789026594	3
iECH74115_1262	0.9824784386977888	0.489900634	0.791424717	4
iECH74115_1262	0.9824784386977888	0.49166223	0.790628173	5
iECABU_c1320	0.9824784386977571	0.495139893	0.851272791	1
iECABU_c1320	0.9824784386977571	0.496836201	0.856086701	2
iECABU_c1320	0.9824784386977571	0.479233749	0.844351616	3
iECABU_c1320	0.9824784386977571	0.468593879	0.838521116	4
iECABU_c1320	0.9824784386977571	0.471023358	0.847586898	5
iEC1364_W	0.9853648657331905	0.510308449	0.867940234	1
iEC1364_W	0.9853648657331905	0.497805539	0.87417814	2
iEC1364_W	0.9853648657331905	0.501467098	0.870532263	3
iEC1364_W	0.9853648657331905	0.501979798	0.872700363	4
iEC1364_W	0.9853648657331905	0.50841912	0.8692061	5
iCN900	3.146581161788456E-12	0.241408365	0.217753364	1
iCN900	3.146581161788456E-12	0.246057889	0.215993215	2
iCN900	3.146581161788456E-12	0.239573309	0.215161112	3
iCN900	3.146581161788456E-12	0.238148696	0.216198619	4
iCN900	3.146581161788456E-12	0.245924846	0.214907323	5
iRC1080	0.0	0.427508867	0.701459607	1
iRC1080	0.0	0.428980694	0.702308785	2
iRC1080	0.0	0.433738083	0.70442876	3
iRC1080	0.0	0.432316869	0.700136799	4
iRC1080	0.0	0.430774422	0.701716499	5
iECOK1_1307	0.9824784386983384	0.486900718	0.809664909	1
iECOK1_1307	0.9824784386983384	0.482364541	0.803759575	2
iECOK1_1307	0.9824784386983384	0.488727853	0.822454341	3
iECOK1_1307	0.9824784386983384	0.492796175	0.814516473	4
iECOK1_1307	0.9824784386983384	0.48396798	0.809861148	5
iSDY_1059	0.9378903140628267	0.454327425	0.788353911	1
iSDY_1059	0.9378903140628267	0.444260346	0.782073319	2
iSDY_1059	0.9378903140628267	0.454702524	0.779961837	3
iSDY_1059	0.9378903140628267	0.469766725	0.786165759	4
iSDY_1059	0.9378903140628267	0.440982667	0.780740445	5
iJR904	0.9219480949190141	0.235224086	0.176684326	1
iJR904	0.9219480949190141	0.225589715	0.175998113	2
iJR904	0.9219480949190141	0.226470583	0.174529736	3
iJR904	0.9219480949190141	0.226455404	0.173224193	4
iJR904	0.9219480949190141	0.240266273	0.172855941	5
iSFV_1184	0.8938577496061014	0.462745628	0.709371827	1
iSFV_1184	0.8938577496061014	0.45776825	0.718273144	2
iSFV_1184	0.8938577496061014	0.465333406	0.718269917	3
iSFV_1184	0.8938577496061014	0.479369026	0.718428783	4
iSFV_1184	0.8938577496061014	0.47567983	0.737841732	5
iLF82_1304	0.9824784386971764	0.520681147	0.790778873	1
iLF82_1304	0.9824784386971764	0.515381472	0.775223574	2
iLF82_1304	0.9824784386971764	0.50790705	0.780912629	3
iLF82_1304	0.9824784386971764	0.509314658	0.782772445	4
iLF82_1304	0.9824784386971764	0.521935595	0.786433823	5
iEC042_1314	0.9824784386977851	0.511541708	0.814040094	1
iEC042_1314	0.9824784386977851	0.511816014	0.811868161	2
iEC042_1314	0.9824784386977851	0.500711538	0.823631147	3
iEC042_1314	0.9824784386977851	0.515441401	0.81254044	4
iEC042_1314	0.9824784386977851	0.510107942	0.816804971	5
iG2583_1286	0.9824784386976622	0.485688886	0.85385452	1
iG2583_1286	0.9824784386976622	0.48785049	0.845054557	2
iG2583_1286	0.9824784386976622	0.491126738	0.861112494	3
iG2583_1286	0.9824784386976622	0.4860519	0.85356721	4
iG2583_1286	0.9824784386976622	0.482351194	0.849993143	5
iIT341	0.6928126904789708	0.109825878	0.057506277	1
iIT341	0.6928126904789708	0.114199082	0.05760588	2
iIT341	0.6928126904789708	0.113094611	0.057596485	3
iIT341	0.6928126904789708	0.115188378	0.05535451	4
iIT341	0.6928126904789708	0.114636074	0.057541422	5
iML1515	0.8769972144269742	0.530861512	0.842631568	1
iML1515	0.8769972144269742	0.528881961	0.844592982	2
iML1515	0.8769972144269742	0.525662559	0.837472679	3
iML1515	0.8769972144269742	0.523740213	0.836340316	4
iML1515	0.8769972144269742	0.530510937	0.839774544	5
iEC1349_Crooks	0.9865789307478754	0.505231962	0.899007012	1
iEC1349_Crooks	0.9865789307478754	0.496890814	0.879407058	2
iEC1349_Crooks	0.9865789307478754	0.495513173	0.886598666	3
iEC1349_Crooks	0.9865789307478754	0.495200599	0.891236562	4
iEC1349_Crooks	0.9865789307478754	0.496859405	0.897483466	5
iCHOv1	0.03236897160315995	1.116405159	5.396693008	1
iCHOv1	0.03236897160315995	1.085735442	5.45176519	2
iCHOv1	0.03236897160315995	1.083310208	5.404263001	3
iCHOv1	0.03236897160315995	1.079784727	5.404556514	4
iCHOv1	0.03236897160315995	1.09176003	5.411441518	5
iECIAI39_1322	0.9828409641029333	0.500850328	0.817849095	1
iECIAI39_1322	0.9828409641029333	0.49988334	0.829802817	2
iECIAI39_1322	0.9828409641029333	0.539062169	0.810353856	3
iECIAI39_1322	0.9828409641029333	0.519248213	0.827727762	4
iECIAI39_1322	0.9828409641029333	0.511642781	0.814374331	5
iJN1463	0.5861175448452671	0.515594809	1.069527594	1
iJN1463	0.5861175448452671	0.523775572	1.07442743	2
iJN1463	0.5861175448452671	0.524252175	1.079214006	3
iJN1463	0.5861175448452671	0.538213788	1.081549928	4
iJN1463	0.5861175448452671	0.535802665	1.087022058	5
iECD_1391	0.9756145116810595	0.507238204	0.93166771	1
iECD_1391	0.9756145116810595	0.515325895	0.931109493	2
iECD_1391	0.9756145116810595	0.496668578	0.926846784	3
iECD_1391	0.9756145116810595	0.513991385	0.92904646	4
iECD_1391	0.9756145116810595	0.48750285	0.92245334	5
e_coli_core	0.8739215069685011	0.028752709	0.002420566	1
e_coli_core	0.8739215069685011	0.026764405	0.002403073	2
e_coli_core	0.8739215069685011	0.027803374	0.002293702	3
e_coli_core	0.8739215069685011	0.032802293	0.002256613	4
e_coli_core	0.8739215069685011	0.027039166	0.002402584	5
iAF987	0.047322375845094765	0.265454788	0.271661692	1
iAF987	0.047322375845094765	0.262952771	0.270913534	2
iAF987	0.047322375845094765	0.266028726	0.273754693	3
iAF987	0.047322375845094765	0.262848121	0.271432789	4
iAF987	0.047322375845094765	0.264837747	0.269311339	5
iEcSMS35_1347	0.9824784386978267	0.504507249	0.845950303	1
iEcSMS35_1347	0.9824784386978267	0.496422489	0.84626675	2
iEcSMS35_1347	0.9824784386978267	0.512587789	0.850745669	3
iEcSMS35_1347	0.9824784386978267	0.500339828	0.850415113	4
iEcSMS35_1347	0.9824784386978267	0.505571232	0.850881126	5
iMM904	0.2878656693167251	0.315474553	0.381747693	1
iMM904	0.2878656693167251	0.312199186	0.385844618	2
iMM904	0.2878656693167251	0.313848692	0.384553168	3
iMM904	0.2878656693167251	0.319010474	0.386616063	4
iMM904	0.2878656693167251	0.312486535	0.386000962	5
iECB_1328	0.9824784386977953	0.499377672	0.86221788	1
iECB_1328	0.9824784386977953	0.499991578	0.854668669	2
iECB_1328	0.9824784386977953	0.486203043	0.856316169	3
iECB_1328	0.9824784386977953	0.501321266	0.860738855	4
iECB_1328	0.9824784386977953	0.49049155	0.867898976	5
iAF1260	0.7367009398641007	0.454143692	0.653542696	1
iAF1260	0.7367009398641007	0.471140404	0.647523408	2
iAF1260	0.7367009398641007	0.456859782	0.650508969	3
iAF1260	0.7367009398641007	0.458020473	0.654804206	4
iAF1260	0.7367009398641007	0.452754271	0.650582566	5
iSynCJ816	0.0	0.223405666	0.153132587	1
iSynCJ816	0.0	0.209989179	0.154192095	2
iSynCJ816	0.0	0.206460804	0.154298543	3
iSynCJ816	0.0	0.207754417	0.154401525	4
iSynCJ816	0.0	0.20824037	0.154232	5
iECs_1301	0.9824784388730354	0.490802586	0.868053793	1
iECs_1301	0.9824784388730354	0.48945097	0.858153865	2
iECs_1301	0.9824784388730354	0.492124441	0.859660411	3
iECs_1301	0.9824784388730354	0.486298961	0.863854101	4
iECs_1301	0.9824784388730354	0.483968606	0.858438216	5
iY75_1357	0.9824784386981142	0.494271643	0.843950344	1
iY75_1357	0.9824784386981142	0.507365897	0.844263693	2
iY75_1357	0.9824784386981142	0.498540676	0.844488516	3
iY75_1357	0.9824784386981142	0.498596162	0.844862779	4
iY75_1357	0.9824784386981142	0.508431942	0.853371507	5
iIS312_Amastigote	25.33903630579905	0.107262167	0.04489454	1
iIS312_Amastigote	25.33903630579905	0.112091762	0.044915409	2
iIS312_Amastigote	25.33903630579905	0.109752896	0.04490499	3
iIS312_Amastigote	25.33903630579905	0.122814546	0.044510367	4
iIS312_Amastigote	25.33903630579905	0.110657828	0.044461064	5
iNF517	0.04263460555012005	0.144630283	0.085012316	1
iNF517	0.04263460555012005	0.145193832	0.085126606	2
iNF517	0.04263460555012005	0.147912003	0.084348352	3
iNF517	0.04263460555012005	0.144561806	0.084854642	4
iNF517	0.04263460555012005	0.163716138	0.085123322	5
iECBD_1354	0.975614509989142	0.50730539	0.782620087	1
iECBD_1354	0.975614509989142	0.508573307	0.784281751	2
iECBD_1354	0.975614509989142	0.518830271	0.78440728	3
iECBD_1354	0.975614509989142	0.500750992	0.783840673	4
iECBD_1354	0.975614509989142	0.502860295	0.784260198	5
iEC1368_DH5a	0.9823963461354691	0.489942123	0.897704146	1
iEC1368_DH5a	0.9823963461354691	0.510755724	0.881523987	2
iEC1368_DH5a	0.9823963461354691	0.49536594	0.8787658	3
iEC1368_DH5a	0.9823963461354691	0.498501803	0.878036409	4
iEC1368_DH5a	0.9823963461354691	0.500960927	0.883137527	5
iSSON_1240	0.9826450753330183	0.490663363	0.869743957	1
iSSON_1240	0.9826450753330183	0.481921294	0.905177365	2
iSSON_1240	0.9826450753330183	0.494164779	0.882673015	3
iSSON_1240	0.9826450753330183	0.469200783	0.847640772	4
iSSON_1240	0.9826450753330183	0.487196007	0.867221034	5
RECON1	-3.0965420066274174E-28	0.700216328	1.295819225	1
RECON1	-3.0965420066274174E-28	0.676936105	1.281815727	2
RECON1	-3.0965420066274174E-28	0.677934428	1.326114722	3
RECON1	-3.0965420066274174E-28	0.696833045	1.290719781	4
RECON1	-3.0965420066274174E-28	0.681537559	1.293140233	5
iJO1366	0.9823718127277656	0.491888437	0.781294939	1
iJO1366	0.9823718127277656	0.490096962	0.784066214	2
iJO1366	0.9823718127277656	0.50361216	0.782274189	3
iJO1366	0.9823718127277656	0.491551101	0.7856563	4
iJO1366	0.9823718127277656	0.522129489	0.789192599	5
iIS312_Epimastigote	50.67807261154574	0.109425381	0.052556899	1
iIS312_Epimastigote	50.67807261154574	0.113021994	0.052614438	2
iIS312_Epimastigote	50.67807261154574	0.115111027	0.052612342	3
iIS312_Epimastigote	50.67807261154574	0.113074123	0.051787378	4
iIS312_Epimastigote	50.67807261154574	0.109881339	0.052559905	5
iECO111_1330	0.9824784386971891	0.506742079	0.814275592	1
iECO111_1330	0.9824784386971891	0.500640845	0.801706127	2
iECO111_1330	0.9824784386971891	0.499825021	0.804894326	3
iECO111_1330	0.9824784386971891	0.49476395	0.809360275	4
iECO111_1330	0.9824784386971891	0.508958482	0.804041482	5
iAM_Pk459	0.6871751709165587	0.188740013	0.172398565	1
iAM_Pk459	0.6871751709165587	0.194283735	0.169363185	2
iAM_Pk459	0.6871751709165587	0.197782699	0.176729031	3
iAM_Pk459	0.6871751709165587	0.189051954	0.166550788	4
iAM_Pk459	0.6871751709165587	0.196310924	0.170731848	5
iAM_Pv461	0.6871751707820483	0.197019471	0.158348678	1
iAM_Pv461	0.6871751707820483	0.193377532	0.159115242	2
iAM_Pv461	0.6871751707820483	0.192793297	0.158970511	3
iAM_Pv461	0.6871751707820483	0.191077279	0.163425322	4
iAM_Pv461	0.6871751707820483	0.188362915	0.156588697	5
iMM1415	0.0	0.652364821	1.772217973	1
iMM1415	0.0	0.630865167	1.769432778	2
iMM1415	0.0	0.63495391	1.764421197	3
iMM1415	0.0	0.629843271	1.780504265	4
iMM1415	0.0	0.64523828	1.775954703	5
iEC1344_C	0.9823963461357497	0.481352509	0.900594102	1
iEC1344_C	0.9823963461357497	0.482228341	0.883110414	2
iEC1344_C	0.9823963461357497	0.483237179	0.885369098	3
iEC1344_C	0.9823963461357497	0.476816759	0.877972828	4
iEC1344_C	0.9823963461357497	0.49922082	0.883894668	5
iUMN146_1321	0.9824784386978446	0.487144641	0.899411283	1
iUMN146_1321	0.9824784386978446	0.49200109	0.898387094	2
iUMN146_1321	0.9824784386978446	0.493089836	0.906184061	3
iUMN146_1321	0.9824784386978446	0.508375328	0.895874926	4
iUMN146_1321	0.9824784386978446	0.49309906	0.902891182	5
iECDH1ME8569_1439	0.9824784386997426	0.515478125	0.927852151	1
iECDH1ME8569_1439	0.9824784386997426	0.510853494	0.912303278	2
iECDH1ME8569_1439	0.9824784386997426	0.526621923	0.916973663	3
iECDH1ME8569_1439	0.9824784386997426	0.521106286	0.924087891	4
iECDH1ME8569_1439	0.9824784386997426	0.511662196	0.920124031	5
iAM_Pf480	0.6871751707677515	0.206639833	0.164668629	1
iAM_Pf480	0.6871751707677515	0.207377536	0.162638675	2
