Mos-P	Mek1-PP	MAPK-Pase	MAPKK-Pase	Erk2-P	Mek1-P	Mos	P-Mos_Mek1	Erk2-PP	MAPKKK activator (Ras)	PP-Mek1_Erk2	MAPKK-Pase_PP-Mek1	MAPK-Pase_PP-Erk2	P-Mos_P-Mek1	Mek1	PP-Mek1_P-Erk2	MAPK-Pase_P-Erk2	MAPKK-Pase_P-Mek1	E2_Mos-P	Erk2	E1_Mos	MAPKKK inactivator	K_PP_norm	KK_PP_norm	KKK_P_norm	relative maximal K_PP
0.0	0.0	0.12	0.0003	0.0	0.0	0.003	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	1.2000000000000002	0.0	0.0	0.0	0.0	1.2000000000000002	0.0	0.0003	0.0	0.0	0.0	0.0
8.70749635284612e-06	5.434444463380536e-07	0.11999804059308021	0.0002975545528579626	4.96457562584475e-06	0.0024808788096008804	0.002956275849477637	3.4643907488095913e-05	1.884674298730414e-11	2.9707243384058257e-05	2.145510597489774e-06	5.320370441008048e-10	7.338925093936112e-12	7.131122403212298e-08	1.1974792715607403	8.760164347407652e-12	1.9593995809544642e-06	2.444915104993059e-06	8.678841446206314e-09	1.19999093047925	2.927566159417209e-07	0.00029999132115855406	2.182139006770021e-11	2.241246534196898e-06	0.014475692850689868	2.4244668976578173e-11
1.7040576348245848e-05	8.104482811494515e-06	0.1199691995913462	0.00029099046620890045	7.751725797517122e-05	0.009308496352299323	0.00291460674089866	6.752074150237804e-05	4.794436027739577e-09	2.9711330529162953e-05	3.2207020806153795e-05	7.811582111777232e-09	1.8925084449016066e-09	5.262593344503504e-07	1.1905741335420794	2.067375739740137e-09	3.079851614541316e-05	9.001722208987667e-06	1.701244542800448e-08	1.1998594684507535	2.8866947083702545e-07	0.0002999829875545721	5.572453727200985e-09	3.360115214624985e-05	0.028365415993263577	6.191278171745078e-09
2.5012011706125747e-05	3.8072166104169865e-05	0.11985276775790894	0.0002816122450679786	0.0003699814563856527	0.019587165901039344	0.0028747597477474874	9.829039912586797e-05	1.1089266512301784e-07	2.9715240003127685e-05	0.00015156772639280883	3.5593548141486076e-08	4.39291671207746e-08	1.6280974846223868e-06	1.1801048413943096	4.6560611221929753e-08	0.00014718831292398094	1.835216138387978e-05	2.4983939021356934e-08	1.1993310611218537	2.847599968722942e-07	0.0002999750160609788	1.2901819353649368e-07	0.00015810170554695182	0.04164780282366139	1.4334574399448663e-07
3.264152945500609e-05	0.00011163787418655184	0.11956469447654643	0.0002705724293128118	0.001094637468532509	0.03255917447880546	0.002836655950558482	0.0001268540868803964	9.790238915684042e-07	2.9718979411321202e-05	0.00044444624850888874	1.0039141182987866e-07	3.877700486399964e-07	3.5347994196294176e-06	1.1667245201081722	4.048333394086729e-07	0.00043491775340493175	2.9327179275358145e-05	3.261309780483512e-08	1.1980242269022734	2.810205886787749e-07	0.0002999673869021952	1.1389949501736675e-06	0.00046382445620556605	0.054349153826834674	1.2654810462248918e-06
3.9950327723379185e-05	0.00025314498515754404	0.11900874467799699	0.0002587652057589158	0.0024997185123547968	0.04759872087298628	0.0028002206172991683	0.00015318390415016027	5.139075531620214e-06	2.972255596191569e-05	0.0010063480373563537	2.178556970518735e-07	2.0287170779395698e-06	6.327785627486033e-06	1.150938940543919	2.099076562296948e-06	0.0009892266049250542	4.1016938544032234e-05	3.992116171913256e-08	1.1954954399761917	2.774440380842786e-07	0.00029996007883828095	5.973160507966489e-06	0.0010515082956443719	0.0664943735003858	6.636483689184131e-06
4.696092050172332e-05	0.0004883541508095905	0.1180843250600965	0.0002468251872742371	0.004857026423288405	0.06419019603175861	0.002765383353330606	0.00017730054317972963	1.9527712680630664e-05	2.9725976449828404e-05	0.001935381436887498	4.0106139167111123e-07	7.655665023335832e-06	1.0034228757065649e-05	1.1331376837780547	7.875017827655088e-06	0.0019080192748801713	5.277375133409175e-05	4.6930680701019915e-08	1.1912645144694123	2.7402355017155824e-07	0.00029995306931929905	2.2652814753305414e-05	0.0020266763890970122	0.07810692039502667	2.5168423889483143e-05
5.36968332412713e-05	0.0008433865755831276	0.11669196127722219	0.00023517165174856625	0.008459078225250839	0.08190433324847397	0.0027320782132731467	0.0001992573558488645	5.9674894706120496e-05	2.9729247244477197e-05	0.003325384198994577	6.60136353153236e-07	2.3133452604391984e-05	1.4643179670350265e-05	1.113624466324959	2.3700768219344275e-05	0.0032849052701734503	6.416821189828035e-05	5.366521084022072e-08	1.1848241231900511	2.707527555227679e-07	0.0002999463347891598	6.900695609209373e-05	0.003494276399291833	0.08920876989606594	7.66702213902729e-05
6.0182246964700515e-05	0.0013441510248722208	0.1147372211526063	0.0002240622891133823	0.013623946208008962	0.10037798742640094	0.002700243761067716	0.00021912926994251442	0.00015623054648842576	2.973237428270359e-05	0.00526000476404288	1.0026245359481917e-06	5.957662304758196e-05	2.011694734885989e-05	1.0926418089212866	6.086393522027634e-05	0.005203202224346144	7.493508635066936e-05	6.014895890904975e-08	1.1756361756988458	2.6762571729637285e-07	0.00029993985104109105	0.0001798393079466731	0.005555018623892767	0.09982039428449684	0.00019981057469834764
6.644164506440259e-05	0.002016126119144844	0.11213365063058697	0.0002136407121298369	0.020706642564743107	0.11929893926570842	0.002669823075783548	0.00023700505733695358	0.00036516882543265037	2.9735363067109826e-05	0.007807059207863331	1.4341633353632908e-06	0.00013613995667163727	2.6399178452675857e-05	1.0703893130602704	0.000138798823354087	0.007730209412741452	8.492512453479967e-05	6.640642952731438e-08	1.163115981209194	2.6463693289011803e-07	0.00029993359357047283	0.00041775731842023944	0.008302848594748015	0.10996076087801583	0.00046414952788152594
7.249949063149816e-05	0.002884437229582249	0.10880512721032973	0.0002039733235584987	0.030116666495985378	0.13839523726997816	0.002640763706699126	0.00025298183147938426	0.0007842228895369155	2.9738218669467068e-05	0.011012535410305781	1.9592500627029695e-06	0.00028376696834302433	3.3420727756613946e-05	1.0470364641374454	0.00028889671701205804	0.010911105821327307	9.406742637879819e-05	7.246210284233688e-08	1.14660280569749	2.617813305328879e-07	0.00029992753789715777	0.0008899915482332827	0.011823190505802316	0.11964734706919182	0.0009888256619731623
7.837994645903922e-05	0.003974243893764618	0.10468797230546764	0.00019507600780279538	0.04234195266311303	0.15742804082889691	0.002613017584013007	0.0002671610269311833	0.0015803562371559017	2.9740945738571274e-05	0.014893501879991548	2.5820218910452243e-06	0.0005503224466427137	4.110404818045667e-05	1.0227312772041237	0.0005597471259151275	0.014761705247889752	0.00010234197030615923	7.83401548828649e-08	1.1253124143992927	2.590542614286864e-07	0.0002999216598451172	0.0017755655698321782	0.016191729101301944	0.1288961701395895	0.001972743228237772
8.410664014811652e-05	0.005311569023594136	0.09973322307870451	0.00018693261215042245	0.05797956192614519	0.17618695694616116	0.002586540892478045	0.00027964538797340007	0.003037404218684562	2.974354851182979e-05	0.019428851294480094	3.3070913321784575e-06	0.0010078172079204038	4.9366563689250734e-05	0.9976059831262146	0.0010245602700388638	0.019258959713375205	0.00010976029651739895	8.406422301452679e-08	1.0982628453693564	2.5645148817016134e-07	0.0002999159357769857	0.003371017855504137	0.021473573066204375	0.1377218294191527	0.0037453714803351123
8.970246988731916e-05	0.006924924693593251	0.09390971233938104	0.00017950722951437645	0.0777719287549652	0.19448709015209026	0.0025612939149766063	0.00029053666563610676	0.0056416929470106385	2.974603082988624e-05	0.02454615328544188	4.140611870885955e-06	0.001762862952396798	5.812332311776737e-05	0.9717806859946702	0.0017919931149667132	0.024327424708222294	0.00011635215861473746	8.965721208295347e-08	1.0641579442369975	2.539691701137326e-07	0.0002999103427879172	0.006170463249506192	0.027722676421560566	0.14613755845390275	0.006855697022613427
9.518943991576766e-05	0.008848588678900265	0.08720922672485906	0.00017275181041673092	0.10264081151434672	0.21216730340502737	0.0025372408518082186	0.00029993381497337644	0.010241352509324262	2.9748396153712645e-05	0.030101676228939212	5.091983028817532e-06	0.0029721169308238125	6.728914832607985e-05	0.9453656481229343	0.003022312411318504	0.029818656344317303	0.00012215620655445141	9.514113026584624e-08	1.0212030740609317	2.5160384628733097e-07	0.0002999048588697343	0.011011224533456716	0.0349813910851556	0.15415528526199943	0.01223402785121334
0.0001005885048220548	0.011129597296960368	0.07965646195484043	0.00016660991209763466	0.13368822590795315	0.22908949783793678	0.0025143496191202173	0.0003079315097945946	0.01835242488668002	2.9750647583827225e-05	0.03584847907411953	6.177136797463254e-06	0.004865177699648987	7.67804769131142e-05	0.9184626144094935	0.004951709306882058	0.03547836034551075	0.00012721295110490198	1.0053693384280076e-07	0.9668156227792071	2.4935241617275493e-07	0.0002998994630661572	0.01934800215527415	0.043279969012299434	0.16178569954100613	0.02149660980154875
0.00010591938095421095	0.013843626533448146	0.07132979953994557	0.00016101630980583218	0.17206017760199974	0.24513915314826695	0.0024925916253739967	0.00031461873925579375	0.03275922010446659	2.9752787881740314e-05	0.041384137898361914	7.425677911680175e-06	0.007777137463573413	8.651717795844573e-05	0.8911653452153145	0.007927617597202626	0.04089306299648122	0.00013155801228248763	1.0586433928976928e-07	0.897198646337917	2.472121182596528e-07	0.00029989413566071024	0.03378029797336659	0.05263567308910352	0.1690383272074039	0.03753162102659587
