RA	cyp26_mRNA	CYP26	FGF	FGF_mRNA	Values[vs1]	Values[rho]	Values[alpha2]	Values[alpha1]
0.291566681436314	5.952570985490203	17.114385480397345	0.4344069331431538	1.5	4.97	1.34153902736941	0.30284776454005047	0.2257465182611176
0.2733589218935644	6.195672972512742	18.24153623099716	0.4792219626392664	1.5	4.97	1.5091101833662024	0.32396893417146544	0.2146754675320157
0.25845716793894086	6.386840832032921	19.281311008029896	0.5214080889973368	1.5	4.97	1.668713967128427	0.3427141558981481	0.20537621344891172
0.24641444299047657	6.53357077325384	20.212987231566622	0.5596753726819859	1.5	4.97	1.8150905507443604	0.35884093734171074	0.19769864219421543
0.23675894214090065	6.64461166242728	21.02819170744845	0.5933505072967123	1.5	4.97	1.9452645093969696	0.3723917020012089	0.19143499519078258
0.22905250173529046	6.72812360924927	21.728047998103037	0.622283112707301	1.5	4.97	2.0582435524393095	0.38358478112295796	0.18636510760272068
0.22291572386782138	6.790898942129046	22.31992523761272	0.6466880932328186	1.5	4.97	2.1544645133673366	0.3927204525801997	0.18228216345341158
0.2180331364566682	6.838238259876805	22.814630466526847	0.6669913256389536	1.5	4.97	2.2352363274508678	0.40011685446731254	0.1790042733081464
0.2141485375828027	6.874128945497673	23.224337090115206	0.6837102253273161	1.5	4.97	2.3022974571723083	0.40607357194994864	0.17637754438937267
0.21105663078340167	6.901513116021438	23.561226461699068	0.6973747914081226	1.5	4.97	2.357512192339582	0.410854924285513	0.17427478238311161
0.20859408820972677	6.92254435923224	23.83669413504628	0.7084823057716864	1.5	4.97	2.40268586089451	0.4146851877706041	0.17259234530818712
0.20663141246936953	6.938798148609326	24.06095381301395	0.7174756590183198	1.5	4.97	2.439466530175808	0.4177501178843005	0.1712465052161195
0.20506604775955534	6.951431778629773	24.242898206687997	0.7247364214814412	1.5	4.97	2.4693033292630875	0.4202012623232817	0.17016996548928726
0.2038167644287154	6.961301232754785	24.390113011120604	0.7305861893935648	1.5	4.97	2.493438774922568	0.4221611115766376	0.169308793872329
0.2028191724573971	6.9690449045473075	24.508973563906313	0.7352920056929915	1.5	4.97	2.5129197160777634	0.4237281122028517	0.16861983671496622
0.20202217359154132	6.975143097102883	24.604779284716308	0.7390733519085586	1.5	4.97	2.5286171718446893	0.4249811263552841	0.16806859143697495
0.20138516878843202	6.9799602911637635	24.681898878005942	0.74210933360412	1.5	4.97	2.541249283157174	0.42598321430769526	0.16762748036212574
0.20087586325638057	6.983775307221282	24.743911102368507	0.7445453727462995	1.5	4.97	2.5514041608372393	0.42678475686431744	0.16727446141824456
0.20046854033739148	6.986802993312988	24.793733385700435	0.7464991189723179	1.5	4.97	2.5595609975075746	0.4274259922968504	0.16699191490769913
0.20014270225351713	6.9892099668865235	24.833735080262468	0.7480655075600056	1.5	4.97	2.5661087430387246	0.42793905853343817	0.16676575367054905
0.19988199766307688	6.991126159615532	24.86583477031776	0.7493210008288451	1.5	4.97	2.5713621734299923	0.42834962849803415	0.16658471254037693
0.199673373994428	6.992653372688756	24.89158243421592	0.7503270970161119	1.5	4.97	2.575575457154504	0.4286782158004865	0.16643978129613418
0.19950640575513356	6.993871685791851	24.912228008530292	0.7511332088894225	1.5	4.97	2.5789534674180707	0.4289412165084774	0.1663237518348532
0.1993727619410196	6.994844298854531	24.92877800578667	0.7517790074855359	1.5	4.97	2.5816611132811986	0.42915173904533915	0.16623085688419525
0.19926578258904853	6.995621226822271	24.942042003848844	0.7522963243205093	1.5	4.97	2.5838309933040704	0.42932026614404295	0.1661564813088066
