MKK_P	MK_P	MKKK	MKK	MK	MKK_PP	MKKK_P	MK_PP
0.0	0.0	300.0	1199.99994221325	1199.99994221325	0.0	0.0	0.0
0.07134271029211729	6.218027229749462e-07	285.0957889713064	1199.9282762566654	1199.9999415914485	0.000323246292953826	14.904211028693691	2.4810490460920295e-14
0.2803199347592549	1.9628542669930357e-05	270.3914384838447	1199.7145409494658	1199.999922584684	0.005081329025511802	29.608561516155586	2.4325050832522494e-11
0.6140937864853392	0.0001464009146502921	255.90011732298467	1199.3607274822825	1199.9997958109834	0.025120944482583098	44.09988267701554	1.353054595791107e-09
1.0538988513405425	0.0006033952866435398	241.63604472405171	1198.8689639067431	1199.99933879498	0.07707945516672543	58.36395527594845	2.2984186880088222e-08
1.5767470525362801	0.0017936574141927501	227.61456065485606	1198.241524317104	1199.9981483527183	0.18167084360989777	72.3854393451441	2.0311834802980275e-07
2.157361540437381	0.004330324997114948	213.85219186800396	1197.4808385467131	1199.9956107041214	0.361742126099763	86.14780813199627	1.1841323128489982e-06
2.7701190516020233	0.009046590982546857	200.36670957832044	1196.5895024612482	1199.9908904521387	0.6403207003998341	99.63329042167977	5.170129793078487e-06
3.3908023210789735	0.016986437404452374	187.17717316569846	1195.5702888685234	1199.9829375357144	1.0388510236477204	112.82282683430171	1.8240132266886833e-05
3.998010570568065	0.029378030351177836	174.30395251090093	1194.4261589716175	1199.970509566227	1.5757726710644897	125.69604748909927	5.461667286528265e-05
4.574136663712367	0.047592870953803955	161.76871943525947	1193.1602741715897	1199.9522057814163	2.2655313779477733	138.2312805647407	0.00014356088096253796
5.105883129459271	0.07309457084694404	149.5943962795347	1191.776007882111	1199.9265082779268	3.118051201679856	150.40560372046548	0.00033936447728034023
5.584346066844317	0.10738145827528699	137.80504705598617	1190.2769568549807	1199.8918261938047	4.1386392914251005	162.194952944014	0.0007345611711387008
6.004738870264625	0.1519271576294754	126.42569411433075	1188.6669513368495	1199.8465390038425	5.328252006135883	173.57430588566942	0.0014760517794250275
6.365853263909236	0.20812288808871413	115.4820413453966	1186.9500631887306	1199.7890359100584	6.684025760609982	184.51795865460355	0.00278341510432828
6.669363205552317	0.27722458619758167	105.00008433025556	1185.1306109098693	1199.717749287674	8.199968097828199	194.9999156697446	0.004968339379461791
6.91907048939224	0.36030717731994577	95.00558953415369	1183.2131603314642	1199.6311811267053	9.867711392393435	204.99441046584653	0.008453909225829791
7.120173691443631	0.4582275066797109	85.52342988942992	1181.2025196087154	1199.5279222689783	11.677248913090722	214.4765701105703	0.013792437592946252
7.278619330848612	0.5715966831510512	76.57677421762978	1179.103727078864	1199.4066649037784	13.617595803537048	223.42322578237048	0.021680626321526543
7.400570267315559	0.7007619541784977	68.18614389852154	1176.922030617107	1199.2662092217065	15.677341328827378	231.8138561014787	0.03297103736600758
7.4920048735198685	0.8457977519784456	60.368372070273466	1174.6628573666414	1199.105465344496	17.84507997308835	239.6316279297268	0.04867911677649674
7.558443559014932	1.0065052319461516	53.135526836938034	1172.3317731926784	1198.9234516844224	20.109725461556316	246.8644731630622	0.06998529688266293
7.604787656310034	1.1824194413797369	46.49388654705936	1169.9344319369075	1198.7192907914455	22.460722620032005	253.5061134529409	0.09823198042604453
7.635249344157393	1.372823173058745	40.44307588562639	1167.4765155035705	1198.4922035735178	24.88817736552175	259.55692411437377	0.13491546667457477
7.653349328712298	1.5767665340230295	34.97547862399011	1164.9636668985222	1198.241502573568	27.382925986015255	265.02452137601006	0.1816731056600235
7.661960242451574	1.7930912613672276	30.07602964468824	1162.401419404561	1197.9665847929007	29.936562566237306	269.923970355312	0.24026615898305476
7.6633769245487215	2.0204588227909546	25.722452591866723	1159.7951258985024	1197.6669243884035	32.54143939019837	274.2775474081335	0.3125590020567584
7.6593988424591375	2.257381342237715	21.885954105114635	1157.1498926913898	1197.3420654502268	35.190650679400804	278.1140458948856	0.4004954207865054
7.651414092412902	2.5022543933581307	18.532321924189223	1154.4705220672258	1196.9916149870169	37.87800605361126	281.467678075811	0.5060728328761532
7.640478152029764	2.7533907150506693	15.62331720331892	1151.7614669004765	1196.6152361995198	40.59799716074346	284.37668279668134	0.6313152986808737
7.627383581386749	3.0090539339406117	13.118215068975578	1149.0267994827504	1196.2126420997233	43.34575914911259	286.8817849310247	0.7782461795875756
7.61271910652695	3.2674914350651423	10.975339543376293	1146.270195226475	1195.7835895209973	46.117027880247825	289.0246604566239	0.9488612571889412
7.596918028260687	3.526965605652166	9.153458519587062	1143.4949305126556	1195.327873556928	48.90809367233337	290.8465414804131	1.145103050671222
7.580296805112275	3.7857827840369245	7.612943197695774	1140.7038928384716	1194.845322458018	51.715752569665845	292.3870568023044	1.3688369711964428
7.563085111836455	4.042319369357519	6.31664251865308	1137.8996007262067	1194.3357930045843	54.53725637520661	293.6833574813472	1.621829839309868
7.545448816352211	4.295044679305723	5.230465844888992	1135.0842305941642	1193.799166361516	57.370262802733	294.7695341551112	1.9057311724298451
7.527507266947044	4.542540274984898	4.323699436090765	1132.2596478924206	1193.2353444075743	60.21278705388173	295.6763005639094	2.2220575306921764
7.509346127631741	4.783515597526426	3.5691016736896928	1129.4274401561956	1192.6442465201433	63.06315592942178	296.4308983263105	2.572180095581862
7.491026803992722	5.016819876155344	2.9428295753215723	1126.5889501065365	1192.0258067869397	65.91996530272002	297.05717042467865	2.957315550156781
7.47259330301275	5.241450369257943	2.4242479166019333	1123.7453074321602	1191.3799716096453	68.78204147807635	297.57575208339836	3.3785202343487395
