beta	alpha	gamma
0.20000000000000004	0.4620000000000001	0.338
0.3316447682024192	0.3505417811019213	0.31781345069565936
0.33232176069481995	0.3055472177103392	0.36213102159484095
0.3275022754178945	0.2642392163124778	0.4082585082696276
0.3190198764181803	0.22573534226843775	0.4552447813133816
0.3070566501809399	0.19001947514106315	0.5029238746779966
0.291759436355631	0.15714012215364753	0.5511004414907211
0.2732938247714093	0.12719574426428212	0.5995104309643083
0.2518888995094413	0.1003324444929356	0.6477786559976226
0.22790699512926518	0.07673939001205084	0.6953536148586835
0.20195479696056484	0.056635264798066166	0.7414099382413687
0.17504788996538742	0.040233083520664716	0.7847190265139476
0.14879671566687602	0.027662935119750525	0.8235403492133733
0.12542672749438247	0.01883725273110376	0.8557360197745139
0.10720905889535821	0.01330266967628849	0.8794882714283535
0.09519163128324455	0.010239241001244835	0.8945691277155111
0.08848209430923673	0.008720773054587948	0.9027971326361758
0.08518481863184353	0.008023398993684669	0.9067917823744724
0.08368435812506732	0.007716546637895429	0.9085990952370381
0.08302777586337512	0.0075843222419090936	0.9093879018947169
0.08274561742976075	0.0075278826255810154	0.9097264999446595
0.08262532629674121	0.007503890793384912	0.909870782909875
0.08257421912314575	0.007493710183591584	0.9099320706932637
0.08255253743885028	0.007489393438777934	0.9099580691223728
0.08254334495435986	0.007487563657094679	0.9099690913885465
0.08253944859909544	0.007486788153519569	0.9099737632473859
0.08253779725727058	0.0074864594950666994	0.9099757432476636
0.08253709742343049	0.007486320212945196	0.909976582363625
0.08253680084036036	0.007486261186903124	0.9099769379727373
0.08253667515440014	0.007486236172926406	0.9099770886726742
0.08253662188424592	0.007486225571132328	0.9099771525446224
0.08253659931233877	0.007486221078886891	0.9099771796087751
0.08253658973871746	0.007486219173552056	0.9099771910877312
0.08253658568636046	0.007486218367055176	0.9099771959465851
0.08253658396424153	0.007486218024320373	0.909977198011439
0.08253658323226706	0.007486217878643427	0.9099771988890903
0.08253658292730043	0.007486217817949181	0.9099771992547512
0.08253658279426827	0.0074862177914732245	0.9099771994142593
0.08253658273447124	0.007486217779572472	0.9099771994859571
0.08253658271003453	0.007486217774709095	0.9099771995152572
0.08253658270288602	0.007486217773286405	0.9099771995238285
0.0825365827003693	0.0074862177727855325	0.909977199526846
0.08253658269591954	0.007486217771899941	0.9099771995321814
0.08253658269159556	0.007486217771039389	0.9099771995373659
0.08253658269027041	0.007486217770775658	0.9099771995389547
0.08253658269090429	0.007486217770901812	0.9099771995381947
0.08253658269245868	0.0074862177712111625	0.9099771995363309
0.08253658269315658	0.007486217771350061	0.9099771995354942
0.08253658269278091	0.007486217771275295	0.9099771995359447
0.08253658269129086	0.007486217770978741	0.9099771995377313
0.08253658268956113	0.007486217770634493	0.9099771995398052
0.08253658268904289	0.007486217770531358	0.9099771995404264
0.0825365826892215	0.007486217770566906	0.9099771995402124
0.0825365826901322	0.007486217770748153	0.9099771995391204
0.08253658269060606	0.007486217770842458	0.9099771995385522
0.08253658269081128	0.007486217770883301	0.9099771995383061
0.08253658269039173	0.007486217770799797	0.9099771995388092
0.08253658268965249	0.007486217770652673	0.9099771995396955
0.08253658268926303	0.007486217770575166	0.9099771995401623
0.08253658268862112	0.007486217770447414	0.909977199540932
0.08253658268792777	0.007486217770309423	0.9099771995417634
0.08253658268828505	0.007486217770380534	0.9099771995413348
0.08253658268846492	0.007486217770416332	0.9099771995411191
0.08253658268875143	0.007486217770473354	0.9099771995407756
0.08253658268930295	0.007486217770583119	0.9099771995401142
0.0825365826898033	0.007486217770682699	0.9099771995395142
0.08253658269017036	0.0074862177707557525	0.9099771995390742
0.08253658269024101	0.007486217770769811	0.9099771995389894
0.08253658269038616	0.007486217770798696	0.9099771995388153
0.08253658269037714	0.0074862177707969	0.909977199538826
0.08253658269029897	0.0074862177707813405	0.90997719953892
0.08253658269028986	0.007486217770779522	0.909977199538931
0.08253658269024197	0.007486217770769983	0.9099771995389886
0.08253658269017178	0.007486217770756005	0.9099771995390729
0.08253658269009571	0.007486217770740864	0.9099771995391642
0.08253658269003028	0.00748621777072784	0.9099771995392427
0.08253658268999191	0.00748621777072021	0.9099771995392889
0.08253658268999711	0.007486217770721253	0.9099771995392827
0.08253658268994853	0.007486217770711591	0.9099771995393411
0.08253658268984956	0.007486217770691894	0.9099771995394599
0.08253658268976655	0.00748621777067537	0.9099771995395596
0.08253658268970769	0.007486217770663655	0.9099771995396302
0.08253658268968123	0.0074862177706583885	0.909977199539662
0.0825365826896954	0.007486217770661207	0.9099771995396452
0.0825365826897584	0.007486217770673747	0.9099771995395697
0.08253658268987847	0.007486217770697645	0.9099771995394258
0.08253658268989626	0.007486217770701185	0.9099771995394047
0.08253658268990163	0.0074862177707022545	0.9099771995393983
0.08253658268991175	0.007486217770704267	0.9099771995393862
0.08253658268992682	0.007486217770707264	0.9099771995393683
0.08253658268994704	0.007486217770711291	0.9099771995393441
0.08253658268997266	0.007486217770716388	0.9099771995393134
0.0825365826900039	0.007486217770722602	0.9099771995392759
0.082536582689985	0.0074862177707188384	0.9099771995392986
0.08253658269002231	0.0074862177707262665	0.9099771995392539
0.08253658269005265	0.007486217770732304	0.9099771995392176
0.082536582690076	0.007486217770736951	0.9099771995391897
0.08253658269009234	0.007486217770740206	0.90997719953917
0.08253658269010171	0.00748621777074207	0.9099771995391588
0.0825365826901041	0.0074862177707425434	0.9099771995391558
0.08253658269009946	0.007486217770741625	0.9099771995391613
