X_gut	C_p	C_per	C_t	C_e	Values[MAP]
0.0	0.0	0.0	0.0	0.0	83.3
4.1816617112541726e-05	1.359659235676066	1.5663820418608985	0.8529761624614228	1.4293844918242307	89.6677681754559
2.5697245928859256e-10	1.0057664413065206	1.534749422629711	0.9909306516309786	1.1303527760831162	87.78027644623471
4.181661836701533e-05	2.231116170256341	2.9175471205945493	1.8100583377253308	2.3718911672628606	88.98114944936549
2.5683364923933666e-10	1.768093449341175	2.717747897857617	1.8697944478227861	1.9476515725735322	87.83416809167004
4.181661808101798e-05	2.8983304308792155	3.9529969429637037	2.598680129091573	3.086165661097732	88.65275927695953
2.5740466874681577e-10	2.3520786933277518	3.6240369946328026	2.569198860236597	2.5726831712072094	87.80865362585818
4.181662016710476e-05	3.4094695435397457	4.746235944096079	3.215165489518392	3.6332119163934937	88.48369308690353
2.5727602527828195e-10	2.7994585164791053	4.318327683883736	3.110826767472503	3.0514885733024077	87.78848062740781
4.1816620029676325e-05	3.801043387414524	5.353921092201981	3.6901958441643603	4.052290993492839	88.38634761327549
2.570031865583755e-10	3.1421875966084523	4.850210431091429	3.5270578107323236	3.418291851318699	87.77539369723297
4.1816619895241984e-05	4.101020579967282	5.819456999511285	4.054721691634725	4.373339372462003	88.3255596597531
2.570399692787136e-10	3.4047457548514584	5.257675576609859	3.8462145497853313	3.699292783896868	87.76684732586034
4.1816619794055794e-05	4.330827339177973	6.176095106710122	4.33411498673472	4.619288361669232	88.28536837257245
2.577701969305451e-10	3.6058865113788987	5.569826789789028	4.0907791298016125	3.9145621951116003	87.76108195721885
4.1816619725415856e-05	4.506877878652462	6.449308703146556	4.548183398444694	4.807705153145471	88.25770683332017
2.580508555202262e-10	3.759976577390261	5.808959832119434	4.2781497972582425	4.079475951813811	87.75707139867957
4.181661967921516e-05	4.641746811818363	6.658612385987154	4.7121839159605985	4.952047634190784	88.23812035009996
2.579329155057248e-10	3.878022014087472	5.992155057772906	4.4216940859760046	4.205813209853151	87.75421308486595
4.181661964794335e-05	4.745067308237045	6.818955912890923	4.837823081520301	5.062625633482341	88.22396656661655
2.5778473189948544e-10	3.9684543533444034	6.1324973976443955	4.531661324659063	4.302597754010178	87.75213856708689
4.181661962518988e-05	4.82421915388221	6.9417920057436975	4.93407317016702	5.147337312530042	88.21358651040447
2.5767409983262043e-10	4.037732829603185	6.240010965697555	4.615905272220465	4.376742532301967	87.75061247339967
4.1816619608558106e-05	4.884855860888345	7.035894374568076	5.007808588170376	5.212233301000028	88.20589107794333
2.5758578448213187e-10	4.090805738168526	6.322375042896957	4.680442976398805	4.433543421285094	87.7494785379426
4.181661959696179e-05	4.93130847619453	7.1079843899106665	5.064295891021241	5.261948869937563	88.20013992853433
2.575113415328235e-10	4.131463872926818	6.38547257873137	4.729884078619147	4.4770574901597495	87.74862968717561
4.1816619588540434e-05	4.966894931583036	7.16321116450753	5.107569731363313	5.300035011362546	88.19581596672862
2.5751869683289827e-10	4.16261128818577	6.4338103876846295	4.767759958151876	4.5103927816280756	87.74799069088587
4.181661958265882e-05	4.994157030794621	7.20551933461811	5.1407209892159695	5.329212071982691	88.19255033690241
2.575344801524711e-10	4.186472724109204	6.470841053677091	4.796775941576752	4.535930307445552	87.74750764325222
4.181661957761503e-05	5.01504200080094	7.23793081023246	5.166117530607757	5.351564057103221	88.19007559424486
2.575341309289456e-10	4.204752511359096	6.499209534862973	4.819004528643838	4.555494114935081	87.7471413233219
4.18166195748198e-05	5.031041574743634	7.262760618488152	5.185573332681613	5.368687483116934	88.18819535659107
2.5752779868850065e-10	4.218756304884887	6.520942082826331	4.836033421801323	4.570481571677206	87.74686285449825
4.181661957194453e-05	5.043298540698897	7.281782257161778	5.200478048560839	5.381805410534353	88.18676400659541
2.575196288048141e-10	4.229484341838064	6.537590969944455	4.849078929419669	4.581963174106286	87.7466507806397
