IntermediateACh	ActiveACh	Active	IntermediateACh2	BasalACh	DesensitisedACh	Intermediate	ActiveACh2	DesensitisedACh2	Basal	BasalACh2	Desensitised
3.527247104268512e-18	2.2591756076216554e-21	3.5930894848024376e-10	8.757999589155478e-20	7.697374186039989e-22	1.1465164403900765e-16	4.855119918355578e-09	2.6088872859010526e-22	3.2811986212443977e-18	7.1656619150173285e-06	3.970801654920583e-24	9.434902467012915e-06
3.766875659782967e-18	2.4125899525559457e-21	3.598613532572498e-10	9.049588536698857e-20	8.21737839932142e-22	1.2678974996848398e-16	4.854485245254546e-09	2.695738761966449e-22	3.457134892636579e-18	7.1767345575763154e-06	4.1029920262852765e-24	9.423829906709699e-06
3.757561349686861e-18	2.4065287792955616e-21	3.604130959547763e-10	8.586859868373512e-20	8.1928105916243025e-22	1.322424356788277e-16	4.853851331840803e-09	2.55788580883674e-22	3.3777928420591454e-18	7.1877939291320045e-06	3.8931757467024576e-24	9.412770617319369e-06
3.4446026502756718e-18	2.205951457983698e-21	3.60964177616046e-10	7.212151058297299e-20	7.504087163191962e-22	1.2940689294986032e-16	4.853218176377769e-09	2.148362402343217e-22	2.988137768670241e-18	7.198840050598939e-06	3.2698691687668105e-24	9.401724577929793e-06
2.7732980378448785e-18	1.77581735876355e-21	3.615145992842819e-10	4.767799580588085e-20	6.0316245142677195e-22	1.1668031356140293e-16	4.852585777128863e-09	1.4202025183171689e-22	2.233134971628004e-18	7.2098729428916586e-06	2.1615886450730215e-24	9.390691767628835e-06
1.6889459886899589e-18	1.0810858517783114e-21	3.6206436200270675e-10	1.096142909363732e-20	3.655839045094903e-22	9.245988929327687e-17	4.851954132357504e-09	3.264401325898884e-23	1.0577497500905768e-18	7.220892626924707e-06	4.968505282157738e-25	9.37967216550436e-06
1.3684497910639223e-19	8.67163071711789e-23	3.626134668145433e-10	-3.9604814812578966e-20	2.5714715591683538e-23	5.514281192530341e-17	4.8513232403271116e-09	-1.1798907790073375e-22	-5.930525967839016e-19	7.231899123612622e-06	-1.7958288292102493e-24	9.368665750644235e-06
-1.930519773814961e-18	-1.2377279653374763e-21	3.6316191475228703e-10	-1.0537794943014752e-19	-4.268311897379386e-22	3.319995712546374e-18	4.8506930993491045e-09	-3.139220162026256e-22	-2.7668843150965202e-18	7.242892453654676e-06	-4.7779849736017884e-24	9.357672502351357e-06
-1.120191454225009e-18	-7.186632511311019e-22	3.637097017129272e-10	-8.267732948087449e-20	-2.4974767346837987e-22	2.832212292005508e-17	4.850063730713856e-09	-2.462994534200162e-22	-1.958043922824412e-18	7.2538725346934614e-06	-3.74875002592989e-24	9.346692502867602e-06
-1.5155580369824957e-19	-9.816894501662023e-23	3.642568327171943e-10	-5.443259145391368e-20	-3.796173861808623e-23	5.67183846912475e-17	4.8494351148873235e-09	-1.6216130214545212e-22	-9.73647845852623e-19	7.264839467462083e-06	-2.4681430225977212e-24	9.335725651553431e-06
9.786063274833413e-19	6.258192206680711e-22	3.6480330872185446e-10	-2.0452038056463674e-20	2.0923990131712123e-22	8.8467255805092e-17	4.84880725051978e-09	-6.093649081376646e-23	1.9108959660398054e-19	7.275793271140111e-06	-9.274720869312782e-25	9.324771929229692e-06
2.273514089037795e-18	1.455365513585073e-21	3.6534913068367355e-10	1.9456028004276918e-20	4.925705328414162e-22	1.2352721104055676e-16	4.848180136261502e-09	5.794605214021083e-23	1.5409540853305208e-18	7.286733964907117e-06	8.819546577434695e-25	9.31383131671724e-06
3.7363866306831306e-18	2.3925342013964812e-21	3.6589429955941785e-10	6.548330402110981e-20	8.12743442458976e-22	1.6185672517661026e-16	4.847553770762755e-09	1.95057398281647e-22	3.080731301112133e-18	7.297661567942677e-06	2.9688290881005405e-24	9.302903794836929e-06
5.3704431021373814e-18	3.439389551764394e-21	3.664388163058533e-10	1.178214872868363e-19	1.1704719166739772e-21	2.0341427299222066e-16	4.846928152673815e-09	3.50968619175712e-22	4.815206924733938e-18	7.30857609942636e-06	5.3418430808139526e-24	9.291989344409614e-06
7.178902653118574e-18	4.597995832350913e-21	3.669826818797461e-10	1.7666227509425815e-19	1.5664692419905946e-21	2.4815832926635623e-16	4.846303280644953e-09	5.262507863875733e-22	6.749166636981064e-18	7.3194775785377395e-06	8.00968851255773e-24	9.281087946256148e-06
9.164984433344736e-18	5.870417310818134e-21	3.675258972378622e-10	2.421973647361766e-19	2.001448704913006e-21	2.960473687779854e-16	4.845679153326442e-09	7.214749714823999e-22	8.887396118638639e-18	7.330366024456388e-06	1.0981057260005892e-23	9.27019958119738e-06
1.1331907592533895e-17	7.25871825482816e-21	3.680684633369679e-10	3.146184535053933e-19	2.4761235919453858e-21	3.470398663060764e-16	4.845055769368551e-09	9.372122460253604e-22	1.1234681050491793e-17	7.341241456361879e-06	1.4264641199832457e-23	9.259324230054169e-06
1.3682891280404075e-17	8.76496293204309e-21	3.6861038113382905e-10	3.9411723869470975e-19	2.991207189591912e-21	4.0109429662959754e-16	4.844433127421556e-09	1.1740336815816231e-21	1.3795807113325656e-17	7.352103893433783e-06	1.7869132208711444e-23	9.248461873647371e-06
1.6221154646673308e-17	1.0391215610125015e-20	3.691516515852119e-10	4.808854175969273e-19	3.547412784356759e-21	4.581691345275172e-16	4.8438112261357264e-09	1.4325103497163569e-21	1.657555998792535e-17	7.362953354851673e-06	2.1803222163316876e-23	9.237612492797833e-06
1.8949916841059624e-17	1.2139540556736044e-20	3.6969227564788244e-10	5.751146875048477e-19	4.145453662744105e-21	5.1822285477880325e-16	4.8431900641613355e-09	1.7132133219947302e-21	1.9578725355076e-17	7.373789859795123e-06	2.6075602940322774e-23	9.226776068326416e-06
2.0976084316736302e-17	1.343771602483287e-20	3.702322519525571e-10	6.453013573458142e-19	4.589533665565711e-21	5.625219713600847e-16	4.842569648666902e-09	1.922294995101106e-21	2.181041311296492e-17	7.384613380778855e-06	2.925788674550371e-23	9.215952627733247e-06
2.1222612137636396e-17	1.3595658821658477e-20	3.7077157865257413e-10	6.534368513737634e-19	4.6435267513575345e-21	5.684968234727451e-16	4.841949988569152e-09	1.9465301015614557e-21	2.2070568433554238e-17	7.395423880740508e-06	2.9626752104759035e-23	9.205142208098503e-06
2.1046302681781485e-17	1.3482701882105925e-20	3.713102602174266e-10	6.4757824497045875e-19	4.604908587562771e-21	5.643338968830918e-16	4.841331069654372e-09	1.9290778244895e-21	2.1873655905762387e-17	7.40622144933144e-06	2.9361123390368557e-23	9.194344719749467e-06
2.0405882961757352e-17	1.3072402444741426e-20	3.718482974884177e-10	6.263439055282642e-19	4.464637912703361e-21	5.490638146432409e-16	4.840712890995673e-09	1.8658223793489185e-21	2.1174838224804187e-17	7.417006103414824e-06	2.8398357167084375e-23	9.183560145824103e-06
1.9260079990149785e-17	1.2338317748131215e-20	3.7238569130685053e-10	5.883522004395435e-19	4.213673465301256e-21	5.217171998053094e-16	4.840095451666163e-09	1.7526479816033932e-21	1.9929278085894475e-17	7.427777859853832e-06	2.6675809999658544e-23	9.172788469460388e-06
1.7567620779544576e-17	1.1254005030841502e-20	3.7292244251402827e-10	5.322214970966607e-19	3.842973983878397e-21	4.813246754214131e-16	4.839478750738952e-09	1.5854388467166053e-21	1.8092138184248023e-17	7.438536735511634e-06	2.413083845284317e-23	9.162029673796286e-06
1.528723234252748e-17	9.793021531438523e-21	3.7345855195125395e-10	4.565701628919792e-19	3.3434982069567303e-21	4.269168645436689e-16	4.838862787287151e-09	1.3600791901522344e-21	1.5618581215079687e-17	7.449282747251406e-06	2.0700799091390292e-23	9.15128374196977e-06
