IntermediateACh	ActiveACh	Active	IntermediateACh2	BasalACh	DesensitisedACh	Intermediate	ActiveACh2	DesensitisedACh2	Basal	BasalACh2	Desensitised
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6605778811026203e-05	0.0	0.0
7.830213506380703e-08	6.987493696651811e-09	1.9873364450536543e-11	1.4681380840496436e-05	1.4852564864003645e-07	3.6240657587272945e-09	1.044030591026718e-10	5.973093700902315e-07	6.79512320812201e-07	3.9607509509867757e-07	1.3932732858124273e-08	4.832087713617538e-12
7.476311468887866e-08	6.6700095679396095e-09	1.8970331810009455e-11	1.4017828995134437e-05	1.417766935339863e-07	7.443296191772416e-09	9.968433059589478e-11	5.70173131026969e-07	1.3956180274895477e-06	3.780772502683325e-07	1.3299714066938332e-08	9.92439495538864e-12
7.138711026271386e-08	6.368777707119455e-09	1.811358958969819e-11	1.3384839736082727e-05	1.3537374273384303e-07	1.1085182493896016e-08	9.518298272901708e-11	5.444229711346662e-07	2.0784717095219195e-06	3.610024329615848e-07	1.2699071312018853e-08	1.4780243356711943e-11
6.816787157840814e-08	6.081537024623264e-09	1.7296640215863615e-11	1.2781243511675646e-05	1.292681879461749e-07	1.4557953793881574e-08	9.089065630300546e-11	5.198688107520931e-07	2.7296163286354158e-06	3.4472068544225944e-07	1.2126326276055315e-08	1.9410605088589316e-11
6.509810730412383e-08	5.807631332753541e-09	1.651761718667087e-11	1.2205673229881352e-05	1.2344607952034004e-07	1.786948055137839e-08	8.679762943933424e-11	4.964545676193111e-07	3.350527596015454e-06	3.2919480693108436e-07	1.1580170649645448e-08	2.3825974097214604e-11
6.217091479446352e-08	5.5464476979889255e-09	1.5774777356633834e-11	1.16568346642629e-05	1.1789438996358389e-07	2.1027206446038563e-08	8.289469863776383e-11	4.741278408383642e-07	3.942601201597274e-06	3.1439005745597117e-07	1.1059382218300777e-08	2.8036275288788116e-11
5.9379658015930714e-08	5.297392851314372e-09	1.5066433347046885e-11	1.1133483582869027e-05	1.1260050844569397e-07	2.4038291148021456e-08	7.91730158193472e-11	4.5283791824936575e-07	4.507179583536668e-06	3.002728073552997e-07	1.0562778050790033e-08	3.2051054890185806e-11
5.6718014634101924e-08	5.059903188368649e-09	1.4390982214897474e-11	1.0634434568948916e-05	1.0755245522243808e-07	2.690955446148598e-08	7.562415119650458e-11	4.3253662036210537e-07	5.0455414551141135e-06	2.868111102190672e-07	1.0089234336187946e-08	3.587940597361695e-11
5.4179970839083295e-08	4.833441872668774e-09	1.374689711865164e-11	1.0158560054089271e-05	1.0273881928033757e-07	2.9647484031915063e-08	7.224008633706024e-11	4.13178057312677e-07	5.558903249858349e-06	2.7397453612867537e-07	9.637680651000046e-09	3.952997873305599e-11
5.175979290396492e-08	4.617497332074879e-09	1.3132723082530103e-11	9.704784984100832e-06	9.814872670970033e-08	3.2258265124970273e-08	6.90131762576361e-11	3.947184983912345e-07	6.048424705081576e-06	2.617340875194353e-07	9.20709694284938e-09	4.301102018938272e-11
4.945197131758713e-08	4.411578000890835e-09	1.2547062031667705e-11	9.272076344478637e-06	9.377172885565576e-08	3.474784113190641e-08	6.593607492976502e-11	3.7711592309537857e-07	6.5152202066446985e-06	2.500619008582863e-07	8.79650305130137e-09	4.6330454864267844e-11
4.725129691581716e-08	4.215219107066512e-09	1.198859209556442e-11	8.859457434763334e-06	8.959794658431114e-08	3.7121831447523825e-08	6.30018367883675e-11	3.6033060133048616e-07	6.9603433910733595e-06	2.389316313587593e-07	8.404972241341838e-09	4.94957752841084e-11
4.515280847255942e-08	4.0279778379379466e-09	1.1456053852638415e-11	8.46599804225247e-06	8.56179674755584e-08	3.938558814454946e-08	6.02038468505938e-11	3.4432468046052015e-07	7.384797772004419e-06	2.2831817879302362e-07	8.031621566880394e-09	5.251411754587121e-11
4.315177116318923e-08	3.849431776780041e-09	1.0948245897615995e-11	8.090810403475875e-06	8.182281270560363e-08	4.154421889371591e-08	5.7535792005724164e-11	3.2906205098617487e-07	7.789541037700787e-06	2.1819759924729792e-07	7.67560874695778e-09	5.539229187719794e-11
4.124366665752806e-08	3.679177855955326e-09	1.0464021857769739e-11	7.733047346886423e-06	7.820391474292733e-08	4.360259779317854e-08	5.499164780333231e-11	3.1450825736346666e-07	8.175487081567133e-06	2.0854704561154807e-07	7.3361300812587025e-09	5.8136797075629135e-11
3.942417175668223e-08	3.516830402797656e-09	1.000228483328198e-11	7.391898287406163e-06	7.475307579641881e-08	4.5565388456002407e-08	5.2565649968296114e-11	3.006303310504851e-07	8.543510331053672e-06	1.9934465676329126e-07	7.012416554541612e-09	6.075385129191816e-11
3.7689167246972445e-08	3.362021726884845e-09	9.561989059580868e-12	7.066590886785861e-06	7.146248023329949e-08	4.7437034635877805e-08	5.0252306203016334e-11	2.873968410905803e-07	8.894443989977753e-06	1.9056959064289585e-07	6.703735011227345e-09	6.324937953098018e-11
3.60347285248676e-08	3.21440148995368e-09	9.142138123385243e-12	6.756389295528871e-06	6.832468125237041e-08	4.922177016036704e-08	4.8046383690402826e-11	2.747778398625206e-07	9.22908190100769e-06	1.8220198875541317e-07	6.409386895379196e-09	6.562902689622467e-11
3.445711379256214e-08	3.0736359705045543e-09	8.741782883598918e-12	6.46059193916668e-06	6.533258535456607e-08	5.092363138755609e-08	4.59428933593859e-11	2.6274479961871154e-07	9.548180881285091e-06	1.7422293482030772e-07	6.128706778723517e-09	6.789817519843492e-11
3.295275137039702e-08	2.9394065821143774e-09	8.360017243504838e-12	6.178529139860818e-06	6.247942073615724e-08	5.254647119799479e-08	4.3937072962864433e-11	2.51270486484122e-07	9.852463345913497e-06	1.6661437041679805e-07	5.86105941242901e-09	7.006196161167963e-11
4.862321828561047e-08	3.113740250066916e-11	4.315842948714267e-10	9.419535355802115e-10	1.0585089427823559e-11	3.6096026566452517e-07	3.568040367341823e-07	2.795225714619179e-12	3.3829709684105596e-09	6.175135959676044e-06	4.2543179840028635e-14	9.659454261606316e-06
1.6568046070232997e-10	1.0603649789780404e-13	3.331905819497152e-10	3.102783907068219e-13	3.579294111490995e-14	6.760836791341317e-09	1.4864138880089388e-08	1.0301951452740737e-15	1.596549262723743e-12	6.572998108927095e-06	1.5689358961319037e-17	1.0010654805675142e-05
6.61226603219218e-13	4.2855564988655214e-16	3.308978692914249e-10	1.3807820063250144e-14	1.6416439452829546e-16	1.257707992130168e-10	5.123540553829511e-09	6.290729687651316e-16	2.586008654241717e-14	6.5945443598009685e-06	9.627367717485235e-18	1.0005653539869647e-05
2.4245886763891637e-14	1.5446952364007782e-17	3.3141626187567305e-10	-5.982836765308288e-15	4.886866521484986e-18	2.703594927052358e-12	4.893136759841191e-09	-1.1098999868955079e-17	-1.1091176795773783e-14	6.606527363824664e-06	-1.6832743981275041e-19	9.994024183396582e-06
2.998014657275253e-14	1.8997954822435853e-17	3.320003913684232e-10	-8.85244610366994e-15	5.619858831464246e-18	1.7646361896085778e-13	4.886914240226413e-09	-2.6324277411775844e-17	-1.1180575111054605e-14	6.618274370491344e-06	-4.006589713044386e-19	9.982285339487226e-06
4.666624156176494e-15	3.0573056543567657e-18	3.325856348526289e-10	3.2615303402300767e-15	1.3267078451149106e-18	5.863926595646184e-13	4.886810611142876e-09	9.874143186426796e-18	2.068915868759415e-14	6.630001306160562e-06	1.5030150963429747e-19	9.970557493587935e-06
-4.0077404985153905e-16	-2.6112167057011827e-19	3.3316972314308914e-10	-2.1943637446800829e-16	-1.0747989939206386e-19	-1.5903174015242083e-14	4.885173317395333e-09	-6.491578955832374e-19	-3.4334056883428536e-15	6.6417157209020974e-06	-9.879965820645052e-21	9.958844767034094e-06
1.0045809485091677e-16	1.0473323480516367e-19	3.337534615144532e-10	1.893367221207592e-15	2.0441270085569517e-19	1.8419184568134809e-13	4.884716507136612e-09	5.6518835411831764e-18	1.4279037936259865e-14	6.653414946061414e-06	8.602435424062652e-20	9.94714519451816e-06
3.8094380975619956e-15	2.4437191367557447e-18	3.343364564392171e-10	2.7366233172859443e-16	8.48573219884374e-19	2.033156391577895e-13	4.884108212303917e-09	8.157224634812595e-19	5.8287551611042275e-15	6.665100324632302e-06	1.241557762463536e-20	9.93545982848636e-06
3.691536546195275e-16	2.3459792020668877e-19	3.34918661303279e-10	-7.70212559682948e-17	7.225576416437136e-20	2.3666532275066506e-14	4.883187527800224e-09	-2.2946693796356144e-19	-4.0984435047889727e-16	6.676772037460339e-06	-3.492555726370827e-21	9.923788643820731e-06
-2.2986650693984396e-15	-1.469325293138746e-18	3.355001882658351e-10	8.093591377913324e-17	-4.88328598195624e-19	-9.956829180952578e-14	4.882331085577616e-09	2.4124950124973688e-19	-1.5417007620939913e-15	6.688429722453865e-06	3.671900596226337e-21	9.912131360620834e-06
-7.587643486214912e-15	-4.8473611904169485e-18	3.360809757817143e-10	3.947886479418459e-16	-1.5996255949896596e-18	-3.228554287401181e-13	4.881327894313748e-09	1.176611302853163e-18	-4.11378122133309e-15	6.700073608238438e-06	1.7908415988499968e-20	9.90048812807798e-06
-6.6665621671018225e-15	-4.2583699985669144e-18	3.366611772768651e-10	3.729033935239911e-16	-1.40293473314878e-18	-2.9662139489924765e-13	4.8806939543754695e-09	1.1113233663611137e-18	-3.2028890662446257e-15	6.71170319401161e-06	1.691470629202472e-20	9.88885856799847e-06
-2.1819792789159128e-15	-1.3933512567573518e-18	3.372407491090832e-10	1.4149318155819583e-16	-4.573098038438874e-19	-1.2414516900898298e-13	4.8802788610224704e-09	4.2158521537978614e-19	-4.88735023107529e-16	6.723318647361624e-06	6.416657119905275e-21	9.877242770723335e-06
-2.016511198957426e-15	-1.2862869586123217e-18	3.378195590663125e-10	1.9648315358701331e-16	-4.1629971366338265e-19	-1.0950708253447995e-13	4.879632705524624e-09	5.854350069296771e-19	3.961419533651088e-17	6.734920436252522e-06	8.910501955800764e-21	9.865641033790758e-06
-9.489921914064316e-16	-6.049966277141719e-19	3.383976965917939e-10	1.0855531099059401e-16	-1.9436512000479722e-19	-5.42611258247726e-14	4.87905511914292e-09	3.2344472867485774e-19	1.7249623970457985e-16	6.746508276926549e-06	4.9229285631443274e-21	9.85405313620645e-06
7.127495305038615e-17	4.590975332093889e-20	3.389751417834906e-10	1.384662650875274e-17	1.671775852526432e-20	-1.1992737171239547e-15	4.878476061303194e-09	4.1251098127428337e-20	2.098538586975087e-16	6.7580822558652664e-06	6.27853952926407e-22	9.842479104854952e-06
3.954618644317544e-16	2.530018964954215e-19	3.3955188100500716e-10	-3.612927136491686e-18	8.50054082316819e-20	1.950518442569094e-14	4.8778466587150085e-09	-1.0768605894916034e-20	2.9109245865271394e-16	6.769642438442417e-06	-1.6390183816479773e-22	9.830918953848471e-06
2.0590129329537487e-16	1.3168364495146015e-19	3.4012791795173147e-10	-3.929814597858024e-18	4.406130913400025e-20	1.2584295722057852e-14	4.877176590237618e-09	-1.1709965314315215e-20	1.1154504515590666e-16	6.781188831644035e-06	-1.7822936761515436e-22	9.819372661968823e-06
1.449264772980569e-16	9.264285955375764e-20	3.4070326852317516e-10	-4.831300396651294e-18	3.081404517592435e-20	1.0386838583617915e-14	4.87651316340187e-09	-1.4394878261248396e-20	4.852607125548874e-17	6.792721426289058e-06	-2.190944730250751e-22	9.807840157722448e-06
6.165145020783296e-17	3.9339332162649125e-20	3.4127792807264804e-10	-5.340814084303177e-18	1.2791472788704642e-20	6.759538611564031e-15	4.875848399647096e-09	-1.5911799853103124e-20	-2.610966670952578e-17	6.804240184550687e-06	-2.421823811893199e-22	9.796321493350795e-06
5.544159496985838e-18	3.5285719363018884e-21	3.418518997502799e-10	-8.953350113191814e-19	1.1102113665562502e-21	1.5227677705407976e-15	4.8751801431134585e-09	-2.6673884969100248e-21	-1.0010709227683492e-17	6.815745184481985e-06	-4.059844937440587e-23	9.78481659297672e-06
-6.569021118522609e-17	-4.2195999918679746e-20	3.4242519906039727e-10	-7.291602262457659e-18	-1.4881038572902155e-20	1.8687054432426896e-15	4.874524715023225e-09	-2.1721970993669398e-20	-1.5616364235501323e-16	6.827236623661503e-06	-3.306147753867983e-22	9.77332523580385e-06
-1.1841719546125402e-16	-7.603961675037848e-20	3.429978136733628e-10	-1.1967440718783483e-17	-2.6711953589879202e-20	2.0778536745900335e-15	4.873869136112055e-09	-3.5651363576309473e-20	-2.633837924873426e-16	6.838714344967172e-06	-5.426242094740785e-22	9.76184759741797e-06
-1.526367933310981e-16	-9.800227855879439e-20	3.435697435891764e-10	-1.4922850380296668e-17	-3.438253368437488e-20	2.150212464582829e-15	4.873213406379951e-09	-4.445556624483027e-20	-3.3167115962467188e-16	6.850178348398991e-06	-6.76626751636247e-22	9.750383677819065e-06
-1.6834900479475828e-16	-1.0808398534392742e-19	3.4414098880783817e-10	-1.615783124699721e-17	-3.7892778856389196e-20	2.0857818132210763e-15	4.872557525826912e-09	-4.813457899923179e-20	-3.61025743767001e-16	6.861628633956961e-06	-7.326224018733036e-22	9.738933477007146e-06
-1.6555382985223454e-16	-1.0628473710577765e-19	3.447115493293481e-10	-1.5672383318885108e-17	-3.724268910592212e-20	1.884561720504776e-15	4.871901494452938e-09	-4.6688401839514026e-20	-3.5144754491432997e-16	6.873065201641081e-06	-7.106111601852483e-22	9.727496994982209e-06
-1.4425126850352694e-16	-9.2604533844345e-20	3.4528142515370604e-10	-1.3466506595960366e-17	-3.2432264432973704e-20	1.5465521864339275e-15	4.87124531225803e-09	-4.0117034765677007e-20	-3.0293656306665873e-16	6.884488051451351e-06	-6.105930265720812e-22	9.716074231744254e-06
-1.0444132074863541e-16	-6.704337555962952e-20	3.458506162809122e-10	-9.54020107822298e-18	-2.346150483754391e-20	1.0717532110085308e-15	4.870588979242188e-09	-2.8420477777720687e-20	-2.154927982239873e-16	6.895897183387772e-06	-4.325680010338022e-22	9.70466518729328e-06
-4.612398658755999e-17	-2.9601262251631186e-20	3.464191227109664e-10	-3.893466765672953e-18	-1.0330410319632744e-20	4.601647942285861e-16	4.869932495405411e-09	-1.1598730875645095e-20	-8.911625038631576e-17	6.907292597450342e-06	-1.7653608357041148e-22	9.693269861629288e-06
-1.439971053333187e-17	-9.23253595609651e-21	3.4698695853086355e-10	-8.012907375199163e-19	-3.185206930184461e-21	9.651030550133099e-17	4.8692782176199395e-09	-2.3870664639790984e-21	-2.0080544830249362e-17	6.918674559564594e-06	-3.633185144595133e-23	9.681887986216755e-06
-1.4315983693825437e-17	-9.177669921965427e-21	3.47554125317173e-10	-7.421152685922947e-19	-3.1614263989546844e-21	2.3846699298985953e-17	4.868626409659044e-09	-2.2107736925811096e-21	-1.9160304128877614e-17	6.930043099492027e-06	-3.364862311221928e-23	9.670519531002082e-06
-1.3752408470690267e-17	-8.81547097855678e-21	3.481206130371806e-10	-6.713077350952525e-19	-3.0329577995885806e-21	-3.182482248712341e-17	4.8679753929655756e-09	-1.9998308006107865e-21	-1.7789749041917165e-17	6.941398027841295e-06	-3.0438009972285816e-23	9.659164687235439e-06
-1.2708984863926357e-17	-8.14593912587057e-21	3.4868642169088625e-10	-5.888681370287899e-19	-2.799801132086151e-21	-7.050425985699718e-17	4.867325167539537e-09	-1.75423778806813e-21	-1.5968879569368014e-17	6.952739344612398e-06	-2.670001202615092e-23	9.647823454916826e-06
-1.1185712873533707e-17	-7.1690743639068e-21	3.4925155127828985e-10	-4.947964743929065e-19	-2.4619563964473953e-21	-9.21916128106352e-17	4.866675733380925e-09	-1.4739946549531397e-21	-1.369769571123016e-17	6.964067049805337e-06	-2.2434629273814615e-23	9.636495834046248e-06
-9.182592499512323e-18	-5.884876692665467e-21	3.498160017993916e-10	-3.890927471876028e-19	-2.0194235926723127e-21	-9.688688134803753e-17	4.866027090489741e-09	-1.1591014012658157e-21	-1.0976197467503608e-17	6.97538114342011e-06	-1.7641861715276886e-23	9.625181824623698e-06
-6.699623741862196e-18	-4.293346112146571e-21	3.5037977325419134e-10	-2.717569554128785e-19	-1.4722027207609043e-21	-8.459006546920421e-17	4.865379238865986e-09	-8.095580270061577e-22	-7.804384838188347e-18	6.986681625456718e-06	-1.2321709350537743e-23	9.61388142664918e-06
-3.736806600583334e-18	-2.3944826223501116e-21	3.509428656426891e-10	-1.4278909906873372e-19	-8.2029378071316935e-22	-5.5301165174135214e-17	4.864732178509659e-09	-4.253645321741658e-22	-4.182257823284387e-18	6.997968495915163e-06	-6.474172179597179e-24	9.602594640122697e-06
7.009787709660151e-18	4.4913446197504344e-21	3.515052088627306e-10	2.493377392421431e-19	1.536979871096664e-21	1.5293477192993921e-16	4.8640859520950655e-09	7.427623534406011e-22	7.857886642622785e-18	7.009240349899542e-06	1.1305058881639653e-23	9.591322869790101e-06
5.3427732143776224e-18	3.4236602710084636e-21	3.5206699676618794e-10	2.090819704715636e-19	1.1733039945065194e-21	9.226744772341599e-17	4.863440441615934e-09	6.228468675535308e-22	6.283142862889168e-18	7.0205010723361175e-06	9.479910698628758e-24	9.580062231140042e-06
4.0699985869359676e-18	2.60845941246005e-21	3.526281064250027e-10	1.7751014797517793e-19	8.955548377777527e-22	4.669395241800406e-17	4.862795721904049e-09	5.28799238534885e-22	5.065324930367755e-18	7.031748199661152e-06	8.04847871647423e-24	9.568815187473145e-06
3.1135437116503462e-18	1.9958185868306587e-21	3.5318853858704183e-10	1.5193892049403112e-19	6.866559872553262e-22	1.448651059350583e-17	4.862151792504152e-09	4.526259274535709e-22	4.119431421462245e-18	7.042981746862423e-06	6.889098950044882e-24	9.557581723803243e-06
2.3954884728359194e-18	1.5358143368457515e-21	3.5374829400017263e-10	1.2968493676916802e-19	5.295310292841999e-22	-6.082653170276349e-18	4.861508652960981e-09	3.8633339537849555e-22	3.360460912576337e-18	7.054201728927707e-06	5.8801074142095315e-24	9.546361825144153e-06
1.8379127548078476e-18	1.1785232052307952e-21	3.543073734122621e-10	1.0806484554163349e-19	4.0710355020933605e-22	-1.674131429354008e-17	4.8608663028192806e-09	3.219281033785662e-22	2.703411980113729e-18	7.065408160844779e-06	4.899840123836994e-24	9.5351554765097e-06
1.3628964418812938e-18	8.740217347112528e-22	3.5486577757117733e-10	8.43952955524725e-20	3.022971363756956e-22	-1.9217248196482983e-17	4.860224741623786e-09	2.514165125226901e-22	2.0632832004781243e-18	7.076601057601416e-06	3.826633093796086e-24	9.52396266291371e-06
8.925194183714166e-19	5.723864680125885e-22	3.554235072247855e-10	5.599293554272988e-20	1.9803537412823962e-22	-1.5238230299302684e-17	4.859583968919239e-09	1.6680508387977415e-22	1.3550731500732198e-18	7.087780434185396e-06	2.5388223389556222e-24	9.512783369370011e-06
3.4886156859337884e-19	2.23693947860267e-22	3.559805631209534e-10	2.017441425345056e-20	7.724184981192969e-23	-6.532036022196801e-18	4.85894398425038e-09	6.010027851872573e-23	4.937804053027173e-19	7.098946305584492e-06	9.147438741844203e-25	9.50161758089242e-06
5.095146721960716e-19	3.263931550182492e-22	3.5653695689022156e-10	1.503479019282411e-20	1.1141987964381965e-22	9.778098810894279e-18	4.85830473995042e-09	4.478743135523534e-23	4.985569642043636e-19	7.110098905163984e-06	6.816776930704486e-25	9.490465064146989e-06
1.1733347001955092e-18	7.515756430738422e-22	3.570926877129677e-10	3.201718157937394e-20	2.56330911826226e-22	3.1301182533352054e-17	4.8576662423642245e-09	9.537575730626197e-23	1.1253643328167214e-18	7.12123821645758e-06	1.4516466080929831e-24	9.479325835597327e-06
1.8617194811069924e-18	1.1924857622187825e-21	3.5764775124012014e-10	4.933952310134324e-20	4.065765417891139e-22	5.4152887137571145e-17	4.8570285131482245e-09	1.4697665242213355e-22	1.7720668836687638e-18	7.132364152175171e-06	2.2370271091945775e-24	9.468199982521223e-06
2.519967491226004e-18	1.614082882596267e-21	3.5820214851490177e-10	6.542518949991073e-20	5.501984095568174e-22	7.673040440337247e-17	4.856391550565837e-09	1.9489351428597854e-22	2.3836299159186316e-18	7.143476733231297e-06	2.9663355489699174e-24	9.457087484006543e-06
3.093377206848019e-18	1.9813263743494945e-21	3.5875588058053537e-10	7.869755551625499e-20	6.752381551536681e-22	9.743092611057762e-17	4.855755352880482e-09	2.3442974048092616e-22	2.9050187287244615e-18	7.1545759805405025e-06	3.568088280013689e-24	9.445988319141152e-06
