Xa	VII	IXa	IIa	Pg	VIIa_TF	VK	FDP	ATIII_Heparin	XF	XII	XI	X	Va	VIIIa	VIIa	Fg	II	IX	XIII	APC	Pk	TFPI	VII_TF	V	Tmod	VIII	PC	PS	Va_Xa	Xa_TFPI	P	XIa	XIIa	F	TF	VKH2	TAT	K	XIIIa	Xa_ATIII_Heparin	IXa_ATIII_Heparin	IXa_VIIIa	IIa_ATIII_Heparin	IIa_Tmod	APC_PS	VIIa_TF_Xa_TFPI	D	CA	VKO	VK_p	C_warf	A_warf	DP
0.0	10.0	0.0	0.0	2154.3	0.0	1.0	0.0	0.0	0.0	375.0	30.6	174.3	0.0	0.0	0.0	8945.5	1394.4	89.6	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	60.0	300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	115.47540983606557	0.0	0.0	0.0
0.0	10.0	0.0	0.0	2154.3	0.0	1.0	79.31766223582585	0.0	0.0	375.0	30.6	174.3	0.0	0.0	0.0	8945.5	1394.4	89.6	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	60.0	300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	115.47540983606557	0.0	0.0	79.31766223582585
0.0	9.972619038108792	0.0	0.0	2154.3	0.0	1.0003019752485787	81.71284808708329	0.0	0.0	375.0	30.6	174.2263697393284	0.0	0.0	0.0	8945.5	1394.072025383558	89.5392053225399	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	59.93021632858417	299.88378217126467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0940672809366826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10560642040417469	115.47541524589758	0.24992621719240943	1.4715177647415822	81.71284808708329
0.0	9.86007441591514	0.0	0.0	2154.3	0.0	1.0012217136895827	81.78517643510794	0.0	0.0	375.0	30.6	173.91192809971767	0.0	0.0	0.0	8945.5	1392.6670986473032	89.28066553465744	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	59.635802419559944	299.38718356910783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08569694845158066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11286659356236389	115.47545759301657	0.336920063635858	0.5413411329780533	81.78517643510794
0.0	9.669917074469632	0.0	0.0	2154.3	0.0	1.0024895085117993	81.78736056273443	0.0	0.0	375.0	30.6	173.35444249311857	0.0	0.0	0.0	8945.5	1390.1665195118912	88.82472785882773	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	59.12180968249017	298.50610223734935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07823554925207896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11857544865050973	115.47556537940717	0.3640724347785746	0.19914827350712866	81.78736056273443
0.0	9.424547556346335	0.0	0.0	2154.3	0.0	1.0038787192189538	81.78742651776574	0.0	0.0	375.0	30.6	172.59560483359988	0.0	0.0	0.0	8945.5	1386.7478444138992	88.20781354505253	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	58.434134917270754	297.30581016501367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07210974630132581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12247249929258106	115.47575202526617	0.3693064112134755	0.07326255565464553	81.78742651776574
0.0	9.14505536135088	0.0	0.0	2154.3	0.0	1.0052248846992295	81.78742850933752	0.0	0.0	375.0	30.6	171.6798516746507	0.0	0.0	0.0	8945.5	1382.6024740021915	87.46816467157718	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	57.61968152939075	295.8560220490167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06724027072131195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1247924767696433	115.47601950032359	0.36657121266600395	0.026951788017159136	81.78742850933752
0.0	8.84844971099853	0.0	0.0	2154.3	0.0	1.0064195217638852	81.7874285695316	0.0	0.0	375.0	30.6	170.64619264450707	0.0	0.0	0.0	8945.5	1377.8992353255767	86.63911064154676	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	56.718695852893966	294.21799531317635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06343835387900276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12585949641765537	115.47636179828321	0.3609966059346485	0.009915008709231947	81.7874285695316
0.0	8.547603051727052	0.0	0.0	2154.3	0.0	1.0074013801342119	81.78742857137131	0.0	0.0	375.0	30.6	169.52685649289975	0.0	0.0	0.0	8945.5	1372.7781234454803	85.7480160226356	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	55.763734388690075	292.44237724621604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0605098438211957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12597798636136745	115.47676798664936	0.3544678993596619	0.0036475278706899913	81.78742857137131
0.0	8.251860042942912	0.0	0.0	2154.3	0.0	1.0081452786619978	81.78742857143004	0.0	0.0	375.0	30.6	168.34779292735817	0.0	0.0	0.0	8945.5	1367.3522852598765	84.81676541708946	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	54.780399472857276	290.56997982756036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05828399377287688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12540404596633484	115.47722465867123	0.34767686788910157	0.0013418505517999793	81.78742857143004
0.0	7.9677436805237685	0.0	0.0	2154.3	0.0	1.0086511347479619	81.78742857144339	0.0	0.0	375.0	30.6	167.12962798722484	0.0	0.0	0.0	8945.5	1361.7120494379815	83.86261487685005	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	53.78847253447863	288.6332722486121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05661882906948097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.124343005366001	115.477717723222	0.3408762455500788	0.0004936392544626325	81.78742857144339
0.0	7.699591525279229	0.0	0.0	2154.3	0.0	1.0089347998833464	81.7874285710711	0.0	0.0	375.0	30.6	165.8886316475569	0.0	0.0	0.0	8945.5	1355.9290475461803	82.89904292397392	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	52.80301906951726	286.65789527318026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055399131429192214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12295523945667924	115.47823359843224	0.33415728699547403	0.00018159975642574255	81.7874285710711
0.0	7.450083170233665	0.0	0.0	2154.3	0.0	1.0090211288955941	81.78742857149268	0.0	0.0	375.0	30.6	164.6375674256141	0.0	0.0	0.0	8945.5	1350.0598448355254	81.93649422731268	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	51.83534477276351	284.66399177293556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05453247808590643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12136381788716204	115.47875993237778	0.32755187602338015	6.680682093021244e-05	81.78742857149268
0.0	7.220661779585735	0.0	0.0	2154.3	0.0	1.0089390831772034	81.78742857142609	0.0	0.0	375.0	30.6	163.38639958955957	0.0	0.0	0.0	8945.5	1344.148967129825	80.98299721437772	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	50.89378528358322	282.66731458522696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05394518108895197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11966177393973321	115.47928597810797	0.3210700885110551	2.4576858012339444e-05	81.78742857142609
0.0	7.011864503963066	0.0	0.0	2154.3	0.0	1.0087184598155148	81.78742857141967	0.0	0.0	375.0	30.6	162.1428681340875	0.0	0.0	0.0	8945.5	1338.2313637937384	80.04466551496614	70.3	0.0	450.0	2.5	0.0	26.7	50.0	0.7	49.98434487920775	280.68012737231965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053578695553832996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11791834688992574	115.47980273094366	0.31471401039708186	9.041322972432734e-06	81.78742857141967
