(DIN) intramitochondrial diphospyridine nucleotide	(XI) low energy intermediate in oxidative phosphorylation	(TP1) adenosine triphosphate in store 1 (cytoplasm)	(DPN) extramitochondrial diphospyridine nucleotide	(ADP) adenosine diphosphate	(PID) inorganic phosphate	(DHA) dihydroxacetone phosphate	(PGA) 3 phosphoglycerate	(ETZ) phosphofructokinase	(ENG) hexokinase-glucose intermediate	(DPH) extramitochondrial reduced diphospyridine nucleotide	(MOB) acyl enzyme intermediate of glyceraldehyde 3-phoshphate dehydrogenase	(GLP) glucose 6-phosphate	(PYR) pyruvate	(TP2) adenosine triphosphate in store 2 (mitochondria)	(XSI) high energy intermediate in oxidative phosphorylation	(GPP) hexose diphosphate	(OXY) oxygen	(LAC) lactate	(AGP) alpha-glycerophosphate	(GLU) glucose	(DGA) 1,3 diphosphoglycerate	(ENZ) hexokinase	(XSP) phosphorylated intermediate in oxidative phosphorylation	(ETG) phosphofructokinase intermediate	(PUE) enzyme concerned in ATP utilization	(PPP) enzyme intermediate concerned in ATP utilization	(DIH) intramitochondrial reduced diphospyridine nucleotide	(MOD) glyceraldehyde 3-phoshphate dehydrogenase-DPN complex	(GAP) glyceraldehyde 3-phosphate	(MOX) glyceraldehyde 3-phoshphate dehydrogenase	Values[relative GLU]	Values[relative ENZ]	Values[relative ENG]	Values[relative TP1]	Values[relative ADP]	Values[relative GLP]	Values[relative ETZ]	Values[relative ETG]	Values[relative GPP]	Values[relative GAP]	Values[relative DHA]	Values[relative DPN]	Values[relative DPH]	Values[relative PID]	Values[relative DGA]	Values[relative PGA]	Values[relative PYR]	Values[relative LAC]	Values[relative DIN]	Values[relative DIH]	Values[relative XI]	Values[relative XSI]	Values[relative OXY]	Values[relative XSP]	Values[relative TP2]	Values[relative DBP]	Values[relative PUE]	Values[relative PPP]	Values[relative AGP]	Values[relative MOD]	Values[relative MOB]	Values[relative MOX]
3.7026965553391365e-05	3.128816446869429e-05	0.00047456197089573184	0.0001944266792545707	1.5968123850232194e-05	0.003912266591116273	0.0	0.0	1e-05	0.0	5.573320745429502e-06	0.0	0.0	0.0008991689687370219	0.0006092212852297683	5.010302797344109e-06	0.0	0.00046735562641297507	0.0010944266792545705	0.0	0.0	0.0	1e-05	2.370153273396165e-05	0.0	1.7513799757327525e-06	1.2486200242672472e-06	2.29730344466086e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.3163746472638212	0.015968123850232194	0.0	1.0	0.0	0.0	0.0	0.0	0.7777067170182828	0.027866603727147506	0.7824533182232546	0.0	0.0	0.44958448436851095	0.912022232712142	0.5289566507627337	0.32818620638012275	0.5214694078115714	0.0835050466224018	0.93471125282595	0.3950255455660274	0.4061475234865121	0.0	0.5723463972982852	4.0804575956445987e-07	0.0	1.0	0.0	0.0
3.6816844481316074e-05	2.933195553428767e-05	0.00047207238508416023	0.0001947280387754177	1.308237783083126e-05	0.003907144212668672	0.0	0.0	1e-05	0.0	5.271961224582539e-06	0.0	0.0	0.0008982037982567646	0.0006146004445920616	4.7298793035505335e-06	0.0	0.0004649105036474084	0.0010947280387754172	0.0	0.0	0.0	1e-05	2.5938165162161845e-05	0.0	1.7552075070536572e-06	1.2447924929463427e-06	2.3183155518683883e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.3147149233894401	0.013082377830831259	0.0	1.0	0.0	0.0	0.0	0.0	0.7789121551016707	0.02635980612291269	0.7814288425337345	0.0	0.0	0.4491018991283822	0.9122733656461811	0.5259549211616581	0.3311879359811983	0.4888659255714611	0.07883132172584222	0.9298210072948166	0.43230275270269736	0.409733629728041	0.0	0.5735972245273389	4.0679493233540604e-07	0.0	1.0	0.0	0.0
3.648147664803474e-05	2.7259354068072185e-05	0.0004695904641934652	0.00019491600310314817	1.0748044939389127e-05	0.0039024595131839056	0.0	0.0	1e-05	0.0	5.08399689685211e-06	0.0	0.0	0.0008973576013287313	0.0006194205308296379	4.452114176441259e-06	0.0	0.0004626129410794778	0.0010949160031031475	0.0	0.0	0.0	1e-05	2.8288531755486595e-05	0.0	1.7590399624929077e-06	1.240960037507092e-06	2.3518523351965213e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.3130603094623101	0.010748044939389126	0.0	1.0	0.0	0.0	0.0	0.0	0.7796640124125925	0.025419984484260548	0.780491902636781	0.0	0.0	0.44867880066436555	0.9124300025859564	0.5211639521147818	0.3359789050280744	0.45432256780120295	0.07420190294068764	0.9252258821589555	0.4714755292581098	0.41294702055309196	0.0	0.5748496609453947	4.055424959173503e-07	0.0	1.0	0.0	0.0
3.603106813488142e-05	2.512747677902775e-05	0.0004671162179513599	0.00019503284047442713	8.902276695030912e-06	0.003898206758129826	0.0	0.0	1e-05	0.0	4.967159525573126e-06	0.0	0.0	0.0008965901844046015	0.000623744382635342	4.177004655764767e-06	0.0	0.0004604610313812282	0.0010950328404744267	0.0	0.0	0.0	1e-05	3.0695518565207536e-05	0.0	1.7628772817335957e-06	1.2371227182664042e-06	2.3968931865118536e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.31141081196757325	0.00890227669503091	0.0	1.0	0.0	0.0	0.0	0.0	0.7801313618977085	0.02483579762786563	0.779641351625965	0.0	0.0	0.44829509220230074	0.9125273670620223	0.5147295447840202	0.34241331235883615	0.41879127965046237	0.0696167442627461	0.9209220627624564	0.5115919760867921	0.41582958842356127	0.0	0.5761036868410443	4.0428847002170065e-07	0.0	1.0	0.0	0.0
3.547621565946862e-05	2.2998274455430675e-05	0.00046464965596358047	0.00019510504248306597	7.474225389669708e-06	0.0038943788929137585	0.0	0.0	1e-05	0.0	4.894957516934326e-06	0.0	0.0	0.0008958769644655441	0.0006276428380505318	3.90639306865594e-06	0.0	0.0004584518121349659	0.0010951050424830655	0.0	0.0	0.0	1e-05	3.309533247591344e-05	0.0	1.7667194037828104e-06	1.2332805962171892e-06	2.452378434053134e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.3097664373090536	0.007474225389669708	0.0	1.0	0.0	0.0	0.0	0.0	0.7804201699322638	0.02447478758467163	0.7788757785827517	0.0	0.0	0.447938482232772	0.9125875354025547	0.5068030808495516	0.3503397762933048	0.3833045742571778	0.06510655114426565	0.9169036242699317	0.5515888745985572	0.41842855870035456	0.0	0.5773592822819641	4.0303287458078077e-07	0.0	1.0	0.0	0.0
3.482847116332209e-05	2.0931659141366854e-05	0.0004621907877125705	0.00019514922788630383	6.38997150299575e-06	0.0038909650622806526	0.0	0.0	1e-05	0.0	4.8507721136964755e-06	0.0	0.0	0.0008952030442453539	0.000631189807051454	3.643431636287239e-06	0.0	0.0004565806173633039	0.001095149227886304	0.0	0.0	0.0	1e-05	3.542490922234596e-05	0.0	1.7705662670209996e-06	1.229433732979e-06	2.5171528836677876e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.3081271918083803	0.00638997150299575	0.0	1.0	0.0	0.0	0.0	0.0	0.7805969115452152	0.024253860568482378	0.7781930124561304	0.0	0.0	0.44760152212267695	0.9126243565719199	0.49754958804745836	0.3595932690953981	0.34886098568944746	0.0607238606047873	0.9131612347266078	0.5904151537057658	0.42079320470096926	0.0	0.5786164271310456	4.0177572973169936e-07	0.0	1.0	0.0	0.0
3.4100513037932845e-05	1.8978936984899744e-05	0.0004597396225560743	0.00019517582980236727	5.5782870157418065e-06	0.0038879491126720287	0.0	0.0	1e-05	0.0	4.824170197633067e-06	0.0	0.0	0.0008945595008527584	0.0006344565082372062	3.3918886713841406e-06	0.0	0.00045484080958256416	0.0010951758298023673	0.0	0.0	0.0	1e-05	3.762917434371616e-05	0.0	1.7744178090232265e-06	1.2255821909767734e-06	2.5899486962067126e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.3064930817040495	0.005578287015741806	0.0	1.0	0.0	0.0	0.0	0.0	0.780703319209469	0.024120850988165334	0.7775898225344057	0.0	0.0	0.44727975042637913	0.912646524835306	0.48715018625618334	0.36999267088667315	0.3163156164149956	0.05653147785640233	0.9096816191651282	0.6271529057286026	0.42297100549147076	0.0	0.5798751009879825	4.005170558747625e-07	0.0	1.0	0.0	0.0
3.3305955415786545e-05	1.717822957886526e-05	0.00045729616972597014	0.00019519140235328103	4.975526011059408e-06	0.0038853092015149623	0.0	0.0	1e-05	0.0	4.808597646719324e-06	0.0	0.0	0.0008939410574464112	0.0006375065782299337	3.1554459250347126e-06	0.0	0.0004532238837829767	0.001095191402353281	0.0	0.0	0.0	1e-05	3.966632449610008e-05	0.0	1.778273966964457e-06	1.2217260330355428e-06	2.6694044584213426e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.3048641131506467	0.004975526011059408	0.0	1.0	0.0	0.0	0.0	0.0	0.780765609413124	0.02404298823359662	0.7770618403029923	0.0	0.0	0.44697052872320553	0.9126595019610676	0.4757993630826648	0.3813434940601917	0.2863038263144209	0.052590765417245194	0.9064477675659532	0.6611054082683344	0.42500438548662245	0.0	0.5811352833217179	3.9925687354102697e-07	0.0	1.0	0.0	0.0
3.245890200945508e-05	1.5552723464789747e-05	0.00045486043832670807	0.00019520006534089296	4.528541157935629e-06	0.003883018399928909	0.0	0.0	1e-05	0.0	4.79993465910738e-06	0.0	0.0	0.0008933446241841707	0.0006403931551924078	2.93713530618108e-06	0.0	0.0004517198560907935	0.001095200065340893	0.0	0.0	0.0	1e-05	4.151014122902921e-05	0.0	1.7821346770525423e-06	1.2178653229474574e-06	2.754109799054489e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.30324029221780535	0.0045285411579356295	0.0	1.0	0.0	0.0	0.0	0.0	0.7808002613635717	0.0239996732955369	0.7766036799857816	0.0	0.0	0.4466723120920853	0.9126667211174108	0.46369860013507247	0.3934442570077841	0.25921205774649575	0.04895225510301799	0.9034397121815868	0.6918356871504866	0.42692877012827185	0.0	0.5823969532851445	3.9799520357760046e-07	0.0	1.0	0.0	0.0
3.157338493713389e-05	1.4111549805126527e-05	0.000452432437334185	0.0001952044098531743	4.1954361119948714e-06	0.00388104598968024	0.0	0.0	1e-05	0.0	4.795590146826015e-06	0.0	0.0	0.0008927683883291338	0.0006431581264288474	2.7390037631160386e-06	0.0	0.00045031780779209243	0.001095204409853174	0.0	0.0	0.0	1e-05	4.314944643175748e-05	0.0	1.7859998750283381e-06	1.2140001249716617e-06	2.8426615062866085e-05	5.000000000000001e-05	0.0	0.0	0.0	0.9803921568627452	0.0	0.3016216248894566	0.00419543611199487	0.0	1.0	0.0	0.0	0.0	0.0	0.7808176394126971	0.023977950734130067	0.776209197936048	0.0	0.0	0.4463841941645668	0.9126703415443116	0.4510483562447697	0.40609450089808685	0.2351924967521087	0.045650062718600636	0.9006356155841847	0.7191574405292911	0.4287720842858982	0.0	0.5836600898785418	3.967320669842031e-07	0.0	1.0	0.0	0.0
