Ca	Values[zzs]	Values[bbs]	Values[nns]	Values[hhs]	Values[VVs]	Values[rrs]	Values[ccs]	Values[qqs]	Values[INa]	Values[INaP]	Values[IKdr]	Values[IA]	Values[Iz]	Values[Minfs]	Values[Pinfs]	Values[Ainfs]	Values[mKCa]	Values[ICa]	Values[IAHP]	Values[IKC]
0.0007870000000000002	0.0013689	0.207565	0.0242166	0.979199	-71.962	0.005507	0.002486	0.0	-0.007380345110665246	-0.0008365287283474945	3.7221365904926883e-05	0.08199570897486226	0.024692218199999994	0.01192581230306542	3.2944059180994884e-05	0.25009606642660503	0.00013114946422860868	-0.0004657312784110399	0.0	5.881065652888528e-05
0.000733324521021965	0.0013707978387054163	0.20671748354320607	0.025473894863166455	0.9779633556707849	-70.99273438758546	0.005711044305831319	0.002563558603318333	4.634687906809891e-17	-0.009896067411959128	-0.0011467340781470658	4.802333342136704e-05	0.09589735888705435	0.026055118621197637	0.013189920332577305	4.550794471288409e-05	0.2592948667699051	0.00012220581741657365	-0.0004983539354923206	4.4046372037690585e-15	5.954629901613213e-05
0.0006841719651432753	0.0013767979915560915	0.2044184416771105	0.027709130308779483	0.9754075964657476	-70.0825702252624	0.006144634186292655	0.002761229804507073	8.125848655611474e-17	-0.013009954809326138	-0.0015419374865282174	7.044920962938567e-05	0.10988033323783379	0.02742227731081822	0.014496893146430188	6.163678455564702e-05	0.26813048151917424	0.00011401565980420832	-0.0005741486503172616	8.092300997914374e-15	6.270473718442203e-05
0.0006395137998546186	0.0013873643156680948	0.20098740999553047	0.030162066578459552	0.9723128283246275	-69.22786066854005	0.0066722894290073545	0.0030420178309636943	1.0769774554611452e-16	-0.01680198758629014	-0.002036160621648297	0.00010315181035580598	0.12368917441076507	0.028818524868553255	0.015840025061803896	8.195265581692265e-05	0.27659937308287885	0.00010657427402261192	-0.0006739455653759612	1.1185562880840058e-14	6.734345059298417e-05
0.0005992085288930471	0.001402963066696243	0.19668877871723853	0.03268845506417109	0.9689299991678886	-68.42485029490838	0.007242451295016436	0.0033828726519715534	1.2786959344381542e-16	-0.021347202945348812	-0.0026438229703887837	0.00014780279584199348	0.13710262305652415	0.03026913819468588	0.01721310855627481	0.00010710253907830133	0.2847047910152408	9.98581155097591e-05	-0.0007906774126668691	1.3794028106397597e-14	7.288242810834338e-05
0.0005630812758240489	0.0014240585386610435	0.19173931232946295	0.03525407883639972	0.9653473137729421	-67.6697159477391	0.007834626824482334	0.0037691895072408527	1.4340275307436738e-16	-0.02671629313144271	-0.003379642027572703	0.00020695836435070727	0.1499390880431707	0.031799631675348654	0.01861068683168814	0.00013775372354381783	0.2924559571670951	9.383807289370716e-05	-0.0009215540540756614	1.6011121050134262e-14	7.898075869818293e-05
0.0005309524310696557	0.0014511103795606414	0.18631541496049078	0.03784558428391222	0.9616024003603184	-66.95861177359986	0.00843999847166529	0.004191519480395311	1.5549763391907586e-16	-0.03297651729953865	-0.004258657224853453	0.0002836094841779463	0.16205861193817497	0.033435597614815606	0.020028245703811166	0.00017459436291219395	0.2998671438753124	8.848424169106973e-05	-0.0010654184115539101	1.791440675708037e-14	8.545668930459981e-05
0.0005026481665846731	0.0014845727988644685	0.18055974419413598	0.04045496925379722	0.9577161405209844	-66.28771244934588	0.009054328930609661	0.004643616674724668	1.6503941908619368e-16	-0.04019326130468517	-0.005296398341214065	0.00038107653266885824	0.17336200328924256	0.03520261709655369	0.021462346238544986	0.0002183402685340459	0.3069567343435392	8.376767681925014e-05	-0.0012217623344765267	1.9567310812823698e-14	9.22372371953163e-05
0.00047800418422581193	0.0015248957580605196	0.17458700808394315	0.04307695998583615	0.9537025581174194	-65.65325072889337	0.009675374683078195	0.005121290269495505	1.7268248502635902e-16	-0.04843233405861953	-0.006509209847978294	0.0005030051376411699	0.18378789966920706	0.03712625468607355	0.02291070534662027	0.0002697486312492492	0.3137463323907176	7.966101765434223e-05	-0.0013903627681373521	2.102128583224194e-14	9.932674997064034e-05
0.0004568670580147855	0.0015725281450069573	0.1684889199438989	0.045708581077296744	0.9495714746902026	-65.05154684934101	0.010301946607850498	0.0056217387357453755	1.7891278292817287e-16	-0.05776297950274403	-0.00791473805132953	0.0006534100849624594	0.19330851432392868	0.03923214475379876	0.024372235959149884	0.0003296391533072935	0.3202599703397078	7.613871212422939e-05	-0.001571163191680983	2.2317985914687712e-14	0.00010678734982666216
