P1_prime	P2_prime	R1	R2	P2	P1	P3_prime	P4_prime	Values[i1]	Values[i2]
0.09691935845233864	1.3907293187903882	0.0001145888348081899	0.0011458883480818987	0.025783624283571376	0.0025783624283571374	1.29307730643583	9.080267785096725e-05	0.0	0.0
0.09942899291328526	1.3835554488822441	9.05715704700638e-05	0.0009057157047006381	0.021046973781482455	0.0021046973781482453	1.2896562953062964	6.269078501965521e-05	0.0	0.0
0.10207003725242178	1.3775797400185683	7.158820832537674e-05	0.0007158820832537676	0.01716932679350422	0.0017169326793504214	1.2864356532204904	4.328234821782488e-05	0.0	0.0
0.10471134148133832	1.3726170903939419	5.6583666855879866e-05	0.0005658366685587987	0.013997451766880128	0.0013997451766880125	1.2834693175138507	2.9882826021185082e-05	0.0	0.0
0.10726145697082819	1.368506472618579	4.47240045438575e-05	0.000447240045438575	0.011404860166594151	0.0011404860166594148	1.280784892385136	2.0631899956196956e-05	0.0	0.0
0.10966005301035063	1.365109299401481	3.535006997538532e-05	0.0003535006997538532	0.009287278246372281	0.0009287278246372279	1.2783905623331082	1.4245198219136336e-05	0.0	0.0
0.11187074736541043	1.3623073052987027	2.794086665521255e-05	0.00027940866655212554	0.007558852063498238	0.0007558852063498235	1.2762807747040446	9.835982701460245e-06	0.0	0.0
0.11387517790145897	1.3600002557993307	2.2084596438845243e-05	0.00022084596438845248	0.006148975318087948	0.0006148975318087943	1.274440791157425	6.792042155507275e-06	0.0	0.0
0.11566816610238649	1.358103674052215	1.745577207547866e-05	0.00017455772075478625	0.004999644063022337	0.0004999644063022325	1.2728502283709366	4.6906984769957506e-06	0.0	0.0
0.1172538348812393	1.3565466952733551	1.379712687308348e-05	0.00013797126873083421	0.004063255514296344	0.00040632555142963256	1.271485725237635	3.2401277935299695e-06	0.0	0.0
0.11864254997552044	1.3552701065255957	1.09053159689031e-05	0.00010905315968903058	0.0033007799920419722	0.00033007799920419575	1.270322880413221	2.2388485579889393e-06	0.0	0.0
0.11984856079511547	1.3542245960221653	8.619614610292586e-06	8.619614610292552e-05	0.0026802454738435377	0.0002680245473843526	1.2693376000283119	1.5477530223760732e-06	0.0	0.0
0.1208882245713636	1.3533692153348083	6.8129851719083026e-06	6.812985171908278e-05	0.00217548337111349	0.00021754833711134808	1.2685069834604603	1.0707973318535084e-06	0.0	0.0
0.12177870755538385	1.352670045528224	5.3850165048975685e-06	5.385016504897549e-05	0.0017650920854594705	0.00017650920854594637	1.2678098584997635	7.416702129351004e-07	0.0	0.0
0.1225370684425118	1.3520990515190812	4.2563431838201946e-06	4.2563431838201813e-05	0.001431581741062591	0.00014315817410625852	1.2672270589496937	5.145888921774867e-07	0.0	0.0
0.1231796414598641	1.3516331057716744	3.364234337243023e-06	3.364234337243013e-05	0.0011606693272472768	0.00011606693272472723	1.266741519737978	3.5794423687754493e-07	0.0	0.0
0.12372164909240577	1.3512531616132675	2.6591070642491474e-06	2.6591070642491392e-05	0.0009406985217550075	9.406985217550041e-05	1.2663382481888117	2.499132852802814e-07	0.0	0.0
0.12417698641963987	1.3509435570205437	2.101771104149694e-06	2.1017711041496873e-05	0.0007621627542428532	7.621627542428504e-05	1.2660042159965668	1.7543064198393634e-07	0.0	0.0
0.12455812964414954	1.3506914306020632	1.661250041660588e-06	1.6612500416605827e-05	0.0006173133548198737	6.173133548198716e-05	1.2657282048552938	1.2409577188006595e-07	0.0	0.0
0.12487613199893441	1.3504862338366532	1.3130600608979072e-06	1.3130600608979031e-05	0.0004998381704736892	4.9983817047368766e-05	1.2655006290148705	8.872959157835576e-08	0.0	0.0
0.12514067775609142	1.350319324799394	1.0378490165923085e-06	1.0378490165923055e-05	0.0004045980595108325	4.0459805951083134e-05	1.2653133511641217	6.437690609518969e-08	0.0	0.0
0.12536017269818805	1.3501836307670263	8.203208757905406e-07	8.203208757905379e-06	0.0003274110944813255	3.274110944813246e-05	1.2651595021844708	4.761801280267535e-08	0.0	0.0
0.12554185487981032	1.3500733686935513	6.483855811337137e-07	6.4838558113371155e-06	0.00026487597116858465	2.6487597116858392e-05	1.2650333114906251	3.609323157383539e-08	0.0	0.0
0.12569191415629205	1.349983814113332	5.124870963192395e-07	5.124870963192377e-06	0.00021422761218253675	2.142276121825362e-05	1.2649299516467494	2.817464043963972e-08	0.0	0.0
0.1258156125028346	1.3499111104380337	4.0507227696213743e-07	4.05072276962136e-06	0.00017321918165130216	1.7321918165130168e-05	1.2648453989615807	2.2739400823127187e-08	0.0	0.0
0.125917399869618	1.3498521118550182	3.201710820712922e-07	3.201710820712911e-06	0.00014002575206539396	1.400257520653936e-05	1.2647763103907772	1.9013273098809732e-08	0.0	0.0
0.12600102231450558	1.3498042540990387	2.530647742188569e-07	2.5306477421885607e-06	0.00011316570085440753	1.1316570085440726e-05	1.2647199162096683	1.646257632159834e-08	0.0	0.0
0.12606962064006522	1.3497654482829806	2.0002363078491076e-07	2.000236307849101e-06	9.143660647774344e-05	9.143660647774324e-06	1.2646739273821233	1.4719584461904578e-08	0.0	0.0
0.12612581878870277	1.349733993793482	1.5809965355780993e-07	1.580996535578094e-06	7.38630098230004e-05	7.386300982300027e-06	1.2646364562903278	1.3531049888280313e-08	0.0	0.0
0.12617180193448094	1.3497085069077177	1.2496273362836744e-07	1.2496273362836702e-06	5.9653868480497614e-05	5.965386848049751e-06	1.2646059493828545	1.2722667759653183e-08	0.0	0.0
0.12620938469252027	1.3496878623483786	9.87711517369686e-08	9.87711517369683e-07	4.816792126547764e-05	4.816792126547756e-06	1.2645811302817487	1.2174553600387104e-08	0.0	0.0
0.12624007013313954	1.349671145475563	7.806978994953206e-08	7.806921541825891e-07	3.888550620700862e-05	3.888550620700855e-06	1.264560951966866	1.1804321468527904e-08	1.0	0.0
0.14467989254879873	1.349657612062518	0.8910980287100394	6.170628628222056e-07	3.13856246537426e-05	0.20328095255930306	1.2645445566979994	1.3427934029428505e-08	1.0	0.0
0.24666410032065372	1.3496464918372957	1.5954261682091024	4.877294777901844e-07	2.53273416871467e-05	0.7009293197922603	1.264531237054996	2.950888975420002e-07	1.0	0.0
0.4595100857434643	1.349590294140315	2.152130543675364	3.8550374335850683e-07	2.043462815737371e-05	1.3637128702492156	1.2645188456257832	7.919150401318903e-05	1.0	0.0
