APC	LC	Va3_APC	Va536_APC	VaLCA1	Va53_APC	VaLCA1_APC	Va5_APC	Va36	Va53	Va36_APC	Va536	Va3	Va_APC	Va5	VaA536	VaA3	Va56	LC_APC	VaA53	HC53	HC536	HC3	HC5	HC36	HC	Va	VaA36	HC56	Va56_APC
1e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0000000000000002e-07	0.0	0.0	0.0
3.5469136422463886e-10	3.231878226291327e-12	1.8202412937501945e-10	7.544317379259917e-14	2.6560184895935426e-12	2.313067468561737e-10	4.972384872687104e-12	4.323048542675462e-09	1.177188991668516e-14	6.324245378636116e-11	3.766981242398103e-14	1.4939703343512476e-14	8.820780933019725e-11	4.902733576166178e-09	1.819578495612868e-09	6.9631532681267535e-16	4.5694205067930455e-12	2.8332325073072704e-13	5.037581351292714e-14	3.0577101878405827e-12	2.9732828051412097e-16	5.560116906821426e-20	5.858454197614516e-16	1.127402807526314e-14	5.939270772662753e-20	3.2700954160144737e-12	1.8837746467393547e-07	5.763523202069005e-16	1.3070203634737537e-18	1.0597670300937414e-12
3.5469134037699415e-10	6.4034468448958444e-12	1.6223863674026566e-10	2.891625084116343e-13	1.7710652609858143e-11	4.5896620046197256e-10	1.3630912934634003e-11	5.066784638228057e-09	4.227279990474459e-14	3.0183090408087106e-10	4.9411988252996114e-14	1.3537647424464227e-13	2.0042342150524925e-10	3.940918297301869e-09	5.063184237652405e-09	7.442741100925051e-15	1.3522265351927455e-11	1.4541336707476477e-12	1.5267189383992962e-13	1.7809250474007647e-11	3.2305061089283388e-15	1.1420000016913075e-18	3.100120858280101e-15	6.992668232512381e-14	5.159211008280786e-19	6.479844689526962e-12	1.8476350689473896e-07	2.6069774561274338e-15	1.508199537647141e-17	2.2787275656826006e-12
3.5469134037104046e-10	9.545623038071636e-12	1.4820126167626817e-10	5.005744873548488e-13	4.891497234708792e-11	5.765248413630078e-10	2.1421059414634825e-11	5.1823170840892056e-09	7.267453388682623e-14	6.393501777185133e-10	4.7502981669975155e-14	3.9794687988215654e-13	2.9257633141220645e-10	3.7130195522284175e-09	8.421759847898762e-09	2.5754095964540754e-14	2.477599213020834e-11	3.2417811292171124e-12	2.839095688083911e-13	4.5528698634666476e-11	1.1238551101252276e-14	5.53981570395557e-18	7.362244937439707e-15	1.8595863162851072e-13	1.5093343907016187e-18	9.624911284450767e-12	1.809388319854136e-07	5.5869008833892446e-15	5.484561196609459e-17	2.992873819570173e-12
3.546913403741958e-10	1.2673213426180536e-11	1.4310458238065903e-10	6.638356564724563e-13	9.615914318944859e-11	6.390900899602255e-10	2.7825254320924932e-11	5.220275393403258e-09	9.973740662288957e-14	1.0144362027953823e-09	4.573665794290123e-14	7.71718088186594e-13	3.7306644819915e-10	3.6104790273581917e-09	1.1706038644418308e-08	5.833533048197841e-14	3.818166404616875e-11	5.3385248782956485e-12	4.2900312790098913e-13	8.573508852086869e-11	2.5433009329805354e-14	1.5469357310197654e-17	1.3099102269382061e-14	3.5918748934280197e-13	2.9963099415606307e-18	1.2704350145944477e-11	1.7714610770797283e-07	9.309612854116073e-15	1.283415278077278e-16	3.395736760208512e-12
3.546913406650172e-10	1.5793187721033755e-11	1.4087339317229912e-10	7.842022738594758e-13	1.5843521023302584e-10	6.782820770586477e-10	3.3329601726702155e-11	5.2573010122873754e-09	1.2436497914050323e-13	1.399747076185096e-09	4.511350326418098e-14	1.217756898921399e-12	4.4634000695439783e-10	3.5304618188959774e-09	1.4900543103382292e-08	1.0641375805487931e-13	5.364045439976312e-11	7.581376641400281e-12	5.807154154172933e-13	1.3800422204390027e-10	4.619094411797265e-14	3.249895835071052e-17	2.0154870268138825e-14	5.881294287546849e-13	4.926442895883111e-18	1.57191511556241e-11	1.7342490925766993e-07	1.372175800968139e-14	2.39312284911785e-16	3.6507250014190615e-12
3.546913397448736e-10	1.8908771477824352e-11	1.3932774291706658e-10	8.758999778770158e-13	2.347269475688558e-10	7.074578338626287e-10	3.84827301427295e-11	5.298976242719204e-09	1.472515728673442e-13	1.7840461186936754e-09	4.497466571964133e-14	1.7074037155600996e-12	5.138860972464842e-10	3.4555669814166354e-09	1.801084031462543e-08	1.7058210660333097e-13	7.101830151868814e-11	9.895802926000422e-12	7.355713306720541e-13	2.020020054295972e-10	7.357734972906924e-14	5.760811026678759e-17	2.8420502473146e-14	8.71283628133612e-13	7.264560886047866e-18	1.8670606911740662e-11	1.697805326319184e-07	1.8788656696538813e-14	3.8954374877510045e-16	3.84068322257179e-12
3.5469134027186233e-10	2.202140264893017e-11	1.3790088345559245e-10	9.504405430475727e-13	3.242024656871628e-10	7.320705803779819e-10	4.3679871092651416e-11	5.342939766670042e-09	1.686906342290228e-13	2.1627413139391976e-09	4.496130675965422e-14	2.222715533826185e-12	5.762832550048285e-10	3.3828274130352535e-09	2.1042290387852258e-08	2.5115697908573876e-13	9.017332660606293e-11	1.224921461220841e-11	8.918992928517164e-13	2.7743337915852985e-10	1.0752951939125018e-13	9.137937167303429e-17	3.7803064491115906e-14	1.207250543126448e-12	9.98362577623344e-18	2.156003750364151e-11	1.6621251189435946e-07	2.4474036135741288e-14	5.799481341197578e-16	4.0028439539347174e-12
3.5469134037880035e-10	2.5131667187185157e-11	1.3646548806582163e-10	1.0152522592280584e-12	4.2620375224800243e-10	7.543852241655605e-10	4.916262658711148e-11	5.387318280921853e-09	1.8880688128674749e-13	2.5339681165673295e-09	4.4952954116194395e-14	2.7532318738307215e-12	6.338743252995333e-10	3.311714722760504e-09	2.3998507581596397e-08	3.483290931923068e-13	1.1096749261261132e-10	1.4627450431620026e-11	1.0488924528532581e-12	3.640198163209515e-10	1.4793262076414102e-13	1.3415584388226725e-16	4.821709698717288e-14	1.5947071380649073e-12	1.3059941992825189e-17	2.4388744510820677e-11	1.627194364082938e-07	3.074080835873624e-14	8.1105761564983585e-16	4.1532194541283805e-12
3.546913403414151e-10	2.8239746143997694e-11	1.3499749640332184e-10	1.074674961212967e-12	5.401967155642143e-10	7.753636214505673e-10	5.5063972097058465e-11	5.4311461145651544e-09	2.0767144674178615e-13	2.8970033285011834e-09	4.49172749865825e-14	3.2930522766048028e-12	6.869384685828556e-10	3.2421131549073498e-09	2.688202412656733e-08	4.622275740958164e-13	1.3326955025288155e-10	1.702421088107804e-11	1.2061590650937836e-12	4.6149135725922005e-10	1.946509434127913e-13	1.8614322157956655e-16	5.958239999133479e-14	2.032382387720091e-12	1.6471410145304972e-17	2.7158003625531725e-11	1.5929976402037765e-07	3.7552575075265514e-14	1.0832378038263052e-15	4.2985489338162144e-12
3.546913403455805e-10	3.134563108473933e-11	1.3349513849477387e-10	1.1311180543593123e-12	6.657265772778026e-10	7.954262334259755e-10	6.145029775699223e-11	5.4739787986972656e-09	2.2533989855056868e-13	3.2516060820592802e-09	4.484767528538716e-14	3.838846888777744e-12	7.357310403627853e-10	3.1739770701176485e-09	2.9694823815568408e-08	5.929482373509339e-13	1.5695534783067956e-10	1.943648257529435e-11	1.3635052522843332e-12	5.69583704779374e-10	2.475411100582243e-13	2.4747054139446016e-16	7.182330900601148e-14	2.519043255662065e-12	2.0196985744536987e-17	2.986906421600414e-11	1.5595195752463015e-07	4.487418739003868e-14	1.3967787660925065e-15	4.441650179810439e-12
3.546913403450359e-10	3.4449224215141456e-11	1.3196117914104137e-10	1.1858546794994575e-12	8.023891313550508e-10	8.147592998041795e-10	6.834903941837351e-11	5.515630635041045e-09	2.418626972025127e-13	3.5977466218451783e-09	4.474432603263371e-14	4.388712534341806e-12	7.804923798561753e-10	3.1072734079520508e-09	3.243861330401059e-08	7.405655458784256e-13	1.8190771537137352e-10	2.1862649779265736e-11	1.5208338827980509e-12	6.88037217952519e-10	3.0645762084404284e-13	3.1822268853488673e-16	8.486843180463056e-14	3.053488315184506e-12	2.4216532547174968e-17	3.252314935877066e-11	1.5267450745405235e-07	5.2671903653240906e-14	1.7519321145953225e-15	4.583665409919057e-12
3.546913402209806e-10	3.755038872465013e-11	1.3039906417572295e-10	1.2395421811723872e-12	9.498121325839239e-10	8.334508828364704e-10	7.576658038912238e-11	5.556033175343874e-09	2.5728795949473787e-13	3.935484716367893e-09	4.460888269351184e-14	4.94149411453966e-12	8.214501717839882e-10	3.041971655181627e-09	3.511495796030615e-08	9.05138311367192e-13	2.0801616081593871e-10	2.4301666674785605e-11	1.678093539875276e-12	8.165965004471092e-10	3.712553613902258e-13	3.984588970657512e-16	9.865042413251626e-14	3.634544309708536e-12	2.8510765472166536e-17	3.512145627237127e-11	1.4946593552170583e-07	6.091339863126724e-14	2.1489272603313445e-15	4.725057248437297e-12
3.546913398786813e-10	4.0648971969356943e-11	1.2881221565578446e-10	1.2925139289052751e-12	1.1076446293821677e-09	8.515467014347441e-10	8.369830190710947e-11	5.5951709391605125e-09	2.7166210464301984e-13	4.264919397279924e-09	4.444328851565487e-14	5.4964273571880415e-12	8.588205179073161e-10	2.97804228211767e-09	3.7725342838945475e-08	1.0867124980320884e-12	2.351764547412193e-10	2.6752728992251592e-11	1.83525480956035e-12	9.55010196338718e-10	4.417906205252356e-13	4.882223784164265e-16	1.1310573164321975e-13	4.261063984024791e-12	3.306120664406991e-17	3.766515718103779e-11	1.4632479416594064e-07	6.956771130818505e-14	2.587978101214588e-15	4.866007818493233e-12
3.5469134049192164e-10	4.374481625002497e-11	1.2720388377443736e-10	1.3449316958636476e-12	1.275551401002817e-09	8.690736421165539e-10	9.213387583482463e-11	5.6330527569723725e-09	2.850300131571681e-13	4.586167685130306e-09	4.424947877632945e-14	6.052959135804766e-12	8.92808459072803e-10	2.91545643886267e-09	4.027119953916137e-08	1.2853225170722916e-12	2.6329037223181815e-10	2.9215141469249244e-11	1.9922992504352075e-12	1.1030309768726573e-09	5.17921562720151e-13	5.875450997886953e-16	1.2817443274718858e-13	4.931925218745317e-12	3.7850165603891656e-17	4.0155399605300244e-11	1.4324966630925662e-07	7.860521609402893e-14	3.0692856818979585e-15	5.00658152212064e-12
3.546913404857133e-10	4.683776444432666e-11	1.2557712398659553e-10	1.396875017653991e-12	1.4532094659918133e-09	8.860510770967599e-10	1.0106039899377295e-10	5.6696972566109705e-09	2.974350972199175e-13	4.899354225298418e-09	4.4029308137444915e-14	6.610644696008811e-12	9.23608580667665e-10	2.8541858848083172e-09	4.275392034267728e-08	1.5009922061625302e-12	2.922653586425001e-10	3.168825710097511e-11	2.1492134950001555e-12	1.2604155165628976e-09	5.995084485140651e-13	6.96450652330706e-16	1.438000366779909e-13	5.646030130116347e-12	4.2860710232332383e-17	4.259330697303393e-11	1.4023916462451223e-07	8.799757402593892e-14	3.59303962193629e-15	5.146800197055868e-12
3.5469134035796056e-10	4.9927662062365725e-11	1.2393480780126134e-10	1.4483790510883681e-12	1.640306459990716e-09	9.024944656939758e-10	1.1046374561131193e-10	5.705127847414015e-09	3.0891932878698857e-13	5.204607858469632e-09	4.3784552483742455e-14	7.169105286578478e-12	9.514055060217795e-10	2.7942029774348974e-09	4.517486342534704e-08	1.7337354391297337e-12	3.220142490200063e-10	3.417145966030143e-11	2.3059870105063346e-12	1.4269245034514407e-09	6.864137179128829e-13	8.149555501598356e-16	1.5992931430179523e-13	6.402304490105418e-12	4.807664283788943e-17	4.4979979099690176e-11	1.37291930944191e-07	9.771769145159346e-14	4.1594186687859355e-15	5.2866650724748835e-12
3.5469134037546066e-10	5.301435850103945e-11	1.2227962789341412e-10	1.499458384731431e-12	1.8365395081002836e-09	9.184176435107659e-10	1.20329421421364e-10	5.739369553277636e-09	3.195232746226567e-13	5.502059359131984e-09	4.351690255715869e-14	7.728001220382685e-12	9.763743951580614e-10	2.7354806568220794e-09	4.75353564065639e-08	1.983556699436132e-12	3.524549864293849e-10	3.6664152432718184e-11	2.462610668349551e-12	1.6023226467155926e-09	7.785020459241172e-13	9.430701613569693e-16	1.7651212817729066e-13	7.1996971585387735e-12	5.34824752518887e-17	4.731649269296165e-11	1.3440663563599272e-07	1.0773967723449595e-13	4.768591150564682e-15	5.426170743617736e-12
3.5469134036866077e-10	5.609770747035352e-11	1.2061410801287246e-10	1.5501174895626003e-12	2.0416145961842594e-09	9.338335803119367e-10	1.3064294315604318e-10	5.772447865917851e-09	3.292861253655938e-13	5.791840559718002e-09	4.3227968220090996e-14	8.287020022790013e-12	9.986813965730165e-10	2.6779924313578485e-09	4.98366980001418e-08	2.250451560750407e-12	3.83510365758931e-10	3.916575485373421e-11	2.6190761646088747e-12	1.786378683218014e-09	8.756403662016277e-13	1.0807992466112124e-15	1.9350127801806218e-13	8.037179587078327e-12	5.906340554699622e-17	4.960390182574469e-11	1.315819770192796e-07	1.1803880260808003e-13	5.4207152675273e-15	5.565309252371856e-12
3.546913403721688e-10	5.91775671548517e-11	1.1894061176303477e-10	1.6003563874989767e-12	2.2552461148538262e-09	9.487547509711916e-10	1.4139004370156064e-10	5.8043881651139454e-09	3.382457268038136e-13	6.0740838208254454e-09	4.2919281656359055e-14	8.845869754511268e-12	1.0184840966865577e-09	2.621712364749627e-09	5.208015915303398e-08	2.5344071567771613e-12	4.151077792910358e-10	4.1675700836812024e-11	2.775375707886706e-12	1.9788653806472754e-09	9.776978849190113e-13	1.2281423752024064e-15	2.108523471921846e-13	8.91374532493588e-12	6.480529429125497e-17	5.184323841866315e-11	1.2881668077149964e-07	1.2859146030013035e-13	6.115939358670956e-15	5.7040719514050756e-12
3.5469134037348535e-10	6.225380021844592e-11	1.1726135109582632e-10	1.650173232064437e-12	2.4771565283351495e-09	9.631932825697414e-10	1.5255676244004441e-10	5.835215479049181e-09	3.46438611232863e-13	6.348921713770704e-09	4.2592300536309485e-14	9.404275671250124e-12	1.035931943360611e-09	2.5666150669102866e-09	5.4266983855028756e-08	2.835402622250324e-12	4.47178977198047e-10	4.419343801815974e-11	2.9315018718678984e-12	2.179559535829926e-09	1.0845460870927079e-12	1.3850942495057694e-15	2.285235582084499e-13	9.828409545352603e-12	7.069464153894287e-17	5.4035512708623176e-11	1.2610949934735944e-07	1.3937512497213687e-13	6.854402145843787e-15	5.842450156941691e-12
3.546913403736716e-10	6.532627373850417e-11	1.1557839401558258e-10	1.6995653993978981e-12	2.7070761202623745e-09	9.771610047582418e-10	1.6412947973496853e-10	5.864954402708915e-09	3.5390002709502317e-13	6.616486811460574e-09	4.2248411086569456e-14	9.961978523165061e-12	1.0511666249399462e-09	2.5126756817569476e-09	5.6398389757356836e-08	3.15340948895728e-12	4.796598534123797e-10	4.671842738428418e-11	3.0874475320174218e-12	2.3882419687790842e-09	1.196058738003262e-12	1.5516449671002988e-15	2.464756434963321e-13	1.0780208612342352e-11	7.671856569846732e-17	5.618171368019376e-11	1.2345921144668115e-07	1.5036831692413616e-13	7.636232953089709e-15	5.980435309146775e-12
