Values[Vp]	Values[Cac]	G3P	PYR	ATP	NADHm	NADHc	Vm	Cam	Values[ACa]	Values[AD]	Values[ADP]	Values[AT]	Values[DelJNCa]	Values[FDe]	Values[FLNADc]	Values[FNADc]	Values[FPCa]	Values[FPNAD]	Values[FPYR]	Values[FTe]	Values[hCa]	Values[IKCa]	Values[IVCa]	Values[JGlu]	Values[Jgpd]	Values[Jhl]	Values[Jhres]	Values[JLDH]	Values[JNCa]	Values[JO2]	Values[Jph]	Values[JPYR]	Values[Jtnadh]	Values[Juni]	Values[MgADP]	Values[NADc]	Values[NADm]	Values[nKCa]	Values[PVCa]
-70.0	0.1	30.000000000000004	10.0	3700.0000000000005	50.0	10.0	100.0	0.20000000000000004	0.7024345898524347	0.4049832651543325	300.0	0.10114129435809824	3.2866455078125	0.01639344262295082	0.005000000000000001	0.715307582260372	0.46168051708217905	0.3467741935483871	0.17391304347826086	0.9120287253141832	0.9998955467677858	7.518796992481205	-15.773866389173385	0.005392831313523289	0.0651879093353017	0.050676826614097455	0.32892839273626284	0.0010434782608695653	0.0007707638140504071	0.03289283927362629	0.23017675389131212	0.008352985512426522	0.025726184373700237	0.001020476660673536	16.5	1990.0	2150.0	0.06015037593984964	0.004639857115476661
-69.99865943398989	0.09999907006476985	29.897238287187186	10.102437697776447	3699.9394854444554	52.083347012946255	10.07152769892628	100.02846312271828	0.2000052026703664	0.7024439723393092	0.40508047442595296	300.06051455554507	0.10134846348685886	3.286647283708216	0.017064850821954088	0.005035763849463141	0.7167640737501888	0.46168110258679396	0.3373690498085046	0.17538212099253603	0.9119837611463625	0.9998955234298749	7.520615687170602	-15.775957328043853	0.005392820813217878	0.06499344259565816	0.05072083954811696	0.34238307039216026	0.0010598195336836602	0.0007710117542045759	0.03423830703921603	0.230706672830578	0.008195093428022215	0.02547341270394817	0.0010207578157473468	16.50332830055498	1989.9284723010737	2147.9166529870536	0.06014879881031795	0.00464050886363033
-69.99731882374192	0.09999814028998256	29.794843985730378	10.204756511758053	3699.879230064959	54.013434168586826	10.143102091149546	100.06368539191097	0.2000104061874318	0.7024533560572095	0.4051772552803758	300.1207699350416	0.10160526842589132	3.2866490599414346	0.017686049957829093	0.005071551045574772	0.7182067777651734	0.4616816881516197	0.32908479867764256	0.17684428682544925	0.9119280911263872	0.9998955000859797	7.5224343797043245	-15.778048610581894	0.0053928103575832725	0.06479949869253498	0.050775357169907075	0.3548249271073981	0.0010762497933042385	0.0007713140890737315	0.03548249271073981	0.23134960610314884	0.008060514424579139	0.025247287992043455	0.0010211079912258196	16.506642346427288	1989.8568979088504	2145.9865658314134	0.060147221976923806	0.004641160724418221
-69.99597816919986	0.09999721067565824	29.692816105765655	10.306918129944442	3699.8192810620694	55.80547597944027	10.21467709462616	100.10507385700197	0.2000156108421523	0.7024627415306688	0.4052735320712367	300.1807189379306	0.10190765243372656	3.2866508366195624	0.01826211662296783	0.005107338547313081	0.7196349733650448	0.4616822738093811	0.3217367314109318	0.17829904211076383	0.9118626353277096	0.9998954767360977	7.524253070194192	-15.780140236937953	0.0053927999548140215	0.06460607750952135	0.050839493822763974	0.36635591939059114	0.001092760284865563	0.0007716660586029906	0.03663559193905912	0.23209635492797753	0.007945369709370868	0.025044344518468	0.0010215211297790923	16.50993954158618	1989.7853229053737	2144.1945240205596	0.06014564543968879	0.00464181269788933
-69.99463747030758	0.099996281221817	29.591153657714898	10.408890596277637	3699.7596818428246	57.47270305046223	10.286212624519619	100.15209301576598	0.2000208168997904	0.7024721292378231	0.40536923528021984	300.2403181571758	0.10225198970935939	3.2866526138405225	0.01879745418270498	0.00514310631225981	0.7210480904351959	0.46168285958990396	0.315178760359837	0.17974598527271243	0.9117882222460951	0.9998954533802261	7.526071758751845	-15.782232207262338	0.005392789612447275	0.06441317890283876	0.05091245424802332	0.37706454130402195	0.0011093432537513353	0.0007720633645213627	0.037706454130402196	0.232938695211356	0.007846593388294335	0.02486168918155889	0.0010219917609408243	16.513217498644668	1989.7137873754805	2142.5272969495377	0.06014406919863464	0.004642464784092611
-69.99329672700884	0.099995351928479	29.489855652331766	10.510647015223187	3699.7004724145727	59.02670765844835	10.357673626798908	100.20425755111533	0.20002602460235192	0.7024815196148135	0.4054643008805377	300.29952758542777	0.1026350243030124	3.2866543916936513	0.019295911183341945	0.005178836813399455	0.722445683724721	0.4616834455203907	0.30929370686226926	0.18118479203421017	0.911705600800515	0.9998954300183621	7.527890445489112	-15.78432452170563	0.005392779337431037	0.06422080270452522	0.05099352136839976	0.38702818656484717	0.0011259917652178702	0.0007725021118324786	0.03870281865648472	0.23386923920087277	0.007761727342458798	0.024696883851649337	0.0010225149269201632	16.516474017198526	1989.642326373201	2140.9732923415518	0.06014249325378307	0.004643116983077101
-69.99195593924752	0.09999442279566434	29.388921100742643	10.612164574892502	3699.641689724109	60.47771236880805	10.42902930548622	100.26112628827433	0.20003123417072557	0.7024909130596497	0.40555866978869065	300.35831027589165	0.10305381994463367	3.2866561702604917	0.019760873318694524	0.0052145146527431095	0.7238274120144151	0.46168403162566113	0.30398640604881005	0.18261520032033898	0.9116154502755076	0.9998954066505035	7.52970913051761	-15.786417180418274	0.005392769136182916	0.06402894872499529	0.051082046202699995	0.3963149834216974	0.0011426995654608308	0.000772978760149485	0.039631498342169745	0.2348813218860584	0.007688775765170058	0.024547856515961215	0.001023086120877741	16.519707065174043	1989.5709706945138	2139.522287631192	0.060140917605155705	0.004643769294891798
-69.99061510696741	0.09999349382339318	29.288349014483554	10.713423798397953	3699.5833679516622	61.834782225799685	10.500252497343576	100.32229711094745	0.20003644580657215	0.7025003099356224	0.40565228738909337	300.4166320483382	0.10350571842667858	3.286657949615488	0.020195336007271074	0.005250126248671788	0.7251930212204407	0.4616846179283663	0.2991787135566419	0.18403699867405474	0.9115183886475344	0.9998953832766474	7.5315278139491	-15.788510183550887	0.005392759014641066	0.06383761675512419	0.05117743945219951	0.40498524298195177	0.0011594609729585158	0.0007734900827650145	0.04049852429819518	0.23596890678645843	0.007626099941337884	0.024412833126220466	0.0010237012349961507	16.5229147626586	1989.4997475026564	2138.1652177742003	0.060139342252774286	0.0046444217195857574
-69.98927423011231	0.09999256501168569	29.188138405533618	10.814407961564601	3699.525538767289	63.10599483978356	10.571319160337382	100.38740264177449	0.20004165969400242	0.7025097105743343	0.4057451031194	300.47446123271084	0.10398830477314833	3.2866597298266056	0.0206019625001858	0.005285659580168691	0.7265423305580734	0.46168520444917727	0.2948058250641742	0.1854500172357481	0.9114149796254547	0.9998953598967909	7.5333464958953416	-15.790603531254154	0.00539274897830859	0.06364680656796343	0.05127916441539213	0.4130926191117269	0.001176270792293497	0.0007740331318849935	0.04130926191117269	0.23712650711819472	0.007572340777377354	0.024290284595512805	0.0010243565163564014	16.526095367799098	1989.4286808396625	2136.8940051602162	0.06013776719666062	0.004645074257208058
-69.98793330862605	0.09999163636056202	29.088288286345705	10.915102634150085	3699.4682315556897	64.29857847442925	10.642207951165965	100.45610654068321	0.20004687600107465	0.7025191152784047	0.4058370701068188	300.5317684443107	0.10449937785965686	3.2866615109558848	0.02098313099320775	0.005321103975582981	0.727875221117082	0.46168579120695497	0.29081352034776825	0.1868541206288834	0.9113057386536997	0.9998953365109317	7.535165176468038	-15.792697223678797	0.005392739032292509	0.06345651792016767	0.0513867309723277	0.42068504915871563	0.001193124244958896	0.0007746052088449566	0.042068504915871566	0.23834911931168626	0.007526360855263769	0.02417888506648153	0.0010250485291253108	16.52924726443709	1989.357792048834	2135.701421525571	0.0601361924368364	0.004645726907807785
-69.9865923424524	0.09999070787004236	28.988797669874803	11.015495314132727	3699.411473614278	65.41902544378401	10.71289987331759	100.52810030866168	0.2000520948811362	0.7025285243238926	0.4059281448476171	300.5885263857226	0.10503692545670255	3.2866632930599353	0.02134097325709434	0.005356449936658795	0.7291916263589525	0.4616863782189009	0.28715607007840893	0.18824920228389916	0.9111911380692727	0.9998953131190668	7.536983855778984	-15.794791260975634	0.005392729181338052	0.06326675055319195	0.05149969043949747	0.4278055256120295	0.0012100169131795922	0.0007752038384011192	0.04278055256120295	0.2396321665503556	0.0074872004691977625	0.02407747868657005	0.001025774121905113	16.532368951214742	1989.2871001266824	2134.580974556216	0.060134617973323416	0.004646379671434062
-69.98525133153515	0.09998977954014687	28.889665569604386	11.115575132967491	3699.355290328502	66.47318622347471	10.78337798151666	100.60310050898607	0.20005731647403024	0.7025379379624765	0.4060182869233885	300.6447096714983	0.10559910289249591	3.2866650761903826	0.021677406644908574	0.005391688990758329	0.730491524159986	0.46168696550069355	0.2837946252964717	0.18963517986050935	0.9110716115620356	0.9998952897211938	7.538802533939906	-15.796885643295512	0.005392719429859036	0.0630775041943059	0.05161763113964272	0.43449273574217356	0.0012269446938172608	0.000775826746386312	0.04344927357421736	0.24097145050843619	0.007454043835812597	0.023985052884279677	0.0010265303993469194	16.535459031932405	1989.2166220184833	2133.526813776525	0.06013304380614346	0.004647032548136021
