beta-catenin	Axin2 mRNA	Axin2 protein	Notch protein	cytosolic NicD	phosph. beta-catenin	Lunatic fringe mRNA	Lunatic Fringe protein	active Ras	active ERK	active TF X	Dusp6 mRNA	Dusp6 protein	nuclear NicD	nuclear beta-catenin	Gsk3	inactive Ras	inactive ERK	inactive TF X	Axin2/Gsk3 destruction complex	Values[vsFK]
0.1	0.1	0.1	0.5	0.2	0.1	0.1	0.001	0.5	0.2	0.1	0.1	0.1	0.0	0.001	3.0	1.5	1.8	1.9	0.0	1.3636363636363635
0.21394133102454388	0.3641188489760184	0.0025338891878974455	0.14204132288657323	0.47485131114101164	0.0003219813453180239	0.05043447032027893	0.006248716499399053	1.4631771543492784	0.6520150312788134	0.0946580522210028	0.08482752121142109	0.04304149139474843	0.0008453299771290929	0.0795562217641247	2.9116777518429195	0.5368228456507216	1.3479849687211867	1.9053419477789972	0.08832224815708045	1.3858918331650314
0.29856295231923685	0.5760133011658081	0.003345536997275433	0.06294830118823101	0.5520795525988469	0.000424313234708985	0.02477222190982976	0.007327534815719401	1.9846919680982194	1.4851890074512262	0.22946866277442027	0.08620333910329445	0.021269008755571243	0.0011877053950905517	0.12139328946491346	2.9026304420109117	0.015308031901780648	0.5148109925487738	1.7705313372255798	0.0973695579890883	1.3882126642755204
0.3837891634637242	0.7926643131219255	0.004290154462294258	0.04667619533823287	0.5865707136715065	0.0005466949662396362	0.012100829133258365	0.006715876066710096	1.98878092595332	1.9996018564631208	0.5260133316282669	0.1525510343718579	0.01721976548497828	0.0013797107196969575	0.16142311876775736	2.888423692308494	0.011219074046679989	0.0003981435368791697	1.473986668371733	0.11157630769150595	1.39187273092604
0.4680465625182554	1.002483432992753	0.005304389665336059	0.04338698807969513	0.6117984877584121	0.0006958736070500556	0.006018278138228703	0.005580338719123098	1.9887812708273112	1.9994931424327627	0.8485431860559105	0.2827056617812769	0.025661481290219584	0.0015332932527042373	0.2009610347203223	2.869308561699844	0.011218729172688846	0.0005068575672373399	1.1514568139440895	0.13069143830015584	1.3968278994987782
0.5510642996106099	1.225382158161372	0.00645417459196929	0.042723788473792844	0.6346219337893373	0.0008767323010801969	0.003165125288512901	0.004419950346405763	1.9887812708553785	1.9991636756707125	1.1623770000590214	0.43606760779226783	0.041970513126991696	0.001686071291769393	0.2399634558599199	2.845396241086377	0.01121872914462152	0.0008363243292874856	0.8376229999409786	0.15460375891362288	1.4030765282380133
0.6325814939926491	1.4767179723337807	0.007806336114974188	0.042589595173516036	0.6564409381857214	0.001095166898775989	0.0018736990164792621	0.0034177058853278636	1.9887812708553805	1.9987327061900035	1.4645504806164773	0.5956164124884877	0.06277672249463699	0.0018486793326849187	0.2783198673508867	2.8163473048547076	0.011218729144619521	0.0012672938099964615	0.5354495193835227	0.18365269514529237	1.4107430477973582
0.7122883396987624	1.7667826238439597	0.009420720417873594	0.04256209633688125	0.6775527751812652	0.0013586347828621922	0.0013391952091983779	0.002617239570765984	1.9887812708553805	1.9982313745564408	1.742743384941391	0.7555247800904275	0.08646738646855781	0.002024840798495201	0.3158964771997125	2.7815208254162376	0.011218729144619521	0.0017686254435591575	0.2572566150586091	0.21847917458376243	1.4200455224767432
0.7898129813246644	2.102525438252077	0.01135558835779659	0.04255626051349564	0.6980324790668554	0.001676133328360672	0.0011799719256618921	0.0020067128539121544	1.9887812708553805	1.9976710854383757	1.941779529818577	0.913431371737951	0.11237730483776034	0.0022167924980946996	0.3525327606322787	2.7400953305104414	0.011218729144619521	0.002328914561624318	0.05822047018142307	0.2599046694895586	1.4312716710192788
0.8647109843001567	2.488360672490345	0.01367102802859592	0.04255491109961932	0.717910019144442	0.002058065816817228	0.001218561461656601	0.0015566381105024635	1.9887812708553805	1.9970553281089785	1.9774538843638492	1.067417284069592	0.14020431742742226	0.0024266165182607563	0.3880364698770465	2.691156400932687	0.011218729144619521	0.002944671891021544	0.022546115636150832	0.30884359906731307	1.444764792417444
