Galpha_GTP	APLC	IP3	Calcium{Cytosol}	Calcium{ER}	PLC	Diacylglycerol	Values[Raplc]	Values[Rpkc]	Values[Rgalpha_gtp]	Values[Rdg]	Values[Rip3]	Values[Rcyt1]	Values[Rcyt2]	Values[Rer]
1.0	9.0	1.0	200.0	1000.0	1.0	1.0	0.6923076923076923	0.045454545454545456	2.5599934464167773e-06	0.009900990099009901	6.399590426212723e-05	0.16666666666666666	0.09090909090909091	0.9995783029034626
0.39698051836415627	7.982284901240021	50.50753662979514	264.69601461470245	993.3149394891019	2.017715098759979	50.50753662979514	0.6661738530698724	0.475472243854372	6.35794425262047e-08	0.962278545683953	0.8918462784570625	0.20929615619556113	0.1168792689643761	0.9995697350331393
0.14011438330024603	7.07965164331073	51.51158786847512	350.8080989939412	984.002626418032	2.92034835668927	51.51158786847512	0.6389778190891973	0.5333561326946122	9.866675460753542e-10	0.9636818430118913	0.8974118890958008	0.25970239537001377	0.14922872655750763	0.9995574088150522
0.07945104940074137	6.279087728411642	46.595513498575656	430.3004088906901	974.9005685444415	3.7209122715883582	46.595513498575656	0.6108604084636903	0.5620646440132429	1.020090061804254e-10	0.955969285336135	0.8662133998834635	0.3008461762409911	0.17705646895195998	0.9995449017897684
0.06788019308153279	5.56905123056854	41.44951042105766	501.6260337161382	966.2309661655711	4.43094876943146	41.44951042105766	0.5819857263150694	0.5759868008904476	5.435158846551201e-11	0.9449963726636846	0.8200668894986255	0.334055232430103	0.20051999257897798	0.9995325470821221
0.06826677574411669	4.939305349785756	36.77906375160165	564.031378088642	958.1318810501621	5.060694650214244	36.779063751601655	0.5525379385216027	0.5804184570725305	5.560035075124677e-11	0.9311626403779382	0.7609980011296443	0.36062663830819597	0.21997834461335625	0.9995205981947418
0.07279211065697704	4.380770858262305	32.6223560600282	616.8035423529122	950.7324936993521	5.619229141737695	32.6223560600282	0.5227169352737353	0.577972423260213	7.187489350092482e-11	0.9141054423397578	0.6896248424200517	0.38149566486926817	0.23570876925606352	0.9995093230831298
0.08017188411243617	3.8853952032927723	28.93373916631309	659.3114507385782	944.1501773400241	6.114604796707229	28.93373916631309	0.4927330974699042	0.5701885165890996	1.0576167623443052e-10	0.8932947785622313	0.6078771455837509	0.3973403850405005	0.24792562396385187	0.9994989940145255
0.09079702027434695	3.4460364113866655	25.66196584309869	691.1919550848039	938.4724287204459	6.5539635886133345	25.66196584309869	0.46280144509055854	0.5581000483353143	1.7399082626001534e-10	0.868167186159912	0.5195905727839186	0.4087010661366022	0.25683487711786923	0.9994898503132859
0.10592635843444241	3.0563601204934496	22.760127545071814	712.5324252222999	933.7383573175102	6.94363987950655	22.760127545071814	0.43313550730170486	0.5424821277971986	3.2229690434846584e-10	0.8381938304431004	0.4300623342070895	0.4160694505564224	0.2626816249630291	0.9994820555396889
0.12791363932595737	2.7107482559986904	20.186423034022578	723.959299182838	929.9290246853969	7.28925174400131	20.186423034022578	0.4039412823414396	0.5239731421331731	6.853420616017905e-10	0.8029524326324635	0.34488568780674683	0.41993990201856674	0.2657746389235768	0.9994756677062604
0.16109963252325232	2.404218034409557	17.90375127132478	726.5883944886982	926.9714522524384	7.595781965590442	17.90375127132478	0.3754116461200741	0.5031332790949816	1.7243211837215598e-09	0.7622129280537135	0.26862760748061426	0.4208231659658907	0.2664826110011193	0.9994706355763632
0.21390660478948437	2.1323501295426976	15.879203004114107	721.8592395233007	924.7544642793393	7.867649870457303	15.879203004114107	0.3477215234776087	0.4804693742147995	5.359653837047684e-09	0.7160293654175947	0.20398092299553874	0.41923243372852503	0.26520814487442973	0.9994668212131902
0.3038905748458467	1.8912249801224423	14.083589969649365	711.3244221957383	923.149502540542	8.108775019877557	14.083589969649365	0.3210240631623502	0.4564433233250339	2.18327719512355e-08	0.664820392851558	0.1516656242897438	0.4156572611071977	0.2623531202583568	0.9994640369597457
