A	R	T	Pi	D	G*T	RG*AT	GA	RG	GAD	RGD	RGA	G	G*AT	GD	RG*T	RGAD	Values[Z]	Values[v]
0.0	1e-06	0.000468	0.0044	0.000149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-08	0.0	0.0	0.0	0.0	0.0	0.0
0.0	9.900893889172972e-07	0.0004679906688550923	0.004400000110570018	0.0001489993337316253	8.93574533452423e-11	0.0	0.0	2.5866636943216215e-12	0.0	7.768069787844311e-10	0.0	5.37010293380925e-17	0.0	3.141025049870433e-14	9.131217440219474e-09	0.0	0.9220574893564717	0.01198674736163413
0.0	9.900940923891437e-07	0.00046799006373099997	0.004400000234309919	0.00014899993730377754	9.407207441852276e-11	0.0	0.0	1.0347553616111446e-12	0.0	2.969858454827665e-10	0.0	2.2032288255359436e-17	0.0	2.0292693021029942e-14	9.607887010012404e-09	0.0	0.9701959084430923	0.012612546809760202
0.0	9.90095384001138e-07	0.00046798980431823325	0.004400000361529425	0.00014900019629036508	9.536674814495877e-11	0.0	0.0	6.085849592481275e-13	0.0	1.6522181876329562e-10	0.0	1.3335751251280923e-17	0.0	1.723965785211516e-14	9.738785595141268e-09	0.0	0.9834152343286227	0.012784398046272093
0.0	9.900957458230898e-07	0.0004679896391188059	0.004400000489697196	0.00014900036137040578	9.572942778692578e-11	0.0	0.0	4.892006927933083e-13	0.0	1.2831040527011398e-10	0.0	1.089957045541978e-17	0.0	1.6384404049265892e-14	9.77545457095042e-09	0.0	0.9871183998737345	0.012832539198358549
0.0	9.900958578822026e-07	0.00046798949922731127	0.004400000618119695	0.00014900050122492532	9.584175253306447e-11	0.0	0.0	4.522264043342042e-13	0.0	1.1687864843581446e-10	0.0	1.0145065783813946e-17	0.0	1.611952524249364e-14	9.78681124295952e-09	0.0	0.9882652995492586	0.012847448894140358
0.0	9.900959040897842e-07	0.0004679893660084115	0.004400000746609352	0.0001490006344285784	9.588806964885618e-11	0.0	0.0	4.369800211152928e-13	0.0	1.1216476213635354e-10	0.0	9.833945534028279e-18	0.0	1.6010302437783994e-14	9.79149416806044e-09	0.0	0.9887382237709295	0.012853596909022082
0.0	9.900959044095868e-07	0.0004679892374392251	0.0044000008751458085	0.00014900076299765924	9.588839020952333e-11	0.0	0.0	4.3687444676131475e-13	0.0	1.121321378714614e-10	0.0	9.831791915986703e-18	0.0	1.6009546504413925e-14	9.791526578099176e-09	0.0	0.98874149683087	0.012853639458801308
0.0	9.900959045145323e-07	0.0004679891088918108	0.004400001003682482	0.00014900089154503885	9.588849540379399e-11	0.0	0.0	4.3683976565608617e-13	0.0	1.1212143237861298e-10	0.0	9.831084956515487e-18	0.0	1.6009298437271812e-14	9.791537213327679e-09	0.0	0.9887425708731471	0.01285365342135091
0.0	9.900959046194778e-07	0.0004679889803443965	0.0044000011322191555	0.00014900102009241843	9.588860059806465e-11	0.0	0.0	4.368050845508576e-13	0.0	1.1211072688576456e-10	0.0	9.830377997044272e-18	0.0	1.60090503701297e-14	9.791547848556178e-09	0.0	0.9887436449154241	0.012853667383900511
0.0	9.90095904645081e-07	0.00046798885180502345	0.004400001260755909	0.00014900114863178302	9.588862626224536e-11	0.0	0.0	4.3679658211574474e-13	0.0	1.1210811552051272e-10	0.0	9.830205251083585e-18	0.0	1.6008989847147302e-14	9.79155044282039e-09	0.0	0.9887439069082634	0.012853670789807422
0.0	9.900959046706676e-07	0.0004679887232656521	0.004400001389292662	0.00014900127717114588	9.588865190926454e-11	0.0	0.0	4.36788085329637e-13	0.0	1.1210550590186483e-10	0.0	9.830032620398992e-18	0.0	1.6008929364634416e-14	9.791553035349472e-09	0.0	0.9887441687258735	0.012853674193436353
0.0	9.900959046793236e-07	0.00046798859472800715	0.004400001517829421	0.00014900140570878786	9.588866058601033e-11	0.0	0.0	4.3678517468612403e-13	0.0	1.1210462341955976e-10	0.0	9.82997398184289e-18	0.0	1.6008908900603056e-14	9.791553912086198e-09	0.0	0.9887442572672209	0.01285367534447387
0.0	9.900959046796336e-07	0.0004679884661912133	0.004400001646366184	0.00014900153424558154	9.588866089675028e-11	0.0	0.0	4.367850178993361e-13	0.0	1.121045923809749e-10	0.0	9.829971539129325e-18	0.0	1.6008908164883788e-14	9.791553942971564e-09	0.0	0.9887442603868315	0.01285367538502881
0.0	9.900959046799437e-07	0.0004679883376544195	0.004400001774902947	0.00014900166278237518	9.588866120749024e-11	0.0	0.0	4.3678486111254817e-13	0.0	1.1210456134239006e-10	0.0	9.829969096415759e-18	0.0	1.600890742916452e-14	9.79155397385693e-09	0.0	0.9887442635064417	0.012853675425583742
0.0	9.900959046802537e-07	0.0004679882091176257	0.004400001903439709	0.00014900179131916883	9.588866151823019e-11	0.0	0.0	4.3678470432576027e-13	0.0	1.1210453030380523e-10	0.0	9.829966653702194e-18	0.0	1.600890669344525e-14	9.791554004742295e-09	0.0	0.9887442666260523	0.012853675466138678
0.0	9.900959046805637e-07	0.0004679880805808319	0.004400002031976472	0.00014900191985596248	9.588866182897014e-11	0.0	0.0	4.3678454753897237e-13	0.0	1.1210449926522037e-10	0.0	9.829964210988628e-18	0.0	1.6008905957725983e-14	9.791554035627661e-09	0.0	0.9887442697456631	0.012853675506693618
0.0	9.900959046808737e-07	0.00046798795204403806	0.004400002160513235	0.00014900204839275616	9.58886621397101e-11	0.0	0.0	4.367843907521844e-13	0.0	1.1210446822663552e-10	0.0	9.829961768275062e-18	0.0	1.6008905222006712e-14	9.791554066513027e-09	0.0	0.9887442728652737	0.01285367554724856
0.0	9.900959046811837e-07	0.0004679878235072442	0.004400002289049997	0.00014900217692954984	9.588866245045005e-11	0.0	0.0	4.367842339653965e-13	0.0	1.1210443718805069e-10	0.0	9.829959325561497e-18	0.0	1.6008904486287443e-14	9.791554097398392e-09	0.0	0.988744275984884	0.012853675587803492
0.0	9.900959046814937e-07	0.00046798769497045044	0.0044000024175867595	0.00014900230546634348	9.588866276119e-11	0.0	0.0	4.367840771786086e-13	0.0	1.1210440614946583e-10	0.0	9.829956882847931e-18	0.0	1.6008903750568175e-14	9.791554128283758e-09	0.0	0.9887442791044946	0.012853675628358428
0.0	9.900959046818037e-07	0.0004679875664336566	0.0044000025461235215	0.00014900243400313713	9.588866307192997e-11	0.0	0.0	4.3678392039182066e-13	0.0	1.1210437511088098e-10	0.0	9.829954440134367e-18	0.0	1.6008903014848907e-14	9.791554159169122e-09	0.0	0.9887442822241052	0.012853675668913368
0.0	9.900959046821137e-07	0.0004679874378968628	0.004400002674660284	0.00014900256253993078	9.588866338266992e-11	0.0	0.0	4.367837636050327e-13	0.0	1.1210434407229613e-10	0.0	9.8299519974208e-18	0.0	1.600890227912964e-14	9.79155419005449e-09	0.0	0.988744285343716	0.012853675709468309
0.0	9.900959046824236e-07	0.000467987309360069	0.004400002803197047	0.00014900269107672449	9.588866369340987e-11	0.0	0.0	4.367836068182448e-13	0.0	1.1210431303371129e-10	0.0	9.829949554707234e-18	0.0	1.600890154341037e-14	9.791554220939855e-09	0.0	0.9887442884633264	0.012853675750023242
0.0	9.900959046827338e-07	0.00046798718082327514	0.00440000293173381	0.00014900281961351814	9.588866400414983e-11	0.0	0.0	4.367834500314569e-13	0.0	1.1210428199512644e-10	0.0	9.829947111993668e-18	0.0	1.60089008076911e-14	9.79155425182522e-09	0.0	0.9887442915829369	0.012853675790578178
0.0	9.900959046830436e-07	0.00046798705228648135	0.004400003060270573	0.00014900294815031178	9.588866431488978e-11	0.0	0.0	4.3678329324466895e-13	0.0	1.121042509565416e-10	0.0	9.829944669280103e-18	0.0	1.600890007197183e-14	9.791554282710585e-09	0.0	0.9887442947025474	0.012853675831133117
0.0	9.900959046833538e-07	0.0004679869237496875	0.004400003188807336	0.00014900307668710543	9.588866462562973e-11	0.0	0.0	4.3678313645788105e-13	0.0	1.1210421991795675e-10	0.0	9.829942226566537e-18	0.0	1.6008899336252562e-14	9.79155431359595e-09	0.0	0.988744297822158	0.012853675871688054
0.0	9.900959046836636e-07	0.0004679867952128937	0.004400003317344098	0.00014900320522389908	9.588866493636969e-11	0.0	0.0	4.3678297967109314e-13	0.0	1.121041888793719e-10	0.0	9.829939783852973e-18	0.0	1.6008898600533294e-14	9.791554344481318e-09	0.0	0.9887443009417686	0.012853675912242991
0.0	9.900959046839738e-07	0.0004679866666760999	0.00440000344588086	0.00014900333376069279	9.588866524710964e-11	0.0	0.0	4.367828228843052e-13	0.0	1.1210415784078706e-10	0.0	9.829937341139406e-18	0.0	1.6008897864814026e-14	9.791554375366683e-09	0.0	0.988744304061379	0.012853675952797928
0.0	9.900959046842836e-07	0.00046798653813930605	0.004400003574417623	0.00014900346229748643	9.588866555784959e-11	0.0	0.0	4.367826660975173e-13	0.0	1.1210412680220221e-10	0.0	9.82993489842584e-18	0.0	1.6008897129094754e-14	9.791554406252047e-09	0.0	0.9887443071809896	0.012853675993352865
0.0	9.900959046845939e-07	0.00046798640960251227	0.004400003702954385	0.00014900359083428008	9.588866586858956e-11	0.0	0.0	4.367825093107294e-13	0.0	1.1210409576361736e-10	0.0	9.829932455712276e-18	0.0	1.6008896393375486e-14	9.791554437137413e-09	0.0	0.9887443103006003	0.012853676033907802
0.0	9.900959046849037e-07	0.00046798628106571843	0.004400003831491148	0.00014900371937107373	9.588866617932951e-11	0.0	0.0	4.3678235252394143e-13	0.0	1.121040647250325e-10	0.0	9.82993001299871e-18	0.0	1.6008895657656218e-14	9.79155446802278e-09	0.0	0.9887443134202109	0.012853676074462738
0.0	9.900959046852137e-07	0.0004679861525289246	0.004400003960027911	0.00014900384790786738	9.588866649006946e-11	0.0	0.0	4.3678219573715353e-13	0.0	1.1210403368644767e-10	0.0	9.829927570285145e-18	0.0	1.600889492193695e-14	9.791554498908146e-09	0.0	0.9887443165398214	0.012853676115017677
