Z1	Z2	Z3	X
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.5912450653471281	0.2642411173907076	0.0	0.6321205587674726
0.8496274629625966	0.7293294332465443	0.32332358332562217	0.8646647166498024
0.9446810351077898	0.9004258631623366	0.7510646579828237	0.950212931590928
0.9796492901221465	0.9633687222082075	0.9084218055488387	0.9816843611076941
0.9925133922352734	0.9865241060192042	0.9663102650584291	0.993262053010923
0.9972458309171868	0.7258438742233233	0.44435710091735153	0.3654006892712935
0.9989867978169097	0.2670230388304184	0.16346984196813585	0.13442340137450878
0.4941433217565651	0.09823228632699801	0.060137194125189995	0.0494516057891763
0.181785169059197	0.03613763859753617	0.022123237367516188	0.018192229102031266
0.06687502635762702	0.013294294282751137	0.00813868419368633	0.006692547070801752
0.024601947285218844	0.004890697543644832	0.002994054588230891	0.0024620504724620932
0.009050550598968757	0.0017991870753094339	0.001101451126315475	0.0009057377499390443
0.003329511487675648	0.0006618839340451702	0.00040520122373532904	0.0003332022963980947
0.0012248588224700295	0.0002434934911825045	0.00014906519938585647	0.00012257827429674824
0.0004506003821399669	8.957625006461983e-05	5.483802261519884e-05	4.509402734985316e-05
0.000165766631141353	3.295326367227773e-05	2.0173782863218206e-05	1.6589167019523876e-05
6.098214273044377e-05	1.2122829636220277e-05	7.421520830261061e-06	6.102814203306845e-06
2.2434079458929334e-05	4.459740362489062e-06	2.7302252849350515e-06	2.24510016588379e-06
8.25302883860552e-06	1.6406452465187018e-06	1.0043928057627696e-06	8.259254162185822e-07
3.036113483995729e-06	6.035584332515888e-07	3.6949471526624407e-07	3.0384036479142147e-07
1.1169215992877373e-06	2.2203631520511175e-07	1.3592924983831764e-07	1.1177641019016712e-07
4.1089902569003694e-07	8.168389405645548e-08	5.0006371402397454e-08	4.112089700079079e-08
1.5116370340411095e-07	3.0050302293384696e-08	1.8396607980010376e-08	1.5127772735649135e-08
5.5609374896972883e-08	1.1054760424417783e-08	6.767655508268121e-09	5.56513214792037e-09
2.045610777895087e-08	4.0665332263010325e-09	2.4895063241482183e-09	2.04715379795e-09
7.518715637028169e-09	1.4946688435297383e-09	9.150269606574057e-10	7.524387062472585e-10
2.7673520363886642e-09	5.501305099900822e-10	3.367864732714742e-10	2.769439471465413e-10
1.0234591357523924e-09	2.0345662167370032e-10	1.2455487712988216e-10	1.0242311389061283e-10
3.7546772360856537e-10	7.464039542404833e-11	4.5694385390307994e-11	3.7575094182082796e-11
1.3325907605398323e-10	2.649098578945265e-11	1.6217616575520117e-11	1.333595944072655e-11
5.037156392516131e-11	1.0013519706480565e-11	6.1302144231934926e-12	5.040955958600436e-12
1.9559646999284642e-11	3.888323002441164e-12	2.380407134583604e-12	1.9574400992523748e-12
7.380098717718714e-12	1.4671127554317172e-12	8.981572950795806e-13	7.385665583347174e-13
1.6278989157400448e-12	3.236150836440189e-13	1.981151394782426e-13	1.6291268525017536e-13
-2.322714177062153e-12	-4.617395683622286e-13	-2.826740891018959e-13	-2.3244662183575456e-13
-3.113864195596926e-12	-6.190147387967112e-13	-3.789569692947333e-13	-3.1162130074795594e-13
-2.7328504177135007e-12	-5.43271826010758e-13	-3.3258762963940316e-13	-2.734911827952238e-13
-2.8445959128116636e-12	-5.654860601953229e-13	-3.4618704550816004e-13	-2.846741613542967e-13
-2.087303568149716e-12	-4.149415619521179e-13	-2.5402464092771495e-13	-2.0888780373995444e-13
-1.4325089275596045e-12	-2.8477290078075123e-13	-1.7433619694891406e-13	-1.4335894801401186e-13
-9.996315105880135e-13	-1.9871985403047964e-13	-1.2165505746837164e-13	-1.000385540379799e-13
-5.667540936164224e-13	-1.1266680728020803e-13	-6.897391798782925e-14	-5.671816006194794e-14
-4.229391986903868e-13	-8.407739745828633e-14	-5.147165928377827e-14	-4.232582250041965e-14
-4.0855117324899287e-13	-8.121715717452498e-14	-4.9720637989041574e-14	-4.088593465637577e-14
-3.9416314780759894e-13	-7.835691689076363e-14	-4.796961669430487e-14	-3.944604681233188e-14
-3.79775122366205e-13	-7.549667660700228e-14	-4.6218595399568176e-14	-3.8006158968288e-14
-3.653870969248111e-13	-7.263643632324092e-14	-4.4467574104831473e-14	-3.656627112424411e-14
-3.5099907148341716e-13	-6.977619603947957e-14	-4.271655281009478e-14	-3.5126383280200224e-14
-3.3661104604202323e-13	-6.691595575571822e-14	-4.0965531515358075e-14	-3.368649543615634e-14
-3.222230206006293e-13	-6.405571547195686e-14	-3.921451022062137e-14	-3.224660759211246e-14
-3.078349951592353e-13	-6.119547518819551e-14	-3.746348892588468e-14	-3.080671974806857e-14
-2.9344696971784145e-13	-5.833523490443416e-14	-3.5712467631147975e-14	-2.9366831904024684e-14
-2.790589442764475e-13	-5.5474994620672806e-14	-3.396144633641128e-14	-2.7926944059980804e-14
-2.646709188350536e-13	-5.261475433691145e-14	-3.2210425041674577e-14	-2.6487056215936914e-14
-2.5028289339365966e-13	-4.97545140531501e-14	-3.045940374693788e-14	-2.504716837189303e-14
-2.358948679522657e-13	-4.689427376938874e-14	-2.8708382452201185e-14	-2.3607280527849144e-14
-2.215068425108718e-13	-4.4034033485627395e-14	-2.6957361157464486e-14	-2.216739268380526e-14
-2.0711881706947788e-13	-4.117379320186604e-14	-2.5206339862727786e-14	-2.0727504839761377e-14
-1.9273079162808393e-13	-3.831355291810469e-14	-2.3455318567991087e-14	-1.928761699571749e-14
-1.7834276618669e-13	-3.545331263434333e-14	-2.1704297273254388e-14	-1.7847729151673604e-14
-1.6395474074529607e-13	-3.259307235058198e-14	-1.995327597851769e-14	-1.640784130762972e-14
-1.4956671530390214e-13	-2.973283206682063e-14	-1.820225468378099e-14	-1.4967953463585834e-14
-1.3517868986250822e-13	-2.6872591783059272e-14	-1.645123338904429e-14	-1.352806561954195e-14
-1.207906644211143e-13	-2.4012351499297923e-14	-1.4700212094307592e-14	-1.2088177775498066e-14
-1.0640263897972037e-13	-2.115211121553657e-14	-1.2949190799570894e-14	-1.0648289931454181e-14
-9.201461353832643e-14	-1.8291870931775217e-14	-1.1198169504834195e-14	-9.208402087410296e-15
-7.76265880969325e-14	-1.5431630648013865e-14	-9.447148210097496e-15	-7.76851424336641e-15
-6.323856265553858e-14	-1.2571390364252512e-14	-7.696126915360799e-15	-6.328626399322526e-15
-4.885053721414465e-14	-9.711150080491159e-15	-5.945105620624099e-15	-4.888738555278641e-15
-3.446251177275072e-14	-6.8509097967298055e-15	-4.1940843258874e-15	-3.4488507112347557e-15
-2.007448633135679e-14	-3.990669512968452e-15	-2.443063031150701e-15	-2.0089628671908707e-15
-1.4098801917040922e-14	-2.8027446406855152e-15	-1.71582281999634e-15	-1.41094367525493e-15
-1.362057120325036e-14	-2.7076756711394144e-15	-1.6576221887105592e-15	-1.363084530562652e-15
-1.3142340489459799e-14	-2.6126067015933135e-15	-1.5994215574247787e-15	-1.315225385870374e-15
-1.2664109775669237e-14	-2.5175377320472127e-15	-1.541220926138998e-15	-1.2673662411780961e-15
-1.2185879061878675e-14	-2.4224687625011114e-15	-1.4830202948532176e-15	-1.2195070964858182e-15
-1.1707648348088114e-14	-2.3273997929550106e-15	-1.4248196635674369e-15	-1.1716479517935403e-15
-1.1229417634297552e-14	-2.2323308234089097e-15	-1.3666190322816562e-15	-1.1237888071012623e-15
-1.0751186920506994e-14	-2.137261853862809e-15	-1.308418400995876e-15	-1.0759296624089846e-15
-1.0272956206716432e-14	-2.042192884316708e-15	-1.2502177697100952e-15	-1.0280705177167067e-15
-9.79472549292587e-15	-1.947123914770607e-15	-1.1920171384243147e-15	-9.802113730244288e-16
-9.316494779135309e-15	-1.8520549452245063e-15	-1.133816507138534e-15	-9.323522283321509e-16
-8.838264065344747e-15	-1.7569859756784053e-15	-1.0756158758527536e-15	-8.844930836398729e-16
-8.360033351554186e-15	-1.6619170061323043e-15	-1.0174152445669729e-15	-8.36633938947595e-16
-7.881802637763624e-15	-1.5668480365862034e-15	-9.592146132811922e-16	-7.88774794255317e-16
-7.403571923973063e-15	-1.4717790670401024e-15	-9.010139819954117e-16	-7.409156495630391e-16
-6.9253412101825e-15	-1.3767100974940015e-15	-8.42813350709631e-16	-6.930565048707612e-16
-6.447110496391939e-15	-1.2816411279479005e-15	-7.846127194238505e-16	-6.451973601784832e-16
-5.968879782601377e-15	-1.1865721584017996e-15	-7.264120881380699e-16	-5.973382154862053e-16
-5.4906490688108154e-15	-1.0915031888556986e-15	-6.682114568522893e-16	-5.494790707939274e-16
-5.012418355020255e-15	-9.964342193095977e-16	-6.100108255665088e-16	-5.016199261016495e-16
