DR	DRG	G_GDP	DRG_GTP	DRG_GDP	GDP	GTP	R	D	G_GTP
7.967044045452139e-11	7.365089062960115e-14	9.160682209211943e-10	3.754011280416245e-11	3.6117616685387555e-11	5.469014699284943e-11	9.999945383503891e-06	8.465981791652993e-10	9.846598179165276e-09	1.0200398698627273e-11
7.970409651723562e-11	7.540901746336892e-14	9.134566415350266e-10	3.9233664332340845e-11	3.617710127605087e-11	5.830512931323955e-11	9.999941770279698e-06	8.448097288569096e-10	9.844809728856886e-09	1.1057183839119444e-11
7.973400770414521e-11	7.705212936553647e-14	9.109526827592651e-10	4.084917818467346e-11	3.620996292291382e-11	6.192468037624914e-11	9.999938152371745e-06	8.431297990589023e-10	9.843129799058878e-09	1.1911124003783193e-11
7.976075342642902e-11	7.879194295576753e-14	9.085529821113547e-10	4.238792105378987e-11	3.6221494710010306e-11	6.554641117019171e-11	9.999934532380765e-06	8.415510388668154e-10	9.841551038866789e-09	1.2758810181890699e-11
7.978480966734707e-11	8.005270241526348e-14	9.062543125836665e-10	4.385234435428005e-11	3.621605285398938e-11	6.91684135673336e-11	9.999930911639128e-06	8.400667404219686e-10	9.840066740421943e-09	1.3597237505650025e-11
7.980656936785357e-11	8.141970941142166e-14	9.040535450082048e-10	4.524403233378642e-11	3.6197218911309054e-11	7.278917511817486e-11	9.999927292244583e-06	8.3867075967764e-10	9.838670759677613e-09	1.4423784037289542e-11
7.982635692971071e-11	8.267534343051948e-14	9.019476213083128e-10	4.656558396350863e-11	3.6167934029647736e-11	7.64075085635355e-11	9.999923675166773e-06	8.373574497337029e-10	9.837357449733676e-09	1.523618535510141e-11
7.984444123599772e-11	8.386663898238311e-14	8.999335361460567e-10	4.7819477495728835e-11	3.613061027797546e-11	8.002249339265426e-11	9.99992006137324e-06	8.361216043513161e-10	9.83612160435129e-09	1.6032509441257668e-11
7.986104554989189e-11	8.49714438843201e-14	8.980083252531485e-10	4.900835055391225e-11	3.608722234491492e-11	8.36334277300724e-11	9.999916451543706e-06	8.349584101073972e-10	9.834958410107371e-09	1.681113040414114e-11
7.987635607790844e-11	8.660408228425748e-14	8.961690586776161e-10	5.013425095447276e-11	3.603938337451171e-11	8.723978856085108e-11	9.999912846815512e-06	8.338634055108233e-10	9.8338634055108e-09	1.75707029111163e-11
7.98905272763199e-11	8.717668116241078e-14	8.944128375940583e-10	5.120144227201082e-11	3.598840794524553e-11	9.084119871774193e-11	9.999909245977951e-06	8.328324458252619e-10	9.832832445825237e-09	1.8310135507524087e-11
7.990368991507966e-11	8.813803527811936e-14	8.927367939413086e-10	5.221113542694199e-11	3.593536351708571e-11	9.443739995301839e-11	9.99990565073807e-06	8.318616731056154e-10	9.83186167310559e-09	1.9028569079386943e-11
7.991595320790778e-11	8.903963323114575e-14	8.911380916064263e-10	5.316640388386059e-11	3.588111446232974e-11	9.802822994140641e-11	9.99990206080968e-06	8.309474888126717e-10	9.830947488812646e-09	1.972535041415373e-11
7.992740955677457e-11	8.98888324350752e-14	8.896139292469075e-10	5.4069812853409355e-11	3.582635648573052e-11	1.0161360428318073e-10	9.999898476284538e-06	8.300865322716513e-10	9.830086532271623e-09	2.040001258151904e-11
7.993813736178798e-11	9.068869547762353e-14	8.881615437191419e-10	5.492386724181907e-11	3.577164629859983e-11	1.051935010640286e-10	9.999894897187619e-06	8.292756604023163e-10	9.829275660402288e-09	2.1052254044963047e-11
7.994820353950878e-11	9.144209800225511e-14	8.867782137697799e-10	5.573099861630288e-11	3.571742643660809e-11	1.0876794801903538e-10	9.999891323494066e-06	8.285119293095787e-10	9.828511929309552e-09	2.1681919079308193e-11
7.995766550611674e-11	9.215174123535905e-14	8.854612641500398e-10	5.649355842973177e-11	3.566404503636389e-11	1.1233701229270217e-10	9.999887755139436e-06	8.277925792865529e-10	9.827792579286526e-09	2.2288980642630586e-11
7.99665728051032e-11	9.282016394568767e-14	8.842080693668285e-10	5.721381373077927e-11	3.561177224930465e-11	1.1590079201944314e-10	9.999884192028133e-06	8.271150210508679e-10	9.827115021050841e-09	2.2873524489143306e-11
7.997496856576194e-11	9.344975418489109e-14	8.830160576566508e-10	5.789394410799642e-11	3.556081511193934e-11	1.194594087341302e-10	9.999880634041008e-06	8.264768224601181e-10	9.82647682246009e-09	2.3435733369229897e-11
7.998289053148939e-11	9.404275883805609e-14	8.818827142799362e-10	5.853604052057232e-11	3.5511328194733043e-11	1.230130019916406e-10	9.999877081040754e-06	8.258756979943678e-10	9.82587569799434e-09	2.39758742459217e-11
7.999037192617304e-11	9.460129251748576e-14	8.808055844604925e-10	5.914210512138352e-11	3.546342269194651e-11	1.2656172482526622e-10	9.999873532876454e-06	8.2530949896798e-10	9.825309498967951e-09	2.4494286433661424e-11
7.999744226049094e-11	9.512734638517008e-14	8.797822761503187e-10	5.971405156487147e-11	3.541717492581594e-11	1.3010573952874861e-10	9.999869989387806e-06	8.24776203902437e-10	9.82477620390241e-09	2.499137001261017e-11
8.000412794755137e-11	9.562279596332244e-14	8.78810462305433e-10	6.025370620898197e-11	3.53726329477686e-11	1.3364521444223036e-10	9.99986645040834e-06	8.242739100997352e-10	9.824273910099707e-09	2.5467575741854528e-11
8.001045277762251e-11	9.608940814897862e-14	8.778878826767006e-10	6.076280994272718e-11	3.53298217202353e-11	1.371803214879532e-10	9.999862915767907e-06	8.238008261512665e-10	9.823800826151237e-09	2.5923396252189328e-11
8.001643830399247e-11	9.652884769464441e-14	8.770123451620466e-10	6.124302039223214e-11	3.528874738652582e-11	1.4071123418995215e-10	9.999859385294644e-06	8.233552650695553e-10	9.823355265069526e-09	2.635935821150225e-11
8.002210418551351e-11	9.694268338587346e-14	8.761817268195709e-10	6.169591429168744e-11	3.5249401072956565e-11	1.4423812594345034e-10	9.999855858816725e-06	8.229356377664571e-10	9.822935637766427e-09	2.677601513240054e-11
8.002746847061088e-11	9.733239381060102e-14	8.753939745262611e-10	6.212299007108871e-11	3.52117620664233e-11	1.4776116861440287e-10	9.999852336163764e-06	8.22540446998067e-10	9.822540446998037e-09	2.7173940942417665e-11
8.003254781909449e-11	9.76993726698355e-14	8.746471052744892e-10	6.25256706470135e-11	3.517580033073989e-11	1.512805314864536e-10	9.99984881716787e-06	8.221682818304827e-10	9.822168281830453e-09	2.755372437508898e-11
8.003735767880014e-11	9.804493370389793e-14	8.739392061360216e-10	6.290530631988385e-11	3.5141478532402304e-11	1.5479638046467274e-10	9.999845301664455e-06	8.218178125352103e-10	9.821817812535181e-09	2.79159640779897e-11
8.00419124348083e-11	9.837031532397461e-14	8.7326843394082e-10	6.326317769135708e-11	3.510875375178654e-11	1.5830887744293191e-10	9.999841789492857e-06	8.214877858067245e-10	9.821487785806695e-09	2.8261264300713825e-11
8.004622553651313e-11	9.867668497517029e-14	8.726330147060903e-10	6.360049857607685e-11	3.507757893170111e-11	1.6181817980674e-10	9.999838280496862e-06	8.211770202707342e-10	9.821177020270705e-09	2.859023110115788e-11
8.00503096020176e-11	9.896514322538289e-14	8.720312428379499e-10	6.391841890515932e-11	3.504790406025081e-11	1.6532444007217084e-10	9.999834774525057e-06	8.208844022893472e-10	9.820884402289319e-09	2.8903469053416035e-11
8.00541765026155e-11	9.923672759236047e-14	8.71461480128297e-10	6.421802760247598e-11	3.501967711929178e-11	1.6882780564368284e-10	9.99983127143107e-06	8.206088820480249e-10	9.820608882047997e-09	2.920157842234424e-11
8.00578374330379e-11	9.949241613941235e-14	8.709221545747464e-10	6.45003554047248e-11	3.49928448579228e-11	1.723284186590409e-10	9.99982777107374e-06	8.203494698881755e-10	9.820349469888148e-09	2.9485152746467985e-11
8.00613029711514e-11	9.973313085593354e-14	8.704117590464206e-10	6.476637760402186e-11	3.4967353428417254e-11	1.7582641590096585e-10	9.999824273317214e-06	8.201052328655539e-10	9.820105232865525e-09	2.9754776790285674e-11
8.006458312987282e-11	9.995974086455373e-14	8.69928849840051e-10	6.5017016720312e-11	3.4943148919077554e-11	1.7932192875779966e-10	9.999820778030967e-06	8.198752914898733e-10	9.819875291489846e-09	3.001102477969621e-11
8.006768740039599e-11	1.0017306542819754e-13	8.694720451206165e-10	6.525314508850385e-11	3.4920177772408214e-11	1.828150832380263e-10	9.999817285089811e-06	8.196588166732641e-10	9.819658816673236e-09	3.0254458953044615e-11
8.007062478879725e-11	1.0037387677488044e-13	8.690400232739371e-10	6.547558735131005e-11	3.4898387115463094e-11	1.8630600002413844e-10	9.999813794373837e-06	8.194550268676552e-10	9.819455026867628e-09	3.0485628382516225e-11
8.007340384755525e-11	1.0056290275950536e-13	8.686315211873439e-10	6.568512286256277e-11	3.4877725016733824e-11	1.897947945586089e-10	9.999810305768327e-06	8.192631853703891e-10	9.819263185370363e-09	3.0705068030601404e-11
8.007603270366636e-11	1.0074082938228284e-13	8.682453324865596e-10	6.588248799632954e-11	3.4858140694161506e-11	1.932815771488413e-10	9.999806819163664e-06	8.190825977764607e-10	9.819082597776431e-09	3.0913297993568493e-11
8.007851908379407e-11	1.0090830316910126e-13	8.678803057393003e-10	6.606837836212591e-11	3.483958467865049e-11	1.9676645308864856e-10	9.999803334455198e-06	8.189126095722608e-10	9.818912609572232e-09	3.111082291675545e-11
8.008087033654409e-11	1.0106593341324696e-13	8.675353426307381e-10	6.624345092530627e-11	3.4822008934499566e-11	2.0024952279534484e-10	9.999799851543123e-06	8.187526038702373e-10	9.818752603870208e-09	3.129813157604412e-11
8.008309345236062e-11	1.0121429428804821e-13	8.672093961279166e-10	6.640832603200266e-11	3.48053669455995e-11	2.0373088195758338e-10	9.999796370332321e-06	8.186019992757496e-10	9.818601999275721e-09	3.147569660019443e-11
8.008519508168086e-11	1.0135392684809566e-13	8.669014686416107e-10	6.65635893493826e-11	3.478961377538048e-11	2.0721062169048572e-10	9.99979289073222e-06	8.184602478667085e-10	9.818460247866679e-09	3.164397430677937e-11
8.008718155126747e-11	1.0148534089403137e-13	8.666106101952743e-10	6.670979369710278e-11	3.477470609910226e-11	2.1068882869686148e-10	9.999789412656627e-06	8.18326833311634e-10	9.818326833311604e-09	3.180340466762789e-11
8.008905888008431e-11	1.0160901677991008e-13	8.663359166078148e-10	6.684746082863456e-11	3.4760602228822485e-11	2.1416558542826465e-10	9.999785936023571e-06	8.182012690456791e-10	9.818201269045651e-09	3.1954411317949594e-11
8.0090832793512e-11	1.0172540707553774e-13	8.660765276993765e-10	6.697708309216056e-11	3.4747262113898834e-11	2.1764097024932908e-10	9.999782460755142e-06	8.180830965933535e-10	9.818083096593325e-09	3.209740168748975e-11
8.00925087368276e-11	1.0183493815105697e-13	8.658316255265312e-10	6.709912502229464e-11	3.473464733301814e-11	2.2111505760077918e-10	9.99977898677732e-06	8.179718839697088e-10	9.81797188396968e-09	3.223276718000636e-11
8.009409188789754e-11	1.0193801167033372e-13	8.656004326459016e-10	6.72140248521661e-11	3.472272107446641e-11	2.245879181620383e-10	9.999775514019832e-06	8.178672241738e-10	9.81786722417377e-09	3.2360883415796744e-11
8.009558716919255e-11	1.0203500599772461e-13	8.653822104186505e-10	6.73221959464254e-11	3.471144810942744e-11	2.2805961901077305e-10	9.999772042415978e-06	8.177687337689574e-10	9.817768733768927e-09	3.248211051950023e-11
8.009699925939367e-11	1.0212627754747843e-13	8.651762573449287e-10	6.742402818065247e-11	3.4700794760769965e-11	2.3153022378018032e-10	9.99976857190248e-06	8.176760515216369e-10	9.817676051521606e-09	3.259679343610262e-11
8.009833260424707e-11	1.0221216202609461e-13	8.649819074559287e-10	6.75198892218037e-11	3.469072886446369e-11	2.349997928115742e-10	9.999765102419334e-06	8.1758883714746e-10	9.817588837147428e-09	3.2705262295779134e-11
8.009959142708057e-11	1.0229297562275289e-13	8.647985287423486e-10	6.761012575933357e-11	3.468121972893187e-11	2.3846838330360776e-10	9.999761633909655e-06	8.175067701090319e-10	9.817506770109e-09	3.2807832793764425e-11
8.01007797388232e-11	1.0236901613281685e-13	8.646255216289848e-10	6.769506466954271e-11	3.467223809065563e-11	2.41936049457503e-10	9.999758166319543e-06	8.174295484848462e-10	9.817429548484814e-09	3.2904806594685293e-11
8.010190134761256e-11	1.0244056400690429e-13	8.644623174983635e-10	6.777501411726536e-11	3.466375606783986e-11	2.4540284261758667e-10	9.99975469959793e-06	8.17356887903276e-10	9.817356887903242e-09	3.2996471752525695e-11
8.010295986793998e-11	1.0250788334738286e-13	8.643083772739645e-10	6.785026458617109e-11	3.465574711254795e-11	2.488688114060375e-10	9.99975123369646e-06	8.172885205499941e-10	9.817288520549961e-09	3.308310314397046e-11
8.010395872978791e-11	1.0257122287272459e-13	8.641631900072295e-10	6.792108990884253e-11	3.4648185963466784e-11	2.5233400185719375e-10	9.99974776856935e-06	8.172241941750307e-10	9.817224194174997e-09	3.316496289758986e-11
8.010490118691843e-11	1.0263081676735438e-13	8.640262715784424e-10	6.798774816550022e-11	3.464104859662229e-11	2.5579845754070374e-10	9.999744304173259e-06	8.171636712341924e-10	9.817163671234161e-09	3.3242300842669204e-11
8.01057903251169e-11	1.0268688562496079e-13	8.638971634111914e-10	6.805048257498306e-11	3.4634312176952915e-11	2.5926221968333397e-10	9.999740840467184e-06	8.171067280373229e-10	9.817106728037289e-09	3.331535495124913e-11
8.010662907003804e-11	1.0273963690961212e-13	8.637754312430005e-10	6.810952233075842e-11	3.462795501033329e-11	2.6272532728518357e-10	9.999737377412334e-06	8.170531539519614e-10	9.817053153951927e-09	3.338435177899955e-11
8.010742019492846e-11	1.027892662513625e-13	8.636606639172868e-10	6.816508341489806e-11	3.4621956495682286e-11	2.661878172338046e-10	9.999733914972015e-06	8.170027506282405e-10	9.817002750628207e-09	3.344950690588278e-11
8.010816632766856e-11	1.0283595808434247e-13	8.635524722798887e-10	6.821736931420629e-11	3.46162970784609e-11	2.696497244079457e-10	9.999730453111533e-06	8.169553313215806e-10	9.816955331321548e-09	3.351102536936113e-11
8.010886995784376e-11	1.0287988365331802e-13	8.634504880751468e-10	6.82665717469863e-11	3.461095820524817e-11	2.7311108178131293e-10	9.999726991798084e-06	8.169107202062692e-10	9.816910720206236e-09	3.356910208896667e-11
8.010953344341347e-11	1.0292121062138204e-13	8.63354362906157e-10	6.831287131908175e-11	3.46059222792295e-11	2.7657192052001953e-10	9.999723531000673e-06	8.168687517476546e-10	9.816868751747624e-09	3.3623922284911775e-11
8.011015901725993e-11	1.0296009104879625e-13	8.632637672120941e-10	6.835643818859782e-11	3.460117261631474e-11	2.8003227007835225e-10	9.999720070689995e-06	8.168292700867794e-10	9.816829270086748e-09	3.3675661891946066e-11
8.011074879314407e-11	1.0299665924548447e-13	8.631783893431001e-10	6.839743263843925e-11	3.459669340370381e-11	2.8349215828492597e-10	9.999716610838358e-06	8.167921285054681e-10	9.816792128505436e-09	3.372448795551267e-11
8.011130477168558e-11	1.0303106756106333e-13	8.630979346376061e-10	6.843600561232001e-11	3.459246965887206e-11	2.8695161142865157e-10	9.999713151419624e-06	8.16757188889562e-10	9.81675718888953e-09	3.377055902364217e-11
8.011182884594801e-11	1.0306343571612587e-13	8.630221245507757e-10	6.847229929944582e-11	3.4588487190478356e-11	2.904106543397098e-10	9.99970969240908e-06	8.167243212284124e-10	9.81672432122838e-09	3.381402552358555e-11
8.011232280696792e-11	1.0309388288318439e-13	8.6295069580321e-10	6.850644761920585e-11	3.4584732559719416e-11	2.9386931046854986e-10	9.999706233783399e-06	8.166934031312243e-10	9.816693403131194e-09	3.385503013498305e-11
8.01127883487593e-11	1.0312252628424726e-13	8.628833996104456e-10	6.853857668006424e-11	3.458119304469289e-11	2.973276019570362e-10	9.999702775520555e-06	8.166643194002001e-10	9.81666431940017e-09	3.3893708138514496e-11
8.011322707328695e-11	1.0314947106025659e-13	8.628200009190442e-10	6.856880524346078e-11	3.45778566050457e-11	3.0078554970900637e-10	9.99969931759975e-06	8.16636961607147e-10	9.816636961607118e-09	3.393018776139049e-11
8.011364049516974e-11	1.0317481781000723e-13	8.627602776861842e-10	6.859724513894841e-11	3.4574711848284596e-11	3.0424317345663706e-10	9.999695860001348e-06	8.166112276997879e-10	9.816611227699759e-09	3.39645905087742e-11
8.011403004626792e-11	1.0319866104689098e-13	8.627040201773802e-10	6.862400167597348e-11	3.457174799683012e-11	3.077004918250711e-10	9.999692402706824e-06	8.165870216198823e-10	9.816587021619854e-09	3.399703148877069e-11
8.011439707984655e-11	1.0322108997996129e-13	8.626510303324649e-10	6.864917400574193e-11	3.4568954857755955e-11	3.111575223905053e-10	9.999688945698686e-06	8.165642529666763e-10	9.816564252966646e-09	3.402761971405867e-11
8.011474287467938e-11	1.0324218827665952e-13	8.626011211402215e-10	6.867285548025837e-11	3.4566322793070547e-11	3.146142817374962e-10	9.999685488960439e-06	8.165428366637157e-10	9.816542836663686e-09	3.405645839817442e-11
8.01150686388932e-11	1.0326203477241572e-13	8.625541160554226e-10	6.8695133981751e-11	3.456384269172173e-11	3.1807078551223485e-10	9.999682032476511e-06	8.165226926528623e-10	9.816522692652834e-09	3.408364523633365e-11
8.01153755139444e-11	1.032807036515925e-13	8.625098483942434e-10	6.871609226705613e-11	3.456150594069619e-11	3.215270484778775e-10	9.999678576232214e-06	8.165037455746523e-10	9.816503745574623e-09	3.410927269435412e-11
8.011566457786214e-11	1.0329826473939078e-13	8.624681608472574e-10	6.873580823451763e-11	3.45593044011177e-11	3.249830845587332e-10	9.999675120213694e-06	8.164859245217639e-10	9.816485924521734e-09	3.413342825236932e-11
8.011593684862304e-11	1.0331478366797747e-13	8.624289049686815e-10	6.875435520864993e-11	3.455723038346989e-11	3.284389068867708e-10	9.999671664407886e-06	8.164691627755898e-10	9.81646916277556e-09	3.415619465553219e-11
8.011619328763525e-11	1.033303222637731e-13	8.623919406508674e-10	6.877180223306065e-11	3.455527662211074e-11	3.3189452784948085e-10	9.99966820880246e-06	8.164533975349304e-10	9.8164533975349e-09	3.4177650171698855e-11
