DR	DRG	G_GDP	DRG_GTP	DRG_GDP	GDP	GTP	R	D	G_GTP
0.0	0.0	1e-09	0.0	0.0	0.0	1e-05	1e-09	1e-08	0.0
3.6713769967164374e-11	1.921553907433532e-15	9.980359634778213e-10	6.49795121701835e-14	1.8963122996395118e-12	6.774106374391791e-14	9.999999934180494e-06	9.613230166671189e-10	9.961323016667103e-09	8.231564616973961e-16
5.591141779650269e-11	6.231987915156687e-15	9.93701040717491e-10	4.283739947875767e-13	5.853228670812722e-12	4.462023937086189e-13	9.999999560029595e-06	9.378007475499827e-10	9.937800747549962e-09	1.1124628993833468e-14
6.605902695913144e-11	1.147081880118164e-14	9.884161049739747e-10	1.1930062601546599e-12	1.0332101476448768e-11	1.2548986191251622e-12	9.999998756572195e-06	9.224043944854647e-10	9.922404394485444e-09	4.7316470620771684e-14
7.151192561445664e-11	1.6933421782740594e-14	9.828690890221538e-10	2.351924522230296e-12	1.4635921299811892e-11	2.506349382367351e-12	9.999997510584031e-06	9.11483295141719e-10	9.9114832951417e-09	1.2613173402168352e-13
7.451342419723408e-11	2.2287625701512786e-14	9.773782252668675e-10	3.853111224001719e-12	1.848525926726049e-11	4.166723983196654e-12	9.999995855563635e-06	9.031259176858029e-10	9.903125917685783e-09	2.6111661616942905e-13
7.622201590919036e-11	2.7383702858801047e-14	9.720790149658299e-10	5.6307346630190555e-12	2.1801229600337907e-11	6.1855275290991105e-12	9.999993841856166e-06	8.963186361245944e-10	9.896318636124576e-09	4.616370679550638e-13
7.723847116694636e-11	3.1876772736698866e-14	9.670189839117254e-10	7.619779602729123e-12	2.459634782029081e-11	8.509569884480147e-12	9.999991522306881e-06	8.905135246372975e-10	9.890513524637278e-09	7.33011892518798e-13
7.787630298867719e-11	3.6639190129211904e-14	9.622050804587071e-10	9.760560380901276e-12	2.6920629244990438e-11	1.1089091333084339e-11	9.999988947547853e-06	8.854058681953023e-10	9.885405868195283e-09	1.0770907252730617e-12
7.830065876610396e-11	4.0362948791423514e-14	9.576270076122014e-10	1.2004027923936012e-11	2.883565220359151e-11	1.3880054940580217e-11	9.999986160308001e-06	8.808192981575775e-10	9.880819298157559e-09	1.4929493114808693e-12
7.85997495528306e-11	4.4662633570828045e-14	9.532684257985193e-10	1.4306715959783811e-11	3.0402632070318547e-11	1.6844626583015435e-11	9.999983200036042e-06	8.766462397834965e-10	9.876646239783476e-09	1.9775635378088986e-12
7.882164869601361e-11	4.827642240434627e-14	9.491120998740968e-10	1.6635808770921662e-11	3.1677419847172253e-11	1.995084945280981e-11	9.999980097426962e-06	8.728168462634884e-10	9.872816846263467e-09	2.5263950854060462e-12
7.899330778027392e-11	5.081186764131436e-14	9.451420663866516e-10	1.8964391786783244e-11	3.270884668579207e-11	2.3172006320762205e-11	9.99997687880554e-06	8.692826418795098e-10	9.869282641879487e-09	3.133883273133211e-12
7.913041831204919e-11	5.5057518308406736e-14	9.41344369643293e-10	2.1268110689571372e-11	3.353862142531978e-11	2.6485904131886802e-11	9.999973569153377e-06	8.660077920547517e-10	9.866007792054731e-09	3.79384072350844e-12
7.924254933268981e-11	5.769126266103644e-14	9.377071405203654e-10	2.353351729181177e-11	3.420189249708534e-11	2.987418660738502e-11	9.999970183504645e-06	8.629643496157525e-10	9.862964349615731e-09	4.499758428077739e-12
7.933585695858071e-11	6.044434403121015e-14	9.34220399413818e-10	2.5746064474191187e-11	3.472804269718942e-11	3.3321717092583e-11	9.999966738727242e-06	8.60129591526008e-10	9.860129591525985e-09	5.245049070771368e-12
7.941452018774574e-11	6.301333360249146e-14	9.308757668735268e-10	2.789648308430735e-11	3.5141514909838596e-11	3.6816043474723915e-11	9.99996324696985e-06	8.574844684845061e-10	9.857484468484482e-09	6.023221798726091e-12
7.948152150130955e-11	6.541598982019547e-14	9.276661665297424e-10	2.997782335891346e-11	3.5462580650634946e-11	4.03469433321426e-11	9.99995971847265e-06	8.550126584993222e-10	9.855012658499298e-09	6.828013470890325e-12
7.953908060183166e-11	6.769591169598775e-14	9.245855559648529e-10	3.198524875657098e-11	3.570801925645318e-11	4.390604148111564e-11	9.999956161654424e-06	8.526999554734486e-10	9.852699955473424e-09	7.653480110428158e-12
7.958890333679508e-11	6.979577234013372e-14	9.216286976490597e-10	3.3915747376756e-11	3.589170130617281e-11	4.7486490825562995e-11	9.999952583304937e-06	8.505338522079364e-10	9.850533852207912e-09	8.494057895672601e-12
7.963233212087645e-11	7.177328420554543e-14	9.187909707918922e-10	3.5767572822541154e-11	3.60250824434641e-11	5.1082706732009435e-11	9.999948989066544e-06	8.485032393289131e-10	9.848503239328888e-09	9.344600657898134e-12
