R	X	S
1.0	0.0	0.0
1.0	0.0	0.0
1.0	0.0	0.0
1.0	0.0	0.0
1.000000000000279	1.394700234762325e-13	1.0
1.7597953971337619	0.6321205588011534	1.0
1.3656380880718693	0.8646647167532757	1.0
1.1254879119957528	0.9502129316284856	1.0
1.041744014286946	0.9816843611312418	2.0
1.3282747383505633	1.6253826118338839	2.0
1.1067076493557286	1.8621859645876553	2.0
1.0356768357060695	1.9493010496670617	2.0
1.0126747675846004	1.9813488985902796	3.0
1.1817168113699261	2.625259202064687	3.0
1.0593287223750947	2.8621405646712947	3.0
1.0208189710535172	2.949284347743508	3.0
1.0075333995987532	2.981342753726625	4.0
1.122407894794763	3.625256941495767	4.0
1.0413058278529712	3.8621397329348177	4.0
1.0147403363200562	3.949284041585258	4.0
1.0053640760322795	3.9813426411837325	5.0
1.0919871164804311	4.625256900091765	5.0
1.031735086795708	4.862139717512984	5.0
1.0114152154501679	4.9492840361224015	5.0
1.004165522681886	4.981342639301283	6.0
1.073706608842869	5.62525689940104	6.0
1.0257785457661157	5.86213971747084	6.0
1.0093156832418868	5.949284036181854	6.0
1.0034049582895759	5.981342639424171	7.000000000000001
1.0615184776020061	6.62525689943506	7.000000000000001
1.0217091558269649	6.862139718711147	7.000000000000001
1.0078690216774784	6.949284037359449	7.000000000000001
1.0028793193085752	6.9813426395077975	8.0
1.0528051430076908	7.625256899782005	8.0
1.0187512384557431	7.86213971864964	8.0
1.0068115065040224	7.94928403661813	8.0
1.0024942976639086	7.98134263960498	9.0
1.046261650680851	8.62525689993141	9.0
1.0165035891197842	8.862139722255556	9.0
1.0060046663031765	8.949284040392058	9.0
1.0022001153663562	8.981342640329036	10.0
1.0411651093247258	9.62525690041112	10.0
1.0147375627412172	9.862139723151989	10.0
1.0053687858414482	9.949284040434186	10.0
1.001968012883413	9.9813426409714	11.000000000000002
1.037082326591936	10.625256901656487	11.000000000000002
1.0133132221134473	10.862139723919833	11.000000000000002
1.0048547191848662	10.949284040425484	11.000000000000002
1.001780212997402	10.98134264289433	12.0
1.0337376604115531	11.625256902274476	12.0
1.0121400912005425	11.862139722953605	12.0
1.0044305149248374	11.949284041594787	12.0
1.001625135698407	11.981342642892955	13.000000000000002
1.0309472495325933	12.625256902394169	13.000000000000002
1.011157063491855	12.862139722276076	13.000000000000002
1.004074500186676	12.949284040593295	13.000000000000002
1.0014949136225202	12.981342641273153	14.000000000000002
1.028583696123396	13.625256901585342	14.000000000000002
1.0103213739693433	13.862139721310417	14.000000000000002
1.0037714534550044	13.949284039087404	14.000000000000002
1.0013840130416956	13.981342643274516	15.000000000000002
1.026555910472839	14.625256902880261	15.000000000000002
1.0096021946802303	14.862139721568873	15.000000000000002
1.003510370751398	14.949284038936693	15.000000000000002
1.0012884316798696	14.981342639553908	16.0
1.024797024499086	15.625256900610704	16.0
1.008976740437205	15.862139720646175	16.0
1.0032830992085724	15.949284038159513	16.0
1.0012051998657263	15.981342641272484	17.000000000000004
1.0232568344720117	16.625256900006907	17.000000000000004
1.0084278053364109	16.862139716034793	17.000000000000004
1.0030834695116169	16.94928403749911	17.000000000000004
1.0011320694523624	16.981342641385424	18.0
1.0218969113177248	17.625256897448004	18.0
1.0079421528330434	17.86213971556826	18.0
1.0029067276472337	17.94928403320789	18.0
1.0010673064071367	17.981342639523664	19.0
1.0206873370895257	18.625256898734595	19.0
1.0075094339763104	18.862139716784718	19.0
1.0027491499087353	18.949284037074687	19.0
1.0010095525186626	18.981342638833027	20.0
1.0196044711980454	19.625256893889752	20.0
1.0071214401963757	19.862139714954747	20.0
1.0026077800609112	19.949284035208663	20.0
1.0009577282651807	19.98134263777811	21.000000000000004
1.0186293844144119	20.6252568960983	21.000000000000004
1.0067715768032133	20.862139718737584	21.000000000000004
1.0024802392511925	20.949284035595962	21.000000000000004
1.000910965271819	20.981342638299143	22.000000000000004
1.0177467415529184	21.625256891878657	22.000000000000004
1.0064544851142647	21.862139716548043	22.000000000000004
1.0023645927443492	21.94928404084588	22.000000000000004
1.0008685565271331	21.981342631043667	23.000000000000004
1.0169439857934763	22.62525689442716	23.000000000000004
1.0061657664858075	22.86213971462371	23.000000000000004
1.0022592513798527	22.94928403517658	23.000000000000004
1.0008299202148163	22.98134263881059	24.0
1.0162107367702307	23.62525689604759	24.0
1.0059017745569658	23.862139717165324	24.0
1.0021628956829156	23.94928403528515	24.0
1.0007945752072578	23.9813426332445	25.0
