Values[zzs]	Values[bbs]	Values[nns]	Values[hhs]	Values[VVs]	Values[INa]	Values[INaP]	Values[IKdr]	Values[IA]	Values[Iz]	Values[Minfs]	Values[Pinfs]	Values[Ainfs]
0.00141	0.203517	0.02457	0.98786	-71.81327	-0.007790127661775617	-0.009729401568769757	3.9767335715685876e-05	0.08242574938949318	0.025643289299999997	0.012111710349819173	0.00025574089022833225	0.2514933576083563
0.001411268874067918	0.2029575837361922	0.02540553562899805	0.980728753352663	-71.17061651571758	-0.009402097759046128	-0.011991865282116293	4.7065293732204186e-05	0.0914445895861734	0.026573322829256295	0.012948412555749814	0.00031681611279708215	0.25759031589027087
0.0014151655136122635	0.2014154139693465	0.026862895289949326	0.9771362456382865	-70.56481771128004	-0.011259342291658845	-0.014603738858727958	6.072271002519045e-05	0.10018016541598071	0.027503999725764346	0.013789249447247494	0.00038768128219661435	0.2634252872963774
0.0014218246927899076	0.19907209464552653	0.028427700211268787	0.9745958109126317	-69.9931790522885	-0.013356257017498352	-0.01758734297223804	7.839642223200319e-05	0.10854614945793503	0.028446192047682596	0.01463194150780513	0.00046902140595689925	0.26900848063954946
0.0014313733555370233	0.19608208976756472	0.030006464835483075	0.9723492403118653	-69.45305251613372	-0.01569505835373775	-0.020963829386642725	9.994426814638555e-05	0.11647644549514155	0.02941035316602467	0.015474704073319327	0.0005614923047367611	0.27435209347339756
0.001443931139634507	0.19257620627361355	0.031580752176393924	0.9701680030746812	-68.94185037436932	-0.01828079170556726	-0.02475379717191071	0.00012567860053680176	0.12392418216961977	0.030406517987530867	0.016316262273894974	0.000665736851519248	0.2794699156873212
0.0014596113947265945	0.18866478905009929	0.03314611781068002	0.9679851674069089	-68.45705838911266	-0.021119775761628292	-0.028978099508110453	0.00015602239250805773	0.13086004528890047	0.03144432305118086	0.01715584881308459	0.0007824069865863026	0.28437694909803135
0.001478522635003043	0.18444058879798828	0.034701335177687226	0.9657824191314317	-67.99624626042028	-0.024219419036199778	-0.03365881390990653	0.00019144003576414801	0.13727021732797964	0.03253304795900147	0.017993190365097538	0.0009121908170173106	0.2890890686338802
0.0015007703702037347	0.17998129518866268	0.03624646425244589	0.9635553891322378	-67.5570743261934	-0.02758858589909069	-0.03882035793745887	0.0002324306069531805	0.14315414788577355	0.03368167787193363	0.018828487837742682	0.0010558443389441024	0.29362273896540253
0.001526459269190014	0.17535174773836543	0.03778246984782401	0.9613030148573927	-67.1372961815697	-0.031238193362718616	-0.044490747186044614	0.00027953759107837397	0.14852232886965264	0.034898986162388866	0.01966239513951714	0.0012142277195958371	0.2979947928117988
