Osteoclasts	Osteoblasts	BoneMass	Values[maxC_Cbar]	Values[maxB_Bbar]	Values[C_bar]	Values[B_bar]	Values[gamma]
11.060000000000002	212.13	100.0	9.99933982822018	0.0	1.0606601717798212	212.13203435596427	-1.0
9.62927441342647	248.8243925156941	97.80777803012516	8.56861424164665	36.69235815972979	1.0606601717798212	212.13203435596427	-1.0
8.384212951421258	279.49930162445906	95.99353140401446	7.323552779641437	67.3672672684948	1.0606601717798212	212.13203435596427	-1.0
7.308561619232216	304.9787320488105	94.50501951343487	6.247901447452394	92.84669769284619	1.0606601717798212	212.13203435596427	-1.0
6.38309710337039	325.9985910768792	93.29567798361015	5.322436931590568	113.86655672091496	1.0606601717798212	212.13203435596427	-1.0
5.588705213676948	343.2036766168212	92.32475408002192	4.528045041897127	131.0716422608569	1.0606601717798212	212.13203435596427	-1.0
4.907642656333811	357.15279732474045	91.55695502266805	3.8469824845539904	145.02076296877613	1.0606601717798212	212.13203435596427	-1.0
4.323999979054638	368.3269969305465	90.96191351878879	3.263339807274816	156.19496257458223	1.0606601717798212	212.13203435596427	-1.0
3.823793435138736	377.13862035361086	90.51360717276917	2.763133263358914	165.0065859976466	1.0606601717798212	212.13203435596427	-1.0
3.394883489918949	383.9401756504323	90.18979465658873	2.334223318139127	171.80814129446804	1.0606601717798212	212.13203435596427	-1.0
3.0268170503145058	389.03252407029333	89.97149646881677	1.9661568785346841	176.90048971432907	1.0606601717798212	212.13203435596427	-1.0
2.710642647292153	392.6722180671731	89.84253070198329	1.6499824755123316	180.54018371120884	1.0606601717798212	212.13203435596427	-1.0
2.438723660128248	395.0779524828572	89.78910546652702	1.3780634883484268	182.94591812689288	1.0606601717798212	212.13203435596427	-1.0
2.204561995498955	396.4361663559247	89.79946528797056	1.1439018237191336	184.30413199996036	1.0606601717798212	212.13203435596427	-1.0
2.002637813933142	396.9058663096164	89.86358681233058	0.9419776421533206	184.77383195365206	1.0606601717798212	212.13203435596427	-1.0
1.828267201497747	396.6227551336174	89.97291843430772	0.7676070297179258	184.49072077765305	1.0606601717798212	212.13203435596427	-1.0
1.6774777097988853	395.7027506911447	90.12015841434274	0.6168175380190639	183.57071633518035	1.0606601717798212	212.13203435596427	-1.0
1.5469006770692182	394.24497605119376	90.29906634618393	0.4862405052893968	182.1129416952295	1.0606601717798212	212.13203435596427	-1.0
1.4336787783379221	392.33429478321136	90.50430329315053	0.37301860655810093	180.2022604272471	1.0606601717798212	212.13203435596427	-1.0
1.335387097007447	390.04345735507036	90.73129642604073	0.2747269252276259	177.91142299910604	1.0606601717798212	212.13203435596427	-1.0
1.2499660230145506	387.4349164949022	90.97612451140233	0.18930585123472943	175.3028821389379	1.0606601717798212	212.13203435596427	-1.0
1.1756643866286436	384.56236170338315	91.23542108630512	0.1150042148488224	172.43032734741888	1.0606601717798212	212.13203435596427	-1.0
1.110991382116672	381.4720160892684	91.50629259989311	0.05033121033685073	169.3399817333041	1.0606601717798212	212.13203435596427	-1.0
1.05467599602338	378.20373242920675	91.78616777544924	0.0	166.0716980732425	1.0606601717798212	212.13203435596427	-1.0
1.0056328121791318	374.7919199040173	92.06560773571803	0.0	162.659885548053	1.0606601717798212	212.13203435596427	-1.0
0.9629332221458865	371.2663280238661	92.3391469866299	0.0	159.13429366790183	1.0606601717798212	212.13203435596427	-1.0
0.925781195638315	367.65271041743404	92.60661451762783	0.0	155.52067606146971	1.0606601717798212	212.13203435596427	-1.0
0.8934929004939913	363.9733873217336	92.86788010777452	0.0	151.84135296576926	1.0606601717798212	212.13203435596427	-1.0
0.8654795586768206	360.2477228745509	93.12284890562806	0.0	148.11568851858664	1.0606601717798212	212.13203435596427	-1.0
0.8412330237846418	356.49253061531806	93.37145675785067	0.0	144.36049625935374	1.0606601717798212	212.13203435596427	-1.0
0.8203136440671881	352.7224185066643	93.61366617434761	0.0	140.59038415070006	1.0606601717798212	212.13203435596427	-1.0
0.8023400429717292	348.9500829857604	93.84946283532345	0.0	136.81804862979612	1.0606601717798212	212.13203435596427	-1.0
0.7869805089199102	345.18656000405394	94.0788525607037	0.0	133.05452564808968	1.0606601717798212	212.13203435596427	-1.0
0.7739457342429839	341.44143976231953	94.30185867453937	0.0	129.30940540635527	1.0606601717798212	212.13203435596427	-1.0
0.7629826858173738	337.72305075674745	94.51851970759853	0.0	125.59101640078313	1.0606601717798212	212.13203435596427	-1.0
0.7538694258043831	334.03861783341455	94.72888739029146	0.0	121.90658347745023	1.0606601717798212	212.13203435596427	-1.0
0.7464107288645178	330.39439824049487	94.93302489497032	0.0	118.2623638845306	1.0606601717798212	212.13203435596427	-1.0
0.7404343681923429	326.7957990029208	95.13100529313756	0.0	114.66376464695651	1.0606601717798212	212.13203435596427	-1.0
0.7357879640847226	323.2474784033424	95.32291019845141	0.0	111.1154440473781	1.0606601717798212	212.13203435596427	-1.0
0.7323363051059334	319.75343394290877	95.50882857039069	0.0	107.6213995869445	1.0606601717798212	212.13203435596427	-1.0
0.7299590670743065	316.31707876435826	95.6888556573986	0.0	104.18504440839394	1.0606601717798212	212.13203435596427	-1.0
0.7285488672691183	312.9413082144803	95.86309206132897	0.0	100.80927385851601	1.0606601717798212	212.13203435596427	-1.0
0.7280096015762566	309.62855795747885	96.0316429077167	0.0	97.49652360151453	1.0606601717798212	212.13203435596427	-1.0
0.7282550204006184	306.38085484428956	96.19461710848427	0.0	94.24882048832524	1.0606601717798212	212.13203435596427	-1.0
