PKA	Ca	PP2A	PP2ACa	PP2B	PP2AP	PP2APCa	CK1	D75:137	D34:75:137	D75	D34:75	cAMP	CDK5	PP2C	D	D137	D34	D34:137	PDE	PDEP	cAMP_R2C2	cAMP3_R2C2	cAMP4_R2C	PP2BinactiveCa2	CK1P	D34:75_PP2ACa	D75_PP2A	D34:75:137_PP2APCa	D75:137_PP2AP	D75_PKA	D34:75:137_PP2B	D75:137_PP2ACa	D34:75:137_PP2A	D75_CK1	cAMP2_R2C2	D34:75_PP2AP	D75_PP2APCa	D137_PKA	D34:75:137_PP2C	D34:137_CDK5	D34_PP2B	D34_CK1	D34:75_PP2A	D75_PP2ACa	D137_PP2C	D75:137_PP2APCa	D_PKA	PP2A_PKA	D_CDK5	D34:75:137_PP2AP	PDE_PKA	D34:137_PP2B	D_CK1	D34:75_PP2APCa	AMP	D75:137_PP2C	D34:75:137_PP2ACa	D34_CDK5	D75:137_PKA	D75_PP2AP	cAMP_PDE	PP2ACa_PKA	PP2Binactive	CK1P_PP2B	D34:75_PP2B	D34:75_CK1	D34:137_PP2C	D75:137_PP2A	D137_CDK5	cAMP_PDEP	cAMP4_R2C2	cAMP4_R2	R2C2
0.0	0.0	2e-07	0.0	0.0	0.0	0.0	1.6600000000000003e-07	0.0	0.0	0.0	0.0	0.0	2e-07	1.3300000000000004e-07	4.98e-06	0.0	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3200000000000006e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.640000000000001e-06
0.0	5.95523420267856e-09	1.9304736111678846e-07	1.1580272412593671e-10	1.5243499756885577e-10	0.0	0.0	4.525039886005325e-08	1.1657178932827689e-08	0.0	3.133331590007303e-07	0.0	0.0	7.50818610929307e-08	1.217730656534507e-07	4.267631805652364e-06	1.8179298400873218e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	5.241624209243863e-09	5.8138676486680605e-08	0.0	6.590048224590533e-09	0.0	0.0	0.0	0.0	2.7222566969915907e-13	0.0	4.010551009408776e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.710436639401802e-12	1.0595488037632794e-08	0.0	0.0	0.0	1.2007448457870244e-07	0.0	0.0	0.0	5.8592411983230705e-08	0.0	0.0	6.314463089168967e-10	0.0	0.0	0.0	0.0	0.0	0.0	3.265979791325619e-07	7.961660625531244e-12	0.0	0.0	0.0	2.3880527218590655e-10	4.84365432836615e-09	0.0	0.0	0.0	6.640000000000001e-06
0.0	6.992195725863909e-09	1.8753518184548122e-07	1.8945302090351016e-10	7.173024081209235e-10	0.0	0.0	3.0073397885908826e-08	3.431669858413493e-08	0.0	5.567334097886835e-07	0.0	0.0	7.785019349201064e-08	1.1615193587500241e-07	3.93702834131635e-06	2.5985245893492025e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	1.0401992800758034e-08	9.506548248404079e-08	0.0	1.1544083782383989e-08	0.0	0.0	0.0	0.0	1.4538712771846863e-12	0.0	4.913775101309711e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.399395752843128e-11	1.4939228174412255e-08	0.0	0.0	0.0	1.1470574815152937e-07	0.0	0.0	0.0	3.588208050799749e-08	0.0	0.0	1.9088359505857003e-09	0.0	0.0	0.0	0.0	0.0	0.0	3.2081544077037897e-07	6.526402074205565e-11	0.0	0.0	0.0	7.058335224256828e-10	7.444058356459287e-09	0.0	0.0	0.0	6.640000000000001e-06
0.0	7.734017854119718e-09	1.8334299987581928e-07	2.3245348821499415e-10	1.5393645128510814e-09	0.0	0.0	1.999993618582492e-08	5.440733995647385e-08	0.0	7.502044411281146e-07	0.0	0.0	8.023621471300776e-08	1.1393212198059644e-07	3.711565584541928e-06	2.8166325470466274e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	1.4356379098502674e-08	1.1891833509323092e-07	0.0	1.5276092063150403e-08	0.0	0.0	0.0	0.0	2.916293044164742e-12	0.0	4.44954151433701e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0431766989990845e-11	1.603287649844281e-08	0.0	0.0	0.0	1.1135494172872217e-07	0.0	0.0	0.0	2.2453628212122144e-08	0.0	0.0	3.0350015209611484e-09	0.0	0.0	0.0	0.0	0.0	0.0	3.1592569739416223e-07	1.7855899448388032e-10	0.0	0.0	0.0	1.1051065127811784e-09	8.408843558269277e-09	0.0	0.0	0.0	6.640000000000001e-06
0.0	8.312074358473838e-09	1.8010484821620687e-07	2.606894078203676e-10	2.488118475312581e-09	0.0	0.0	1.36075698076346e-08	6.815434350559038e-08	0.0	9.084112026760477e-07	0.0	0.0	8.227871888708616e-08	1.1348498363214004e-07	3.5526898154836536e-06	2.75621746562818e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	1.7521049467721705e-08	1.3381268014710939e-07	0.0	1.8208715815751388e-08	0.0	0.0	0.0	0.0	4.153779490240336e-12	0.0	3.67644334386916e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5362745053780483e-11	1.5689125960471913e-08	0.0	0.0	0.0	1.0924085462002974e-07	0.0	0.0	0.0	1.457568857127462e-08	0.0	0.0	3.8258904073884025e-09	0.0	0.0	0.0	0.0	0.0	0.0	3.1166321392685456e-07	3.2761813011116133e-10	0.0	0.0	0.0	1.3662300356773217e-09	8.480426492883192e-09	0.0	0.0	0.0	6.640000000000001e-06
0.0	8.787917742595911e-09	1.7757445474182677e-07	2.8112805717595197e-10	3.4897073559604004e-09	0.0	0.0	9.748108479355713e-09	7.574397533081091e-08	0.0	1.0395981614364292e-06	0.0	0.0	8.401503642704746e-08	1.1397974142007134e-07	3.4373647548705853e-06	2.570821226519756e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	2.015978253810645e-08	1.4269815880498498e-07	0.0	2.056993501665301e-08	0.0	0.0	0.0	0.0	5.015117367867568e-12	0.0	3.0098691995640285e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.863193443042362e-11	1.4725600608384677e-08	0.0	0.0	0.0	1.0788724266236755e-07	0.0	0.0	0.0	1.0051477156756012e-08	0.0	0.0	4.294657971544191e-09	0.0	0.0	0.0	0.0	0.0	0.0	3.0785812374659477e-07	4.923863593382806e-10	0.0	0.0	0.0	1.5008351325459047e-09	8.09772091058414e-09	0.0	0.0	0.0	6.640000000000001e-06
0.0	9.193911034434671e-09	1.7557947238286364e-07	2.970872064029739e-10	4.505941189340897e-09	0.0	0.0	7.576732640163657e-09	7.865275557705076e-08	0.0	1.1488950748686387e-06	0.0	0.0	8.548190713731123e-08	1.1494062841764198e-07	3.3512860402179447e-06	2.3432506920419126e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	2.242922306773978e-08	1.4762345343470234e-07	0.0	2.24943330918581e-08	0.0	0.0	0.0	0.0	5.526820078432266e-12	0.0	2.5743580034388843e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.037431683552551e-11	1.3547107658603905e-08	0.0	0.0	0.0	1.0699870371587944e-07	0.0	0.0	0.0	7.565797272956375e-09	0.0	0.0	4.512263923754251e-09	0.0	0.0	0.0	0.0	0.0	0.0	3.0440517709418147e-07	6.596586487377122e-10	0.0	0.0	0.0	1.5432061819612114e-09	7.51938914680845e-09	0.0	0.0	0.0	6.640000000000001e-06
0.0	9.548694358657148e-09	1.739957154300255e-07	3.1026023586041e-10	5.517169127731715e-09	0.0	0.0	6.5042004658724545e-09	7.85203817749134e-08	0.0	1.239878098416948e-06	0.0	0.0	8.67146433721085e-08	1.1607833078857733e-07	3.2853032023685204e-06	2.1170350952353303e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	2.4423689693012448e-08	1.499798695879468e-07	0.0	2.4069537692479386e-08	0.0	0.0	0.0	0.0	5.776485207722907e-12	0.0	2.372097427830337e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.075341434592984e-11	1.2363394591498535e-08	0.0	0.0	0.0	1.0639068619754606e-07	0.0	0.0	0.0	6.321660314827261e-09	0.0	0.0	4.558274619924281e-09	0.0	0.0	0.0	0.0	0.0	0.0	3.012369689757335e-07	8.221722035221133e-10	0.0	0.0	0.0	1.5279567420809851e-09	6.89467043034458e-09	0.0	0.0	0.0	6.640000000000001e-06
0.0	9.863908989631859e-09	1.7273161419952898e-07	3.215668316988595e-10	6.512902019225297e-09	0.0	0.0	6.13266031595958e-09	7.672829281723585e-08	0.0	1.3153081691481634e-06	0.0	0.0	8.774618904630954e-08	1.172146686845712e-07	3.2334184338712383e-06	1.913659690041989e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	2.6202859785967488e-08	1.5069767589150014e-07	0.0	2.5358227177913302e-08	0.0	0.0	0.0	0.0	5.858276653299552e-12	0.0	2.361568220607246e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.991552258160442e-11	1.1282694969612904e-08	0.0	0.0	0.0	1.0594796152196434e-07	0.0	0.0	0.0	5.831605700665234e-09	0.0	0.0	4.502636345816011e-09	0.0	0.0	0.0	0.0	0.0	0.0	2.983077483235401e-07	9.764898712668346e-10	0.0	0.0	0.0	1.482817991623995e-09	6.305849431725249e-09	0.0	0.0	0.0	6.640000000000001e-06
0.0	1.0147345305297965e-08	1.7171837087183378e-07	3.3153664995605183e-10	7.4872618514095e-09	0.0	0.0	6.198905049126693e-09	7.429370636619275e-08	0.0	1.3774744796578776e-06	0.0	0.0	8.860647028568616e-08	1.1824358009628133e-07	3.1916187008371084e-06	1.7422536512297615e-07	0.0	0.0	2e-06	0.0	0.0	0.0	0.0	2.7806854596538814e-08	1.5039203267501718e-07	0.0	2.6408764937610438e-08	0.0	0.0	0.0	0.0	5.8517135639828985e-12	0.0	2.492353149936354e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0798921403769205e-10	1.0356562455626094e-08	0.0	0.0	0.0	1.0559915169860981e-07	0.0	0.0	0.0	5.795352769667362e-09	0.0	0.0	4.399857448092706e-09	0.0	0.0	0.0	0.0	0.0	0.0	2.955845271958e-07	1.1213563562514415e-09	0.0	0.0	0.0	1.427486612998035e-09	5.794378015703194e-09	0.0	0.0	0.0	6.640000000000001e-06
