EpoR	Epo_EpoRi	Epo_EpoR	dEpoe	dEpoi	Epo	Values[Epo_medium]	Values[Epo_cells]
516.0	0.0	0.0	0.0	0.0	2030.19	2030.19	0.0
421.5010204867842	3.6278508948074744	92.48266663638047	0.020465026759086378	0.0039655932754645426	1934.0550518487773	1934.0755168755363	3.631816488082939
351.4886209877968	12.887044946654298	157.40314585378326	0.1496696961277524	0.029002118956014185	1859.721137384479	1859.870807080607	12.916047065610314
298.9023215841814	25.9043030911671	202.9221605329501	0.4637195278233631	0.08985685984610053	1800.8099599882134	1801.2736795160367	25.994159951013202
259.0023933054585	41.356676124734776	234.55151830306934	1.0127961111656965	0.19625371103275444	1753.0727557499977	1754.0855518611634	41.55292983576753
228.50244340930809	58.29943392578111	256.1238608127	1.828667640889508	0.3543485276192613	1713.58368909301	1715.4123567338995	58.65378245340037
205.06469984639364	76.05418200148048	270.36418011281876	2.929912948881653	0.5677414070628006	1680.2739835297562	1683.2038964786377	76.62192340854328
186.99187174290608	94.13352420367401	279.243091224928	4.325633585227306	0.8381959945439511	1651.6495549916265	1655.9751885768537	94.97172019821797
173.03128139146983	112.18889029846423	284.20403636350375	6.018133810533074	1.1661587962155782	1626.6127807312832	1632.6309145418163	113.35504909467981
162.24603934354684	129.97358746844148	286.31434128316846	8.004877976077198	1.5511384688882328	1604.3460548034247	1612.350932779502	131.52472593732972
153.92782187336587	147.31616290782713	286.36848017013	10.279931650627178	1.9919850731620634	1584.2334401982534	1594.5133718488805	149.3081479809892
147.53634151393084	164.10092746519095	284.96033579423175	12.835027966613485	2.4870967037559857	1565.8066120702076	1578.6416400368212	166.58802416894693
142.65645250368374	180.2535573780898	282.5347594536007	15.66035843908488	3.034572729782829	1548.7067519994414	1564.3671104385262	183.28813010787266
138.96720897974993	195.73035969853606	279.4249622980758	18.74515923546937	3.6323273986770963	1532.6571913692412	1551.4023506047106	199.36268709721315
136.21920777050283	210.51021875144326	275.8799982520668	22.078144462710856	4.278173796043915	1517.4434647377345	1539.5216092004455	214.78839254748718
134.2177863542813	224.58852746379105	272.08518862948716	25.647824422999243	4.969885515394344	1502.8985739683276	1528.5463983913269	229.5584129791854
132.81042933262754	237.97260205794208	268.1774388725008	29.442737065772548	5.70524150756159	1488.8919804962225	1518.334717561995	243.67784356550368
131.87724414944597	250.6782137061394	264.2568090741671	33.45161381042723	6.482058212856655	1475.321305196409	1508.7729190068362	257.16027191899605
131.32370327734768	262.7269662558205	260.39530574482717	37.66349573102819	7.29821207466238	1462.1060201936612	1499.7695159246894	270.0251783304829
131.07507798017895	274.14431775361993	256.6435928236191	42.06781224368294	8.151654787012923	1449.1826223920646	1491.2504346357475	282.2959725406329
131.07214609589653	284.95809348718717	253.03613224502175	46.654431550298746	9.040423069290192	1436.5009196482015	1483.1553511985003	293.99851655647734
