Values[v]	Values[u]	Values[i]
-60.0	6.0	0.0
-59.99999999999998	6.0	0.0
-59.999999999999964	6.0	0.0
-59.999999999999964	5.999999999999999	0.0
-59.999999999999964	5.999999999999999	0.0
-59.999999999999964	5.999999999999999	0.0
-59.99999999999996	5.999999999999999	0.0
-59.99999999999996	5.999999999999999	0.0
-59.99999999999996	5.999999999999999	0.0
-59.99999999999996	5.999999999999999	0.0
-59.99999999999996	6.0	0.0
-59.99999999999996	5.999999999999999	0.0
-59.99999999999996	5.999999999999999	0.0
-59.99999999999995	5.999999999999999	0.0
-59.99999999999995	5.999999999999999	0.0
-59.99999999999995	5.999999999999999	0.0
-59.99999999999995	5.999999999999999	0.0
-59.99999999999994	5.999999999999999	0.0
-59.99999999999994	5.999999999999999	0.0
-59.99999999999994	5.999999999999999	0.0
-59.99999999999994	5.999999999999999	0.0
-59.99999999999994	6.0	0.0
-59.99999999999997	5.999999999999999	0.0
-60.0	5.999999999999999	0.0
-60.00000000000003	5.999999999999999	0.0
-60.00000000000006	5.999999999999999	0.0
-59.99999999999999	6.0	0.0
-59.99999999999987	6.0	0.0
-59.99999999999994	6.0	0.0
-60.000000000000234	5.999999999999999	0.0
-59.999999996738794	5.999999999999996	0.0
-59.96989873875179	5.999978931836605	0.075
-59.90083036250066	5.999855574458298	0.15
-59.81193842200968	5.99957606769656	0.22499999999999998
-59.712510768319305	5.999114577797538	0.3
-59.60704149190495	5.998458844822334	0.375
-59.497697666995485	5.99760316427817	0.44999999999999996
-59.385512555446965	5.996544976728045	0.525
-59.27096282916433	5.995283202197118	0.6
-59.15424875554947	5.993817420094373	0.6749999999999999
-59.03543084183622	5.9921474605777965	0.75
-58.91449677082417	5.990273197123479	0.825
-58.79139424340831	5.988194437925595	0.8999999999999999
-58.66604702045074	5.985910865849446	0.975
-58.5383625891188	5.983422002084358	1.05
-58.40823560247191	5.9807271810109714	1.125
-58.27554911228336	5.977825529967946	1.2
-58.1401746277417	5.974715950506095	1.275
-58.001971470764545	5.971397099832796	1.3499999999999999
-57.8607856419089	5.96786736989795	1.425
-57.71644836262329	5.964124865210073	1.5
-57.568774232579806	5.96016737748393	1.575
-57.4175590321481	5.9559923567243676	1.65
-57.262577106386395	5.951596878189863	1.7249999999999999
-57.10357826892759	5.946977604404232	1.7999999999999998
-56.9402840968268	5.942130741303535	1.875
-56.77238345673063	5.937051986810893	1.95
-56.59952721508127	5.9317364711483	2.025
-56.421321698083325	5.926178686696737	2.1
-56.237320772774126	5.9203724046233965	2.175
-56.04701606575413	5.914310576049919	2.25
-55.84982480294958	5.907985213302491	2.3249999999999997
-55.64507456968046	5.9013872467851085	2.4
-55.431983956689	5.894506350201167	2.475
-55.20963780306332	5.887330726259399	2.55
-54.97695504337762	5.879846840367409	2.625
-54.73264645140526	5.872039086545228	2.6999999999999997
-54.47515825746968	5.863889362845173	2.775
-54.202595731755416	5.855376525125377	2.85
-53.912617681193304	5.846475673094674	2.925
-53.60228783746885	5.83715720149775	3.0
-53.26786080756222	5.82738551580069	3.0749999999999997
-52.90446558155414	5.8171172551337555	3.15
-52.505623767293706	5.806298773219871	3.225
-52.06249072532869	5.794862464295047	3.3
-51.562611704442126	5.782721223688655	3.375
-50.987784170921934	5.769759760703225	3.4499999999999997
-50.31016786135346	5.755820312478697	3.525
-49.484687427285195	5.74067773341254	3.5999999999999996
-48.43279776512784	5.723992716133228	3.675
-47.00341007499578	5.705214957705117	3.75
-44.86183062499737	5.683353778123393	3.8249999999999997
-41.08279913523732	5.656312869189134	3.9
-31.78962386568714	5.618144096437013	3.9749999999999996
-55.23080792399995	11.532953899286612	4.05
-58.35806661609793	11.41732063405395	4.125
-60.02303873638936	11.308658306352227	4.2
-60.72906626672828	11.204400772190622	4.2749999999999995
-60.93753924069856	11.103052435781393	4.35
-60.91194398865527	11.003861463025542	4.425
-60.779369144963546	10.906463973122923	4.5
-60.59732610970146	10.810677341193104	4.575
-60.39128165266836	10.71640041892268	4.6499999999999995
-60.17243069310894	10.62356841385731	4.725
-59.94564326132101	10.532132864192283	4.8
-59.71296046923484	10.442052733319855	4.875
-59.47513255995941	10.35329039436163	4.95
-59.23229945351477	10.265809772778631	5.0249999999999995
-58.98429314014206	10.179575447547025	5.1
-58.73077101354645	10.094552179033794	5.175
-58.47127199833325	10.010704623840157	5.25
