cAMP	b1AR	L_b1AR	PKAC	Gsa_gtp	PDE	L	Gs	ARC	PP	Propranolol	AC	L_b1AR_Gs	AKAR	A2RC	Gsa_gdp	DMNB_cAMP	AKARp	IBMX	b1AR_p	b1AR_S464	Gsbg	RC	GsAC	b1AR_Gs	PKAC_PKI	PDEcAMP	PP_AKARp	Fsk	PKAC_AKAR	PKI	A2R	b1ARinhib	PDE_IBMX	FskAC	Values[Vmax_cAMP_synthesis_GsAC]	Values[light_cAMP_photolysis]	Values[Vmax_cAMP_synthesis_FskAC]	Values[Kf_inhibit_PDE]	Values[Kr_inhibit_PDE]	Values[ar_for_add_propranolol]	Values[ar_for_add_Ligand]	Values[Ratio_AKARp_AKARtot]
0.005915790278661349	0.011837763021925319	0.0	2.583265973791373e-05	0.025725723546860292	0.013936824184816341	0.0	3.7993287493420915	0.0007587500100943032	0.6699490147386903	0.0	0.046697014538274836	0.0	9.999403346791537	7.737440457016153e-07	0.0005803065582151561	3.0100000000000002	0.0005333990913026622	0.0	1.8869662418021965e-09	0.0	0.0293090155668005	1.1728318895812437	0.0030029854617251144	0.001362235091108422	0.006370485149027875	6.317581518366667e-05	5.098526131011109e-05	0.0	1.2268855851016703e-05	0.17362951485097233	0.006408586664616805	0.0	0.0	0.0	0.007507463654312786	0.0	0.0	0.0	0.0	0.0	0.0	5.33399091302662e-05
0.006110010535132319	0.011838039793451058	0.0	3.122425453136678e-05	0.026504269031746554	0.013934758596149963	0.0	3.798464649753621	0.000781422623303682	0.6699300617792698	0.0	0.0466116272517346	0.0	9.999183544205968	8.442426446352684e-07	0.0005807513586920095	3.0100000000000002	0.0007316883449285778	0.0	3.0988732674527452e-09	0.0	0.030173393138703857	1.1694919869252378	0.0030883727482653423	0.0013619571076756566	0.009679692725914395	6.524140385005243e-05	6.993822073054693e-05	0.0	1.4829228368461216e-05	0.1703203072740858	0.009725746208814234	0.0	0.0	0.0	0.007720931870663356	0.0	0.0	0.0	0.0	0.0	0.0	7.316883449285782e-05
0.006223307014319342	0.011838172924636323	0.0	3.63962876360053e-05	0.02688099068497685	0.013933554188755045	0.0	3.798046649546466	0.0007935678450323965	0.6699127614778372	0.0	0.04657042231523275	0.0	9.998982778413637	9.006497574433266e-07	0.0005809595400297807	3.0100000000000002	0.0009126978261566192	0.0	4.531603469131181e-09	0.0	0.030591527909773753	1.1660490627934548	0.00312957768476718	0.001361822543760189	0.013102787186082604	6.644581124497227e-05	8.723852216323875e-05	0.0	1.7285238037193978e-05	0.1668972128139175	0.013156468711755813	0.0	0.0	0.0	0.00782394421191795	0.0	0.0	0.0	0.0	0.0	0.0	9.126978261566196e-05
0.006308437805658317	0.011838236459793304	0.0	4.159853869175326e-05	0.0270632267265091	0.013932649492703154	0.0	3.797844473166684	0.0008020186475050241	0.66989634297853	0.0	0.04655051593037964	0.0	9.998792096640836	9.561802900901727e-07	0.0005810586784730251	3.0100000000000002	0.0010844908212363604	0.0	6.181493227268338e-09	0.0	0.030793769474602366	1.1625618989553304	0.0031494840696203005	0.0013617573587134512	0.016573772161728666	6.735050729685921e-05	0.00010365702147037901	0.0	1.9755516453943426e-05	0.1634262278382715	0.016635126216874376	0.0	0.0	0.0	0.00787371017405075	0.0	0.0	0.0	0.0	0.0	0.0	0.00010844908212363606
0.006385797565740447	0.011838266226425604	0.0	4.693417597624526e-05	0.02715136926107488	0.013931827576637116	0.0	3.7977466926209082	0.0008094084430993401	0.6698801954846473	0.0	0.04654089387479555	0.0	9.998604449304263	1.0163870956004875e-06	0.0005811062710598461	3.0100000000000002	0.0012534571290696867	0.0	8.051822334423614e-09	0.0	0.03089158165733904	1.1590568337567635	0.0031591061252043786	0.0013617257217520458	0.02006351818575793	6.817242336289963e-05	0.00011980451535289131	0.0	2.2289051306916594e-05	0.15993648181424222	0.020132741413041097	0.0	0.0	0.0	0.007897765313010946	0.0	0.0	0.0	0.0	0.0	0.0	0.00012534571290696877
0.006464463555567129	0.01183827955234743	0.0	5.245570616265393e-05	0.027193997521165445	0.013930991931708395	0.0	3.797699404776079	0.0008169011827719805	0.6698639162798966	0.0	0.04653624180130673	0.0	9.998415195142925	1.0840530516617711e-06	0.000581129205416284	3.0100000000000002	0.0014238103714037398	0.0	1.0149006536129108e-08	0.0	0.030938884925274874	1.1555463940045427	0.0031637581986932056	0.0013617102986460124	0.023558254287905252	6.90080682916214e-05	0.00013608372010346382	0.0	2.4910765565295924e-05	0.15644174571209493	0.023635620759633203	0.0	0.0	0.0	0.007909395496733014	0.0	0.0	0.0	0.0	0.0	0.0	0.000142381037140374
0.0065488312279661206	0.011838284814307775	0.0	5.819537652662143e-05	0.027214611743264252	0.013930095853447504	0.0	3.797676537755194	0.0008250532193469735	0.6698472508478838	0.0	0.04653399247977617	0.0	9.998221400744447	1.1608148150447884e-06	0.0005811402768157014	3.0100000000000002	0.001598214144561335	0.0	1.2481190897977911e-08	0.0	0.030961759540303647	1.1520367754582324	0.0031660075202237454	0.001361702704501308	0.027051179172203715	6.990414655251645e-05	0.0001527491521160974	0.0	2.763595887486633e-05	0.15294882082779643	0.027137010507605204	0.0	0.0	0.0	0.007915018800559363	0.0	0.0	0.0	0.0	0.0	0.0	0.00015982141445613354
0.00664117494014502	0.011838286058951318	-1.1946235827887488e-28	6.417687187382664e-05	0.02722457860745764	0.013929115200902651	-2.8453631737459524e-27	3.797665481906502	0.000834145904160115	0.669830035614808	0.0	0.04653290502265098	-5.8137207321271895e-27	9.99802117887796	1.2478094708534753e-06	0.0005811456253100402	3.0100000000000002	0.0017783808736509873	0.0	1.505766753010594e-08	-2.6173489501139524e-30	0.03097281921011656	1.1485311792559325	0.0031670949773489375	0.001361698883381132	0.030538774295369213	7.088479909736827e-05	0.0001699643851919787	0.0	3.0475863192609423e-05	0.14946122570463097	0.030633427030435645	0.0	0.0	0.0	0.007917737443372343	0.0	0.0	0.0	0.0	0.0	0.0	0.0001778380873650988
0.006742769969295377	0.011838285238389342	1.2333926764386745e-28	7.042050907589521e-05	0.027229395956592052	0.013928036463488537	1.1859739323243386e-26	3.797660138393592	0.0008443311439746244	0.6698121587417839	0.0	0.04653237943256874	4.1819261639553495e-27	9.997813236700711	1.3459654251380155e-06	0.0005811482094067432	3.0100000000000002	0.0019654819314326574	0.0	1.7888632736222205e-08	2.414679857494619e-29	0.03097816473342993	1.1450313748127074	0.003167620567431177	0.0013616968729779026	0.034019087459179906	7.196353651148074e-05	0.00018784125821596546	0.0	3.344010963645082e-05	0.1459809125408203	0.034122948077892234	0.0	0.0	0.0	0.007919051418577943	0.0	0.0	0.0	0.0	0.0	0.0	0.00019654819314326584
0.006854413817694009	0.011838283291206907	-5.004846483418887e-28	7.694574049570859e-05	0.02723172258688823	0.013926851217774516	2.9638440389005743e-27	3.797657557824689	0.0008556988704598074	0.6697935359189586	0.0	0.04653212559249419	-3.174264347337502e-26	9.997596597140296	1.456142313314148e-06	0.0005811494572246079	3.0100000000000002	0.0021604008616086016	0.0	2.0985100966595295e-08	4.342351744264872e-29	0.030980746451618517	1.141538446235748	0.0031678744075057264	0.0013616957236921067	0.03749091509392834	7.314878222550145e-05	0.00020646408104129063	0.0	3.6537917053779065e-05	0.1425090849060719	0.037604398751477815	0.0	0.0	0.0	0.007919686018764315	0.0	0.0	0.0	0.0	0.0	0.0	0.00021604008616086018
