Pi_ch	GAP_ch	PGA_ch	DHAP_ch	ATP_ch	F6P_ch	Ru5P_ch	G1P_ch	X5P_ch	SBP_ch	R5P_ch	G6P_ch	BPGA_ch	E4P_ch	FBP_ch	S7P_ch	ADP_ch	RuBP_ch
1.5662	0.01334	3.35479	0.29345	0.49806000000000006	1.36481	0.00235	0.18206	0.00363	1.56486	0.00599	3.1396000000000006	0.14825	0.41021	0.02776	0.00541	0.00149	0.33644
0.7409349543327511	0.010057291287500995	1.0550600813159692	0.22125614431493365	0.49742848117832117	1.9245696354549124	0.0014936090554634282	0.2567375952867791	0.0022294262010425416	2.097671793967467	0.003734102115699673	4.426510232650351	0.07668709909642263	0.7292879876551221	0.015798841405049748	0.0009817238809064616	0.0021215188216762034	0.3719616331661874
0.7409349542840193	0.01005729128705896	1.0550600813353257	0.22125614430520893	0.49742848117826677	1.9245696355396222	0.0014936090554766178	0.25673759529807927	0.0022294262010622316	2.097671793856874	0.003734102115732647	4.426510232845183	0.0766870990958559	0.729287987648727	0.015798841403660967	0.0009817238809668072	0.0021215188217305714	0.3719616331562513
0.7409349542837481	0.010057291287058623	1.0550600813355395	0.22125614430520157	0.4974284811782663	1.9245696355397406	0.0014936090554767238	0.25673759529809503	0.00222942620106239	2.0976717938567147	0.003734102115732912	4.426510232845455	0.07668709909585807	0.7292879876486958	0.01579884140365992	0.0009817238809669783	0.0021215188217309396	0.371961633156254
0.7409349542837393	0.010057291287058632	1.0550600813355473	0.2212561443052017	0.4974284811782663	1.9245696355397413	0.0014936090554767277	0.25673759529809514	0.002229426201062395	2.097671793856713	0.003734102115732921	4.426510232845456	0.07668709909585818	0.7292879876486948	0.01579884140365994	0.0009817238809669824	0.0021215188217309526	0.3719616331562546
0.7409349542837393	0.010057291287058632	1.0550600813355473	0.22125614430520174	0.4974284811782663	1.9245696355397415	0.0014936090554767277	0.25673759529809514	0.002229426201062395	2.0976717938567133	0.003734102115732921	4.426510232845457	0.07668709909585818	0.729287987648695	0.015798841403659943	0.0009817238809669824	0.0021215188217309526	0.3719616331562547
0.7409349542837395	0.010057291287058633	1.0550600813355473	0.22125614430520177	0.4974284811782663	1.9245696355397417	0.0014936090554767277	0.2567375952980952	0.002229426201062395	2.0976717938567138	0.0037341021157329215	4.426510232845457	0.07668709909585818	0.7292879876486951	0.015798841403659943	0.0009817238809669824	0.0021215188217309526	0.37196163315625475
0.7409349542837395	0.010057291287058633	1.0550600813355473	0.22125614430520177	0.4974284811782663	1.924569635539742	0.001493609055476728	0.2567375952980952	0.002229426201062395	2.097671793856714	0.0037341021157329215	4.426510232845458	0.07668709909585819	0.7292879876486952	0.015798841403659947	0.0009817238809669824	0.0021215188217309526	0.3719616331562548
0.7409349542837395	0.010057291287058635	1.0550600813355473	0.2212561443052018	0.4974284811782663	1.9245696355397421	0.001493609055476728	0.25673759529809526	0.0022294262010623955	2.0976717938567147	0.003734102115732922	4.426510232845458	0.07668709909585819	0.7292879876486953	0.015798841403659947	0.0009817238809669824	0.002121518821730952	0.3719616331562549
0.7409349542837396	0.010057291287058635	1.0550600813355473	0.22125614430520182	0.4974284811782663	1.9245696355397421	0.0014936090554767282	0.25673759529809526	0.0022294262010623955	2.097671793856715	0.003734102115732922	4.426510232845459	0.07668709909585819	0.7292879876486953	0.01579884140365995	0.0009817238809669826	0.002121518821730952	0.37196163315625497
0.7409349542837396	0.010057291287058637	1.0550600813355475	0.22125614430520182	0.4974284811782663	1.9245696355397424	0.0014936090554767282	0.2567375952980953	0.0022294262010623955	2.0976717938567155	0.0037341021157329224	4.426510232845459	0.07668709909585819	0.7292879876486954	0.015798841403659954	0.0009817238809669826	0.002121518821730952	0.371961633156255
0.7409349542837397	0.010057291287058637	1.0550600813355475	0.22125614430520185	0.4974284811782663	1.9245696355397426	0.0014936090554767282	0.2567375952980953	0.002229426201062396	2.097671793856716	0.0037341021157329224	4.426510232845459	0.0766870990958582	0.7292879876486955	0.015798841403659954	0.0009817238809669826	0.002121518821730952	0.3719616331562551
0.7409349542837397	0.010057291287058638	1.0550600813355475	0.22125614430520188	0.4974284811782663	1.9245696355397428	0.0014936090554767284	0.25673759529809537	0.002229426201062396	2.0976717938567164	0.003734102115732923	4.42651023284546	0.0766870990958582	0.7292879876486956	0.015798841403659957	0.0009817238809669826	0.002121518821730952	0.37196163315625513
0.7409349542837408	0.010057291287058649	1.055060081335547	0.22125614430520207	0.4974284811782663	1.9245696355397468	0.0014936090554767295	0.2567375952980959	0.0022294262010623977	2.0976717938567226	0.003734102115732926	4.426510232845469	0.07668709909585823	0.7292879876486974	0.01579884140365998	0.000981723880966983	0.002121518821730951	0.37196163315625613
0.7409349542837425	0.01005729128705866	1.0550600813355466	0.2212561443052023	0.4974284811782663	1.9245696355397521	0.0014936090554767305	0.2567375952980967	0.0022294262010624	2.0976717938567315	0.0037341021157329293	4.426510232845482	0.07668709909585823	0.7292879876486995	0.015798841403660023	0.0009817238809669837	0.0021215188217309495	0.37196163315625747
0.7409349542837441	0.010057291287058671	1.0550600813355462	0.22125614430520257	0.4974284811782663	1.9245696355397575	0.001493609055476732	0.25673759529809737	0.002229426201062402	2.097671793856741	0.003734102115732933	4.426510232845494	0.07668709909585825	0.7292879876487017	0.015798841403660058	0.0009817238809669846	0.0021215188217309482	0.3719616331562588
