Cdc20	O-Mad2	Cdc20:C-Mad2	Mad1:C-Mad2	MCC	Mad1:C-Mad2:O-Mad2*	Bub3:BubR1	Bub3:BubR1:Cdc20
2.2000000000000004e-07	1.3e-07	0.0	5.0000000000000004e-08	0.0	0.0	1.3e-07	0.0
2.1898352468300453e-07	1.2875540368230198e-07	4.802586279747696e-10	4.9513642253589125e-08	2.7797994331235997e-10	4.863577464108867e-10	1.2946378331097915e-07	2.5823674570841734e-10
2.1762970281044615e-07	1.2756860639984833e-07	7.888905172849632e-10	4.947235645982883e-08	1.1148595426954921e-09	5.276435401711882e-10	1.2841859332773088e-07	4.665471295735124e-10
2.162954914712299e-07	1.2639907657695647e-07	8.988303776628491e-10	4.9470343450385714e-08	2.172436495766317e-09	5.296565496143159e-10	1.2719432184889255e-07	6.332416553410477e-10
2.1500440874265324e-07	1.25242083710375e-07	9.42983945110161e-10	4.947190297963984e-08	3.286835324154639e-09	5.280970203601786e-10	1.259473926877631e-07	7.657719880821129e-10
2.1375254776799301e-07	1.240968084243296e-07	9.684405812302882e-10	4.9473843972962146e-08	4.408594967402272e-09	5.261560270378932e-10	1.24720988349223e-07	8.704166833745393e-10
2.1253476321304811e-07	1.229629817764935e-07	9.887629634705508e-10	4.947586779040465e-08	5.524123050440625e-09	5.241322095953987e-10	1.235235261765184e-07	9.52350773040834e-10
2.1134669365790353e-07	1.2184044097555875e-07	1.0076940829586865e-09	4.947793826527344e-08	6.6298032067560644e-09	5.220617347266067e-10	1.223543877408619e-07	1.0158090523818727e-09
2.101847571966125e-07	1.2072905068478587e-07	1.0262698049948707e-09	4.9480044736436555e-08	7.724724246655841e-09	5.199552635635022e-10	1.2121102700160706e-07	1.0642487517369181e-09
2.0904601491149427e-07	1.196286851838983e-07	1.0447860082452218e-09	4.9482180195567735e-08	8.808709003424256e-09	5.178198044323157e-10	1.200908009197392e-07	1.1004900768364028e-09
2.079280516138966e-07	1.1853922356547533e-07	1.063334241750721e-09	4.9484339044825844e-08	9.881781237599854e-09	5.156609551742047e-10	1.1899138585564705e-07	1.1268329067529636e-09
2.0682887894844737e-07	1.1746054819953849e-07	1.0819481698624908e-09	4.9486516698695736e-08	1.0944020329294812e-08	5.134833013043156e-10	1.1791082711830958e-07	1.1451525523954897e-09
2.0574685682169992e-07	1.1639254410601765e-07	1.1006440838749288e-09	4.94887093888896e-08	1.1995521198997083e-08	5.112906111104465e-10	1.1684750090557456e-07	1.156977895428225e-09
2.0468062917203714e-07	1.1533509860932115e-07	1.1194323799783502e-09	4.94909140154727e-08	1.303638302617326e-08	5.090859845273395e-10	1.1580006155201517e-07	1.163555421811441e-09
2.0362907198927606e-07	1.1428810110313784e-07	1.138320865628634e-09	4.9493128025816035e-08	1.4066706057049626e-08	5.068719741840043e-10	1.1476739285490439e-07	1.1659010880458594e-09
2.025912506402231e-07	1.1325144286693118e-07	1.1573159442904758e-09	4.9495349315999316e-08	1.5086590504777714e-08	5.046506840007153e-10	1.1374856658451329e-07	1.1648429107088787e-09
2.0156638519589803e-07	1.122250169188641e-07	1.1764229765615264e-09	4.949757614837648e-08	1.609613625295088e-08	5.024238516235636e-10	1.127428081724593e-07	1.1610555745896938e-09
2.0055382209226605e-07	1.1120871789384733e-07	1.1956465038860153e-09	4.9499807085551944e-08	1.709544268781862e-08	5.001929144480879e-10	1.1174946859615179e-07	1.1550887160294556e-09
1.9955301104941876e-07	1.1020244194196442e-07	1.2149903975685579e-09	4.950204093547434e-08	1.80846085959414e-08	4.979590645256876e-10	1.1076800144698702e-07	1.147389957071463e-09
1.985634862054727e-07	1.0920608664329268e-07	1.2344579670074429e-09	4.950427670726388e-08	1.906373209696382e-08	4.957232927361383e-10	1.0979794417247983e-07	1.1383237305562177e-09
1.9758485078309778e-07	1.0821955093614768e-07	1.2540520423394422e-09	4.950651357267732e-08	2.0032910594190263e-08	4.934864273226966e-10	1.0883890282543692e-07	1.1281865803727122e-09
1.9661676448416492e-07	1.0724273505682207e-07	1.2737750640462173e-09	4.9508750844329823e-08	2.099224072346158e-08	4.912491556701991e-10	1.0789053954821085e-07	1.1172197283274685e-09
1.9565893335060225e-07	1.0627554048686627e-07	1.293629122537785e-09	4.951098793839893e-08	2.1941818328994933e-08	4.89012061601097e-10	1.0695256247313976e-07	1.105619197865202e-09
1.9471110136401286e-07	1.0531786990686794e-07	1.313615967107903e-09	4.951322433727053e-08	2.2881738463294747e-08	4.867756627295077e-10	1.060247173311205e-07	1.0935442055846535e-09
1.937730435616187e-07	1.0436962716502303e-07	1.3337372071572455e-09	4.951545964980858e-08	2.3812095277628355e-08	4.845403501914538e-10	1.0510678076877569e-07	1.0811239535958502e-09
1.9284456058338462e-07	1.0343071723588262e-07	1.3539941796078264e-09	4.9517693512061736e-08	2.4732982096571323e-08	4.82306487938299e-10	1.0419855476299214e-07	1.0684631404364186e-09
1.919254740990731e-07	1.0250104619297365e-07	1.3743880243328642e-09	4.9519925598798886e-08	2.5644491381492425e-08	4.800744012011532e-10	1.0329986212340567e-07	1.0556464951017794e-09
1.910156230660195e-07	1.0158052118686308e-07	1.3949197875801248e-09	4.9522155657986904e-08	2.654671468354374e-08	4.77844342013141e-10	1.0241054285359931e-07	1.0427424628568168e-09
