Schiff	Glyoxal	Lysine	CML	Glucose	Amadori	Values[Fraction_Amadori]	Values[Fraction_CML]
0.0	0.0	0.0034000000000000002	0.0	0.25	0.0	0.0	0.0
6.569712423500912e-06	7.953595060171202e-07	0.0033925331979297387	3.6621170109748175e-08	0.24999170056974532	8.795161140814564e-08	2.5868121002395773e-05	1.077093238522005e-05
1.0720472514783122e-05	1.591150889316559e-06	0.003386988710922332	8.990486049112678e-08	0.24998530507210392	3.054808934917926e-07	8.984732161523313e-05	2.6442606026801996e-05
1.3409092234696924e-05	2.3862745383915927e-06	0.003382675583324227	1.49942000845439e-07	0.24998013356939539	6.060183207200586e-07	0.00017824068256472314	4.410058848395265e-05
1.5160883461847094e-05	3.1804012476004227e-06	0.003379163777133171	2.1375074586303331e-07	0.24997575934175986	9.6034097667905e-07	0.00028245322843501467	6.286786643030392e-05
1.630447036543169e-05	3.973369247822361e-06	0.0033761762583325986	2.798542134071304e-07	0.24997190699929192	1.3495904979337694e-06	0.00039693838174522625	8.231006276680307e-05
1.7050917234088756e-05	4.765088139680594e-06	0.003373532762903794	3.4741699790249506e-07	0.24996839720813013	1.7614868874097782e-06	0.0005180843786499347	0.00010218146997132206
1.7537256445404034e-05	5.5555044871153645e-06	0.003371115445109988	4.159359374989463e-07	0.2499651126827474	2.1879993533504333e-06	0.0006435292215736569	0.00012233409926439595
1.7852940928616856e-05	6.34458593744151e-06	0.003368847069672664	4.850973906624459e-07	0.24996197653697882	2.623863684706224e-06	0.0007717246131488894	0.0001426757031360135
1.8056543047276812e-05	7.132312831561335e-06	0.0033666769420387186	5.547018310463655e-07	0.24995893829824872	3.0656244725129426e-06	0.0009016542566214536	0.0001631475973665781
1.8186484115972657e-05	7.918673405653362e-06	0.0033645717584012092	6.246207220666135e-07	0.24995596480562496	3.5110117999514285e-06	0.001032650529397479	0.00018371197707841574
1.8267995711597293e-05	8.703660905421593e-06	0.0033625096270428	6.947705817723094e-07	0.24995303426005563	3.95853380192142e-06	0.001164274647623947	0.00020434428875656157
1.8317659056919615e-05	9.487271795950097e-06	0.0033604761527380555	7.650968951517767e-07	0.24995013232669744	4.407209754098308e-06	0.0012962381629700907	0.00022502849857405194
1.8346375301069736e-05	1.026950462778884e-05	0.0033584618676883774	8.355639245742957e-07	0.24994724957720563	4.856394922868247e-06	0.0014283514479024257	0.00024575409546302815
1.8361313621802654e-05	1.1050359308858368e-05	0.0033564605436634926	9.061481675067741e-07	0.24994437980916684	5.305665481687444e-06	0.0015604898475551307	0.0002665141669137571
1.836718955542131e-05	1.1829836633257881e-05	0.003354468083216424	9.76834122977678e-07	0.2499415189420327	5.7547429058048e-06	0.0016925714428837645	0.00028730415381696416
1.83671051346238e-05	1.2607937974348867e-05	0.0033524817904580064	1.0476115342437882e-06	0.24993866429096762	6.203444246208713e-06	0.0018245424253555036	0.00030812103948346713
1.8363101090504674e-05	1.3384665084177408e-05	0.0033504998915390508	1.118473586946573e-06	0.24993581408933938	6.65164943036118e-06	0.001956367479517994	0.0003289628196901685
1.8356520043699186e-05	1.4160019962028194e-05	0.0033485212191747492	1.1894157283836762e-06	0.24993296717455987	7.099279748946609e-06	0.002088023455572532	0.00034982815540696356
1.8348245326254877e-05	1.4934004768185754e-05	0.0033465450051618165	1.2604348929077912e-06	0.24993012278146542	7.5462837068335575e-06	0.002219495207892223	0.0003707161449728798
1.833885813496779e-05	1.5706621767262888e-05	0.003344570743832785	1.3315289929220422e-06	0.24992728040633885	7.992627711451454e-06	0.0023507728563092515	0.00039162617438883595
1.8328740713134872e-05	1.6477873291021106e-05	0.0033425981023990923	1.4026965849519187e-06	0.24992443971762443	8.438289958688537e-06	0.0024818499878495695	0.00041255781910350554
1.83181447607787e-05	1.7247761713730027e-05	0.0033406268615062537	1.4739366483307966e-06	0.24992160049673015	8.883256379079624e-06	0.0026127224644351835	0.0004335107789208225
1.8307235781952728e-05	1.8016289436198534e-05	0.0033386568766979006	1.5452484417582983e-06	0.24991876259965135	9.32751800986172e-06	0.002743387649959329	0.00045448483581126423
1.8296122629970864e-05	1.8783458875136774e-05	0.003336688052742378	1.6166314077284314e-06	0.249915925931404	9.771069244187327e-06	0.0028738438953492137	0.00047547982580247984
1.828487693804341e-05	1.9549272456161363e-05	0.0033347203267486327	1.6880851096668052e-06	0.24991309042921078	1.0213906679721057e-05	0.003004090199917958	0.0004964956204902368
1.8273545861439104e-05	2.031373260921002e-05	0.003332753657094167	1.7596091906989664e-06	0.24991025605147477	1.0656028363587564e-05	0.0031341259892904596	0.0005175321149114607
1.8262160376777182e-05	2.1076841765556672e-05	0.0033307880162137217	1.8312033467862077e-06	0.2499074227705983	1.1097433300600595e-05	0.0032639509707648806	0.0005385892196430023
1.8250740906370503e-05	2.183860235579056e-05	0.003328823385712351	1.9028673085141448e-06	0.24990459056811612	1.153812112000373e-05	0.003393565035295214	0.0005596668554453366
1.823930083979628e-05	2.259901680855357e-05	0.003326859753305639	1.9746008296869603e-06	0.2499017594316485	1.1978091866811131e-05	0.003522968196120921	0.0005807649499079295
1.8227849027264607e-05	2.335808754964844e-05	0.0033248971106533626	2.046403679247804e-06	0.24989892935274385	1.2417345854077058e-05	0.003652160545316782	0.0006018834350728835
1.821639130831073e-05	2.41158170014948e-05	0.003322935452031315	2.118275636324146e-06	0.24989610032555604	1.2855883572323197e-05	0.0037811422271538816	0.0006230222459776901
