phosphohydroxypyruvate	phosphoserine
0.6	0.09
0.44247927264447845	0.04872193076971694
0.28499950074755476	0.040526423688914535
0.13594097013342527	0.035571132111072525
0.016741345278479633	0.021548375392783436
3.0679353555191307e-06	0.00016157908392866406
2.864875259758099e-06	4.6025501574328404e-05
2.864700216780674e-06	4.5925436991292874e-05
2.864700061149096e-06	4.5925348023058416e-05
2.8647000610857845e-06	4.592534798686467e-05
2.864700061779322e-06	4.5925348383331716e-05
2.864700060919904e-06	4.5925347892037706e-05
2.864700059468059e-06	4.592534706207736e-05
2.864700060433172e-06	4.592534761379204e-05
2.8647000606176468e-06	4.5925347719248894e-05
2.8647000609935943e-06	4.5925347934163073e-05
2.864700061001748e-06	4.5925347938823456e-05
2.8647000609953667e-06	4.592534793517557e-05
2.8647000609844383e-06	4.5925347928928186e-05
2.8647000610277814e-06	4.5925347953702694e-05
2.8647000610614577e-06	4.592534797295201e-05
2.8647000610854677e-06	4.592534798667613e-05
2.864700061099812e-06	4.592534799487505e-05
2.8647000611044895e-06	4.592534799754877e-05
2.8647000610995005e-06	4.5925347994697306e-05
2.8647000610848456e-06	4.592534798632064e-05
2.8647000610605247e-06	4.592534797241878e-05
2.864700061026537e-06	4.592534795299173e-05
2.864700060982883e-06	4.592534792803947e-05
2.8647000609704318e-06	4.5925347920922126e-05
2.8647000609700425e-06	4.5925347920699776e-05
2.8647000609695834e-06	4.592534792043738e-05
2.8647000609690545e-06	4.592534792013493e-05
2.8647000609684556e-06	4.5925347919792434e-05
2.8647000609677865e-06	4.59253479194099e-05
2.864700060967047e-06	4.592534791898732e-05
2.864700060966238e-06	4.59253479185247e-05
2.8647000609653584e-06	4.592534791802202e-05
2.8647000609644093e-06	4.59253479174793e-05
2.864700060960248e-06	4.592534791510035e-05
2.8647000609605558e-06	4.592534791527637e-05
2.8647000609608637e-06	4.5925347915452394e-05
2.8647000609611716e-06	4.5925347915628414e-05
2.8647000609614795e-06	4.5925347915804434e-05
2.8647000609617874e-06	4.5925347915980454e-05
2.8647000609620953e-06	4.5925347916156474e-05
2.8647000609624027e-06	4.5925347916332495e-05
2.864700060962711e-06	4.592534791650852e-05
2.8647000609630185e-06	4.592534791668454e-05
2.8647000609633264e-06	4.592534791686056e-05
2.864700060963426e-06	4.592534791691721e-05
2.8647000609634264e-06	4.592534791691745e-05
2.864700060963427e-06	4.5925347916917686e-05
2.8647000609634272e-06	4.5925347916917916e-05
2.8647000609634272e-06	4.5925347916918154e-05
2.8647000609634276e-06	4.59253479169184e-05
2.864700060963428e-06	4.592534791691863e-05
2.8647000609634285e-06	4.5925347916918865e-05
2.864700060963429e-06	4.592534791691911e-05
2.8647000609634293e-06	4.592534791691934e-05
2.8647000609634298e-06	4.5925347916919577e-05
2.86470006096343e-06	4.5925347916919814e-05
2.8647000609634306e-06	4.592534791692005e-05
2.864700060963431e-06	4.592534791692029e-05
2.8647000609634314e-06	4.592534791692052e-05
2.864700060963432e-06	4.592534791692076e-05
2.8647000609634323e-06	4.592534791692099e-05
2.8647000609634327e-06	4.592534791692123e-05
2.864700060963433e-06	4.5925347916921474e-05
2.8647000609634336e-06	4.5925347916921704e-05
2.864700060963434e-06	4.592534791692194e-05
2.8647000609634344e-06	4.592534791692217e-05
2.864700060963435e-06	4.5925347916922416e-05
2.8647000609634353e-06	4.592534791692265e-05
2.8647000609634357e-06	4.592534791692288e-05
2.864700060963436e-06	4.592534791692313e-05
2.8647000609634365e-06	4.5925347916923364e-05
2.864700060963437e-06	4.5925347916923595e-05
2.8647000609634374e-06	4.592534791692384e-05
2.864700060963438e-06	4.592534791692407e-05
2.8647000609634382e-06	4.5925347916924306e-05
2.8647000609634386e-06	4.5925347916924544e-05
2.864700060963439e-06	4.592534791692478e-05
2.8647000609634395e-06	4.592534791692502e-05
2.86470006096344e-06	4.592534791692525e-05
2.8647000609634403e-06	4.592534791692549e-05
2.8647000609634408e-06	4.592534791692573e-05
2.864700060963441e-06	4.592534791692596e-05
2.8647000609634416e-06	4.5925347916926204e-05
2.864700060963442e-06	4.5925347916926434e-05
2.8647000609634425e-06	4.592534791692667e-05
2.864700060963443e-06	4.592534791692691e-05
2.8647000609634433e-06	4.5925347916927146e-05
2.8647000609634437e-06	4.592534791692738e-05
2.864700060963444e-06	4.592534791692762e-05
2.8647000609634446e-06	4.592534791692786e-05
2.864700060963445e-06	4.5925347916928094e-05
2.8647000609634454e-06	4.5925347916928325e-05
2.864700060963446e-06	4.592534791692856e-05
2.8647000609634463e-06	4.5925347916928806e-05
2.8647000609634463e-06	4.5925347916929036e-05
