glucose{cell}	G6P	G1P	UDPG	glycogen	T6P	trehalose	Values[glucose transport into cell]	Values[hexokinase/glucokinase]	Values[phosphofructokinase]	Values[G6P dehydrogenase]	Values[phoshpoglucomutase]	Values[phoshpoglucomutase_2]	Values[UDPG pyrophosphorylase]	Values[glycogen synthase]	Values[glycogen phosphorylase]	Values[glycogen phosphorylase_2]	Values[glycogen use]	Values[alpha,alpha-T6P synthase]	Values[alpha,alpha--T6P phosphatase]	Values[trehalase]	Values[flux_to_glucose]	Values[flux_from_glucose]	Values[flux_to_G6P]	Values[flux_from_G6P]	Values[flux_to_G1P]	Values[flux_from_G1P]	Values[flux_to_UDPG]	Values[flux_from_UDPG]	Values[flux_to_glycogen]	Values[flux_from_glucogen]	Values[flux_to_T6P]	Values[flux_from_T6P]	Values[flux_to_trehalose]	Values[flux_from_trehalose]
0.03	1.0	0.1	0.7	1.0	0.02	0.05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	30.999882873229925	30.999713619480676	44.98546841003074	45.02050168302362	19.506526413580644	19.511317136760976	3.500641369806396	3.499957791801158	5.000009314367659	4.999826068258744	0.4997257229870603	0.5002459963033024	0.5002459963033024	0.5002328451525481
0.02993148381311164	0.9985129966818006	0.09985177838807735	0.6995258321572464	0.9982042841165905	0.01990118097856662	0.049855978050910486	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	31.007967780966187	31.007973523525568	44.99356179201809	44.99358108030055	19.506115117033413	19.506117968339982	3.498046054212137	3.4982714857982744	4.996797323680833	4.9980129419685655	0.49974382779034787	0.4997506781982135	0.4997506781982135	0.4998001415920893
0.029928698780109123	0.9985032325245785	0.09985012820461475	0.6994142464582056	0.9974332360881469	0.019897815648419855	0.049835947059194086	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	31.0079059850196	31.007907107003398	44.99344006898828	44.993444540729556	19.506004514716572	19.50600539200257	3.4980171491606065	3.498062718981476	4.996641404819327	4.997081343763872	0.49973239532228386	0.4997337752837921	0.4997337752837921	0.4997398906389788
0.029928120908365923	0.9985006663145436	0.09984960019874894	0.6993907134928491	0.9971649480867645	0.01989709952017199	0.04983308692718793	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	31.007904218542354	31.00790447213563	44.993415023814656	44.99341634905837	19.50596459332365	19.50596487967192	3.498007900419276	3.498018260651701	4.996605536454668	4.996752521872473	0.49972986036087413	0.49973017811884374	0.49973017811884374	0.4997312863030418
0.02992798376951889	0.998499885822779	0.09984942862846446	0.6993851087437906	0.9970767122182187	0.01989692685627055	0.04983251490588208	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	31.00790547522867	31.007905540013198	44.993408343418615	44.99340875530957	19.50595119372785	19.505951285978195	3.4980048951269804	3.498007542671213	4.996596226160345	4.996643739537853	0.49972922872700865	0.49972931079984945	0.49972931079984945	0.49972956540970137
0.0299279474229159	0.9984996420858243	0.09984937365423491	0.6993836217177327	0.9970483891229871	0.019896880615642012	0.049832375409985544	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	31.00790610341174	31.00790612148411	44.993406385586454	44.99340651471827	19.505946849862294	19.50594687922608	3.4980039321762995	3.4980046713406465	4.996593597262634	4.99660872906394	0.4997290554469539	0.49972907852459325	0.49972907852459325	0.4997291457421881
0.029927937027750436	0.9984995656111416	0.09984935620861812	0.6993831962599641	0.9970393984845297	0.01989686730767272	0.0498323372447042	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	31.007906334257118	31.007906339595184	44.99340579001135	44.99340583055599	19.505945464465004	19.50594547375118	3.4980036265918146	3.498003844742292	4.996592816260123	4.996597601994721	0.4997290048370279	0.49972901167611444	0.49972901167611444	0.49972903092340765
0.029927933917227024	0.9984995415918718	0.09984935070008485	0.699383068929662	0.9970365595048896	0.019896863311850282	0.04983232609200176	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	31.00790641178657	31.007906413405134	44.993405605740854	44.99340561848577	19.505945026008987	19.505945028936118	3.4980035301021104	3.4980035965079104	4.996592577693531	4.996594086345986	0.49972898951796696	0.49972899160432604	0.49972899160432604	0.4997289973709199
0.029927932963559004	0.9984995340456753	0.09984934896504905	0.6993830298872948	0.9970356652935218	0.019896862084554965	0.049832322714334035	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	31.007906436904385	31.00790643740622	44.993405548280094	44.993405552284536	19.50594488775556	19.505944888677046	3.498003499710519	3.4980035202571975	4.996592503770769	4.9965929786904635	0.49972898479311956	0.49972898543938377	0.49972898543938377	0.49972898720933195
0.02992793266754016	0.9984995316741331	0.0998493484191371	0.6993830177638892	0.9970353839373788	0.01989686170313272	0.04983232167197905	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	31.007906444913463	31.007906445148777	44.993405530366154	44.99340553154159	19.50594484423175	19.505944844523416	3.4980034901481036	3.4980034965580966	4.9965924806961715	4.996592630129185	0.49972898332114596	0.4997289835234259	0.4997289835234259	0.4997289840734456
