AS_c	ASL_c	ASpOH_c	ASLoOH_c	ASoOH_c	ASLpOH_c	ASL_m	ASoOH_m	ASpOH_m	AS_m	ASLpOH_m	ASLoOH_m	AS_b	ASL_b	ASpOH_b	ASLoOH_b	ASLpOH_b	ASoOH_b
0.0	0.0	0.0	0.0	0.0	0.0	30.56	0.0	0.0	8797.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2660.2189359725103	104.12546990916799	10.920648665740204	7.042958639639249	27.935323394009227	8.82006771392202	27.144650776570543	0.007833311511963837	0.0015172511024072598	8709.686625675324	0.0018064950216451357	0.0034105467600708643	9416.596702718249	368.67909700184634	38.60062511820264	24.900916511545685	31.18356613988826	98.7441309884267
5124.857178487018	173.95323276588576	37.7292909915169	20.993605675491995	95.03308591634945	26.5282773753643	25.038438910143565	0.05495939852678142	0.01076946964984451	8625.856129416044	0.011472339045515537	0.02154489002681952	18155.87404172047	616.3972999229537	133.57344527194016	74.3410174211689	93.93855902705519	336.45499028907506
7431.6655513920805	224.37231835861687	75.4997176652632	36.85394836780157	187.5035826724304	47.00280503249161	23.809307973118393	0.1665331512282476	0.0329813037362259	8545.437806528447	0.03182240110717124	0.0594459386528763	26335.421521114098	795.2448096712454	267.43121777399455	130.5691895672682	166.52280745823234	664.1805173605983
9601.39588875296	262.6852100167655	121.5399791745095	52.68733027170614	297.94144576597733	67.82653151347454	23.1866737185247	0.3596546798975119	0.07193044065153521	8468.24085806349	0.06342771692716902	0.11786537642894938	34028.86470944189	931.1385401148028	430.6217870106781	186.70895936929404	240.354258936913	1055.6424024552293
11648.56873494316	293.0796808136782	174.10181505732186	67.6807571078388	421.6575389552859	87.94228893918682	22.991574719018114	0.6467177636690539	0.13052779248084734	8394.09449962064	0.10593130059057573	0.19583427646030685	41287.71202252921	1038.9388161696695	616.9429011577798	239.87370344618603	311.67968861796703	1494.2043800250792
13584.242198859438	318.122890693389	231.9339620716158	81.51088384933213	555.388388559361	106.889831320813	23.10185236358962	1.0369863329930085	0.21109043658096063	8322.842922003687	0.15857939139733196	0.29168908643695035	48151.18524956036	1127.7544916902787	821.9560399628049	288.9150869751772	378.86494515478387	1968.2896066945395
15417.316955125814	339.4477292851811	294.08655524347154	94.0856522273673	696.7255288774487	124.49561830410832	23.432189569080034	1.5374778460619642	0.31549600571585584	8254.342306074368	0.22046467229262445	0.40353585251734886	54650.85163082597	1203.3791404646415	1042.2920729706295	333.5057891809555	441.2935766543205	2469.3549592807026
17155.235326450627	358.11878364828135	359.81082861107075	105.42523668107964	843.8220852500843	140.72966898581382	23.921864367426622	2.1535177625525805	0.4452811569551625	8188.458864883079	0.2906448603214801	0.5294713871271411	60813.104794767976	1269.5898359041335	1275.2952944175256	373.7168866340303	498.85869495866905	2990.849687986783
18804.392234770152	374.84374492691956	428.50132005437086	115.60306649810045	995.224338384374	155.63422046107235	24.526940846272982	2.8891157867864177	0.6017096885972395	8125.067461347391	0.3682015794295407	0.6676884494185567	66660.62296181048	1328.8973368897634	1518.8183415188382	409.8085138085896	551.7097558735237	3527.6177286750267
20370.394583932026	390.10121059236246	499.6594946124605	124.7153880673396	1149.7666377237222	169.28645170529364	25.21515804009582	3.747235563471705	0.7858223676823738	8064.050577055475	0.45226880764756894	0.8165223866896304	72213.28923855064	1382.9995725039523	1771.0931300182292	442.12182994125544	600.1202581099209	4075.5248491579014
