X1p	Y1p	X2p	Y2p	X3p	Y3p
1.0236670000000003	3.203692	2.154231	8.232192000000001	6.271793	9.312021000000001
1.0236679110225446	3.2037039693874867	2.1542379852112297	8.232176424340574	6.271789274644463	9.31201829479579
1.023668094557884	3.2037004094561605	2.154239512145278	8.232173506735217	6.271791893559258	9.312017758611805
1.02366826479241	3.2036970840599466	2.1542409587297797	8.23217089215153	6.271794436808583	9.312017261190858
1.023668428077594	3.203694000234665	2.1542423462536244	8.23216845483473	6.271796875487611	9.312016790349423
1.0236685845535132	3.203691107676295	2.154243675718116	8.232166160559421	6.271799211536065	9.31201634287001
1.023668734381013	3.203688376118218	2.1542449486122726	8.232163988908212	6.271801447798743	9.312015916659067
1.0236688777778216	3.203685783477356	2.154246166823834	8.232161924785244	6.271803587783627	9.31201551002626
1.0236690149822427	3.2036833154818343	2.1542473323994114	8.232159958171689	6.271805635177745	9.312015121704821
1.0236691462387046	3.2036809621198925	2.154248447428212	8.232158081859088	6.2718075937079	9.312014750670478
1.023669271791445	3.203678715537159	2.1542495139931725	8.232156290060912	6.271809467066593	9.31201439602682
1.0236693918802429	3.2036765693789504	2.154250534135859	8.232154577991908	6.27181125885987	9.312014056974222
1.023669506738559	3.2036745182193878	2.1542515098424198	8.232152941496002	6.271812972588623	9.312013732779253
1.0236696165921297	3.2036725573038636	2.154252443032143	8.232151376879386	6.27181461163111	9.312013422761897
1.0236697216572128	3.2036706824311576	2.1542533355429034	8.23214988083698	6.271816179218834	9.312013126291655
1.0236698221411138	3.2036688897066297	2.1542541891362115	8.23214845028813	6.271817678447739	9.312012842771988
1.0236699182428526	3.2036671754122183	2.1542550055030936	8.23214708228909	6.27181911228966	9.31201257163144
1.0236700101532274	3.20366553601919	2.1542557862646614	8.232145774041337	6.271820483593229	9.312012312324285
1.0236700980548654	3.2036639681827235	2.1542565329725	8.232144522887838	6.271821795084563	9.312012064330107
1.023670182122661	3.2036624687512143	2.154257247112407	8.232143326318143	6.271823049373697	9.31201182715358
1.0236702625236809	3.2036610347300036	2.1542579301036318	8.232142181944644	6.271824248953598	9.312011600322494
1.0236703394178313	3.203659663271206	2.1542585833045487	8.232141087494211	6.2718253962101205	9.312011383385965
1.023670412958186	3.203658351638835	2.1542592080155125	8.232140040784389	6.271826493427299	9.312011175911797
1.0236704832907155	3.2036570972369525	2.154259805476509	8.232139039742627	6.271827542783	9.312010977488626
1.0236705505555175	3.2036558975553846	2.15426037687768	8.23213808236742	6.271828546367727	9.312010787720528
1.0236706148867851	3.2036547502000556	2.154260923358977	8.232137166748421	6.271829506183719	9.312010606228876
