ssDNA	G2Moff	Utelo	ExoXI	Exo1I	RPAssDNA1	G1	G1cyclin	Scyclin	G2cyclin	Mcyclin	SG2off	RPAssDNA	Rad17Utelo	G1Soff	MG1off	G2	Rad9I	Rad53I	Chk1I	Dun1I	RPAssDNA2	M	Mec1	ATP	SCdkI	S	Exo1A	RPA	G1Son	MG1on	budscar	SG2on	G1CdkI	ADP	G2CdkI	Dun1A	Ctelo	Mec1RPAssDNA	MCdkI	SCdkA	G2CdkA	Rad9A	ExoXA	Rad17	MCdkA	Rad53A	G1CdkA	G2Mon	Cdc13	Chk1A
0.0	1.0	0.0	70.0	670.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	20.0	6900.0	60.0	3000.0	0.0	0.0	4000.0	10000.0	1.0	0.0	0.0	4000.0	0.0	0.0	0.0	0.0	1.0	1000.0	1.0	0.0	64.0	0.0	1.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	300.0	0.0
2.4982046188836947e-06	1.0	0.022876108789685684	69.99999989259688	646.9232819196868	2.9032828064868283e-06	1.0	0.15990403838848308	0.0	0.0	0.0	1.0	9.736342260398591e-16	5.74512604593747e-07	1.0	1.0	0.0	20.0	6900.0	60.0	3000.0	1.0553850054788236e-10	0.0	4000.0	9999.999999425487	1.0	0.0	23.07671808031299	3999.999997096612	0.0	0.0	0.0	0.0	1.0	1000.0000005745129	1.0	0.0	63.9771233166977	1.6135987286343136e-15	1.0	0.0	0.0	0.0	1.0740312862609669e-07	69.99999942548745	0.0	0.0	0.0	0.0	300.0228766833023	0.0
1.1500736171366864e-05	1.0	0.04255677452297948	69.99999932521744	624.6413920740955	2.8879492064082398e-05	1.0	0.31961630701576876	0.0	0.0	0.0	1.0	5.874516293516142e-13	2.189705560736977e-06	1.0	1.0	0.0	20.0	6900.0	60.0	3000.0	1.0429487606950344e-08	0.0	3999.999999999998	9999.999997810293	1.0	0.0	45.35860792590441	3999.999971110076	0.0	0.0	0.0	0.0	1.0	1000.000002189706	1.0	0.0	63.957441035771446	1.928857844954231e-12	1.0	0.0	0.0	0.0	6.747825472197056e-07	69.99999781029453	0.0	0.0	0.0	0.0	300.0425589642285	0.0
2.5703563562008157e-05	1.0	0.05948801692273801	69.99999816636542	603.126954303109	0.0001017034292913485	1.0	0.47913703586755185	0.0	0.0	0.0	1.0	2.1154159784455134e-13	4.700202778518e-06	1.0	1.0	0.0	20.0	6900.0	60.0	3000.0	1.2941018512358505e-07	0.0	3999.999999999891	9999.999995299793	1.0	0.0	66.87304569689118	3999.9998981670506	0.0	0.0	0.0	0.0	1.0	1000.0000047002031	1.0	0.0	63.94050728287447	1.097231079048148e-10	1.0	0.0	0.0	0.0	1.8336346048631823e-06	69.9999952997973	0.0	0.0	0.0	0.0	300.0594927171254	0.0
4.359780271176571e-05	1.0	0.07405368680759877	69.99999642665695	582.3535353618577	0.00023871365230876775	1.0	0.6384664546537094	0.0	0.0	0.0	1.0	1.3542461275852484e-10	7.980922172024711e-06	1.0	1.0	0.0	20.0	6900.0	60.0	3000.0	7.137241597864642e-07	0.0	3999.9999999987103	9999.999992019075	1.0	0.0	87.64646463814249	3999.9997605711974	0.0	0.0	0.0	0.0	1.0	1000.0000079809226	1.0	0.0	63.92593833227022	1.2902262467150597e-09	1.0	0.0	0.0	0.0	3.573343048008602e-06	69.99999201907792	0.0	0.0	0.0	0.0	300.07406166772967	0.0
6.392863561615646e-05	1.0	0.08658411021843566	69.99999416074799	562.2956124387059	0.0004512893412447035	1.0	0.7976047928086321	0.0	0.0	0.0	1.0	9.696250225371102e-10	1.1924245955302836e-05	1.0	1.0	0.0	20.0	6900.0	60.0	3000.0	2.555402112740303e-06	0.0	3999.999999991287	9999.999988075753	1.0	0.0	107.70438756129418	3999.9995461455724	0.0	0.0	0.0	0.0	1.0	1000.0000119242462	1.0	0.0	63.9134039655356	8.713857682680203e-09	1.0	0.0	0.0	0.0	5.839252026151342e-06	69.99998807575415	0.0	0.0	0.0	0.0	300.08659603446426	0.0
8.566067214340963e-05	1.0	0.09736353394256055	69.99999143241637	542.9285418029432	0.0007456795576740192	1.0	0.9565522794915539	0.0	0.0	0.0	1.0	3.4308526506879285e-09	1.6437585388286082e-05	1.0	1.0	0.0	20.0	6900.0	60.0	3000.0	6.994068698172311e-06	0.0	3999.999999959422	9999.999983562413	1.0	0.0	127.07145819705711	3999.9992472823633	0.0	0.0	0.0	0.0	1.0	1000.0000164375857	1.0	0.0	63.902620028472036	4.05787324206357e-08	1.0	0.0	0.0	0.0	8.567583657248804e-06	69.99998356241471	0.0	0.0	0.0	0.0	300.09737997152786	0.0
0.00010794955762467473	1.0	0.10663654160823227	69.99998830269263	524.2285285240453	0.0011237863266049984	1.0	1.1153091435868838	0.0	0.0	0.0	1.0	1.0155663873076769e-08	2.1441283762051363e-05	1.0	1.0	0.0	20.0	6900.0	60.0	3000.0	1.5936141538693656e-05	0.0	3999.999999858059	9999.999978558715	1.0	0.0	145.77147147595494	3999.9988601254327	0.0	0.0	0.0	0.0	1.0	1000.000021441284	1.0	0.0	63.893342017107976	1.419418981427974e-07	1.0	0.0	0.0	0.0	1.1697307401210865e-05	69.99997855871638	0.0	0.0	0.0	0.0	300.1066579828918	0.0
0.00013012143655693957	1.0	0.11461357887509707	69.99998482634953	506.1725972370876	0.0015839370301003568	1.0	1.2738756137045328	0.0	0.0	0.0	1.0	2.4618535497450046e-08	2.686681170217546e-05	1.0	1.0	0.0	20.0	6900.0	60.0	3000.0	3.178304546082104e-05	0.0	3999.9999995936764	9999.999973133186	1.0	0.0	163.82740276291253	3999.9983838489807	0.0	0.0	0.0	0.0	1.0	1000.000026866812	1.0	0.0	63.88535955431316	4.0632371741081626e-07	1.0	0.0	0.0	0.0	1.5173650505971318e-05	69.99997313318845	0.0	0.0	0.0	0.0	300.11464044568663	0.0
0.00015165557965265362	1.0	0.12147571163323381	69.99998105134236	488.73856391435197	0.0021216494386259235	1.0	1.432251918180246	0.0	0.0	0.0	1.0	5.2056838020902486e-08	3.26552138360614e-05	1.0	1.0	0.0	20.0	6900.0	60.0	3000.0	5.7289550024999714e-05	0.0	3999.999999001815	9999.999967344787	1.0	0.0	181.26143608564817	3999.9978200107676	0.0	0.0	0.0	0.0	1.0	1000.0000326552141	1.0	0.0	63.8784916331529	9.981852501911219e-07	1.0	0.0	0.0	0.0	1.8948657670090654e-05	69.99996734478633	0.0	0.0	0.0	0.0	300.1215083668469	0.0
