cytosolic calcium concentration	ER calcium concentration	cAMP	Values[h]	Values[variable for direct inhibition of secretion]	Values[voltage]	Values[delayed rectifier activation]	Values[ninf]	Values[minf]	Values[hinf]	Values[ica]	Values[igirk]	Values[ik]	Values[ainf]	Values[hinfer]	Values[jerp]	Values[binf]	Values[o]	Values[jerleak]	Values[jerip3]	Values[jertot]	Values[jmemtot]	Values[perl_inf]
0.3	260.0	1.0	0.0	1.0	-60.0	0.0	0.0001507103580597574	0.03444519566621117	0.36090725483714875	-5855.683263255899	0.0	0.0	0.46153846153846145	0.5714285714285714	0.12	0.0	0.0	0.12985	0.0	0.009849999999999998	-0.018649425315348453	0.11473087818696884
0.29992256940139395	259.99901340248897	1.0	0.017692210524833957	1.0	-58.878288944072594	1.0242322128198855e-05	0.0001886067471753061	0.037693062161497114	0.36461152129079166	-6323.259118337888	285.22870602201084	0.5779331526239369	0.4614743102053453	0.5714917870731022	0.11996902776055757	0.0	0.0	0.12984954541654378	0.0	0.009880517655986215	-0.016533719377688584	0.11462604705620119
0.2998676547006547	259.9980241969626	1.0	0.034705516728546965	1.0	-57.7203804695592	2.2487344350335786e-05	0.00023774452939545688	0.04135351163468739	0.36845221522518884	-6841.556432347367	599.69812467664	1.3600046411833342	0.4614288040520823	0.5715366288374719	0.11994706188026186	0.0	0.0	0.12984907827113093	0.0	0.009902016390869073	-0.01419314425953504	0.11455173373110879
0.2998375804719236	259.99703333068726	1.0	0.05108007708364791	1.0	-56.52158272928187	3.7410512710348606e-05	0.00030214040484788916	0.04550043819814351	0.3724461790557934	-7418.535473577067	943.878978572093	2.4195047246066403	0.4614038791880522	0.571561189569538	0.11993503218876944	0.0	0.0	0.12984859787510764	0.0	0.009913565686338194	-0.011592227439691738	0.11451104779191225
0.2998350606828998	259.9960418514683	1.0	0.06685504172247357	1.0	-55.275657357232674	5.594076640774947e-05	0.00038760679258270127	0.05022853442250134	0.37661568031379433	-8064.257237713368	1318.6717503305742	3.861881955139106	0.46140179073718884	0.571563247502461	0.1199340242731599	0.0	0.0	0.1298481033953927	0.0	0.009914079122232813	-0.008686101532724803	0.11450763927981898
0.299863306020512	259.9950509252853	1.0	0.0820688971043521	1.0	-53.97446028255531	7.938230394049004e-05	0.0005027613547464435	0.05566102450187617	0.3809897327905267	-8791.598737619515	1725.5428556344364	5.841695245270636	0.4614252001036157	0.5715401801452306	0.1199453224082048	0.0	0.0	0.1298475938096324	0.0	0.009902271401427604	-0.005417301583788975	0.11454585009058264
0.2999261687740686	259.9940618589302	1.0	0.09675986904122237	1.0	-52.60745542321624	0.0001096094985352039	0.0006607387427064484	0.06196090811927362	0.38560588192662076	-9617.25682969705	2166.699680749331	8.590524536959638	0.46147729262818904	0.5714888481746669	0.11997046750962743	0.0	0.0	0.12984706784507807	0.0	0.009876600335450639	-0.0017112695824735569	0.11463091889762576
0.3000283408955456	259.99307612945324	1.0	0.11096640855714207	1.0	-51.161046536130826	0.00014938934333090604	0.0008821998886762958	0.06934762765323794	0.3905126555239611	-10563.175793737057	2645.323049646404	12.464499612822054	0.4615619381797967	0.5714054369402821	0.12001133635821822	0.0	0.0	0.12984652389427884	0.0	0.009835187536060622	0.0025300399374849278	0.11476926222406322
0.30017562817750737	259.992095422969	1.0	0.12472779568521986	1.0	-49.61764792350726	0.00020293474116170684	0.0012008433832502471	0.0781222779563038	0.39577297238518677	-11658.6012630517	3165.8848238071023	18.02836367051428	0.4616839130358098	0.5712852374498713	0.12007025127100293	0.0	0.0	0.12984595989739575	0.0	0.00977570862639282	0.0074373614571065574	0.11496886514147683
0.3003753345369962	259.99112168651044	1.0	0.13808491203642262	1.0	-47.95437886016641	0.00027689468503436254	0.0016739801666400742	0.08870652261646524	0.4014689352264102	-12943.058516659048	3734.5922160643336	26.21076061475522	0.4618492101193139	0.5711223400870218	0.1201501338147985	0.0	0.0	0.12984537317598668	0.0	0.009695239361188185	0.013187463144416288	0.11523983166795149
