C4b	C2a	C4BP	C4b/C2a	MASP	C1	PC/CRP	GlcNac/LF/CRP	C3b	PC/CRP/LF	GlcNac/LF	GlcNac/HF	dC4b/C2a	C4a	PC/CRP/LF/C1	CRP	PC/CRP/LF/MASP	LF	C3	C4b/C2a/C4BP	iC4b/C2a	C4BP/GlcNac/LF/CRP	dC3b	PC/CRP/C1	C4BP/C4b	GlcNac/HF/MASP	GlcNac	dC4b/C2a/C4BP	GlcNac/LF/MASP	C4BP/PC/CRP	GlcNac/LF/CRP/C1	C2b	GlcNac/LF/CRP/MASP	C4BP/PC/CRP/LF	HF	C3a	PC/CRP/LF/C1/MASP	PC	C4	C2	X	Values[mC3]
0.0	0.0	260.0	0.0	6.8	2470.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	20.0	4650.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0327796	770.0	310.0	0.0005	0.0
1.4575367055237784e-07	7.5102190955885626e-06	259.9092793432176	1.746130634265596e-15	6.7999999988787625	2469.9999869565536	7.209123472700989e-06	3.3904317629908795e-36	9.450462163952123e-16	4.27893616829073e-09	6.145524439344281e-30	-1.3084413086122157e-29	1.2735407846175253e-17	7.869375366067998e-06	4.691440807263476e-09	1.9982404422633828	3.753804612480619e-10	19.999999989908385	4650.0	5.3575297361902945e-14	6.3780465443266396e-15	9.092012640353657e-35	6.462802113875696e-17	1.3038010479648863e-05	7.723621633406794e-06	-4.881367685980899e-28	3.311199846763295e-32	3.7778337056833576e-16	2.4177454419263303e-28	0.0017393005110465903	9.823541747593809e-37	7.5102191576973856e-06	7.497154598414325e-38	0.0	-9.663230786186209e-32	1.09938430743002e-15	7.458592513393141e-10	0.031020042263384374	769.9999921306245	309.9999924897807	0.0005	6.462802113875696e-17
3.9195603606920735e-07	3.0277036887655374e-05	259.81866273443705	2.000417027279257e-14	6.7999999959361865	2469.9999737140006	7.29365361634008e-06	5.284466321833265e-36	1.854555573280294e-14	4.887213976015531e-09	8.59554731615326e-30	-4.4423536663807076e-29	1.7229373938918027e-16	3.173767801452069e-05	1.139420440302049e-08	1.996576726507512	5.828999369575738e-10	19.999999979654767	4650.0	1.0197346137701594e-12	1.4011191551487927e-13	1.7430241444783053e-33	2.173957774747293e-15	2.627112603508173e-05	3.134572078960758e-05	-3.455589530559588e-28	2.8685450308010297e-31	8.407055091577169e-15	-1.4721249639179016e-28	0.003389688367601445	1.337407057445642e-35	3.0277038076499285e-05	1.6906220189155646e-36	0.0	-1.6568199555097442e-30	2.4158035055952274e-14	3.480915280693749e-09	0.02935632650751354	769.999968262322	309.99996972296185	0.0005	2.173957774747293e-15
7.387329238580147e-07	6.846633807168067e-05	259.72815164843524	8.879148184898273e-14	6.799999991685221	2469.999960334589	7.374101299391899e-06	-2.6460291107421022e-36	1.0968724700424393e-13	5.01846261863322e-09	-5.829870932767684e-30	-5.758904225471887e-29	8.745744265950983e-16	7.178942326586429e-05	1.7382202934013266e-08	1.9950034874774685	6.405646800669699e-10	19.999999969284552	4650.0	5.837762648303852e-12	9.088296743000195e-13	1.9948689934274337e-33	1.6939410110869485e-14	3.964035673594063e-05	7.105068344828349e-05	-1.7281425689291368e-28	4.9167528056082106e-32	5.477918216656709e-14	-2.347079625278145e-28	0.004949467349046367	1.6232578635839523e-35	6.846634496540348e-05	1.8853692144048078e-36	0.0	-4.336965413093377e-30	1.5674531240629442e-13	7.674218145946945e-09	0.02778308747746993	769.9999282105769	309.9999315336549	0.0005	1.6939410110869485e-14
1.1871700335519054e-06	0.0001222328066602227	259.6377408229496	2.6301766525318034e-13	6.799999986488483	2469.9999468263013	7.450635598104749e-06	-1.5314582544123354e-35	3.9324479443712116e-13	5.0851369258563924e-09	-2.748948761536739e-29	-5.25502146957942e-29	2.9074463588079028e-15	0.00012819586996539638	2.2599966349406348e-08	1.9935156755785848	6.601900127442018e-10	19.99999995880338	4650.0	2.0267162054358447e-11	3.525629251076255e-12	-3.836424876753689e-34	7.224241115870115e-14	5.313825013939928e-05	0.0001270086756496999	-9.978914339317276e-29	-4.704867172711714e-31	2.1300834267548748e-13	-2.759442568657014e-28	0.006423694339053081	-4.833273076301858e-37	0.00012223283094236735	-4.95442595819707e-37	0.0	-7.153371211929949e-30	6.08239442858228e-13	1.2851329986526457e-08	0.02629527557858614	769.9998718041302	309.99987776716875	0.0005	7.224241115870115e-14
1.738288386336332e-06	0.00019172210997354824	259.5474253040576	6.199622113739585e-13	6.7999999806026254	2469.999933196364	7.523421701948817e-06	-2.7623946786539653e-35	1.0668657613014816e-12	5.1402654395969046e-09	-4.71610463298276e-29	-4.6176457251885847e-29	7.58990108035215e-15	0.00020111719814575353	2.7245702208089465e-08	1.992108536483714	6.72239392383668e-10	19.999999948216658	4649.999999999999	5.3323943395146626e-11	1.0253535669856208e-11	-5.5263608662390695e-33	2.2121750377448977e-13	6.675766737257964e-05	0.0001993788449036646	-6.123522229600088e-29	-1.0001639156608164e-30	6.204087848010164e-13	-3.1237146904199194e-28	0.007817130643865211	-3.9154834099100554e-35	0.0001917221748293009	-5.5075541684210205e-36	0.0	-9.6815791559706e-30	1.7694476143725983e-12	1.8725137113468558e-08	0.024888136483716107	769.9997988828021	309.9998082778249	0.0005	2.2121750377448977e-13
2.3930500737137905e-06	0.0002770715907049597	259.45720042689106	1.2603755107371339e-12	6.7999999742095785	2469.9999194516313	7.592620555513592e-06	-3.7989810464306413e-35	2.4208020317157153e-12	5.191732435432206e-09	-6.202569360415508e-29	-4.0005669126631143e-29	1.691643400357778e-14	0.0002907030482571618	3.148827038428587e-08	1.9907775924904367	6.828697841174365e-10	19.99999993752958	4649.999999999996	1.17565563997479e-10	2.476901328488442e-11	-1.3279818649200416e-32	5.491297875347252e-13	8.049177534982457e-05	0.0002883098529980869	-7.917698810156727e-29	-1.5146201533325702e-30	1.500245666349909e-12	-2.6007136880622984e-28	0.009134260643230634	-9.99800028470153e-35	0.00027707173589032095	-1.2946891801484987e-35	0.0	-1.1846263202209631e-29	4.275618739118913e-12	2.510755325643393e-08	0.02355719249043817	769.9997092969521	309.99972292826385	0.0005	5.491297875347252e-13
3.152363786468244e-06	0.000378410707939927	259.3670617973774	2.309356675214249e-12	6.799999967438562	2469.999905598644	7.658388585112847e-06	-4.3357764292202106e-35	4.849331507980303e-12	5.2401452828052875e-09	-6.724272090151471e-29	-3.778004256520131e-29	3.3706282432953487e-14	0.00039709334317891476	3.5451321690751634e-08	1.9895186251830592	6.93127769132937e-10	19.999999926747098	4649.999999999992	2.2929085797808593e-10	5.254101838021215e-11	-2.2337137011552838e-32	1.1791638326016622e-12	9.433403841797592e-05	0.00039394069187724393	-8.513318177806217e-29	-1.7689905671722937e-30	3.184845308267536e-12	-2.0026816350357357e-28	0.010379309137028513	-1.744765604899726e-34	0.0003784109954551296	-2.146601052461799e-35	0.0	-1.3815822747313158e-29	9.072250054676652e-12	3.186831262781507e-08	0.022298225183061033	769.9996029066572	309.9996215890042	0.0005	1.1791638326016622e-12
4.0170889413363005e-06	0.0004958614197023453	259.2770052752228	3.917093146227954e-12	6.799999960381666	2469.999891643656	7.72087749750931e-06	-4.770917222171147e-35	8.860241087476767e-12	5.286454141011029e-09	-7.04171394479625e-29	-3.4799292047218775e-29	6.175661573788128e-14	0.0005204190766678931	3.9221254498912914e-08	1.9883276592983314	7.032257093403598e-10	19.99999991587396	4649.999999999983	4.0869135669428717e-10	1.0122177909193027e-10	-3.187840115374139e-32	2.2772551001330803e-12	0.00010827820958259937	0.0005164014673956347	-8.194111622601363e-29	-1.9086803544962203e-30	6.139432416733278e-12	-2.1076226121753538e-28	0.011556257488541057	-2.5716219115845017e-34	0.0004958619400332675	-3.0231316186592364e-35	0.0	-1.567319431686312e-29	1.748303185233699e-11	3.891511118019061e-08	0.021107259298333313	769.9994795809237	309.9995041380597	0.0005	2.2772551001330803e-12
4.988039057318712e-06	0.0006295385350246929	259.1870269581425	6.259504218314262e-12	6.799999953104748	2469.999877592639	7.780234139319186e-06	-5.180822002887307e-35	1.5082718737578987e-11	5.330255317351477e-09	-7.288718124918589e-29	-3.341840664689944e-29	1.0599948717495818e-13	0.0006608029901838377	4.285979743056058e-08	1.9872009477224153	7.131734432431006e-10	19.999999904914695	4649.999999999969	6.799718638747993e-10	1.810480751017343e-10	-4.188766370746024e-32	4.056101770000987e-12	0.00012231832143295906	0.0006558140722185993	-1.0528381035279566e-28	-2.001084590304131e-30	1.0986619937648215e-11	-1.828262683052406e-28	0.012668858636702102	-3.4808579142638177e-34	0.0006295394139326129	-3.927089644356619e-35	0.0	-1.7381093452840482e-29	3.127972522075786e-11	4.618208202499454e-08	0.01998054772241741	769.9993391970102	309.99937046058574	0.0005	4.056101770000987e-12
