IRS	p1p2IRS	PYRin	G6P	p1IRS	F16P	p2IRS	pGP	Akt	mTOR	Foxo	G1P	OAA	mRNA	PEPCK	PYRout	GLCex	LAC	GLY	pFoxo	pmTOR	GP	pAkt
21.612868429651225	15141.291337342214	37271.285382545204	29513.56286535593	46783.30079179295	317889.5712055004	4141.658039053078	0.0012644408442043038	0.16360575191373025	879.9796630375399	3.178916380085899e-06	199298.30735440878	858.1420989451653	2.768967127509533	0.7531543433847209	34375.16167177933	28960.058259986276	37916669.39491426	182822.47379022054	7.511083619914093e-06	0.2703369624641631	0.6436355591557952	0.954594248086275
21.60543404432591	18245.018470550003	37262.56204447594	29535.07049930563	47436.84012545952	314709.93891952967	4546.0058295785	0.0012635218740125653	0.16119979265120982	879.9559705736817	2.8616309582333505e-06	199187.57354049094	913.3101571138478	2.7576950289812876	0.752057904956753	34375.17297364203	28981.28314495527	37916669.589366734	182827.0890181787	7.82836904176664e-06	0.2940294263221611	0.6436364781259869	0.9570002073487954
21.577349915392286	21582.053386065658	37253.84371830432	29556.577336221242	47752.81829928429	311530.83923169243	4943.686492265779	0.0012626042726096311	0.15987719003719011	879.9324541674122	2.580055580246079e-06	199076.9724258906	968.5113425012848	2.7463296657501712	0.750962263815134	34375.18424274693	29002.503443452395	37916669.78376307	182831.70154602817	8.109944419753916e-06	0.31754583259167585	0.64363739572739	0.9583228099628153
21.53019986555421	25118.826790288484	37245.13040217053	29578.08284981113	47760.31915596097	308352.25013384776	5333.250967398858	0.0012616880593472653	0.15949760184485906	879.909139896567	2.3305038478743557e-06	198966.50291958224	1023.7479959023497	2.7348878856379555	0.749867409208059	34375.195479105016	29023.71929593583	37916669.978103295	182836.31137705455	8.359496152125641e-06	0.3408601034368507	0.6436383119406522	0.9587023981551466
21.465826388724057	28819.425771156966	37236.42209420902	29599.586638762514	47491.54984128896	305174.1531991432	5713.535653149415	0.001260773248143368	0.15995098246149986	879.8860501707908	2.1095780727548433e-06	198856.16403492723	1079.0220874177255	2.723384739980347	0.7487733321484377	34375.206682727236	29044.930820160218	37916670.17238744	182840.91851451885	8.58042192724515e-06	0.36394982921300023	0.6436392267518564	0.9582490175385059
21.38623953377724	32646.852786218842	37227.71879254832	29621.088387678476	46980.63392556162	301996.53284270765	6083.647716778673	0.0012598598491794105	0.1611488098164083	879.8632044718252	1.914175682820669e-06	198745.95486831985	1134.335289835998	2.7118336341352745	0.7476800252221595	34375.2178536246	29066.1381159705	37916670.36661554	182845.52296165942	8.775824317179324e-06	0.3867955281785078	0.6436401401508204	0.9570511901835973
21.29353792919407	36564.17866088069	37219.02049531085	29642.5878390002	46262.47886917585	298819.37579882337	6442.947741994631	0.0012589478701174135	0.16301784434735167	879.840619882841	1.741483441878384e-06	198635.8745839949	1189.6890346902803	2.7002464772099115	0.7465874824132026	34375.228991808064	29087.341268668213	37916670.560787626	182850.12472169366	8.948516558121608e-06	0.4093801171626164	0.6436410521298824	0.9551821556526537
21.189840604690335	40535.55508271493	37210.327200612635	29664.084772064878	45371.756699555895	295642.67075653974	6791.029056363447	0.0012580373170045696	0.16549558131004974	879.818311465863	1.5889643182838845e-06	198525.9224032719	1245.0845556738766	2.6886338263482226	0.7454956989451995	34375.240097288624	29108.540351339056	37916670.75490373	182854.72379781972	9.101035681716106e-06	0.4316885341407216	0.6436419626829953	0.9527044186899559
21.077229177967755	44527.063583603056	37201.63890656311	29685.57898699526	44342.02523150419	292466.4081142376	7127.6939752946955	0.001257128194965768	0.16852688254101716	879.7962925277337	1.4543401829947551e-06	198416.09759705738	1300.5229226954243	2.6770050228760147	0.7444046711386575	34375.25117007726	29129.735426403793	37916670.94896389	182859.32019321749	9.235659817005238e-06	0.45370747226992164	0.6436428718050341	0.9496731174589886
20.957700201585734	48507.38879392533	37192.95561126483	29707.070292036122	43205.006361953005	289290.57982526167	7452.927698916688	0.0012562205087446334	0.17206146648909929	879.7745748033147	1.3355724304082867e-06	198306.39948076798	1356.0050688930598	2.665368318848958	0.7433143962828374	34375.262210184985	29150.92654657593	37916671.142968126	182863.91391104992	9.354427569591707e-06	0.475425196688745	0.6436437794912551	0.9461385335109064
20.833127432713077	52448.31391816401	37184.27731281325	29728.558493506036	41990.027743252926	286115.17931382766	7766.870834691026	0.0012553142631297118	0.17605205197051507	879.7531685773064	1.2308418937574914e-06	198196.82741105295	1411.531812287143	2.6537309933993876	0.7422248725211696	34375.27321762278	29172.113755361705	37916671.336916484	182868.5049544641	9.459158106242507e-06	0.4968314226973467	0.6436446857368702	0.9421479480294904
20.7052336018865	56325.04497502916	37175.6040092964	29750.04338787791	40723.62535958952	282940.20144488016	8069.791578270789	0.0012544094632874012	0.1804530225939959	879.7320827612933	1.1385289386664058e-06	198087.38078382844	1467.1038733021192	2.642099458829507	0.7411360987490483	34375.28419240165	29193.297087208655	37916671.53080899	182873.0933265919	9.55147106133359e-06	0.517917238710328	0.6436455905367126	0.9377469774060094
20.575571065251307	60116.37714040525	37166.93569879459	29771.52475571359	39429.29748673806	279765.6425343563	8362.058541276143	0.0012535061150140815	0.1852195222421781	879.7113249394392	1.0571942974748356e-06	197978.0590332334	1522.721889065361	2.630479356704616	0.7400480745228937	34375.29513453259	29214.476567390404	37916671.724645674	182877.67903055093	9.632805702525165e-06	0.5386750605645867	0.6436464938849857	0.9329804777578273
20.44551051228205	63804.721702599156	37158.27237938008	29793.002357295354	38127.39492567122	276591.5003880909	8644.115070189304	0.001252604224914856	0.1903069163505032	879.6909013940458	9.855609730732172e-07	197868.8616311741	1578.38642517277	2.618875644466104	0.738960799979371	34375.306044026605	29235.652211704084	37916671.91842657	182882.26206944577	9.70443902692678e-06	0.5590986059578976	0.643647395775085	0.9278930836495024
20.316236768530583	67376.01531824282	37149.614049116826	29814.475929855584	36835.12881123468	273417.77435883204	8916.455737211434	0.0012517038005137883	0.19567056648189404	879.6708171204886	9.224973976165073e-07	197759.78808717857	1634.097985440598	2.607292673164725	0.7378742757637481	34375.3169208947	29256.824026048904	37916672.11215171	182886.8424463684	9.767502602383494e-06	0.5791828795151521	0.643648296199486	0.9225294335181115
