V	h1	x1	n1	c	Values[i_Na]	Values[Vs]	Values[m_infinity]	Values[alpha_m]	Values[beta_m]	Values[h_infinity]	Values[alpha_h]	Values[beta_h]	Values[tau_h]	Values[x_infinity]	Values[i_Ca]	Values[n_infinity]	Values[i_K]	Values[alpha_n]	Values[beta_n]	Values[tau_n]	Values[i_K_Ca]	Values[i_L]
-55.00000000000001	0.9	0.27	0.030000000000000002	0.4000000000000001	0.0003800799270842096	12.218999999999994	0.010749406897095134	0.08841203443607094	8.136417045200217	0.9065028870613095	0.1326276054589972	0.013679270505786349	85.43685946112869	0.320821300824607	0.2295	0.030962365332392855	-4.859999999999999e-06	0.006016737885270515	0.18830749479781195	64.32548235188904	-0.26666666666666666	0.045
-54.99177962107026	0.9000749265316382	0.2702163720268047	0.030015053170314655	0.40001430631266927	0.0003815509634999155	12.22893843812605	0.010763305292957465	0.08847872439825862	8.131925880881413	0.9063776142319081	0.132561716268711	0.013692686076660061	85.46751276916777	0.32109003707682116	0.2296617034130732	0.03098937171932933	-4.871763362957379e-06	0.006021405625256153	0.18828410272102494	64.33168110562853	-0.2667815724469644	0.04497533886321078
-54.983535808928316	0.9001474950527861	0.27043296829438074	0.030030290022270374	0.4000287102886084	0.0003830307375824746	12.238905207005672	0.010777260670378408	0.08854565093773226	8.127424403595919	0.9062518343012138	0.13249567212682842	0.013706152919950372	85.49824871201503	0.32135965849849496	0.22982349844960276	0.031016476786775993	-4.8836746617952765e-06	0.006026090066494268	0.18826064688047958	64.33789663888169	-0.26689683106858547	0.04495060742678493
-54.97526888200367	0.9002177286873841	0.27064979158524455	0.030045709201090988	0.40004321198546494	0.00038451925992283363	12.248899921657568	0.01079127265806581	0.08861281189161531	8.122912806950266	0.9061255507247412	0.13242947584675338	0.013719670638336973	85.52906603033229	0.3216301555576697	0.22998538812814406	0.03104367968653587	-4.895733697131336e-06	0.006030791059052045	0.18823712820657848	64.34412870252774	-0.267012438366723	0.044925806646010986
-54.966979150832856	0.9002856503346811	0.2708668446321885	0.030061309358898218	0.4000578114625386	0.00038601654211785564	12.258922206643078	0.01080534089621414	0.08868020515560024	8.118391279897782	0.9059987668547556	0.13236313017415183	0.013733238845930421	85.55996349424511	0.3219015189627525	0.23014737540515046	0.03107097959381906	-4.9079402779887445e-06	0.006035508457082117	0.18821354760688438	64.35037705348607	-0.267128390282343	0.04490093745249855
-54.95866691865641	0.9003512826667025	0.27108413012110233	0.030077089155753658	0.4000725087805093	0.0003875225966810739	12.268971695344405	0.01081946503555009	0.08874782867925793	8.113860007073663	0.9058714859488901	0.13229663779185408	0.013746857167339664	85.59093990110716	0.3221737396434338	0.23030946317892442	0.031098375705352153	-4.920294222236131e-06	0.006040242118494679	0.18818990596782897	64.35664145426331	-0.26724468285413006	0.04487600075596922
-54.950332481001986	0.9004146481182721	0.2713016506882866	0.030093047259799614	0.400087304001512	0.00038903743712941384	12.279048030468587	0.010833644738097501	0.08881568046958586	8.109319168576869	0.9057437111632693	0.13223000131664034	0.013760525238398111	85.62199407704375	0.32244680876478243	0.2304716542861461	0.031125867240825056	-4.932795356695109e-06	0.006044991905206313	0.18816620415353771	64.36292167326472	-0.2673613122240792	0.04485099744300596
-54.94197612609417	0.9004757688788406	0.27151940892312787	0.0301091823489825	0.4001021971890864	0.0003905610779242966	12.289150863552152	0.01084787967653978	0.08888375858783673	8.104768940202842	0.9056154455582708	0.13216322330264146	0.013774242705536937	85.65312487541406	0.32272071771427974	0.23063395150519528	0.031153453441615797	-4.9454435180889925e-06	0.006049757682918465	0.18814244300700575	64.36921748448248	-0.2674782746320191	0.04482592837828248
-54.93359813380514	0.900534666871324	0.2717374073613306	0.03012549311100134	0.4001171884083606	0.0003920935346685808	12.299279856229575	0.010862169536068046	0.08895206115823402	8.100209492881865	0.9054866920818909	0.13209630623308158	0.01378800922755359	85.68433118070838	0.3229954581366807	0.23079635754749353	0.031181133574332102	-4.958238553198985e-06	0.006054539321728045	0.1881186233471257	64.37552866828314	-0.2675955664296786	0.04480079440141543
-54.92519877595442	0.9005913637604299	0.2719556484868524	0.03014197824308613	0.4001322777259955	0.0003936348240769134	12.309434679871103	0.010876514013938944	0.08902058636571823	8.095640992852834	0.9053574535737504	0.13202925252281247	0.013801824475171693	85.71561190741798	0.32327102192470647	0.23095887505989526	0.031208906929909404	-4.9711803185802564e-06	0.0060593366959702044	0.18809474596955153	64.38185501117857	-0.26771318407667805	0.044775596327863244
