IKK[P]	NFkB	TNFa	IkBa	IkBb	IkBe	NFkB(nuc)	IkBb:NFkB	IkBa:NFkB	IkBe:NFkB	IRF3[P]	IkBa_mRNA	IKK[P]:IkBa	IKK[P]:IkBe	IKK[P]:IkBb:NFkB	TRAF6:IRAK1[P]	IkBb_mRNA	IkBe_mRNA	IKK	IkBb(nuc)	IkBe(nuc)	IKK[P]:IkBe:NFkB	IkBa(nuc)	LPS:LBP:CD14:TLR4:TIRAP:MyD88:IRAK4	LPS:LBP:CD14:TLR4:RIP1:TRAM:TRIF:TBK/IKKe	IkBa:NFkB(nuc)	TNFa:TNFR1:TRAF2:TRADD:RIP1	IkBe:NFkB(nuc)	IRF3	TAK1:TAB1:TAB2:TRAF6	IKK[P]:IkBb	IkBb:NFkB(nuc)	IKK[P]:IkBa:NFkB	IRF3[P](nuc)	IRAK1
0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
7.547851883960843e-07	0.09139345755157448	0.0009078428505230932	3.5191470795843806e-09	3.5746435229428093e-10	2.550447905846433e-10	0.008606542386483316	5.590271233549852e-12	5.2363026671635356e-11	3.988564296733619e-12	4.260274637600337e-06	1.9563831608447577e-06	9.759756066795686e-18	2.9159774575197376e-19	3.1452587805337323e-20	4.9931858183093233e-08	1.7797508232570437e-07	1.2698222165934768e-07	0.09999924521481163	1.7924568671501695e-14	1.2788877645526285e-14	3.276575498937001e-20	3.359843681762625e-13	9.99950001666638e-05	9.99950001666638e-05	2.8494221979114246e-16	4.5317166705804956e-05	1.1101905101485715e-17	0.9999955989967703	4.9824296207703514e-11	2.724916347358185e-19	1.5560150458654655e-17	1.1127074480770414e-18	1.4072859235379014e-07	0.9999999500183175
5.479819518215963e-06	0.08352829886426068	0.0016590046224095707	1.8624782951951586e-08	1.4105790701768377e-09	1.0064243871480651e-09	0.01647170059394954	4.1380361394957674e-11	4.708742111094587e-10	2.952418929931783e-11	1.603053029629903e-05	6.19913666584561e-06	7.148963651860896e-16	1.6846162524921672e-17	3.4434912698253848e-18	1.9945639111675407e-07	3.5590033860432933e-07	2.5392889327387233e-07	0.09999452018048091	1.4152449021338387e-13	1.0097533827580729e-13	3.585484609598574e-18	3.2330800405792338e-12	0.00019998000133326788	0.00019998000133326788	1.007147975937851e-14	0.00016482741348541023	3.3842141399161683e-16	0.9999829214050239	3.971949813085325e-10	1.5743984323930928e-17	4.743229273621511e-16	1.4286763147268353e-16	1.0480646801371088e-06	0.999999800146414
1.6815788802786633e-05	0.07634065905745539	0.002287718430793845	5.778264286116936e-08	3.1369060365184297e-09	2.2381295297912525e-09	0.023659338843563946	1.2942421860011547e-10	1.8771172547389444e-09	9.234198202393348e-11	3.404652438403624e-05	1.4486463135426543e-05	9.787234585507083e-15	1.7403806859420647e-16	5.047492615130999e-17	4.4817043992728855e-07	5.337757827852152e-07	3.808400247961899e-07	0.09998318421118448	4.712861452138855e-13	3.362547177281343e-13	5.2530406272620174e-17	1.3806339408252671e-11	0.00029995500449966374	0.00029995500449966374	8.868617168680384e-14	0.00033828660459167255	2.448926072976572e-15	0.9999626533652939	1.335836748152717e-09	1.626683254763075e-16	3.4323531008871333e-15	2.5590063543955984e-15	3.3001103223663777e-06	0.9999995504937234
3.63086210114311e-05	0.06977217435406734	0.002820384876228438	1.392268147467729e-07	5.521080112391797e-09	3.939197311253825e-09	0.030227819869300204	2.847069954608567e-10	5.2883066265025005e-09	2.0313353532083728e-10	5.7317674829317386e-05	2.810211074929722e-05	6.621287633558899e-14	8.90066672234123e-16	3.257836067782685e-16	7.956753371822736e-07	7.116014288137972e-07	5.077156261761333e-07	0.09996369137889954	1.1020136217398344e-12	7.862681193334642e-13	3.388770552709036e-16	4.167726163889142e-11	0.0003999200106656014	0.0003999200106656014	4.405750848532536e-13	0.0005502397363895691	9.837299231961212e-15	0.9999353688830005	3.155354880418413e-09	8.320076972407209e-16	1.3787710997166723e-14	2.046309483712737e-14	7.313442170534008e-06	0.9999992011693078
6.471306227631928e-05	0.06376950817137156	0.0032773770678138792	2.85222447812133e-07	8.553222117496521e-09	6.102578790419275e-09	0.0362304788266176	5.167301876165361e-10	1.2114846492034726e-08	3.68677836592562e-10	8.506467651471779e-05	4.794950327250659e-05	2.983744115358512e-13	3.100527450103758e-15	1.3420779129553687e-15	1.2415768480657717e-06	8.893772906316058e-07	6.345557073607495e-07	0.09993528693731285	2.1229042422785786e-12	1.5146562813196825e-12	1.3952831883300032e-15	1.0226173199962316e-10	0.0004998750208307307	0.0004998750208307307	1.5810916347104404e-12	0.0007889107598842794	2.862880616393333e-14	0.9999015539409256	6.141289640321343e-09	2.898592841326446e-15	4.012541510815025e-14	1.0375846893829015e-13	1.3381382559972036e-05	0.9999987522818622
0.00010222117546668575	0.058283918154571145	0.0036744290741230674	5.207565539903329e-07	1.2227702867061979e-08	8.72425707922723e-09	0.04171605633767117	8.307460154585719e-10	2.407915222518709e-08	5.927219032482033e-10	0.00011667147418905809	7.462896673216848e-05	1.0277559245120284e-12	8.479989566457408e-15	4.165438171204786e-15	1.7854851124317008e-06	1.067103382176269e-06	7.613602782943013e-07	0.09989777882309007	3.6177180227669073e-12	2.5811804526561286e-12	4.3282389617125654e-15	2.1752775188544421e-10	0.0005998200359946019	0.0005998200359946019	4.5752278325624834e-12	0.001045349036868731	6.796223207080358e-14	0.9998616251174862	1.0575169860886452e-08	7.92856390894613e-15	9.525416008204155e-14	3.9061748698208625e-13	2.17034083249336e-05	0.9999982039397177
0.00014863372694931616	0.05327086052578265	0.0040237044142662545	8.72547490570674e-07	1.6542173067756805e-08	1.1802555122729992e-08	0.04672909425424674	1.2287262307857572e-09	4.3101685995337895e-08	8.766719341675991e-10	0.00015164826628139507	0.0001085009796800759	2.922399386561152e-12	1.964151266146813e-14	1.0640987545749627e-14	2.427014587619491e-06	1.244779717381512e-06	8.88129348918267e-07	0.09985136626887847	5.665021491221657e-12	4.0418963138924675e-12	1.1050772035607742e-14	4.163453988589568e-10	0.0006997550571566652	0.0006997550571566652	1.1337909908452589e-11	0.001312772858565729	1.402009093059816e-13	0.9998159439814713	1.673456583329013e-08	1.8366333491386177e-14	1.965020907238771e-13	1.1901540144245446e-12	3.2407752247627684e-05	0.9999975562508465
0.00020348801662641792	0.048689628523107285	0.004334618050409138	1.3682942103756312e-06	2.149679717448829e-08	1.53375890118465e-08	0.05131029733662438	1.7101272307452629e-09	7.118125430963544e-08	1.2201391401347082e-09	0.0001896030104042413	0.00014973785059543626	7.196971856787115e-12	4.030570067680512e-14	2.3585748168450766e-14	3.1657839920221975e-06	1.4224063101771603e-06	1.0148629291713417e-06	0.09979651197295596	8.338485673040531e-12	5.949366537570008e-12	2.448018757666686e-14	7.345288179172749e-10	0.0007996800853162709	0.0007996800853162709	2.4978156445577477e-11	0.0015860647388063996	2.610118783120605e-13	0.9997648282296557	2.4893141498368972e-08	3.769320506105931e-14	3.6582775814493607e-13	3.094626900200653e-12	4.5568759940154826e-05	0.9999968093228664
0.0002661525938327191	0.04450302197577933	0.004614468830262204	2.0361068453923974e-06	2.7093644979442775e-08	1.9330833846257137e-08	0.05549686378699875	2.2724976874012277e-09	1.1028489519864222e-07	1.6213732291901656e-09	0.00023021946938244997	0.00019836583002881097	1.5851259831940567e-11	7.543693042847913e-14	4.6927473270032435e-14	4.001416249397134e-06	1.5999831744891381e-06	1.1415610289894383e-06	0.0997338473829611	1.1707219232373334e-11	8.352898426562658e-12	4.867891688085922e-14	1.2146520625370508e-09	0.0008995951214726688	0.0008995951214726688	5.0167702441188675e-11	0.00186138338060385	4.49346599550987e-13	0.9997085603167329	3.532070595147702e-08	7.05554207383367e-14	6.29793095583344e-13	7.1133739298784e-12	6.12202138846654e-05	0.9999959632630444
0.000335896800930005	0.04067704533582078	0.004868925939065166	2.9040754782761332e-06	3.333620641559613e-08	2.378477751933797e-08	0.05932278730930614	2.911963186249909e-09	1.622550478667383e-07	2.0776081606972656e-09	0.0002732402973332327	0.0002542993192595456	3.193618651874022e-11	1.3134756955830157e-13	8.577956560261799e-14	4.9335384339093105e-06	1.7775103242394724e-06	1.268223658305688e-06	0.09966410315188841	1.5836120062609342e-11	1.129879471224784e-11	8.892839921322881e-14	1.9057042905083327e-09	0.0009995001666250098	0.0009995001666250098	9.351585246040176e-11	0.0021358654735222117	7.273504684202992e-13	0.9996473941510238	4.8283264269688767e-08	1.2286238034907673e-13	1.0194366101725385e-12	1.4816547736934443e-11	7.936555164323734e-05	0.9999950181783016
0.00041194134248207794	0.037180631676690466	0.005102403539698237	3.999944322689724e-06	4.0229003005191624e-08	2.870264346746563e-08	0.06281913318195226	3.6236144153369615e-09	2.28737005946068e-07	2.585339105625458e-09	0.000318453988121143	0.00031736858087791944	5.983528084554721e-11	2.1577256505367322e-13	1.4645109978400514e-13	5.961781715897874e-06	1.9549877733462907e-06	1.3948508270504406e-06	0.09958805856849211	2.0786231110268348e-11	1.48306073716971e-11	1.517352253579769e-13	2.862637283028016e-09	0.001099395221772344	0.001099395221772344	1.639345667413811e-10	0.0024073962648796287	1.1202234787624325e-12	0.999581560306129	6.404306767039078e-08	2.018572379087621e-13	1.5700781101014067e-12	2.847477412906138e-11	9.998570574997037e-05	0.9999939741752162
0.0004934943574367304	0.03398539048063754	0.005318348450994278	5.35086793239638e-06	4.777727667713009e-08	3.4088168629584834e-08	0.06601429052175482	4.401818153007198e-09	3.111266232600873e-07	3.1405443445678033e-09	0.00036568482965792067	0.00038734206545848574	1.0555034482539706e-10	3.3791735215580643e-13	2.3639734742128804e-13	7.085781308356288e-06	2.1324155357238263e-06	1.5214425451512663e-06	0.09950650548469575	2.6615089636815085e-11	1.8989386763021645e-11	2.4477540015534427e-13	4.145844507117426e-09	0.0011992802879136225	0.0011992802879136225	2.7298164687058097e-10	0.002674433599445508	1.656048881337065e-12	0.9995112700760028	8.28586630098529e-08	3.1616261490169127e-13	2.321078578816787e-12	5.118195410598706e-11	0.00012304509433955463	0.9999928313600285
