PTH_in_PTG	PTH_in_Plasma	Ca_in_Plasma	Values[k]	Values[lambda_Ca]	Values[m_Ca]	Values[A]	Values[B]	Values[S]
0.0	0.0	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
9.745613895246255	0.030913169157297436	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
19.297705254530584	0.10437218599560076	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
28.660116931921568	0.2010380409267874	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
37.83661547239558	0.3098805915297932	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
46.83089262714548	0.42461773239226086	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
55.64656683879063	0.5416804082245622	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
64.28718469709436	0.6590496376844652	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
72.7562223657748	0.7755918873102008	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
81.05708698098287	0.8906792492537057	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
89.1931180220101	1.0039723828728966	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
97.16758865477797	1.1152964748414629	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
104.98370704864885	1.2245703586740886	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
112.64461766708854	1.3317660144725054	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
120.15340253269959	1.436885430656152	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
127.51308246713445	1.53994738774901	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
134.7266183063871	1.6409799125162103	1.255	9.8436755	0.007557205876360078	15.0	0.04943742616216412	0.000494637774200846	1.1145698868684382
