iendIR	r1x2	r1x22	r11x2	r1	r2	r0	r12	r11x22	r1x22d	rendP	IRS	X	PI3K	PDK1	PKC	PKB	mTOR	GLUT4_C	r22	iend	rPbasal	r11	rend	PDK1_	X_P	GLUT4_M	PI3K_	mTOR_	PKB_P	PKC_P	IRSiP	Values[G_p]	Values[G_t]	Values[I_l]	Values[I_p]	Values[Q_sto1]	Values[Q_sto2]	Values[Q_gut]	Values[I_1]	Values[I_d]	Values[INS]	Values[I_po]	Values[Y]	Values[vglucoseuptake]	Values[KD]	Values[S2]	Values[S1]	Values[K4]	Values[K8]	Values[aa]	Values[cc]	Values[EGP]	Values[V_mmax]	Values[E]	Values[S]	Values[I]	Values[G]	Values[HE]	Values[m_3]	Values[Q_sto]	Values[Ra]	Values[k_empt]	Values[U_idm]	Values[U_id]	Values[U]	Values[S_po]
7.255191789247071e-06	1.36475817837692e-06	6.39351849488596e-10	1.5151391539076603e-09	0.0221366043399864	0.00934921094738169	9.968203793069982	1.0376421415741001e-05	1.7872551533221904e-14	5.59231079319369e-20	0.00021253394141848702	9.99982253600007	9.92463241634744	9.975783569666232	8.65876984730663	3.6028359410272405e-05	9.901931436173022	0.0201915011292933	9.993168307718552	2.1868330194558803e-06	1.13228497567934e-06	3.872303093562471e-05	1.2288671196222201e-05	3.31711803810961e-05	1.3412301526933803	0.0753675836525682	0.006831692281449881	0.024216430333761405	9.97980849887072	0.09806856382699422	9.99996397164059	0.000177463999892648	178.0	135.0	4.5	1.25	78000.0	0.0	0.0	25.0	25.0	0.0	3.6	0.0	0.306248200240056	7e-06	0.0	5e-12	1400.0	0.01	0.00017806267806267802	0.003205128205128205	1.87872	2.0	0.0	1.8	25.0	94.68085106382979	0.59238	0.2761204062607331	78000.0	0.0	0.05548008172581919	0.7487728445048393	1.0550210447448953	2.0550210447448953	1.767848936170213
1.1046459670537849e-05	2.1890390502811304e-06	1.060309749847412e-09	4.541513438355621e-09	0.04127967550424677	0.00964296736442983	9.948722131488266	2.0003495078515687e-05	7.795685433903118e-14	2.3965295798429977e-19	0.00021577818404781051	9.999819850496285	9.924534575985799	9.975418019524342	8.641275894489599	3.556449055182683e-05	9.900665008551726	0.019934591651994252	9.99310176232889	2.331476655359364e-06	1.7111182667231033e-06	3.864735039059127e-05	4.2819712397157864e-05	3.37061319382616e-05	1.3587241055104016	0.07546542401420843	0.006898237671113311	0.024581980475640995	9.98006540834802	0.09933499144829676	9.999964435509442	0.0001801495036862888	177.99438042474242	134.85501512345266	4.7461343629878066	1.2755100762591531	73766.80448511026	4116.8600226788	114.13604644634925	25.001633922998458	25.00000373423099	0.006796303892465651	3.596484600751377	-0.001735706178900471	0.3075114862548404	7e-06	0.0	5.006796303892465e-12	1400.0	0.01	0.00017806267806267802	0.003205128205128205	1.878949019173527	2.0002555410263567	0.0	1.7982423003756884	25.51020152518306	94.67786192805448	0.5924334340685791	0.2761815170382997	77883.66450778906	0.07506639977817586	0.05546664348943194	0.7483651595056506	1.0558766457604911	2.055876645760491	1.8446642076622015
1.3508906558431145e-05	2.5977497033056295e-06	1.2982739669257558e-09	6.559594443462963e-09	0.050194571687893215	0.009938813678050929	9.939483222612974	2.5094797564311216e-05	9.720550364100792e-14	2.9668600802408905e-19	0.00021740966295411048	9.999818495559545	9.92429141660311	9.975233584217916	8.632474776215364	3.5335605416025377e-05	9.900027998689422	0.01980782138616883	9.99304376928052	2.4795164291947654e-06	2.1103617368305593e-06	3.8611460217421145e-05	6.337105975550572e-05	3.407526489450922e-05	1.3675252237846383	0.07570858339690645	0.0069562307194760324	0.02476641578207048	9.980192178613843	0.09997200131059975	9.999964664394575	0.00018150444043473003	178.11518665948356	134.72287743780285	4.941549199296154	1.3173212342196692	69763.351845442	7788.292951664448	431.4851040208244	25.00881989761966	25.00004056796917	0.03641814620454044	3.719482276151252	-0.003249004647105568	0.30868008432442773	7e-06	0.0	5.0364181462045405e-12	1400.0	0.01	0.00017806267806267802	0.003205128205128205	1.8710937382372148	2.001369322297291	0.0	1.859741138075626	26.346424684393384	94.74212056355509	0.5905638694025009	0.27405284194809304	77551.64479710645	0.2837844337983115	0.0554251304117004	0.748322501912744	1.0570025862371717	2.0570025862371715	2.066509623298476
1.4705447875744647e-05	2.8046769753273584e-06	1.4444439964408508e-09	7.70399557690946e-09	0.0545761093487797	0.010236483793738914	9.934788483969918	2.811652055430528e-05	1.0987695138387964e-13	3.34480311981752e-19	0.00021781522685727643	9.999818158402942	9.924035803807469	9.97518769029656	8.6302874333853	3.5279176921182313e-05	9.899869695127864	0.01977656728220883	9.993026453138642	2.63197094770826e-06	2.3090150365049436e-06	3.859322269135912e-05	7.495291375781141e-05	3.4254555636168926e-05	1.3697125666147076	0.0759641961925457	0.006973546861354268	0.024812309703425756	9.980223432717803	0.10013030487216319	9.99996472082307	0.0001818415970333699	178.46416734806246	134.6141985604415	5.183184197662113	1.3680777006587037	65977.17353600859	11050.929898097062	917.3089982772377	25.023195455756987	25.000161116635315	0.09506897822362108	4.0162807850539	-0.004036054881418074	0.3091206729831832	7e-06	0.0	5.0950689782236204e-12	1400.0	0.01	0.00017806267806267802	0.003205128205128205	1.8520176460030202	2.003574593581208	0.0	2.00814039252695	27.36155401317407	94.92774858939494	0.5860525320671808	0.2689954395634464	77028.10343410565	0.6033070719438757	0.055349022046225604	0.7487685852882693	1.0578892582714525	2.0578892582714525	2.3950350680838715
1.537089459654764e-05	2.92756731744565e-06	1.552563104869981e-09	8.41199018644034e-09	0.05707389261263198	0.010537479511010063	9.931980126909636	3.02767781761193e-05	1.2044171028339493e-13	3.663480350093695e-19	0.00021782162030319505	9.999818152825258	9.923815064441449	9.97518693040077	8.630251149094422	3.5278242387171224e-05	9.89986706907149	0.019776049564302442	9.993024390793263	2.790262739840058e-06	2.421919224952712e-06	3.8582313160643655e-05	8.199388292339383e-05	3.435392583551052e-05	1.3697488509055873	0.07618493555857081	0.006975609206736695	0.024813069599214907	9.980223950435711	0.10013293092853866	9.999964721757605	0.00018184717472136683	179.11518121924217	134.54379208625923	5.544004507532541	1.435646652836416	62396.47770142227	13939.136410644507	1540.3375735028299	25.04662143653765	25.000427802443788	0.18974814552624594	4.489495993569938	-0.003369079490669596	0.3093939065446058	7e-06	0.0	5.189748145526246e-12	1400.0	0.01	0.00017806267806267802	0.003205128205128205	1.821403416814975	2.007134530271787	0.0	2.244747996784969	28.712933056728318	95.2740325634267	0.578859660897737	0.26115602177891445	76335.61411206677	1.013068173342246	0.05522440965067686	0.7498532402795379	1.0592471468241438	2.059247146824144	2.8009777753807157
1.58563888385684e-05	3.0234109613365156e-06	1.6505535992457818e-09	8.978171355913513e-09	0.058971089467861317	0.010844735770969045	9.929767907656482	3.2202699371027156e-05	1.316085202907553e-13	4.002311613893427e-19	0.00021777447286637836	9.999818191923628	9.923635056626836	9.975192252296296	8.630504716344202	3.5284774264839264e-05	9.899885420079611	0.019779667364513556	9.99302563759891	2.956444561829163e-06	2.504604800079945e-06	3.8573719447177185e-05	8.755514365297455e-05	3.44259333822151e-05	1.3694952836558014	0.07636494337318889	0.00697436240108826	0.024807747703690836	9.9802203326355	0.10011457992042067	9.999964715225728	0.00018180807634968595	180.1201850309838	134.52864400772918	6.072443619277386	1.5321675493828701	59010.112450773646	16485.346006037784	2272.287518835176	25.08261723231513	25.000923309260763	0.3341558112843684	5.120462102399958	-0.0003777090451768804	0.3098047370949597	7e-06	0.0	5.334155811284369e-12	1400.0	0.01	0.00017806267806267802	0.003205128205128205	1.7802947437232697	2.0125642585042924	0.0	2.560231051199979	30.643350987657403	95.80860905903394	0.5692689760435207	0.25111055260137805	75495.45845681144	1.4944660220031352	0.05502690197749751	0.7518287241723379	1.0616334612672977	2.0616334612672977	3.2612375650202727
1.6344373234805022e-05	3.1232863327895116e-06	1.7555462785214421e-09	9.591124285108525e-09	0.060968331175953835	0.011162883483106036	9.92744400484166	3.4278154363871064e-05	1.4557554187575487e-13	4.426061227640432e-19	0.00021781874219143588	9.999818155379346	9.923486824326085	9.975187278726903	8.630267822802137	3.527867182900752e-05	9.899868275883668	0.019776287525753347	9.993025205043693	3.1336091432659846e-06	2.5863846573644512e-06	3.856469189858112e-05	9.360816193731318e-05	3.449785500497562e-05	1.3697321771978637	0.0765131756739341	0.006974794956309457	0.02481272127308492	9.98022371247426	0.10013172411636923	9.99996472132816	0.00018184462062559268	181.51334535381514	134.5865952568391	6.797206684634073	1.668908324326673	55807.531125648886	18720.526248718208	3087.2768520617574	25.136557290732444	25.001764777660604	0.5493348631934628	5.881587578722437	0.00588784175370596	0.310538111627352	7e-06	0.0	5.549334863193462e-12	1400.0	0.01	0.00017806267806267802	0.003205128205128205	1.7303239793929963	2.0206549908560745	0.0	2.9407937893612184	33.37816648653346	96.54965178394423	0.5576998688034189	0.2395725607993414	74528.0573743671	2.0304782373175407	0.05471613176312975	0.7550548230768043	1.0655929347041564	2.0655929347041564	3.756943334416758
1.6950215511983302e-05	3.2481689648922363e-06	1.881239958772986e-09	1.039817862752895e-08	0.06353858128735196	0.011498627958479864	9.924526789401336	3.680852119617776e-05	1.6474607276284443e-13	5.005960221597853e-19	0.00021802418949845375	9.999817985308615	9.923356904273101	9.975164130931452	8.629165253334476	3.525029711083922e-05	9.899788482436417	0.019760571860841458	9.993020818444739	3.32633898655447e-06	2.6860916659472646e-06	3.855335954827701e-05	0.00010169692813002247	3.45869153333829e-05	1.3708347466655262	0.07664309572691758	0.006979181555264121	0.02483586906853695	9.98023942813917	0.10021151756361812	9.999964749702878	0.00018201469135684746	183.31383581248184	134.7352362713426	7.732530572438424	1.8543856823695681	52778.75945312236	20674.840032761258	3961.079922563489	25.215341617827434	25.00311702296933	0.8621263919426851	6.742554893050163	0.016406431350006773	0.3117407590448682	7e-06	0.0	5.862126391942685e-12	1400.0	0.01	0.00017806267806267802	0.003205128205128205	1.6733229991965644	2.032415952337045	0.0	3.3712774465250814	37.08771364739136	97.5073594747244	0.5446131656256376	0.22722769667031176	73453.59948588362	2.605171795224449	0.05422750509200508	0.7599746450552912	1.0717154041001593	2.0717154041001593	4.271997922682581
1.7765961747026873e-05	3.4156712569808753e-06	2.0414416034953733e-09	1.15480310943475e-08	0.06707786105896565	0.011861042273074347	9.920609213888469	4.009947025691359e-05	1.9224487086444758e-13	5.834596719850165e-19	0.0002184363675326238	9.999817643934295	9.923230842634878	9.975117667279818	8.626952892113296	3.519349926591842e-05	9.89962837664315	0.01972911347812323	9.993011130354896	3.5411433451908597e-06	2.8189427853942438e-06	3.8538141156473747e-05	0.00011338686770655329	3.470687697685897e-05	1.3730471078867026	0.07676915736514174	0.006988869645115672	0.02488233272016996	9.980270886521891	0.1003716233568817	9.99996480650072	0.00018235606567961634	185.5275774384341	134.9910039665014	8.882107524128585	2.0940433872571	49914.364481348275	22378.57849069002	4870.15760408026	25.326912939991125	25.005202291486103	1.3030323786341775	7.6730337764593	0.03214452925318605	0.31355055101096113	7e-06	0.0	6.303032378634177e-12	1400.0	0.01	0.00017806267806267802	0.003205128205128205	1.6111517793707288	2.048994017436645	0.0	3.83651688822965	41.88086774514199	98.68488161618835	0.5304698865978187	0.21465988139349299	72292.94297203829	3.2030651934527867	0.05346198073063568	0.7670835581810739	1.080634109192035	2.080634109192035	4.791820928807172
1.8876972021236918e-05	3.6425570583304444e-06	2.251821949172346e-09	1.3218710921080903e-08	0.0719610736657608	0.012261712449224176	9.915302479071492	4.4495689155515816e-05	2.3246219263453574e-13	7.041429361375357e-19	0.00021909484057012503	9.999817098455729	9.92309416548503	9.975043423993428	8.623420115722551	3.510318098998315e-05	9.899372724739074	0.01967908880530008	9.992995052252883	3.7868854062648527e-06	2.999224754817944e-06	3.851752637223003e-05	0.00013056659835676454	3.4870594242008936e-05	1.3765798842774484	0.07690583451498731	0.007004947747125226	0.02495657600656215	9.98032091119472	0.10062727526095593	9.999964896819005	0.00018290154424286848	188.14801174183145	135.36843873529037	10.241337915114944	2.390501722330426	47205.42520120502	23863.392547263174	5790.449464141484	25.47978122760054	25.008306111283048	1.9041634775362737	8.643367336843003	0.05402034036085737	0.3161031870281377	7e-06	0.0	6.904163477536274e-12	1400.0	0.01	0.00017806267806267802	0.003205128205128205	1.5456543189237095	2.0715965467553636	0.0	4.321683668421501	47.81003444660852	100.07872964991036	0.5157208164799864	0.20233567426741964	71068.8177484682	3.8083340706468993	0.052278558898030285	0.776900496373616	1.0930036834017538	2.093003683401754	5.302153775898549
