Values[h_post]	Values[V_post]	Values[n_post]	Values[s]	Values[V_pre]	Values[h_pre]	Values[n_pre]	Values[tau_0]	Values[I_Na_post]	Values[m_inf_post]	Values[alpha_m_post]	Values[beta_m_post]	Values[alpha_h_post]	Values[beta_h_post]	Values[I_K_post]	Values[alpha_n_post]	Values[beta_n_post]	Values[I_L_post]	Values[I_syn]	Values[F]	Values[I_app_pre]	Values[I_Na_pre]	Values[m_inf_pre]	Values[alpha_n_pre]	Values[beta_n_pre]	Values[alpha_h_pre]	Values[beta_h_pre]	Values[alpha_m_pre]	Values[beta_m_pre]	Values[I_K_pre]	Values[I_L_pre]
0.7803482670176681	-64.0	0.08919839244259657	1.5196998658889723e-12	-64.0	0.7803482670176681	0.08919839244259657	10.0	-0.113618563566296	0.03269755453515436	0.16885847520306876	4.9953954760067285	0.09449011653032023	0.026596993576865856	0.014813032214306113	0.015718708947376786	0.16050317708596767	0.1	1.6716698524778696e-12	1.2664165549094016e-14	0.0	-0.113618563566296	0.03269755453515436	0.015718708947376786	0.16050317708596767	0.09449011653032023	0.026596993576865856	0.16885847520306876	4.9953954760067285	0.014813032214306113	0.1
0.7803556457003914	-64.00115851617736	0.08919570498291338	1.5196568562479613e-12	-64.00115851617574	0.7803556457003812	0.0891957049829172	10.0	-0.11357228229214117	0.03269290513213637	0.1688445198180102	4.995717000046431	0.09449559010527936	0.026593994390067526	0.014810587122512932	0.01571739955622574	0.16050550142188716	0.09988414838226448	1.6714464871675583e-12	1.265683185303005e-14	0.0	-0.11357228229220598	0.03269290513214288	0.015717399556227564	0.1605055014218839	0.0944955901052717	0.02659399439007172	0.16884451981802978	4.995717000045982	0.014810587122516398	0.09988414838242649
0.7803725064120294	-64.00224525222039	0.0891901043701293	1.5195368591640753e-12	-64.00224525221722	0.7803725064119953	0.08919010437014094	10.0	-0.11353033119755844	0.03268854435853561	0.16883143002058154	4.99601862169169	0.0945007248329642	0.0265911813279483	0.01480624871795877	0.01571617138163869	0.16050768177561506	0.09977547477796095	1.6711493707297825e-12	1.2649956403476062e-14	0.0	-0.11353033119768305	0.03268854435854834	0.015716171381642278	0.1605076817756087	0.09450072483294922	0.026591181327956494	0.16883143002061976	4.99601862169081	0.014806248717968307	0.09977547477827785
0.7803937297908151	-64.00326228078652	0.08918358121827984	1.519352365008596e-12	-64.00326228078195	0.7803937297907513	0.08918358121830064	10.0	-0.11349187634380974	0.032684463791635275	0.1688191806694628	4.9963009126474	0.09450553045198319	0.02658854896875598	0.014801338569074219	0.015715022064472367	0.1605097222998036	0.09967377192134848	1.6707919461066243e-12	1.2643525355252106e-14	0.0	-0.11349187634398665	0.032684463791653566	0.015715022064477523	0.16050972229979443	0.09450553045196164	0.026588548968767795	0.16881918066951773	4.996300912646134	0.014801338569090624	0.09967377192180465
0.7804165545215493	-64.00421294217524	0.08917694855374589	1.5191144642348127e-12	-64.00421294216935	0.7804165545214536	0.08917694855377592	10.0	-0.11345637640154885	0.032680649934163475	0.16880773137472685	4.996564796858249	0.09451002269668853	0.026586088615894194	0.014796394802310833	0.01571394781487894	0.1605116296910804	0.09957870578247566	1.6703859165187546e-12	1.263751692768238e-14	0.0	-0.11345637640177567	0.03268064993418713	0.015713947814885602	0.16051162969106858	0.09451002269666066	0.026586088615909456	0.16880773137479785	4.996564796856612	0.014796394802334124	0.09957870578306541
0.7804395150971306	-64.00510101564055	0.08917052860181611	1.5188329243464344e-12	-64.00510101563341	0.7804395150970027	0.08917052860185513	10.0	-0.11342346141582146	0.0326770875402154	0.16879703648047584	4.9968113205292735	0.09451421938203008	0.026583790443350585	0.014791629091966069	0.01571294434894671	0.16051341152746043	0.09948989843594519	1.6699414577308309e-12	1.2631906651641283e-14	0.0	-0.11342346141609413	0.032677087540244024	0.015712944348954778	0.1605134115274461	0.09451421938199635	0.026583790443369042	0.1687970364805618	4.996811320527293	0.014791629091996024	0.09948989843665856
0.7804618557096443	-64.00593034626598	0.08916443942372888	1.518516300542527e-12	-64.0059303462577	0.7804618557094856	0.08916443942377636	10.0	-0.11339286249322657	0.03267376111161803	0.16878704955768387	4.997041548536188	0.09451813864012217	0.02658164446107391	0.01478711743119708	0.015712007310247706	0.16051507551968505	0.0994069653734016	1.669467397849504e-12	1.2626669723987787e-14	0.0	-0.11339286249354165	0.03267376111165127	0.015712007310257067	0.16051507551966845	0.09451813864008302	0.026581644461095337	0.16878704955778367	4.997041548533889	0.014787117431233284	0.09940696537423009
0.7804832075254995	-64.00670467869212	0.08915871464955344	1.5181720541359777e-12	-64.00670467868274	0.7804832075253109	0.08915871464960892	10.0	-0.11336437149048495	0.032670655563818846	0.16877772540476763	4.997256518232532	0.09452179813394367	0.02657964094467237	0.01478287981089965	0.01571113245754224	0.16051662917755233	0.09932953213078832	1.6689713739673422e-12	1.2621782050326125e-14	0.0	-0.11336437149084017	0.03267065556385646	0.01571113245755284	0.1605166291775335	0.09452179813389933	0.026579640944696635	0.16877772540488056	4.997256518229928	0.014782879810941781	0.09932953213172624
0.7805034112308581	-64.00742758607544	0.08915335352981796	1.5178066676771539e-12	-64.00742758606506	0.7805034112306413	0.0891533535298809	10.0	-0.11333781801362523	0.03266775650959902	0.1687690209010248	4.997457219686819	0.09452521472097797	0.026577770618581114	0.014778913516946426	0.01571031574485165	0.1605180796673106	0.09925724139245631	1.668459970477865e-12	1.2617220685025805e-14	0.0	-0.11333781801401684	0.03266775650964062	0.015710315744863375	0.1605180796672898	0.09452521472092895	0.02657777061860795	0.1687690209011497	4.997457219683938	0.014778913516994053	0.0992572413934937
0.7805224197177566	-64.00810244349026	0.08914834182794157	1.5174257523272223e-12	-64.00810244347893	0.7805224197175135	0.08914834182801146	10.0	-0.11331305629387489	0.0326650503645487	0.16876089532491997	4.997644588258102	0.09452840432689301	0.0265760247242404	0.014775207020763043	0.015709553351319558	0.16051943375822542	0.09918975565097413	1.667938841919055e-12	1.2612963990770754e-14	0.0	-0.11331305629430152	0.03266505036459412	0.01570955335133235	0.16051943375820268	0.09452840432683948	0.026576024724269693	0.16876089532505636	4.997644588254957	0.014775207020815813	0.09918975565210673
0.7805402447595722	-64.0087324221052	0.08914366054415536	1.5170341459781693e-12	-64.00873241681315	0.7805402447593037	0.0891436605442318	10.0	-0.11328995763150425	0.03266252436931719	0.16875331042236796	4.99781950294208	0.09453138191744974	0.026574395034571582	0.014771745772672597	0.0157088416876164	0.1605206978108343	0.09912675778948028	1.6674128223249186e-12	1.260899170092298e-14	2.0	-0.11328995784721684	0.03266252439053571	0.015708841693594513	0.16052069780021577	0.09453138189243648	0.026574395048261163	0.16875331048608266	4.997819501472707	0.01477174577573092	0.0991267583186854
0.7805569279873689	-64.00932049316843	0.08913928951090906	1.6193084845655043e-12	-62.05949422845037	0.7677112078778944	0.09382804271722249	10.0	-0.11326840598343213	0.03266016657264305	0.16874623035710254	4.997982787444309	0.09453416151682824	0.026572873843137515	0.01476851458336704	0.015708177391280775	0.16052187778488916	0.09906795068315688	1.7797300576552572e-12	3.3415814658355664e-14	2.0	-0.22327210612783244	0.04140511229337229	0.01805307936179483	0.15665679840657845	0.08575290418094306	0.032110047038312495	0.19371767024400477	4.484875370910798	0.019489800801572994	0.29405057715496313
